,Abstract,Date_downloaded,Journal,PMID,Title
28928,"Contemporary niche theory is a powerful structuring framework in theoretical ecology. First developed in the context of resource competition, it has been extended to encompass other types of regulating factors such as shared predators, parasites or inhibitors. A central component of contemporary niche theory is a graphical approach popularized by Tilman that illustrates the different outcomes of competition along environmental gradients, like coexistence and competitive exclusion. These food web modules have been used to address species sorting in community ecology, as well as adaptation and coexistence on eco-evolutionary time scales in adaptive dynamics. Yet, the associated graphical approach has been underused so far in the evolutionary context. In this paper, we provide a rigorous approach to extend this graphical method to a continuum of interacting strategies, using the geometrical concept of the envelope. Not only does this approach provide community and eco-evolutionary bifurcation diagrams along environmental gradients, it also sheds light on the similarities and differences between those two perspectives. Adaptive dynamics naturally merges with this ecological framework, with a close correspondence between the classification of singular strategies and the geometrical properties of the envelope. Finally, this approach provides an integrative tool to study adaptation between levels of organization, from the individual to the ecosystem. ",2018-07-20,Journal of theoretical biology,27473767.0,Geometrical envelopes: Extending graphical contemporary niche theory to communities and eco-evolutionary dynamics.
25190,"Rice fields are an important source of nitrous oxide (N2O), where rice plants could act as a key factor controlling N2O fluxes during the flooding-drying process; however, the microbial driving mechanisms are unclear. In this study, specially designed equipment was used to grow rice plants and collect emitted N2O from the root-growing zone (zone A), root-free zones (zones B, C, and D) independently, at tillering and booting stages under flooding and drying conditions. Soil samples from the four zones were also taken separately. Nitrifying and denitrifying community abundances were detected using quantitative polymerase chain reaction (qPCR). The N2O emission increased significantly along with drying, but the N2O emission capabilities varied among the four zones under drying, while zone B possessed the highest N2O fluxes that were 2.7~4.5 times higher than those from zones C and D. However, zone A showed N2O consumption potential. Notably, zone B also harbored the highest numbers of narG-containing denitrifiers and amoA-containing nitrifiers under drying at both tillering and booting stages. This study demonstrates that drying caused significant increase in N2O emission from rhizosphere soil, in which the higher abundance of AOB would help to produce more nitrate and significantly higher narG-containing microbes would drive more N2O production and emission.",2018-07-20,Environmental science and pollution research international,27812967.0,Elevated N2O emission by the rice roots: based on the abundances of narG and bacterial amoA genes.
19616,"This paper describes a conceptual framework for solutions-focused management of chemical contaminants built on novel and systematic approaches for identifying, quantifying and reducing risks of these substances.",2018-07-20,Environmental sciences Europe,28337403.0,An expanded conceptual framework for solution-focused management of chemical pollution in European waters.
51199,"The Barcode of Life Data Systems (BOLD) is designed to support the generation and application of DNA barcode data, but it also provides a unique source of data with potential for many research uses. This paper explores the streamlining of BOLD specimen data to record species distributions - and its fast publication using the Biodiversity Data Journal (BDJ), and its authoring platform, the Pensoft Writing Tool (PWT). We selected a sample of 630 specimens and 10 species of a highly diverse group of parasitoid wasps (Hymenoptera: Braconidae, Microgastrinae) from the Nearctic region and used the information in BOLD to uncover a significant number of new records (of locality, provinces, territories and states). By converting specimen information (such as locality, collection date, collector, voucher depository) from the BOLD platform to the Excel template provided by the PWT, it is possible to quickly upload and generate long lists of ""Material Examined"" for papers discussing taxonomy, ecology and/or new distribution records of species. For the vast majority of publications including DNA barcodes, the generation and publication of ancillary data associated with the barcoded material is seldom highlighted and often disregarded, and the analysis of those data sets to uncover new distribution patterns of species has rarely been explored, even though many BOLD records represent new and/or significant discoveries. The introduction of journals specializing in - and streamlining - the release of these datasets, such as the BDJ, should facilitate thorough analysis of these records, as shown in this paper. ",2018-07-20,Biodiversity data journal,25473326.0,Streamlining the use of BOLD specimen data to record species distributions: a case study with ten Nearctic species of Microgastrinae (Hymenoptera: Braconidae).
116559,"Mentation during sleep states is thought to originate in an activation of brain circuits that encode inherited and experiential memories. Spontaneous degradation of the strengths of synapses occurs in all brain circuits because of ""turnover"" of molecules essential for synaptic function. In circuits employed frequently during waking, synaptic strengths are refreshed and maintained in their dedicated or functional ranges largely through use, by virtue of activity-dependent synaptic plasticity. In circuits employed infrequently during waking, synaptic strengths are refreshed largely during sleep, by circuit activations induced by spontaneous, self-generated, largely low-frequency brain waves, also by virtue of activity-dependent synaptic plasticity. The outputs of circuits activated during sleep do not necessarily rise to the level of 'unconscious' awareness. Such an absence of awareness of the outputs of individual circuits, that is, an absence of dreaming, is proposed to be the primitive condition in animals that sleep. On the other hand, temporal binding of these outputs is accompanied by the thoughts and perceptions of dreams, which is proposed to be the advanced condition. Linking or serial ordering of otherwise 'static' thoughts and perceptions gives rise to continuous, often narrative and veridical, dreams. In all cases, dream contents are derived from the memories--not necessarily veridical--encoded in the reinforced circuitry. In the absence of synaptic strength refreshments during sleep, synaptic strengths in infrequently used circuits would weaken and the circuits would become incompetent, with their encoded memories degraded or lost. Maintenance of synaptic strengths in infrequently used circuitry during sleep apparently does not always achieve perfection. Weakened synapses begin to occur in circuits in appreciable numbers in children after the age of about 5 years. When these 'incompetent' circuits (with weakened synapses) are activated during sleep, there are minimal influences on dream contents, namely, distortions that make some objects, such as animals, faces, and scenes, unrecognizable. As weakened synapses increase in numbers with age, the numbers of distorted objects in dreams also increase. In adults, people in as many as 80% of dreams may be unrecognizable. Besides the normal weakening of synaptic strengths, some synapses become defective, in consequence of deleterious, adventitious, exogenous influences, for example, radiation. As these faulty synapses accumulate in old memories, activation of circuits incorporating them during sleep leads to dreams with incoherent, bizarre, or impossible contents. The infrequent activation of such old, incompetent circuits in some waking conditions leads to false memories, delusions, or hallucinations.",2018-07-20,Archives italiennes de biologie,12004643.0,Dream contents and failing memories.
109173,"The tiger is one of the most threatened wildlife species since the abundance and distribution of tiger have decreased dramatically in the last century. The wild Amur tiger (Panthera tigris altaica) only distributed in northeast China, the far east area of Russia and the north Korea and its size of wild population is about 450 in the world and 20 in China. Several hundred captive populations of Amur tigers are the main source to protect gene library of tiger and the source of recovering the wild populations. The Breeding Center for Felidae at Hengdaohezi and Haoerbin Tiger Park in Heilongjiang Province is the biggest captive breeding base in China. How to make clear the genetic pedigree and establish reasonable breeding system is the urgent issues. So we use the microsatellite DNA markers and non-invasive technology to research on the genetic diversity of captive Amur tiger in this study. Ten microsatellite loci (Fca005, Fca075, Fca094, Fca152, Fca161, Fca294, Pti002, Pti003, Pti007 and Pti010), highly variable nuclear markers, were studied their genetic diversity in 113 captive Amur tigers. The PCR amplified products of microsatellite loci were detected by non-denatured polyacrylamide gel electrophoresis. Allele numbers, allelic frequency, gene heterozygosity(H(e)), polymorphism information content(PIC) and effective number of allele(N(e)) were calculated. 41 alleles were found and their size were ranged from 110bp to 250bp in ten microsatellite loci, Fca152 had 6 alleles, Fca075, Fca094 and Fca294 had 5 alleles, Fca005 and Pti002 had 4 alleles and the others had 3 alleles in all tiger samples, respectively. The allelic frequencies were from 0.009 to 0.767; The He ranged from 0.385 to 0.707, and Fca294 and Pti010 locus had the highest and lowest value; the PIC were from 0.353 to 0.658, Fca294 and Pti010 locus had the highest and lowest value; and N(e) were from 1.626 to 3.409, Fca294 and Pti010 locus had the highest and lowest value, which showed the ten microsatellie loci had high or medium polymorphism in these Amur tigers and had high genetic diversity. At the same time, we only found even bases variability which showed the even bases repeat sequence (CA/GT) maybe the basic unit for length variability of microsatellite in all loci. In this study, the samples were made up of 75 hair specimens, 23 blood specimens and 15 tissue specimens, we obtained the genome DNA from hairs using the non-invasive DNA technology and demonstrated that DNA derived from hair samples is as good as that obtained from blood samples for the analysis of microsatellite polymorphism. These results imply that microsatellite DNA markers and non-invasive DNA technology can help study the genetic diversity of Amur tiger. This method could be used in the captive management of other endangered species.",2018-07-20,Yi chuan = Hereditas,15640074.0,[Genetic diversity of microsatellite loci in captive Amur tigers].
19394,"BNIP3 is a kind of BH3-only protein that induces both cell death and autophagy. Here, a BNIP3 gene (EcBNIP3) was identified from orange spotted grouper, Epinephelus coioides. EcBNIP3 possessed 236 amino acids residues, contained a conservative BNIP3 domain and a transmembrane region. Besides, EcBNIP3 expressed at a relative high level in heart and spleen. EcBNIP3 transcript was up-regulated after SGIV infection in vitro. Subcellular localization analysis revealed that EcBNIP3 was predominantly localized in the cytoplasm and co-localized with mitochondria. In addition, overexpression EcBNIP3 accelerated SGIV infection induced cell death but inhibited viral genes transcription. Taken together, these results provided new evidence that fish BNIP3 might involved in response to virus infection.",2018-07-20,Fish & shellfish immunology,28359943.0,"BNIP3, a cell pro-apoptotic protein, involved in response to viral infection in orange spotted grouper, Epinephelus coioides."
56297,"Haldane's Rule, the tendency for the heterogametic sex to show reduced fertility in hybrid crosses, can obscure the signal of gene flow in mtDNA between species where females are heterogametic. Therefore, it is important when studying speciation and species limits in female-heterogametic species like birds to assess the signature of gene flow in the nuclear genome as well. We studied introgression of microsatellites and mtDNA across a secondary contact zone between coastal and interior lineages of Western Scrub-Jays (Aphelocoma californica) to test for a signature of Haldane's Rule: a narrower cline of introgression in mtDNA compared to nuclear markers.",2018-07-20,BMC evolutionary biology,24938753.0,"Speciation in Western Scrub-Jays, Haldane's rule, and genetic clines in secondary contact."
82896,"The social environment influences the circadian clock of diverse animals, but little is known about the functional significance, the specifics of the social signals, or the dynamics of socially mediated changes in the clock. Honey bees switch between activities with and without circadian rhythms according to their social task. Forager bees have strong circadian rhythms, whereas ""nurse"" bees typically care for the brood around-the-clock with no circadian rhythms in behavior or clock gene expression. Here we show that nurse-age bees that were restricted to a broodless comb inside or outside the hive showed robust behavioral and molecular circadian rhythms. By contrast, young nurses tended brood with no circadian rhythms in behavior or clock gene expression, even under a light-dark illumination regime or when placed with brood--but no queen--in a small cage outside the hive. This behavior is context-dependent because nurses showed circadian rhythms in locomotor activity shortly after removal from the hive, and in clock gene expression after ∼16 h. These findings suggest that direct interaction with the brood modulates the circadian system of honey bees. The dynamics of rhythm development best fit models positing that at least some pacemakers continue to oscillate and be entrained by the environment in nurses that are active around the clock. These cells set the phase to the clock network when the nurse is removed from the hive. These findings suggest that despite its robustness, the circadian system exhibits profound plasticity, enabling adjustment to rapid changes in the social environment.",2018-07-20,The Journal of neuroscience : the official journal of the Society for Neuroscience,20844146.0,Molecular dynamics and social regulation of context-dependent plasticity in the circadian clockwork of the honey bee.
86379,"Mytilus species are important in marine ecology and in environmental quality assessment, yet their molecular biology is poorly understood. Molecular aspects of their reproduction, hybridisation between species, mitochondrial inheritance, skewed sex ratios of offspring and adaptation to climatic and pollution factors are priority areas.",2018-07-20,PloS one,20111607.0,Pyrosequencing of Mytilus galloprovincialis cDNAs: tissue-specific expression patterns.
