Journal,Title,Abstract,Date Added,Date Trained,PMID,Questionable_inclusion,Reason
Freshwater Biology,"Aquaculture, non-native salmonid invasions and associated declines of native fishes in Northern Patagonian lakes","1. Even though intensive aquaculture production of salmonids in lakes occurs in many locations around the world published studies on the survival and reproductive success of escaped cultured salmonids in freshwater ecosystems are not common. A recent expansion of aquaculture in Chile has led it to become the world's second largest producer of cultured salmonids.   2. We document the recent history of escaped and self-sustaining salmonid populations over a wide spatial scale and a long temporal scale in Chilean Patagonian lakes. Our hypotheses are that salmonid density in lakes will be higher where there is intensive aquaculture, due to greater numbers of potential escapees. Secondly, if non-native salmonids have adverse impacts on native fishes, increases in the abundance of non-native species should be associated with decreases in relative abundance of native species. Finally, if the first two hypotheses are correct we anticipate that diets of salmonids may show evidence of predation on native fishes, diet overlap with native species, and evidence of the influence of feed from aquaculture operations in the diets of salmonids and native fishes.   3. We sampled six lakes with gill nets from 1992 to 2001. Our results show that the relative abundance of free-living salmonids is closely related to the level of fish farming production. Salmonids are the top predators and in lakes with fish farming the main prey item is native fishes. The relative abundance of native fishes has decreased, most likely due to predation by salmonids.   4. Our study contributes to the understanding of the effects of non-native salmonids in oligotrophic lakes, and it provides a starting point to judge the establishment of new fish farming sites in lakes around the world.",18/07/2017 11:12,,,,
Ecology,Bald eagles and sea otters in the Aleutian archipelago: Indirect effects of trophic cascades,"Because sea otters (Enhydra lutris) exert a wide array of direct and indirect effects on coastal marine ecosystems throughout their geographic range, we investigated the potential influence of sea otters on the ecology of Bald Eagles (Haliaeetus leucocephalus) in the Aleutian Islands, Alaska, USA. We studied the diets, productivity, and density of breeding Bald Eagles on four islands during 1993-1994 and 2000-2002, when sea otters were abundant and scarce, respectively. Bald Eagles depend on nearshore marine communities for most of their prey in this ecosystem, so we predicted that the recent decline in otter populations would have an indirect negative effect on diets and demography of Bald Eagles. Contrary to our predictions, we found no effects on density of breeding pairs on four islands from 1993-1994 to 2000-2002. In contrast, diets and diet diversity of Bald Eagles changed considerably between the two time periods, likely reflecting a change in prey availability resulting from the increase and subsequent decline in sea otter populations. The frequency of sea otter pups, rock greenling (Hexagammus lagocephalus), and smooth lumpsuckers (Aptocyclus ventricosus) in the eagle's diet declined with corresponding increases in Rock Ptarmigan (Lagopus mutus), Glaucous-winged Gulls (Larus glaucescens), Atka mackerel (Pleurogrammus monopterygius), and various species of seabirds during the period of the recent otter population decline. Breeding success and productivity of Bald Eagles also increased during this time period, which may be due to the higher nutritional quality of avian prey consumed in later years. Our results provide further evidence of the wide-ranging indirect effects of sea otter predation on nearshore marine communities and another apex predator, the Bald Eagle. Although the indirect effects of sea otters are widely known, this example is unique because the food-web pathway transcended five species and several trophic levels in linking one apex predator to another.",18/07/2017 11:12,,,,
Marine Ecology Progress Series,Changes in sea urchins and kelp following a reduction in sea otter density as a result of the Exxon Valdez oil spill,"Interactions between sea otters Enhydra lutris, sea urchins Strongylocentrotus droebachiensis, and kelp were investigated following the reduction in sea otter density in Prince William Sound, Alaska, after the Exxon Valdez oil spill in 1989. At northern Knight Island, a heavily oiled portion of the sound, sea otter abundance was reduced by a minimum of 50\\\\% by the oil spill, and from 1995 through 1998 remained at an estimated 66\\\\% lower than in 1973. Where sea otter densities were reduced, there were proportionally more large sea urchins. However, except in some widely scattered aggregations, both density and biomass of sea urchins were similar in an area of reduced sea otter density compared with an area where sea otters remained about 10 times more abundant. Furthermore, there was no change in kelp abundance in the area of reduced sea otter density. This is in contrast to greatly increased biomass of sea urchins and greatly reduced kelp density observed following an approximate 90\\\\% decline in sea otter abundance in the western Aleutian Islands. The variation in community response to a reduction in sea otters may be related to the magnitude of the reduction and the non-linear response by sea urchins to changes in predator abundance. The number of surviving sea otters may have been high enough to suppress sea urchin populations in Prince William Sound, but not in the Aleutians. Alternatively, differences in response may have been due to differences in the frequency or magnitude of sea urchin recruitment. Densities of small sea urchins were much higher in the Aleutian system even prior to the reduction in sea otters, suggesting a higher rate of recruitment.",18/07/2017 11:12,,,,
Marine Biology,"Microbial activity and carbon, nitrogen, and phosphorus content in a subtropical seagrass estuary (Florida Bay): Evidence for limited bacterial use of seagrass production","Bacterial abundance, production, and extracellular enzyme activity were determined in the shallow water column, in the epiphytic community of Thalassia testudinum, and at the sediment surface along with total carbon, nitrogen, and phosphorus in Florida Bay, a subtropical seagrass estuary. Data were statistically reduced by principle components analysis (PCA) and multidimensional scaling and related to T. testudinum leaf total phosphorus content and phytoplankton biomass. Each zone (i.e., pelagic, epiphytic, and surface sediment community) was significantly dissimilar to each other (Global R = 0.65). Pelagic aminopeptidase and sum of carbon hydrolytic enzyme (esterase, peptidase, and $\\\\alpha$- and $\\\\beta$-glucosidase) activities ranged from 8 to 284 mg N m-2 day-1 and 113-1,671 mg C m-2 day -1, respectively, and were 1-3 orders of magnitude higher than epiphytic and sediment surface activities. Due to the phosphorus-limited nature of Florida Bay, alkaline phosphatase activity was similar between pelagic (51-710 mg P m-2 day-1) and sediment (77-224 mg P m -2 day-1) zones but lower in the epiphytes (1.1-5.2 mg P m-2 day-1). Total (and/or organic) C (111-311 g C m -2), N (9.4-27.2 g N m-2), and P (212-1,623 mg P m -2) content were the highest in the sediment surface and typically the lowest in the seagrass epiphytes, ranging from 0.6 to 8.7 g C m -2, 0.02-0.99 g N m-2, and 0.5-43.5 mg P m-2. Unlike nutrient content and enzyme activities, bacterial production was highest in the epiphytes (8.0-235.1 mg C m-2 day-1) and sediment surface (11.5-233.2 mg C m-2 day-1) and low in the water column (1.6-85.6 mg C m-2 day-1). At an assumed 50\\\\% bacterial growth efficiency, for example, extracellular enzyme hydrolysis could supply 1.8 and 69\\\\% of epiphytic and sediment bacteria carbon demand, respectively, while pelagic bacteria could fulfill their carbon demand completely by enzyme-hydrolyzable organic matter. Similarly, previously measured T. testudinum extracellular photosynthetic carbon exudation rates could not satisfy epiphytic and sediment surface bacterial carbon demand, suggesting that epiphytic algae and microphytobenthos might provide usable substrates to support high benthic bacterial production rates. PCA revealed that T. testudinum nutrient content was related positively to epiphytic nutrient content and carbon hydrolase activity in the sediment, but unrelated to pelagic variables. Phytoplankton biomass correlated positively with all pelagic components and sediment aminopeptidase activity but negatively with epiphytic alkaline phosphatase activity. In conclusion, seagrass production and nutrient content was unrelated to pelagic bacteria activity, but did influence extracellular enzyme hydrolysis at the sediment surface and in the epiphytes. This study suggests that seagrass-derived organic matter is of secondary importance in Florida Bay and that bacteria rely primarily on algal/cyanobacteria production. Pelagic bacteria seem coupled to phytoplankton, while the benthic community appears supported by epiphytic and/or microphytobenthos production.",18/07/2017 11:12,,,1,Topic
Ecological Applications,Density-dependent productivity depression in Pyrenean Bearded Vultures: Implications for conservation,"The main objective of many conservation programs is to increase population size by improving a species' survival and reproduction. However, density dependence of demographic parameters may confound this approach. In this study we used a 25-year data set on Bearded Vultures (Gypaetus barbatus) in Spain to evaluate the consequences of population growth on reproductive performance. Unlike its coefficient of variation (cv), mean annual productivity decreased with increasing population size. After controlling for territorial heterogeneity, productivity also was negatively related to the distance to the nearest conspecific breeding pair and to supplementary feeding points where floaters congregate. These results suggest that vulture populations are regulated as posited by the site-dependency hypothesis: as the population increases, average productivity decreases because progressively poorer territories are used. The combined effects of the shrinkage of territories and the presence of floaters around supplementary feeding points seem to be the main causes of productivity decline and are therefore the main determinants of territory quality. This has conservation implications, especially concerning the role of supplementary feeding points. Supplementary feeding should be reviewed given that its usefulness in reducing preadult mortality has not yet been proved and its effect on productivity, as our results suggest, is negative.",18/07/2017 11:12,,,,
Biological Conservation,"Distribution and status of the smooth-coated otter Lutra perspicillata in National Chambal Sanctuary, India","The distribution and relative density of smooth-coated otters Lutra perspicillata Geoffroy were studied along a 425 km stretch of Chambal river within the National Chambal Sanctuary, Central India, between 1988 and 1992. Sample sites of 1 km were surveyed every 5 km. The study revealed that the distribution of otters along the river is patchy and largely restricted to the upper reaches. During the 1988 survey, 36\\\\% of sites were found with otter signs but only 24\\\\% in 1992. Recent increases in disturbance along the river due to construction of road bridges and mining activities might have put pressure on the population. Most of the positive sites (66\\\\%) were found on rocky banks, followed by clay banks (19\\\\%), banks with shoreline vegetation and marsh (11\\\\%) and sandy banks (3\\\\%). During intensive monitoring of four radio-implanted otters, c. 78\\\\% locations were made on rocky banks. 19\\\\% on banks with shoreline vegetation and marsh, with <3\\\\% on sandy banks and <1\\\\% on clay banks, indicating greater preference for rocky banks owing to the greater availability of den sites. As a conservation measure, monitoring of the otter population should be done regularly and restrictions on cultivation, grazing and mining along the banks should be imposed within the Sanctuary limits, especially in the identified stretches.",18/07/2017 11:12,,,,
New Zealand Journal of Marine and Freshwater Research,"Effects of marine reserve protection at Goat Island, northern New Zealand","Abstract The possible effects that marine reserve protection has had on densities of some reef fish and large invertebrates were investigated near Leigh (north?eastern New Zealand) by a series of sampling programmes between 1976 and 1988. Fish counts at intervals during the 6 years after the initial establishment of the Cape Rodney to Okakari Point Marine Reserve in 1975 suggested that red moki (Cheilodactylus spectabilis) had increased in abundance whereas five others had remained at approximately constant densities. A comparison of data between 1978 and 1988 also revealed few consistent differences in fish abundances. A detailed survey in 1988 between sites inside and outside the marine reserve showed no clear patterns for sea urchins (Evechinus chloroticus) and several fish; trends for increased abundances in the marine reserve of fish such as snapper Pagrus (=Chrysophrys) auratus, blue cod (Parapercis colias), and red moki; a very striking increase in numbers of rock lobsters (Jasus edwardsii) within the marine reserve; and an obvious trend for increased size of snapper in the marine reserve. Most of the trends, however, were not statistically significant, owing largely to the low power of the tests used. Although it is now generally accepted that the creation of marine reserves such as the one at Leigh results in increased abundances of certain organisms, our study highlights the difficulty of rigorously demonstrating this, especially for patchily distributed and mobile fish species.$\\\\backslash$nAbstract The possible effects that marine reserve protection has had on densities of some reef fish and large invertebrates were investigated near Leigh (north?eastern New Zealand) by a series of sampling programmes between 1976 and 1988. Fish counts at intervals during the 6 years after the initial establishment of the Cape Rodney to Okakari Point Marine Reserve in 1975 suggested that red moki (Cheilodactylus spectabilis) had increased in abundance whereas five others had remained at approximately constant densities. A comparison of data between 1978 and 1988 also revealed few consistent differences in fish abundances. A detailed survey in 1988 between sites inside and outside the marine reserve showed no clear patterns for sea urchins (Evechinus chloroticus) and several fish; trends for increased abundances in the marine reserve of fish such as snapper Pagrus (=Chrysophrys) auratus, blue cod (Parapercis colias), and red moki; a very striking increase in numbers of rock lobsters (Jasus edwardsii) within the marine reserve; and an obvious trend for increased size of snapper in the marine reserve. Most of the trends, however, were not statistically significant, owing largely to the low power of the tests used. Although it is now generally accepted that the creation of marine reserves such as the one at Leigh results in increased abundances of certain organisms, our study highlights the difficulty of rigorously demonstrating this, especially for patchily distributed and mobile fish species.",18/07/2017 11:12,,,,
Oecologia,Mountain hare populations on islands: effects of predation by red fox,"On islands off the west coast of Sweden the density of mountain hares (Lepus timidus L.) is very high. One of the main predators on hares, the red fox (Vulpes vulpes L.), is only present during short periods. Data on hare density and predation by red fox and eagle owl (Bubo bubo (L.)) has been analyzed from five islands over several years. Winter mortality in years with low predation pressure was independent of hare density. But when red fox or eagle owl were present on islands (i.e., high predation pressure) winter mortality became density dependent. Thus, at low density, winter mortality did not increase through red fox predation. But at densities up to two hares/ha, predation pressure was increasing and could be limiting for these populations. At still higher hare density predation pressure became less intensive. The functional response for foxes preying on hares showed a type II or a sigmoid type III response pattern. In normal summers, the population increase due to reproduction was at least two-fold. When a fox was present there was instead a sharp decrease in hare numbers. Fox predation had a stronger effect in summer than in winter. By switching between islands and mainland areas from winter to summer, a fox can stabilize fluctuations in hare numbers on the islands. This is dependent on how often the ice permits a fox to reach an island and the lack of numerical response by predators.",18/07/2017 11:12,,,,
Environmental Biology of Fishes,"Population status of North American green sturgeon, Acipenser medirostris","North American green sturgeon, Acipenser medirostris, was petitioned for listing under the Endangered Species Act (ESA). The two questions that need to be answered when considering an ESA listing are; (1) Is the entity a species under the ESA and if so (2) is the \\u201cspecies\\u201d in danger of extinction or likely to become an endangered species in the foreseeable future throughout all or a significant portion of its range? Green sturgeon genetic analyses showed strong differentiation between northern and southern populations, and therefore, the species was divided into Northern and Southern Distinct Population Segments (DPSs). The Northern DPS includes populations in the Rogue, Klamath-Trinity, and Eel rivers, while the Southern DPS only includes a single population in the Sacramento River. The principal risk factors for green sturgeon include loss of spawning habitat, harvest, and entrainment. The Northern DPS is not considered to be in danger of extinction or likely to become an endangered species in the foreseeable future. The loss of spawning habitat is not large enough to threaten this DPS, although the Eel River has been severely impacted by sedimentation due to poor land use practices and floods. The two main spawning populations in the Rogue and Klamath-Trinity rivers occupy separate basins reducing the potential for loss of the DPS through catastrophic events. Harvest has been substantially reduced and green sturgeon in this DPS do not face substantial entrainment loss. However there are significant concerns due to lack of information, flow and temperature issues, and habitat degradation. The Southern DPS is considered likely to become an endangered species in the foreseeable future. Green sturgeon in this DPS are concentrated into one spawning area outside of their natural habitat in the Sacramento River, making them vulnerable to catastrophic extinction. Green sturgeon spawning areas have been lost from the area above Shasta Dam on the Sacramento River and Oroville Dam on the Feather River. Entrainment of individuals into water diversion projects is an additional source of risk, and the large decline in numbers of green sturgeon entrained since 1986 causes additional concern.",18/07/2017 11:12,,,,
Proceedings. Biological sciences / The Royal Society,Rapid population decline in red knots: fitness consequences of decreased refuelling rates and late arrival in Delaware Bay.,"Most populations of migrant shorebirds around the world are in serious decline, suggesting that vital condition-dependent rates such as fecundity and annual survival are being affected globally. A striking example is the red knot (Calidris canutus rufa) population wintering in Tierra del Fuego, which undertakes marathon 30,000 km hemispheric migrations annually. In spring, migrant birds forage voraciously on horseshoe crab eggs in Delaware Bay in the eastern USA before departing to breed in Arctic polar deserts. From 1997 to 2002 an increasing proportion of knots failed to reach threshold departure masses of 180-200 g, possibly because of later arrival in the Bay and food shortage from concurrent over-harvesting of crabs. Reduced nutrient storage, especially in late-arriving birds, possibly combined with reduced sizes of intestine and liver during refuelling, had severe fitness consequences for adult survival and recruitment of young in 2000-2002. From 1997 to 2002 known survivors in Delaware Bay were heavier at initial capture than birds never seen again, annual survival of adults decreased by 37\\\\% between May 2000 and May 2001, and the number of second-year birds in wintering flocks declined by 47\\\\%. Population size in Tierra del Fuego declined alarmingly from 51,000 to 27,000 in 2000-2002, seriously threatening the viability of this subspecies. Demographic modelling predicts imminent endangerment and an increased risk of extinction of the subspecies without urgent risk-averse management.",18/07/2017 11:12,,,,
