Abstract,Authors,Date_downloaded,Journal,PMID,Title,Year
"Insect outbreaks are major natural disturbance events that affect communities of forest birds, either directly by affecting the food supply or indirectly by changing the vegetation composition of forest canopies. An examination of correlations between measures of bird and insect abundance across different spatial scales and over varying time lag effects may provide insight into underlying mechanisms. We developed a hierarchical Bayesian model to assess correlations between counts of eight warbler species from the Breeding Bird Survey in eastern Canada, 1966 to 2009, with the presence of spruce budworm (Choristoneura fumiferana Clem.) at immediate local scales and time-lagged regional scales, as measured by extent of defoliation on host tree species. Budworm-associated species Cape May warbler (Setophaga tigrina), bay-breasted warbler (Setophaga castanea), and Tennessee warbler (Oreothlypis peregrina) responded strongly and positively to both local and regional effects. In contrast, non-budworm-associated species, Blackburnian warbler (Setophaga fusca), magnolia warbler (Setophaga magnolia), Canada warbler (Cardellina canadensis), black-throated blue warbler (Setophaga caerulescens), and black-throated green warbler (Setophaga virens), only responded to regional effects in a manner that varied across eastern Canada. The complex responses by forest birds to insect outbreaks involve both increased numerical responses to food supply and to longer term responses to changes in forest structure and composition. These effects can vary across spatial scales and be captured in hierarchical population models, which can serve to disentangle common trends from data when examining drivers of population dynamics like forest management or climate change.","MC Drever, AC Smith, LA Venier, DJH Sleep, DA MacLean",2018-09-03,Ecology and evolution,30151153,Cross-scale effects of spruce budworm outbreaks on boreal warblers in eastern Canada.,2018
"In recent decades large fires have affected communities throughout central and southern Chile with great social and ecological consequences. Despite this high fire activity, the controls and drivers and the spatiotemporal pattern of fires are not well understood. To identify the large-scale trends and drivers of recent fire activity across six regions in south-central Chile (~32-40° S Latitude) we evaluated MODIS satellite-derived fire detections and compared this data with Chilean Forest Service records for the period 2001-2017. MODIS burned area estimates provide a spatially and temporally comprehensive record of fire activity across an important bioclimatic transition zone between dry Mediterranean shrublands/sclerophyllous forests and wetter deciduous-broadleaf evergreen forests. Results suggest fire activity was highly variable in any given year, with no statistically significant trend in the number of fires or mean annual area burned. Evaluation of the variables associated with spatiotemporal patterns of fire for the 2001-2017 period indicate vegetation type, biophysical conditions (e.g., elevation, slope), mean annual and seasonal climatic conditions (e.g., precipitation) and mean population density have the greatest influence on the probability of fire occurrence and burned area for any given year. Both the number of fires and annual area burned were greatest in warmer, biomass-rich lowland Bío-Bío and Araucanía regions. Resource selection analyses indicate fire 'preferentially' occurs in exotic plantation forests, mixed native-exotic forests, native sclerophyll forests, pasture lands and matorral, vegetation types that all provide abundant, flammable and connected biomass for burning. Structurally and compositionally homogenous exotic plantation forests may promote fire spread greater than native deciduous-Nothofagaceae forests which were once widespread in the southern parts of the study area. In the future, the coincidence of warmer and drier conditions in landscapes dominated by flammable and fuel-rich forest plantations and mixed native-exotic and sclerophyll forests are likely to further promote large fires in south-central Chile.","DB McWethy, A Pauchard, RA García, A Holz, ME González, TT Veblen, J Stahl, B Currey",2018-09-03,PloS one,30133449,Landscape drivers of recent fire activity (2001-2017) in south-central Chile.,2018
"Human-altered ecological disturbances may challenge system resilience and disrupt biological legacies maintaining ecosystem recovery. Yet, the extent to which novel regimes challenge these legacies varies. This may be partially explained by differences in the vulnerability of life history strategies to disturbance characteristics. In the fire-prone, resprouter-dominated coast redwood forests of California, the introduced disease sudden oak death (SOD) alters fuel profiles, fire behavior, and aboveground tree mortality; however, this system is dominated by resprouting trees that are well-adapted to aboveground damage, and belowground survival of individuals may represent the principal biological legacy connecting pre- and post-fire communities. Much of the research exploring altered disturbances and forest recovery has focused on legacies determined by seed dispersal and aboveground survival of adults. In this work, we use pre- and post-fire data from a long-term monitoring network to assess the impacts of novel disturbance interactions between wildfire and SOD on the belowground survival and vegetative reproduction of resprouters. We found that increasing accumulation of coarse woody fuels from SOD-killed hosts decreased the likelihood of belowground survival for resprouting tanoak trees, but not for redwood. Tanoaks' belowground survival was negatively related to substrate burn severity, which increased with volume of surface fuels from hosts, suggesting heat damage as a possible mechanism influencing altered patterns of resprouter mortality. These impacts increased with decreasing tree size. By contrast, redwood and tanoak trees that survived both disturbances resprouted more vigorously, regardless of post-fire infection by P. ramorum, and generated similar recruitment at the stand-level. Our results demonstrate that disease-fire interactions can narrow recruitment filters for resprouters, which could impact long-term population and demographic structure; yet, compounded disturbance may also reduce stand density and disease pressure, allowing competitive release of survivors. Resprouters displayed vulnerabilities to altered disturbance, but our research suggests that legacies maintained by resprouting may be more resilient to certain compounded disturbances, compared to seed-obligate species, because of high rates of individual survival under increasingly severe events. These trends have important implications for conservation of declining tree species in SOD-impacted forests, as well as predictions of human impacts in other disturbance-prone systems where resprouters are present. This article is protected by copyright. All rights reserved.","AB Simler, MR Metz, KM Frangioso, RK Meentemeyer, DM Rizzo",2018-09-03,Ecology,30129261,Novel disturbance interactions between fire and an emerging disease impact survival and growth of resprouting trees.,2018
"Infrastructure development, specifically road paving, contributes socio-economic benefits to society worldwide. However, detrimental environmental effects of road paving have been documented, most notably increased deforestation. Beyond deforestation, we hypothesize that road paving introduces ""unseen"" regional scale effects on forests, due to changes to vegetation dynamics. To test this hypothesis, we focus on the tri-national frontier in the southwestern Amazon that has been subject to construction of the Inter-Oceanic Highway (IOH) between 1987 and 2010. We use a long-term remotely sensed vegetation index as a proxy for vegetation dynamics and combine these with field-based socio-ecological data and biophysical data from global datasets. We find 4 areas of shared vegetation dynamics associated with increasing extent of road paving. Applying Dynamic Factor Analysis, an exploratory dimension-reduction time series analysis technique, we identify common trends and covariates in each area. Common trends, indicating underlying unexplained effects, become relatively less important as paving increases, and covariates increase in importance. The common trends are dominated by lower frequency signals possibly embodying long-term climate variability. Human-related covariates become more important in explaining vegetation dynamics as road paving extent increases, particularly family density and travel time to market. Natural covariates such as minimum temperature and soil moisture become less important. The change in vegetation dynamics identified in this study indicates a possible change in ecosystem services along the disturbance gradient. While this study does not include all potential factors controlling dynamics and disturbance of vegetation in the region, it offers important insights for management and mitigation of effects of road paving projects. Infrastructure planning initiatives should make provisions for more detailed vegetation monitoring after road completion, with a broader focus than just deforestation. The study highlights the need to mitigate population-driven pressures on vegetation like family density and access to new markets.","G Klarenberg, R Muñoz-Carpena, MA Campo-Bescós, SG Perz",2018-09-03,Heliyon,30112456,Highway paving in the southwestern Amazon alters long-term trends and drivers of regional vegetation dynamics.,2018
"Habitat loss and hunting are major threats to the long-term survival of the viable orangutan population in Batang Toru. East Batang Toru Forest Block (EBTFB) is the most threatened area due to low forest cover and high encroachment. Based on a preliminary survey in 2008, Hopong forest which is located in EBTFB, had the highest orangutan density (0.7 ind/km>2>). However illegal logging and hunting of protected species were occuring in this unprotected forest. Since this location has been gazetted as unprotected forest from the first survey until this study was conducted, it is important to assess orangutans population trends. This study aims to provide an updated density of orangutan in Hopong forest. The study included the location of the original survey but covered a wider overall area. The line transect method was used to record orangutan nests, ficus and trees bearing fruits. A quadrat method was used to record vegetation. The encounter rate of orangutan declined from 0.7 ind/km>2> to 0.4 ind/km>2> between 2008 and 2015. Forest cover has also changed in the seven years between surveys and this has influenced orangutan and orangutan nest encounter rates in Hopong. Since unprotected forest is at more risk in comparison with protected forest, allocation status of the Hopong forest is critical to reduce the threats it faces.","A Nasution, D Perwitasari-Farajallah, SS Utami-Atmoko",2018-09-03,Tropical life sciences research,30112142,Declining Orangutans Population in the Unprotected Forest of Batang Toru.,2018
"OBJECTIVE Spine surgery is less common in children than adults. These surgeries, like all others, are subject to complications such as bleeding, infection, and CSF leak. The rate of incidental durotomy in the pediatric population, and its associated complications, has scarcely been reported in the literature. METHODS This is a retrospective chart review of all pediatric patients operated on at Wake Forest Baptist Health from 2012 to 2017 who underwent spine surgeries. The authors excluded any procedures with intended durotomy, such as tethered cord release or spinal cord tumor resection. RESULTS From 2012 to 2017, 318 pediatric patients underwent surgery for a variety of indications, including adolescent idiopathic scoliosis (51.9%), neuromuscular scoliosis (27.4%), thoracolumbar fracture (2.83%), and other non-fusion-related indications (3.77%). Of these patients, the average age was 14.1 years, and 71.0% were female. There were 6 total incidental durotomies, resulting in an overall incidence of 1.9%. The incidence was 18.5% in revision operations, compared to 0.34% for index surgeries. Comparison of the revision cohort to the durotomy cohort revealed a trend toward increased length of stay, operative time, and blood loss; however, the trends were not statistically significant. The pedicle probe was implicated in 3 cases and the exact cause was not ascertained in the remaining 3 cases. The 3 durotomies caused by pedicle probe were treated with bone wax; 1 was treated with dry Gelfoam application and 2 were treated with primary repair. Only 1 patient had a persistent leak postoperatively that eventually required wound revision. CONCLUSIONS Incidental durotomy is an uncommon occurrence in the pediatric spinal surgery population. The majority occurred during placement of pedicle screws, and they were easily treated with bone wax at the time of surgery. Awareness of the incidence, predisposing factors, and treatment options is important in preventing complications and disability.","JL West, M Arnel, AE Palma, J Frino, AK Powers, DE Couture",2018-09-03,Journal of neurosurgery. Pediatrics,30074446,Incidental durotomy in the pediatric spine population.,2018
"The Malaria Frontier Hypothesis (MFH) is the current model for predicting malaria emergence in the Brazilian Amazon. It has two important dimensions, 'settlement time' and 'malaria incidence', and its prediction are: malaria incidence peaks five years after the initiation of human settlement and declines towards zero after an estimated 10 years. Although MFH is currently accepted, it has been challenged recently. Herein, we described a novel method for estimating settlement timeline by using remote sensing technology integrated in an open-software geographic information system. Surprisingly, we found that of the majority of the rural settlements with high malaria incidence are more than 10 years old.","RC Ilacqua, LSM Chaves, ES Bergo, JE Conn, MAM Sallum, GZ Laporta",2018-09-03,Memorias do Instituto Oswaldo Cruz,30043836,A method for estimating the deforestation timeline in rural settlements in a scenario of malaria transmission in frontier expansion in the Amazon Region.,2018
"We provide updated spatial distribution and inventory data for on-road NH3 emissions for the continental United States (U.S.) On-road NH3 emissions were determined from on-road CO2 emissions data and empirical NH3:CO2 vehicle emissions ratios. Emissions of NH3 from on-road sources in urbanized regions are typically 0.1-1.3tkm>-2>yr>-1> while NH3 emissions in agricultural regions generally range from 0.4-5.5tkm>-2>yr>-1>, with a few hotspots as high as 5.5-11.2tkm>-2>yr>-1>. Counties with higher vehicle NH3 emissions than from agriculture include 40% of the U.S.","ME Fenn, A Bytnerowicz, SL Schilling, DM Vallano, ES Zavaleta, SB Weiss, C Morozumi, LH Geiser, K Hanks",2018-09-03,The Science of the total environment,29996462,On-road emissions of ammonia: An underappreciated source of atmospheric nitrogen deposition.,2018
"Breast cancer survivors frequently report sleep problems, but little research has studied sleep patterns longitudinally. We examined trends in sleep quality and duration up to 15 years before and 20 years after a diagnosis of breast cancer, over time among postmenopausal women participating in the Women's Health Initiative (WHI). We included 12,098 participants who developed invasive breast cancer after study enrollment. A linear mixed-effects model was used to determine whether the time trend in sleep quality, as measured by the WHI Insomnia Rating Scale (WHIIRS), a measure of perceived insomnia symptoms from the past 4 weeks, changed following a cancer diagnosis. To examine sleep duration, we fit a logistic regression model with random effects for both short (<6 h) and long (≥9 h) sleep. In addition, we studied the association between depressive symptoms and changes in WHIIRS and sleep duration. There was a significantly slower increase in the trend of WHIIRS after diagnosis (β = 0.06; p = 0.03), but there were non-significant increases in the trend of the probability of short or long sleep after diagnosis. The probability of depressive symptoms significantly decreased, though the decrease was more pronounced after diagnosis (p < 0.01). Trends in WHIIRS worsened at a relatively slower rate following diagnosis and lower depression rates may explain the slower worsening in WHIIRS. Our findings suggest that over a long period of time, breast cancer diagnosis does not adversely affect sleep quality and duration in postmenopausal women compared to sleep pre-diagnosis, yet both sleep quality and duration continue to worsen over time.","CM Beverly, MJ Naughton, ML Pennell, RE Foraker, G Young, L Hale, EMC Feliciano, K Pan, TE Crane, SC Danhauer, ED Paskett",2018-09-03,NPJ breast cancer,29978034,Change in longitudinal trends in sleep quality and duration following breast cancer diagnosis: results from the Women's Health Initiative.,2018
"The study showed that in African-American men with type 2 diabetes mellitus (T2D), vertebral volumetric bone mineral density (vBMD) predicts all-cause mortality, independent of other risk factors for death.","L Lenchik, TC Register, GB Russell, J Xu, SC Smith, DW Bowden, J Divers, BI Freedman",2018-09-03,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,29855664,Volumetric bone mineral density of the spine predicts mortality in African-American men with type 2 diabetes.,2018
