,Author,Title,Abstract,Journal,,,,,,,
0,"Feh, C and Munkhtuya, B and Enkhbold, S and Sukhbaatar, T","Ecology and social structure of the Gobi khulan Equus hemionus subsp. in the Gobi B National Park, Mongolia.",,Biological Conservation,,,,,,,
1,"Hrabar, Halszka and du Toit, Johan T","Dynamics of a protected black rhino (Diceros bicornis) population: Pilanesberg National Park, South Africa","Achieving maximum productivity in remnant populations of black rhinoceros is crucial to the persistence of this species. It was, therefore, investigated whether the black rhino population of Pilanesberg National Park had become regulated by resource limitation 22 years after introduction in 1979. Inter-calving intervals (which are not restricted to yearly time increments, due to asynchronous reproduction) decreased with an increase in rainfall, while the percentage of male calves born increased with increasing rainfall. The percentage of reproductive cows achieving maternal success increased with increasing density until 0.085 rhinos/km2, after which it decreased. This positive relationship at low densities is largely due to changes in the female age structure and the adult female/male ratio. The age at first calving tended to increase with increasing density, while mortality was not related to rainfall or density. It is concluded that the Pilanesberg black rhino population is showing the first signs of density dependence. It is proposed that black rhino conservators should monitor the percentage of cows achieving maternal success to detect early indications of density dependent resource limitation and use this as a criteria for decisions regarding metapopulation management.",Animal Conservation,,,,,,,
2,"Preen, A","Distribution, abundance and conservation status of dugongs and dolphins in the southern and western Arabian Gulf",,Biological Conservation,,,,,,,
3,"Trathan, Philip N and Fretwell, Peter T and Stonehouse, Bernard",First Recorded Loss of an Emperor Penguin Colony in the Recent Period of Antarctic Regional Warming: Implications for Other Colonies,"<p>In 1948, a small colony of emperor penguins <italic>Aptenodytes forsteri</italic> was discovered breeding on Emperor Island (67° 51′ 52″ S, 68° 42′ 20″ W), in the Dion Islands, close to the West Antarctic Peninsula (Stonehouse 1952). When discovered, the colony comprised approximately 150 breeding pairs; these numbers were maintained until 1970, after which time the colony showed a continuous decline. By 1999 there were fewer than 20 pairs, and in 2009 high-resolution aerial photography revealed no remaining trace of the colony. Here we relate the decline and loss of the Emperor Island colony to a well-documented rise in local mean annual air temperature and coincident decline in seasonal sea ice duration. The loss of this colony provides empirical support for recent studies (Barbraud \&amp; Weimerskirch 2001; Jenouvrier et al 2005, 2009; Ainley et al 2010; Barber-Meyer et al 2005) that have highlighted the vulnerability of emperor penguins to changes in sea ice duration and distribution. These studies suggest that continued climate change is likely to impact upon future breeding success and colony viability for this species. Furthermore, a recent circumpolar study by Fretwell \&amp; Trathan (2009) highlighted those Antarctic coastal regions where colonies appear most vulnerable to such changes. Here we examine which other colonies might be at risk, discussing various ecological factors, some previously unexplored, that may also contribute to future declines. The implications of this are important for future modelling work and for understanding which colonies actually are most vulnerable.</p>",PLoS ONE,,,,,,,
4,"Dulvy, N K and Metcalfe, J D and Glanville, J and Pawson, M G and Reynolds, J C","Fishery Stability, Local Extinctions, and Shifts in Community Structure in Skates",,Conservation Biology,,,,,,,
5,"Dunham, Kevin M and Robertson, E F and Swanepoel, Clive M",Population decline of tsessebe antelope (Damaliscus lunatus lunatus) on a mixed cattle and wildlife ranch in Zimbabwe,,Biological Conservation,,,,,,,
6,"Schaub, M and Aebischer, A and Gimenez, O and Berger, S and Arlettaz, R",Massive immigration balances high anthropogenic mortality in a stable eagle owl population: Lessons for conservation,,Biological Conservation,,,,,,,
7,"Ferretti, Francesco and Worm, Boris and Britten, Gregory L and Heithaus, Michael R and Lotze, Heike K",Patterns and ecosystem consequences of shark declines in the ocean,"Whereas many land predators disappeared before their ecological roles were studied, the decline of marine apex predators is still unfolding. Large sharks in particular have experienced rapid declines over the last decades. In this study, we review the documented changes in exploited elasmobranch communities in coastal, demersal, and pelagic habitats, and synthesize the effects of sharks on their prey and wider communities. We show that the high natural diversity and abundance of sharks is vulnerable to even light fishing pressure. The decline of large predatory sharks reduces natural mortality in a range of prey, contributing to changes in abundance, distribution, and behaviour of small elasmobranchs, marine mammals, and sea turtles that have few other predators. Through direct predation and behavioural modifications, top-down effects of sharks have led to cascading changes in some coastal ecosystems. In demersal and pelagic communities, there is increasing evidence of mesopredator release, but cascading effects are more hypothetical. Here, fishing pressure on mesopredators may mask or even reverse some ecosystem effects. In conclusion, large sharks can exert strong top-down forces with the potential to shape marine communities over large spatial and temporal scales. Yet more empirical evidence is needed to test the generality of these effects throughout the ocean.",Ecology Letters,,,,,,,
8,"Valle, C and Bayle-Sempere, J T",Effects of a marine protected area on fish assemblage associated with Posidonia oceanica seagrass beds: temporal and depth variations,"This study describes the changes in the structure of the fish assemblage associated with Posidonia oceanica meadows after the establishment of a marine protected area. The survey of the ichthyofauna in the Marine Reserve of Tabarca Island was carried out by visual censuses with SCUBA. Inside and outside the reserve was sampled six times at random from summer 1997 to summer 1999 and in three different depths (1, 5 and 15 m) by applying transects of 150 · 5 m over the P. oceanica meadows. The data were analyzed with multivariant methodologies and with analysis of variance. The most represented families in number of species were the sparids and labrids. Mean abundance, biomass and number of species were higher inside the reserve in all studied periods. Inside the marine protected area, these variables decreased as depth increased; outside the protected area the pattern was the opposite, reaching the maximum at 15 m.",Journal of Applied Ichthyology,,,,,,,
9,"Green, A J and Fox, A D and Hilton, G and HUGHES, B JOHN. and Yarar, M","Threats to Burdur Lake ecosystem, Turkey and its waterbirds, particularly the white-headed duck Oxyura leucocephala",,Biological Conservation,,,,,,,
