,Title,Publication_type,Journal,Abstract
1,Bee diversity along a disturbance gradient in tropical lowland forests of south-east Asia,Scientific article,Journal of Applied Ecology,"1. Bees are believed to be dominant pollen vectors in tropical forests, yet studies specific
to bees in south-east Asia are rare. Regeneration and restoration of the rapidly disappearing
lowland forests of this region are reliant on bees, thus there is an urgent need
for forest bee data at the community level.
2. Bee communities of eight forested sites in Johor (Malaysia) and Singapore were
surveyed three times each from February to August 1999 at the below-canopy level.
These sites ranged from relatively undisturbed primary lowland dipterocarp forests to
late secondary forests and exotic forests, including an oil palm plantation. We attempted
to elucidate the environmental factors that correlated with the distribution of bees.
3. Bee abundance, in particular that of Apidae, was significantly higher in larger
primary forests than other types of forests. However, bee species richness was higher in
disturbed forests.
4. The distribution of bees was apparently influenced by variables closely related to
forest disturbance and resource abundance, such as the density of big trees (diameter at
breast height 30–40 cm), temperature and flowering intensity of trees and shrubs.
5. More stingless bees ( Trigona spp.) were found where trees were larger and ambient
conditions more constant but flowering intensities lower.
6. The differences between the bee communities in forests of urban Singapore and primary
forests in Johor may indicate that ecological processes in the forests of Singapore, in
particular pollination, may be changing. However, pollination may not be totally intact
in the primary forests surveyed, as their bee communities seemed to be depauperate.
7. The role of important pollinators, especially bees, for the long-term survival of tropical
lowland forests is poorly understood. Our study indicates that we urgently need more
thorough understanding of pollination and pollinators, as some bee species appear to
be disappearing from disturbed tropical lowland forests."
2,"Grazing intensity and the diversity of grasshoppers, butterflies, and trap-nesting bees and wasps",Scientific article,Conservation Biology,"The maintenance of grasslands as distinct habitats depends on regular management, usually
through grazing or mowing, but their species diversity is known to decline with increasing management intensity.
The reduction of management intensity can be a useful tool for the long-term conservation of the biological
diversity of grasslands. We analyzed floral and faunal diversity on intensively and extensively (unintensively)
grazed pastures and on 5- to 10-year-old ungrazed grasslands in northern Germany. Each of the
three grassland habitats differing in grazing intensity was replicated six times. We related diverse taxa such
as grasshoppers, butterfly adults and lepidopteran larvae, and trap-nesting solitary bees and wasps to vegetation
structure. There was an increase of species richness and abundance from pastures to ungrazed grasslands.
The percentage of parasitism of the most abundant trap-nesting species, the digger-wasp (
Trypoxylon
figulus
), was also higher on ungrazed grasslands. Decreased grazing on pastures enhanced species richness
for adult butterflies only, whereas the abundance of adult butterflies, solitary bees and wasps, and their natural
enemies increased. Although the differences in insect diversity between pastures and ungrazed grassland
could be attributed to a greater vegetation height and heterogeneity (bottom-up effects) on ungrazed areas,
the differences between intensively and extensively grazed pastures could not be explained by changes in vegetation
characteristics. Hence, intensive grazing appeared to affect the insect communities through the disruption
of plant-insect interactions. A mosaic of extensively grazed grassland and grassland left ungrazed for
a few years may be a good means by which to maintain biodiversity and the strength of trophic interactions."
3,Abundance and Diversity of Euglossine Bees in the Fragmented Landscape of the Brazilian Atlantic Forest,Scientific article,Biotropica,"Male euglossine bees were sampled with chemical baits every two months from September 1997 to July 1999 at nine
sites in the Desengano mountain range, Rio de Janeiro State, Brazil. Four sites were located in Atlantic Forest mature
second growth, two sites in disturbed forest, and three sites in forest fragments
of 200, 156, and 14 ha, respectively.
We collected 3653 male euglossine bees from at least 21
species. Analyses of variance indicated no differences
among
the three habitat types for total number of bees, and 5 of the 6 dominant species. Bootstrapping
indicated significant
variation in
species richness and
diversity for some sites, but there was no clear indication of differences among
habitats. Similarity as measured with the Morisita-Horn index was inversely related to distance between sites, but
relatively high
for most site combinations. These results suggest that the
euglossine bee
community in the three
habitats was essentially the same. Although some species were associated with each habitat type, most appeared to
respond to
temporal local conditions. Our results do not support the hypothesis that forest fragmentation
or habitat
alteration reduces abundance and diversity of
euglossine bees"
4,Ecological specialization and susceptibility to disturbance: Conjectures and Refutations,Scientific article,The American Naturalist,"Niche breadth of species has been hypothesized to be
associated with species responses to disturbance. Disturbance is usually believed to affect specialists negatively, while generalists are believed to benefit from disturbance; we call this the specializationdisturbance hypothesis. We also propose an associated hypothesis
(the specialization-asymmetry-disturbance hypothesis) under which
both specialization and asymmetry of interactions would explain species responses to disturbance. We test these hypotheses using data
from a plant-pollinator system that has been grazed by cattle (i.e.,
a biological disturbance) in southern Argentina. We quantified specialization in species interactions, specialization of interaction partners, and species responses to disturbance. We found no relationship
between degree of specialization and a species response to disturbance. We also found that plant-pollinator interactions tend to be
asymmetric in this system; there was no relationship between the
degree of specialization of a given species and the degree of specialization of its interaction partners. However, asymmetry of interactions did not explain the variability in species responses to disturbance. Thus, both hypotheses are rejected by our data. Possible
reasons include failure to assess crucial resources, substantial direct
effects of disturbance, inaccurate measures of specialization, difficulty
detecting highly nonlinear relationships, and limitations of a nonexperimental approach. Or, in fact, there may be no relationship between specialization and response to disturbance."
5,Use of genetic markers to quantify bumblebee foraging range and nest density,Scientific article,Oikos,"Bumblebees (Hymenoptera: Apidae) are important pollinators of crops and
wildflowers, but many species have suffered dramatic declines in recent decades.
Strategies for their conservation require knowledge of their foraging range and nesting
density, both of which are poorly understood. Previous studies have mainly focussed on
the cosmopolitan bumblebee species Bombus terrestris, and implicitly assume this to be
representative of other species. Here we use a landscape-scale microsatellite study to
estimate the foraging range and nesting density of two ecologically dissimilar species,
B. terrestris and B. pascuorum. Workers were sampled along a 10 km linear transect
and 8 -9 polymorphic microsatellite markers used to identify putative sisters. We
provide the first published estimates of the number of colonies using a circle of radius
50 m in an agricultural landscape: 20.4 for B. terrestris and 54.7 for B. pascuorum.
Estimates of nest density differed significantly between the two species: 13 km
for B. terrestris and 193 km^2
for B. pascuorum. Foraging ranges also differed
substantially, with B. pascuorum foraging over distances less than 312 m and
B. terrestris less than 625 m. Clearly bumblebee species differ greatly in fundamental
aspects of their ecology. This has significant implications for the development of
conservation strategies for rare bumblebees and isolated plant populations, for the
management of bumblebees as pollinators, and for predicting patterns of gene flow
from genetically modified plants."
6,Wild bees in agroecosystems and semi-natural landscapes. 1997-2000 collection period in Italy,Scientific article,Bulletin of Insectology,"The diversity of the Italian bee fauna was investigated over a four-year period at 52 sites in 8 italian regions of Italy (Piedmont, Friuli-Venezia Giulia, Emilia-Romagna, Tuscany, Umbria, Molise, Sicily, and Sardinia). A previously agreed sampling methodology was used, and the bee collection protocol was based upon the transept method. The sampling sites were chosen within an agricultural landscape. An account on data processing concerning 8,674 captured specimens is presented. Over one third of the known Italian fauna, i.e. 355 species, were recorded. Three species, Hylaeus kahri Förster, 1871, Förster, 1871, Lasioglossum subaenescens (Pérez, 1896) and Osmia niveibarbis Pérez, 1902, are new records, and 45 species showed an enlarged distribution area. Seventyone percent of the bee species collected in the Italian agroecosystems and semi-natural landscapes are distributed in the Palearctic ecozone. The remaining 29% of the bee species are present in Europe: some species mostly occur in Central Europe, whereas others occur also in the Mediterranean countries. The 74.6% (total No. 265) of the 355 censused species was present in agroecosystems, and 81.4% (total No. 289) in semi-natural landscapes. The bee fauna composition varies along the North-South direction of the peninsula, with Halictidae being more abundant in Northern Italy and Anthophoridae more abundant in the South."
7,Rain forest provides pollinating beetles for Atemoya crops,Scientific article,Horticultural Entomology,"Small beetles, usually species of Nitidulidae, are the natural pollinators of atemoya
(Annona squamosa L. x A. cherimola Mill. hybrids; custard apple) ßowers but commercial atemoya
growers often need to carry out labor-intensive hand pollination to produce enough high-quality fruit.
Because Australian rain forest has plant species in the same family as atemoya (Annonaceae) and
because many rain forest plants are beetle pollinated, we set out to discover whether tropical rain
forest in far north Queensland harbors beetles that could provide this ecosystem service for atemoya
crops. Orchards were chosen along a gradient of increasing distance from tropical rain forest (0.1Ð24
km). We sampled 100 ßowers from each of nine atemoya orchards and determined the identity and
abundance of insects within each ßower. To assess the amount of pollination due to insects, we bagged
six ßowers per tree and left another six ßowers per tree accessible to insects on 10 trees at an orchard
near rain forest. Results indicated that atemoya orchards0.5 km from rain forest were predominantly
visited by Þve previously unrecognized native beetle pollinators that are likely to originate in tropical
rain forest. These native beetles occurred reliably enough in crops near rain forest to have a positive
effect on the quantity of fruit produced but their contribution was not great enough to satisfy
commercial production needs. Management changes, aimed at increasing native beetle abundance in
crops, are required before these beetles could eliminate the need for growers to hand pollinate
atemoya ßowers. Appreciation of the value of this resource is necessary if we are to develop landscapes
that both conserve native biodiversity and support agricultural production."
9,Ecological and seasonal patterns in the diversity of a species-rich bee assemblage (Hymenoptera: Apoidea: Apiformes),Scientific article,European Journal of Entomology,"Meaningful ecological studies on insect communities require sampling protocols that take into consideration temporal
fluctuations in abundance and species composition. Bees with their specific requirements for nutrition and nesting are good indicators of landscape structure and overall biodiversity, provided the ecological and seasonal patterns they show are taken into consideration. The present two year study traced the ecological and seasonal patterns on 2 km2 of a southern slope in the Swiss Alps, ranging from 1150 to 1550 m above sea level. The study area consisted mainly of grassland under different regimes, mostly hay meadows and pastures. By direct netting at five monthly intervals in each year a total of 247 bee species were recorded. This comprehensive sampling scheme identified one of the most diverse bee faunas in Central and Northern Europe, consisting of a statistically estimated 280 species. Most species were rare with 14.6% represented by a single individual. Ecological analysis of the bee community showed that the primitively eusocial species were over represented among the abundant species and the parasitic species among the rarest. Both abundance and species richness were subject to marked seasonal variations. A substantial turnover in species composition as well as changes in ecological patterns were observed. More than 25% of all species were recorded in only one of the two years, in particular many of the parasitic species. Singletons accounted for a higher proportion when individual years rather than the pooled data were analysed. All these findings underline the importance of season-long sampling and sampling over more than one year if bees are to be used as indicators in ecological and studies on bee communities."
10,Farming practices influence wild pollinator populations on squash and pumpkin,Scientific article,Field and Forage Crops,"Recent declines in managed honey bee, Apis mellifera L., colonies have increased
interest in the current and potential contribution of wild bee populations to the pollination of
agricultural crops. Because wild bees often live in agricultural Þelds, their population density and
contribution to crop pollination may be inßuenced by farming practices, especially those used to
reduce the populations of other insects. We took a census of pollinators of squash and pumpkin at 25
farms in Virginia, West Virginia, and Maryland to see whether pollinator abundance was related to
farming practices. The main pollinators were Peponapis pruinosa Say; honey bees, and bumble bees
(Bombus spp.). The squash bee was the most abundant pollinator on squash and pumpkin, occurring
at 23 of 25 farms in population densities that were commonly several times higher than that of other
pollinators. Squash bee density was related to tillage practices: no-tillage farms hosted three times as
great a density of squash bees as tilled farms. Pollinator density was not related to pesticide use. Honey
bee density on squash and pumpkin was not related to the presence of managed honey bee colonies
on farms. Farms with colonies did not have more honey bees per ßower than farms that did not keep
honey bees, probably reßecting the lack of afÞnity of honey bees for these crops. Future research
should examine the economic impacts of managing farms in ways that promote pollinators, particularly
pollinators of crops that are not well served by managed honey bee colonies."
11,Proximity to rainforest enhances pollination and fruit set in orchards,Scientific article,Journal of Applied Ecology,"1.
Tropical rainforests are potential reservoirs of insects that could enhance crop pollination,
but only a few instances of the provision of such services by tropical rainforest
insects have been reported. Our field study aimed to determine the relative importance
of such insects to the pollination of macadamia
Macadamia integrifolia
and longan
Dimocarpus longan
crops on the Atherton Tableland, north Queensland, Australia.
2.
We quantified initial fruit set, a measure of pollination success, in treatments
designed to assess the relative importance of the possible modes of pollination. The
treatments were applied in orchards that varied in distance from rainforest, in order to
compare the effects of the contrasting pools of available pollen vectors. We also
recorded the insect species present and estimated the number of visits each made to
flowers in crops near and far from rainforest.
3.
For both crops there was an interaction between pollination treatment and distance from
rainforest. Maximum fruit set was only achieved when pollen vectors had access to flow
-
ers and orchards were close to rainforest. Exclusion of pollinators near rainforest reduced
initial fruit set to a greater extent than exclusion of pollinators far from rainforest.
4.
We confirmed that pollen transfer in macadamia is by autogamous self-pollination
and by pollen vectors, but our design did not distinguish among pollen vectors. The only
abundant insects in macadamia orchards were honeybees
Apis mellifera
. There were
more honeybee visits to macadamia flowers in orchards near rainforest than far from
rainforest, but we detected no relationship between honeybee visits and initial maca
-
damia fruit set in our sample of observations on a per raceme basis. More detailed
studies are needed to identify the pollen vector responsible for enhanced pollination of
macadamia near rainforest.
5.
We established for the first time that pollen transfer in longan is by a combination of
autogamous self-pollination, wind and bees. Longan flowers were visited by stingless
bees and honeybees but only stingless bees had a positive relationship with initial longan
fruit set and higher visitation rates near rainforest than far from rainforest. This
suggests that enhanced pollination in longan near rainforest resulted primarily from a
more abundant supply of stingless bees from the rainforest.
6.
Synthesis and applications.
By demonstrating that tropical rainforest can act as a re
-
servoir of pollen vectors that benefit crops, our study highlights the existence of a largely
unrecognized resource available to agriculture. At the same time our results make a significant
contribution to the growing database of studies that underscore the importance
of tropical rainforest conservation. Policy and management aimed at sustainable use of
this resource would satisfy the goals both of agriculturalists, to improve crop yields, and
conservationists, to conserve tropical rainforest."
