Abstract,Journal,PMID,Title
even though intensive aquaculture production of salmonids in lakes occurs in many locations around the world published studies on the survival and reproductive success of escaped cultured salmonids in freshwater ecosystems are not common a recent expansion of aquaculture in chile has led it to become the world s second largest producer of cultured salmonids we document the recent history of escaped and self sustaining salmonid populations over a wide spatial scale and a long temporal scale in chilean patagonian lakes our hypotheses are that salmonid density in lakes will be higher where there is intensive aquaculture due to greater numbers of potential escapees secondly if non native salmonids have adverse impacts on native fishes increases in the abundance of non native species should be associated with decreases in relative abundance of native species finally if the first two hypotheses are correct we anticipate that diets of salmonids may show evidence of predation on native fishes diet overlap with native species and evidence of the influence of feed from aquaculture operations in the diets of salmonids and native fishes we sampled six lakes with gill nets from to our results show that the relative abundance of free living salmonids is closely related to the level of fish farming production salmonids are the top predators and in lakes with fish farming the main prey item is native fishes the relative abundance of native fishes has decreased most likely due to predation by salmonids our study contributes to the understanding of the effects of non native salmonids in oligotrophic lakes and it provides a starting point to judge the establishment of new fish farming sites in lakes around the world,Freshwater Biology,,aquaculture non native salmonid invasions and associated declines of native fishes in northern patagonian lakes
because sea otters enhydra lutris exert a wide array of direct and indirect effects on coastal marine ecosystems throughout their geographic range we investigated the potential influence of sea otters on the ecology of bald eagles haliaeetus leucocephalus in the aleutian islands alaska usa we studied the diets productivity and density of breeding bald eagles on four islands during and when sea otters were abundant and scarce respectively bald eagles depend on nearshore marine communities for most of their prey in this ecosystem so we predicted that the recent decline in otter populations would have an indirect negative effect on diets and demography of bald eagles contrary to our predictions we found no effects on density of breeding pairs on four islands from to in contrast diets and diet diversity of bald eagles changed considerably between the two time periods likely reflecting a change in prey availability resulting from the increase and subsequent decline in sea otter populations the frequency of sea otter pups rock greenling hexagammus lagocephalus and smooth lumpsuckers aptocyclus ventricosus in the eagle s diet declined with corresponding increases in rock ptarmigan lagopus mutus glaucous winged gulls larus glaucescens atka mackerel pleurogrammus monopterygius and various species of seabirds during the period of the recent otter population decline breeding success and productivity of bald eagles also increased during this time period which may be due to the higher nutritional quality of avian prey consumed in later years our results provide further evidence of the wide ranging indirect effects of sea otter predation on nearshore marine communities and another apex predator the bald eagle although the indirect effects of sea otters are widely known this example is unique because the food web pathway transcended five species and several trophic levels in linking one apex predator to another,Ecology,,bald eagles and sea otters in the aleutian archipelago indirect effects of trophic cascades
interactions between sea otters enhydra lutris sea urchins strongylocentrotus droebachiensis and kelp were investigated following the reduction in sea otter density in prince william sound alaska after the exxon valdez oil spill in at northern knight island a heavily oiled portion of the sound sea otter abundance was reduced by a minimum of by the oil spill and from through remained at an estimated lower than in where sea otter densities were reduced there were proportionally more large sea urchins however except in some widely scattered aggregations both density and biomass of sea urchins were similar in an area of reduced sea otter density compared with an area where sea otters remained about times more abundant furthermore there was no change in kelp abundance in the area of reduced sea otter density this is in contrast to greatly increased biomass of sea urchins and greatly reduced kelp density observed following an approximate decline in sea otter abundance in the western aleutian islands the variation in community response to a reduction in sea otters may be related to the magnitude of the reduction and the non linear response by sea urchins to changes in predator abundance the number of surviving sea otters may have been high enough to suppress sea urchin populations in prince william sound but not in the aleutians alternatively differences in response may have been due to differences in the frequency or magnitude of sea urchin recruitment densities of small sea urchins were much higher in the aleutian system even prior to the reduction in sea otters suggesting a higher rate of recruitment,Marine Ecology Progress Series,,changes in sea urchins and kelp following a reduction in sea otter density as a result of the exxon valdez oil spill
bacterial abundance production and extracellular enzyme activity were determined in the shallow water column in the epiphytic community of thalassia testudinum and at the sediment surface along with total carbon nitrogen and phosphorus in florida bay a subtropical seagrass estuary data were statistically reduced by principle components analysis pca and multidimensional scaling and related to t testudinum leaf total phosphorus content and phytoplankton biomass each zone i e pelagic epiphytic and surface sediment community was significantly dissimilar to each other global r pelagic aminopeptidase and sum of carbon hydrolytic enzyme esterase peptidase and alpha and beta glucosidase activities ranged from to mg n m day and mg c m day respectively and were orders of magnitude higher than epiphytic and sediment surface activities due to the phosphorus limited nature of florida bay alkaline phosphatase activity was similar between pelagic mg p m day and sediment mg p m day zones but lower in the epiphytes mg p m day total and or organic c g c m n g n m and p mg p m content were the highest in the sediment surface and typically the lowest in the seagrass epiphytes ranging from to g c m g n m and mg p m unlike nutrient content and enzyme activities bacterial production was highest in the epiphytes mg c m day and sediment surface mg c m day and low in the water column mg c m day at an assumed bacterial growth efficiency for example extracellular enzyme hydrolysis could supply and of epiphytic and sediment bacteria carbon demand respectively while pelagic bacteria could fulfill their carbon demand completely by enzyme hydrolyzable organic matter similarly previously measured t testudinum extracellular photosynthetic carbon exudation rates could not satisfy epiphytic and sediment surface bacterial carbon demand suggesting that epiphytic algae and microphytobenthos might provide usable substrates to support high benthic bacterial production rates pca revealed that t testudinum nutrient content was related positively to epiphytic nutrient content and carbon hydrolase activity in the sediment but unrelated to pelagic variables phytoplankton biomass correlated positively with all pelagic components and sediment aminopeptidase activity but negatively with epiphytic alkaline phosphatase activity in conclusion seagrass production and nutrient content was unrelated to pelagic bacteria activity but did influence extracellular enzyme hydrolysis at the sediment surface and in the epiphytes this study suggests that seagrass derived organic matter is of secondary importance in florida bay and that bacteria rely primarily on algal cyanobacteria production pelagic bacteria seem coupled to phytoplankton while the benthic community appears supported by epiphytic and or microphytobenthos production,Marine Biology,,microbial activity and carbon nitrogen and phosphorus content in a subtropical seagrass estuary florida bay evidence for limited bacterial use of seagrass production
the main objective of many conservation programs is to increase population size by improving a species survival and reproduction however density dependence of demographic parameters may confound this approach in this study we used a year data set on bearded vultures gypaetus barbatus in spain to evaluate the consequences of population growth on reproductive performance unlike its coefficient of variation cv mean annual productivity decreased with increasing population size after controlling for territorial heterogeneity productivity also was negatively related to the distance to the nearest conspecific breeding pair and to supplementary feeding points where floaters congregate these results suggest that vulture populations are regulated as posited by the site dependency hypothesis as the population increases average productivity decreases because progressively poorer territories are used the combined effects of the shrinkage of territories and the presence of floaters around supplementary feeding points seem to be the main causes of productivity decline and are therefore the main determinants of territory quality this has conservation implications especially concerning the role of supplementary feeding points supplementary feeding should be reviewed given that its usefulness in reducing preadult mortality has not yet been proved and its effect on productivity as our results suggest is negative,Ecological Applications,,density dependent productivity depression in pyrenean bearded vultures implications for conservation
the distribution and relative density of smooth coated otters lutra perspicillata geoffroy were studied along a km stretch of chambal river within the national chambal sanctuary central india between and sample sites of km were surveyed every km the study revealed that the distribution of otters along the river is patchy and largely restricted to the upper reaches during the survey of sites were found with otter signs but only in recent increases in disturbance along the river due to construction of road bridges and mining activities might have put pressure on the population most of the positive sites were found on rocky banks followed by clay banks banks with shoreline vegetation and marsh and sandy banks during intensive monitoring of four radio implanted otters c locations were made on rocky banks on banks with shoreline vegetation and marsh with on sandy banks and on clay banks indicating greater preference for rocky banks owing to the greater availability of den sites as a conservation measure monitoring of the otter population should be done regularly and restrictions on cultivation grazing and mining along the banks should be imposed within the sanctuary limits especially in the identified stretches,Biological Conservation,,distribution and status of the smooth coated otter lutra perspicillata in national chambal sanctuary india
abstract the possible effects that marine reserve protection has had on densities of some reef fish and large invertebrates were investigated near leigh north eastern new zealand by a series of sampling programmes between and fish counts at intervals during the years after the initial establishment of the cape rodney to okakari point marine reserve in suggested that red moki cheilodactylus spectabilis had increased in abundance whereas five others had remained at approximately constant densities a comparison of data between and also revealed few consistent differences in fish abundances a detailed survey in between sites inside and outside the marine reserve showed no clear patterns for sea urchins evechinus chloroticus and several fish trends for increased abundances in the marine reserve of fish such as snapper pagrus chrysophrys auratus blue cod parapercis colias and red moki a very striking increase in numbers of rock lobsters jasus edwardsii within the marine reserve and an obvious trend for increased size of snapper in the marine reserve most of the trends however were not statistically significant owing largely to the low power of the tests used although it is now generally accepted that the creation of marine reserves such as the one at leigh results in increased abundances of certain organisms our study highlights the difficulty of rigorously demonstrating this especially for patchily distributed and mobile fish species abstract the possible effects that marine reserve protection has had on densities of some reef fish and large invertebrates were investigated near leigh north eastern new zealand by a series of sampling programmes between and fish counts at intervals during the years after the initial establishment of the cape rodney to okakari point marine reserve in suggested that red moki cheilodactylus spectabilis had increased in abundance whereas five others had remained at approximately constant densities a comparison of data between and also revealed few consistent differences in fish abundances a detailed survey in between sites inside and outside the marine reserve showed no clear patterns for sea urchins evechinus chloroticus and several fish trends for increased abundances in the marine reserve of fish such as snapper pagrus chrysophrys auratus blue cod parapercis colias and red moki a very striking increase in numbers of rock lobsters jasus edwardsii within the marine reserve and an obvious trend for increased size of snapper in the marine reserve most of the trends however were not statistically significant owing largely to the low power of the tests used although it is now generally accepted that the creation of marine reserves such as the one at leigh results in increased abundances of certain organisms our study highlights the difficulty of rigorously demonstrating this especially for patchily distributed and mobile fish species,New Zealand Journal of Marine and Freshwater Research,,effects of marine reserve protection at goat island northern new zealand
on islands off the west coast of sweden the density of mountain hares lepus timidus l is very high one of the main predators on hares the red fox vulpes vulpes l is only present during short periods data on hare density and predation by red fox and eagle owl bubo bubo l has been analyzed from five islands over several years winter mortality in years with low predation pressure was independent of hare density but when red fox or eagle owl were present on islands i e high predation pressure winter mortality became density dependent thus at low density winter mortality did not increase through red fox predation but at densities up to two hares ha predation pressure was increasing and could be limiting for these populations at still higher hare density predation pressure became less intensive the functional response for foxes preying on hares showed a type ii or a sigmoid type iii response pattern in normal summers the population increase due to reproduction was at least two fold when a fox was present there was instead a sharp decrease in hare numbers fox predation had a stronger effect in summer than in winter by switching between islands and mainland areas from winter to summer a fox can stabilize fluctuations in hare numbers on the islands this is dependent on how often the ice permits a fox to reach an island and the lack of numerical response by predators,Oecologia,,mountain hare populations on islands effects of predation by red fox
north american green sturgeon acipenser medirostris was petitioned for listing under the endangered species act esa the two questions that need to be answered when considering an esa listing are is the entity a species under the esa and if so is the species in danger of extinction or likely to become an endangered species in the foreseeable future throughout all or a significant portion of its range green sturgeon genetic analyses showed strong differentiation between northern and southern populations and therefore the species was divided into northern and southern distinct population segments dpss the northern dps includes populations in the rogue klamath trinity and eel rivers while the southern dps only includes a single population in the sacramento river the principal risk factors for green sturgeon include loss of spawning habitat harvest and entrainment the northern dps is not considered to be in danger of extinction or likely to become an endangered species in the foreseeable future the loss of spawning habitat is not large enough to threaten this dps although the eel river has been severely impacted by sedimentation due to poor land use practices and floods the two main spawning populations in the rogue and klamath trinity rivers occupy separate basins reducing the potential for loss of the dps through catastrophic events harvest has been substantially reduced and green sturgeon in this dps do not face substantial entrainment loss however there are significant concerns due to lack of information flow and temperature issues and habitat degradation the southern dps is considered likely to become an endangered species in the foreseeable future green sturgeon in this dps are concentrated into one spawning area outside of their natural habitat in the sacramento river making them vulnerable to catastrophic extinction green sturgeon spawning areas have been lost from the area above shasta dam on the sacramento river and oroville dam on the feather river entrainment of individuals into water diversion projects is an additional source of risk and the large decline in numbers of green sturgeon entrained since causes additional concern,Environmental Biology of Fishes,,population status of north american green sturgeon acipenser medirostris
most populations of migrant shorebirds around the world are in serious decline suggesting that vital condition dependent rates such as fecundity and annual survival are being affected globally a striking example is the red knot calidris canutus rufa population wintering in tierra del fuego which undertakes marathon km hemispheric migrations annually in spring migrant birds forage voraciously on horseshoe crab eggs in delaware bay in the eastern usa before departing to breed in arctic polar deserts from to an increasing proportion of knots failed to reach threshold departure masses of g possibly because of later arrival in the bay and food shortage from concurrent over harvesting of crabs reduced nutrient storage especially in late arriving birds possibly combined with reduced sizes of intestine and liver during refuelling had severe fitness consequences for adult survival and recruitment of young in from to known survivors in delaware bay were heavier at initial capture than birds never seen again annual survival of adults decreased by between may and may and the number of second year birds in wintering flocks declined by population size in tierra del fuego declined alarmingly from to in seriously threatening the viability of this subspecies demographic modelling predicts imminent endangerment and an increased risk of extinction of the subspecies without urgent risk averse management,Proceedings. Biological sciences / The Royal Society,,rapid population decline in red knots fitness consequences of decreased refuelling rates and late arrival in delaware bay
