,Abstract,Journal,Title
0,bees are believed to be dominant pollen vectors in tropical forests yet studies specific to bees in south east asia are rare regeneration and restoration of the rapidly disappearing lowland forests of this region are reliant on bees thus there is an urgent need for forest bee data at the community level bee communities of eight forested sites in johor malaysia and singapore were surveyed three times each from february to august at the below canopy level these sites ranged from relatively undisturbed primary lowland dipterocarp forests to late secondary forests and exotic forests including an oil palm plantation we attempted to elucidate the environmental factors that correlated with the distribution of bees bee abundance in particular that of apidae was significantly higher in larger primary forests than other types of forests however bee species richness was higher in disturbed forests the distribution of bees was apparently influenced by variables closely related to forest disturbance and resource abundance such as the density of big trees diameter at breast height – cm temperature and flowering intensity of trees and shrubs more stingless bees trigona spp were found where trees were larger and ambient conditions more constant but flowering intensities lower the differences between the bee communities in forests of urban singapore and primary forests in johor may indicate that ecological processes in the forests of singapore in particular pollination may be changing however pollination may not be totally intact in the primary forests surveyed as their bee communities seemed to be depauperate the role of important pollinators especially bees for the long term survival of tropical lowland forests is poorly understood our study indicates that we urgently need more thorough understanding of pollination and pollinators as some bee species appear to be disappearing from disturbed tropical lowland forests,Journal of Applied Ecology,bee diversity along a disturbance gradient in tropical lowland forests of south east asia
1,the maintenance of grasslands as distinct habitats depends on regular management usually through grazing or mowing but their species diversity is known to decline with increasing management intensity the reduction of management intensity can be a useful tool for the long term conservation of the biological diversity of grasslands we analyzed floral and faunal diversity on intensively and extensively unintensively grazed pastures and on to year old ungrazed grasslands in northern germany each of the three grassland habitats differing in grazing intensity was replicated six times we related diverse taxa such as grasshoppers butterfly adults and lepidopteran larvae and trap nesting solitary bees and wasps to vegetation structure there was an increase of species richness and abundance from pastures to ungrazed grasslands the percentage of parasitism of the most abundant trap nesting species the digger wasp trypoxylon figulus was also higher on ungrazed grasslands decreased grazing on pastures enhanced species richness for adult butterflies only whereas the abundance of adult butterflies solitary bees and wasps and their natural enemies increased although the differences in insect diversity between pastures and ungrazed grassland could be attributed to a greater vegetation height and heterogeneity bottom up effects on ungrazed areas the differences between intensively and extensively grazed pastures could not be explained by changes in vegetation characteristics hence intensive grazing appeared to affect the insect communities through the disruption of plant insect interactions a mosaic of extensively grazed grassland and grassland left ungrazed for a few years may be a good means by which to maintain biodiversity and the strength of trophic interactions,Conservation Biology,grazing intensity and the diversity of grasshoppers butterflies and trap nesting bees and wasps
2,male euglossine bees were sampled with chemical baits every two months from september to july at nine sites in the desengano mountain range rio de janeiro state brazil four sites were located in atlantic forest mature second growth two sites in disturbed forest and three sites in forest fragments of and ha respectively we collected male euglossine bees from at least species analyses of variance indicated no differences among the three habitat types for total number of bees and of the dominant species bootstrapping indicated significant variation in species richness and diversity for some sites but there was no clear indication of differences among habitats similarity as measured with the morisita horn index was inversely related to distance between sites but relatively high for most site combinations these results suggest that the euglossine bee community in the three habitats was essentially the same although some species were associated with each habitat type most appeared to respond to temporal local conditions our results do not support the hypothesis that forest fragmentation or habitat alteration reduces abundance and diversity of euglossine bees,Biotropica,abundance and diversity of euglossine bees in the fragmented landscape of the brazilian atlantic forest
3,niche breadth of species has been hypothesized to be associated with species responses to disturbance disturbance is usually believed to affect specialists negatively while generalists are believed to benefit from disturbance we call this the specializationdisturbance hypothesis we also propose an associated hypothesis the specialization asymmetry disturbance hypothesis under which both specialization and asymmetry of interactions would explain species responses to disturbance we test these hypotheses using data from a plant pollinator system that has been grazed by cattle i e a biological disturbance in southern argentina we quantified specialization in species interactions specialization of interaction partners and species responses to disturbance we found no relationship between degree of specialization and a species response to disturbance we also found that plant pollinator interactions tend to be asymmetric in this system there was no relationship between the degree of specialization of a given species and the degree of specialization of its interaction partners however asymmetry of interactions did not explain the variability in species responses to disturbance thus both hypotheses are rejected by our data possible reasons include failure to assess crucial resources substantial direct effects of disturbance inaccurate measures of specialization difficulty detecting highly nonlinear relationships and limitations of a nonexperimental approach or in fact there may be no relationship between specialization and response to disturbance,The American Naturalist,ecological specialization and susceptibility to disturbance conjectures and refutations
4,bumblebees hymenoptera apidae are important pollinators of crops and wildflowers but many species have suffered dramatic declines in recent decades strategies for their conservation require knowledge of their foraging range and nesting density both of which are poorly understood previous studies have mainly focussed on the cosmopolitan bumblebee species bombus terrestris and implicitly assume this to be representative of other species here we use a landscape scale microsatellite study to estimate the foraging range and nesting density of two ecologically dissimilar species b terrestris and b pascuorum workers were sampled along a km linear transect and polymorphic microsatellite markers used to identify putative sisters we provide the first published estimates of the number of colonies using a circle of radius m in an agricultural landscape for b terrestris and for b pascuorum estimates of nest density differed significantly between the two species km for b terrestris and km for b pascuorum foraging ranges also differed substantially with b pascuorum foraging over distances less than m and b terrestris less than m clearly bumblebee species differ greatly in fundamental aspects of their ecology this has significant implications for the development of conservation strategies for rare bumblebees and isolated plant populations for the management of bumblebees as pollinators and for predicting patterns of gene flow from genetically modified plants,Oikos,use of genetic markers to quantify bumblebee foraging range and nest density
5,the diversity of the italian bee fauna was investigated over a four year period at sites in italian regions of italy piedmont friuli venezia giulia emilia romagna tuscany umbria molise sicily and sardinia a previously agreed sampling methodology was used and the bee collection protocol was based upon the transept method the sampling sites were chosen within an agricultural landscape an account on data processing concerning captured specimens is presented over one third of the known italian fauna i e species were recorded three species hylaeus kahri förster förster lasioglossum subaenescens pérez and osmia niveibarbis pérez are new records and species showed an enlarged distribution area seventyone percent of the bee species collected in the italian agroecosystems and semi natural landscapes are distributed in the palearctic ecozone the remaining of the bee species are present in europe some species mostly occur in central europe whereas others occur also in the mediterranean countries the total no of the censused species was present in agroecosystems and total no in semi natural landscapes the bee fauna composition varies along the north south direction of the peninsula with halictidae being more abundant in northern italy and anthophoridae more abundant in the south,Bulletin of Insectology,wild bees in agroecosystems and semi natural landscapes collection period in italy
6,small beetles usually species of nitidulidae are the natural pollinators of atemoya annona squamosa l x a cherimola mill hybrids custard apple ßowers but commercial atemoya growers often need to carry out labor intensive hand pollination to produce enough high quality fruit because australian rain forest has plant species in the same family as atemoya annonaceae and because many rain forest plants are beetle pollinated we set out to discover whether tropical rain forest in far north queensland harbors beetles that could provide this ecosystem service for atemoya crops orchards were chosen along a gradient of increasing distance from tropical rain forest Ð km we sampled ßowers from each of nine atemoya orchards and determined the identity and abundance of insects within each ßower to assess the amount of pollination due to insects we bagged six ßowers per tree and left another six ßowers per tree accessible to insects on trees at an orchard near rain forest results indicated that atemoya orchards km from rain forest were predominantly visited by Þve previously unrecognized native beetle pollinators that are likely to originate in tropical rain forest these native beetles occurred reliably enough in crops near rain forest to have a positive effect on the quantity of fruit produced but their contribution was not great enough to satisfy commercial production needs management changes aimed at increasing native beetle abundance in crops are required before these beetles could eliminate the need for growers to hand pollinate atemoya ßowers appreciation of the value of this resource is necessary if we are to develop landscapes that both conserve native biodiversity and support agricultural production,Horticultural Entomology,rain forest provides pollinating beetles for atemoya crops
7,meaningful ecological studies on insect communities require sampling protocols that take into consideration temporal fluctuations in abundance and species composition bees with their specific requirements for nutrition and nesting are good indicators of landscape structure and overall biodiversity provided the ecological and seasonal patterns they show are taken into consideration the present two year study traced the ecological and seasonal patterns on km of a southern slope in the swiss alps ranging from to m above sea level the study area consisted mainly of grassland under different regimes mostly hay meadows and pastures by direct netting at five monthly intervals in each year a total of bee species were recorded this comprehensive sampling scheme identified one of the most diverse bee faunas in central and northern europe consisting of a statistically estimated species most species were rare with represented by a single individual ecological analysis of the bee community showed that the primitively eusocial species were over represented among the abundant species and the parasitic species among the rarest both abundance and species richness were subject to marked seasonal variations a substantial turnover in species composition as well as changes in ecological patterns were observed more than of all species were recorded in only one of the two years in particular many of the parasitic species singletons accounted for a higher proportion when individual years rather than the pooled data were analysed all these findings underline the importance of season long sampling and sampling over more than one year if bees are to be used as indicators in ecological and studies on bee communities,European Journal of Entomology,ecological and seasonal patterns in the diversity of a species rich bee assemblage hymenoptera apoidea apiformes
8,recent declines in managed honey bee apis mellifera l colonies have increased interest in the current and potential contribution of wild bee populations to the pollination of agricultural crops because wild bees often live in agricultural Þelds their population density and contribution to crop pollination may be inßuenced by farming practices especially those used to reduce the populations of other insects we took a census of pollinators of squash and pumpkin at farms in virginia west virginia and maryland to see whether pollinator abundance was related to farming practices the main pollinators were peponapis pruinosa say honey bees and bumble bees bombus spp the squash bee was the most abundant pollinator on squash and pumpkin occurring at of farms in population densities that were commonly several times higher than that of other pollinators squash bee density was related to tillage practices no tillage farms hosted three times as great a density of squash bees as tilled farms pollinator density was not related to pesticide use honey bee density on squash and pumpkin was not related to the presence of managed honey bee colonies on farms farms with colonies did not have more honey bees per ßower than farms that did not keep honey bees probably reßecting the lack of afÞnity of honey bees for these crops future research should examine the economic impacts of managing farms in ways that promote pollinators particularly pollinators of crops that are not well served by managed honey bee colonies,Field and Forage Crops,farming practices influence wild pollinator populations on squash and pumpkin
9,tropical rainforests are potential reservoirs of insects that could enhance crop pollination but only a few instances of the provision of such services by tropical rainforest insects have been reported our field study aimed to determine the relative importance of such insects to the pollination of macadamia macadamia integrifolia and longan dimocarpus longan crops on the atherton tableland north queensland australia we quantified initial fruit set a measure of pollination success in treatments designed to assess the relative importance of the possible modes of pollination the treatments were applied in orchards that varied in distance from rainforest in order to compare the effects of the contrasting pools of available pollen vectors we also recorded the insect species present and estimated the number of visits each made to flowers in crops near and far from rainforest for both crops there was an interaction between pollination treatment and distance from rainforest maximum fruit set was only achieved when pollen vectors had access to flow ers and orchards were close to rainforest exclusion of pollinators near rainforest reduced initial fruit set to a greater extent than exclusion of pollinators far from rainforest we confirmed that pollen transfer in macadamia is by autogamous self pollination and by pollen vectors but our design did not distinguish among pollen vectors the only abundant insects in macadamia orchards were honeybees apis mellifera there were more honeybee visits to macadamia flowers in orchards near rainforest than far from rainforest but we detected no relationship between honeybee visits and initial maca damia fruit set in our sample of observations on a per raceme basis more detailed studies are needed to identify the pollen vector responsible for enhanced pollination of macadamia near rainforest we established for the first time that pollen transfer in longan is by a combination of autogamous self pollination wind and bees longan flowers were visited by stingless bees and honeybees but only stingless bees had a positive relationship with initial longan fruit set and higher visitation rates near rainforest than far from rainforest this suggests that enhanced pollination in longan near rainforest resulted primarily from a more abundant supply of stingless bees from the rainforest synthesis and applications by demonstrating that tropical rainforest can act as a re servoir of pollen vectors that benefit crops our study highlights the existence of a largely unrecognized resource available to agriculture at the same time our results make a significant contribution to the growing database of studies that underscore the importance of tropical rainforest conservation policy and management aimed at sustainable use of this resource would satisfy the goals both of agriculturalists to improve crop yields and conservationists to conserve tropical rainforest,Journal of Applied Ecology,proximity to rainforest enhances pollination and fruit set in orchards
