LR_A_coefficients,LR_A_features
0.027595822203626247,aalg
0.014781184011638152,aalg and
0.014454779779673622,aalg pont
0.02025402037242622,aao
0.02025402037242622,aao the
-0.08102114310889758,ab
0.015786516449867425,ab clim
-0.03987982380821715,ab fer
-0.018095424884442414,ab groundw
-0.03987982380821715,ab industry
-0.01071556832557856,ab kctc
-0.07555391849750061,abandon
0.02518714757369492,abandon and
0.02518714757369492,abandon but
0.01069619065504611,abandon by
-0.02080939269385921,abandon due
-0.02080939269385921,abandon fish
-0.04161878538771842,abandon fishpond
-0.010084052634419827,abandon of
-0.08323757077543684,abandon pond
-0.02080939269385921,abandon smal
0.05037429514738984,abandon territ
-0.024385554010016734,abattoir
-0.024385554010016734,abattoir in
-0.06467103058806135,abax
-0.053892525490051114,abax leaf
-0.010778505098010224,abax surfac
-0.01572340368451222,abc
-0.005241134561504073,abc efflux
-0.010482269123008146,abc transport
-0.01152543346874084,abdomin
-0.01152543346874084,abdomin pig
-0.011826376220000908,abduc
-0.011826376220000908,abduc adduc
-0.05601125414174745,abert
-0.04480900331339795,abert squirrel
-0.011202250828349488,abert to
-0.050649558815645104,abiot
0.012726909163785566,abiot and
-0.012913107436701028,abiot condit
0.017523317020934202,abiot dep
-0.01188230382788151,abiot ecomet
0.010608305597670184,abiot effect
-0.010256895224010153,abiot environ
-0.025366694353322585,abiot fact
-0.03666137459709741,abiot stresses
-0.0071318291966896335,abiot vary
-0.21684685111283686,abl
-0.010796544322553326,abl at
0.016405228953255035,abl by
-0.021677399173690094,abl demograph
-0.010235917298711593,abl dhoupbp
-0.010796544322553326,abl hindquart
-0.10676966395553204,abl of
-0.01744110071934844,abl or
-0.10594419868037985,abl to
-0.012922492469249765,abl we
-0.011505593313322031,abl whil
0.015404367590502266,abl with
-0.12419914919169671,abnorm
-0.07600272473779025,abnorm anaphas
-0.012378556987084007,abnorm and
-0.008447999184771432,abnorm funct
-0.016895998369542864,abnorm in
-0.015200544947558051,abnorm was
-0.008447999184771432,abnorm wherea
0.010575241131222447,aboard
0.010575241131222447,aboard whal
0.2158899446878737,about
0.007899729673323436,about adult
0.028469002279015325,about aft
0.01701144428277241,about amil
-0.014688201909375437,about an
-0.02862580056441662,about and
0.024474756297535618,about anim
0.026216863782789326,about beluga
0.013820600105537977,about between
0.029476164789664666,about bree
0.038463921124715486,about by
0.010324828708630912,about calv
0.015954165309880343,about cetac
0.014668674738630167,about chang
-0.008753689704877518,about chi
0.011995352400112132,about cm
