LR_A_coefficients,LR_A_features
-0.01946470713821446,aa
-0.009522523104834023,aa metabol
-0.011127921607645532,aa not
-0.013520991239523857,aav
-0.013520991239523857,aav has
0.01629014036407247,ab
0.01629014036407247,ab reg
0.4258741652890893,abandon
0.058737017372601966,abandon and
0.014485680231290482,abandon as
0.014251760266110658,abandon at
0.010387740182184909,abandon bird
0.020214777681987945,abandon by
0.03469474374897035,abandon cacao
0.028978111060553362,abandon cassav
0.01541205448596367,abandon cattl
0.007058169617723896,abandon clear
0.028523408877928657,abandon coff
0.005326897690682969,abandon commun
0.009735366051647319,abandon crop
0.008997600443774378,abandon cropland
0.014561997300025022,abandon extend
0.009070662679042947,abandon fallow
0.030812298518456634,abandon farmland
0.008161883785078974,abandon field
0.028503520532221317,abandon for
0.009968440309006819,abandon hav
0.019936880618013637,abandon hay
0.005251411546755051,abandon hous
-0.0020526771116536648,abandon in
0.014485680231290482,abandon led
0.07123303021738238,abandon of
0.04345704069387145,abandon on
0.007840325878362255,abandon or
0.04783378024637718,abandon past
0.014251760266110658,abandon plot
0.02029635932861166,abandon sit
0.014927778546062776,abandon sum
0.008997600443774378,abandon that
0.014251760266110658,abandon tim
0.005393663911982336,abandon tre
0.014561997300025022,abandon vineyard
0.007280998650012511,abandon whil
0.0304338303887069,abandonad
0.0304338303887069,abandonad hac
-0.014216526674839315,abbrevy
-0.014216526674839315,abbrevy as
-0.05309761354080863,abc
-0.010817426433993386,abc and
-0.010817426433993386,abc for
-0.021634852867986772,abc to
-0.013062471522238108,abc transport
0.027169029948559853,abiot
0.02889756794585943,abiot and
0.010985331656283442,abiot clim
-0.013060160736691692,abiot condit
-0.021164243613856652,abiot driv
-0.010582121806928326,abiot effect
0.0007743029429070543,abiot environ
0.019939116047017025,abiot fact
-0.01620102373855753,abiot forc
0.018672329740613114,abiot or
0.014485680231290482,abiot paramet
-0.015716721795613172,abiot risk
0.01324663490331386,abiot siz
-0.01852900189082624,abiot stress
0.021349096835960812,abiot vary
0.03125946928906019,abl
-0.01016642063954297,abl although
-0.013604160031740625,abl and
0.028846474540883148,abl as
