,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
73,2-s2.0-84921743627,18,18,"Morrison K.W., Battley P.F., Sagar P.M., Thompson D.R.",56186693600;6603675774;7102936664;55316299800;,Population dynamics of Eastern Rockhopper Penguins on Campbell Island in relation to sea surface temperature 1942–2012: current warming hiatus pauses a long-term decline,2015,Polar Biology,10.1007/s00300-014-1575-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921743627&doi=10.1007%2fs00300-014-1575-x&partnerID=40&md5=698475bdac88e46c299ecebe62d5be47,"Major population changes of marine mega-fauna are ongoing as global warming, and other anthropogenic drivers affect prey availability. The historical stronghold of the Eastern Rockhopper Penguin (Eudyptes chrysocome filholi) was New Zealand’s sub-Antarctic Campbell Island, but the population declined by 94 % between 1942 and 1984. The apparent mechanism of collapse was warm ocean temperatures causing an inadequate food supply. Eudyptes penguin population declines are ongoing at some breeding sites, highlighting the need to investigate the population trend on Campbell Island since 1984. We estimated the Eastern Rockhopper Penguin breeding population size through physical and photo-counts of birds and nests in 2012, and changes in colony area relative to 1984 and 1996 photographs. We estimated the 2012 population size at 33,239 breeding pairs, a 21.8 % decrease from an (adjusted) estimate of 42,528 pairs in 1984. Although substantial, the recent 1984–2012 decline occurred at a much slower rate (λ = 0.991) than the 1942–1984 decline (λ = 0.940). Despite great variation in trends between colonies ostensibly linked to differences in predation rates, the recent decline occurred primarily between 1984 and 1996, and thereafter the overall population grew. A 100-year time series of extended reconstructed sea surface temperatures (ERSST) confirmed that the population declined during warm periods and increased during cool periods, but that the initial decline began before increases in regional ERSST. Population growth after 1996 appears related to the current global warming hiatus, lower ERSST, and increased abundance of a key prey species. We predict a continuation of the long-term population decline after warming resumes. © 2014, Springer-Verlag Berlin Heidelberg.",Article,Scopus,0.937334547,1,1,NA,15,5,1,5,19,NA
7,2-s2.0-0032315436,72,72,"Guinard E., Weimerskirch H., Jouventin P.",6602785212;56213156300;56238952500;,Population changes and demography of the Northern Rockhopper penguin on Amsterdam and Saint Paul islands,1998,Waterbirds,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032315436&partnerID=40&md5=141dae1a962b98478bbbc6922191c2f5,"We investigated changes in population size and demography of the Northern Rockhopper Penguin (Eudyptes chrysocome moseleyi) between 1971 and 1995 on Amsterdam and Saint Paul islands. During an intensive survey between 1993 and 1995, breeding success was similar to that reported from other sites, although the first egg (A-egg) loss rate was lower on Amsterdam Island than at other localities. The mean age of first return to the breeding site and of first reproduction were respectively X = 4.2 ± SD of 2.1 years and X = 4.7 ± SD of 1.7 years. The adult survival rate, calculated between 1988 and 1993, was significantly lower one year after banding [X = 72.2 ± SD of 1.6%] than in subsequent years [X = 84.0 ± SD of 1.1%] due to the effect of banding. Immature survival rate was estimated at 39% during the first year after banding. Two birds banded as chicks have been found in Australia, suggesting that immatures winter off Southern Australia. The population on Amsterdam Island decreased at a rate of 2.7% per year between 1971 and 1993. Using the demographic parameters measured, we calculated a modelled rate of increase of 0.940 between 1988 and 1993, a value close to the observed rate of 0.943. Between 1982 to 1993, mean sea surface temperature near Amsterdam and Saint Paul islands decreased significantly, and this change was significantly related to the decline of Amsterdam Island population during the same period. Mean sea surface temperature decline could affect the Rockhopper Penguin population through changes of distribution and abundance of prey. Other factors such as the large increase of the Sub-Antarctic Fur Seal population at Amsterdam Island between 1971 and 1993 could have reduced the penguin population. Between 1971 and 1993, the Saint Paul population of penguins increased by 5.5% per year, but this is not significantly related to the mean sea surface temperature decrease. This small Rockhopper Penguin population may still be recovering to its level before exploitation in the 1930s.",Article,Scopus,0.910503882,NA,1,NA,NA,5,1,5,73,0
30,2-s2.0-33645099456,33,33,"Arnold J.M., Brault S., Croxall J.P.",35478434400;6602434663;7004527404;,Albatross populations in peril: A population trajectory for Black-browed Albatrosses at South Georgia,2006,Ecological Applications,10.1890/03-5340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645099456&doi=10.1890%2f03-5340&partnerID=40&md5=7885c213300142968ff1fa33700bc7d4,"Simulation modeling was used to reconstruct Black-browed Albatross (Diomedea melanophris) population trends. Close approximations to observed data were accomplished by annually varying survival rates, reproductive success, and probabilities of returning to breed given success in previous years. The temporal shift in annual values coincided with the start of longline fishing at South Georgia and potential changes in krill abundance. We used 23 years of demographic data from long-term studies of a breeding colony of this species at Bird Island, South Georgia, to validate our model. When we used annual parameter estimates for survival, reproductive success, and probabilities of returning to breed given success in previous years, our model trajectory closely followed the observed changes in breeding population size over time. Population growth rate was below replacement (lambda < 1) in most years and was most sensitive to changes in adult survival. This supports the recent IUCN uplisting of this species from ""Vulnerable"" to ""Endangered."" Comparison of pre-1988 and post-1988 demography (before and after the inception of a longline fishery in the breeding area) reveals a decrease in lambda from 0.963 to 0.910. A life table response experiment (LTRE) showed that this decline in lambda was caused mostly by declines in survival of adults. If 1988-1998 demographic rates are maintained, the model predicts a 98% chance of a population of fewer than 25 pairs within 78 years. For this population to recover to a status under which it could be ""delisted,"" a 10% increase in survival of all age classes would be needed. © 2006 by the Ecological Society of America.",Article,Scopus,0.886828932,NA,1,NA,NA,5,1,5,34,NA
35,2-s2.0-34447337211,4,4,"Creuwels J.C.S., Poncet S., Hodum P.J., Van Franeker J.A.",8646015200;14049119900;6603135162;6602084064;,Distribution and abundance of the Southern Fulmar Fulmarus glacialoides,2007,Polar Biology,10.1007/s00300-007-0276-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447337211&doi=10.1007%2fs00300-007-0276-0&partnerID=40&md5=46967a167e82011f7b080ac173bf6669,"We reviewed published and unpublished literature to establish the status of the breeding distribution and abundance of Southern Fulmars Fulmarus glacialoides. The species breeds widely throughout the Antarctic and on peri-Antarctic islands. From breeding population data collated from 73 of these localities, we estimated the minimum global population to be about 400,000 breeding pairs. After adjusting for seasonal variation in numbers of breeding pairs based on studies at Ardery Island, East Antarctica, the total global population is estimated to be at least one million breeding pairs. Of this, 72% nest on islands of the Scotia Sea arc and the South Atlantic Ocean. The precision of the estimate on the total number of breeding pairs is low, as several colony estimates were only available as orders of magnitude. Furthermore, different timing of the surveys and the difficulties of censusing colonial cliff-nesting birds reduced the count accuracy. Currently, there are no known threats to the global population, although the effects of fishery activities are not fully known. © 2007 Springer-Verlag.",Review,Scopus,0.88102345,?,?,Unclear if abundance data is from multiple years,5,5,?,5,5,NA
60,2-s2.0-84878021792,54,54,"Korczak-Abshire M., Wegrzyn M., Angiel P.J., Lisowska M.",42861737500;22954823300;15831005100;36523342000;,"Pygoscelid penguins breeding distribution and population trends at Lions Rump Rookery, King George Island",2013,Polish Polar Research,10.2478/popore-2013-0002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878021792&doi=10.2478%2fpopore-2013-0002&partnerID=40&md5=99608890468e94b7e264356769b0185c,"Long term changes (46 years) in the abundance of pygoscelid penguins breeding populations and nests distribution in the Lions Rump (King George Island) colony were investigated in three time intervals, according to previously published two censuses and one original study conducted in 2010. At that time a detailed colony map based on the GIS system was made. Results of this study showed different trends for each investigated species. In the last three decades Adélie penguin breeding populations showed strong declining tendencies (69.61%). In contrast, the population of gentoo penguins represents the reverse trend, increasing 171.85% over the same period. Observed changes in both penguin population sizes are reflected in the different spatial and geographic distribution of their nests. The population changes observed at the Lions Rump colony are consistent with the relevant pygoscelid penguin tendencies in the western Antarctic Peninsula region. Breeding penguin population dynamics at Lions Rump area with a minimal disturbance by human activity may well illustrate a natural response of those birds to environmental changes in the Antarctic.",Article,Scopus,0.872713273,NA,1,NA,NA,5,1,5,55,NA
45,2-s2.0-62949087869,7,7,"Martin A.R., Poncet S., Barbraud C., Foster E., Fretwell P., Rothery P.",55708418100;14049119900;35616520600;25958026000;8785398400;36952564400;,"The white-chinned petrel (Procellaria aequinoctialis) on South Georgia: Population size, distribution and global significance",2009,Polar Biology,10.1007/s00300-008-0570-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-62949087869&doi=10.1007%2fs00300-008-0570-5&partnerID=40&md5=6b0993f0ff0ed194356c008ecd82bc26,"More white-chinned petrels (Procellaria aequinoctialis) are accidentally killed in fisheries than probably any other seabird in the world, but the population impact of this mortality is poorly understood, partly because there have been no recent estimates of the species' abundance. The breeding aggregation on the sub-Antarctic island of South Georgia is believed to be larger than all others combined. We estimated the size of this population by calculating the area of suitable habitat and the density of occupied burrows within it. Some 670,000 occupied nests were estimated for the island at mid-incubation, representing 0.9 million pairs of breeding-age birds associated with South Georgia in the survey seasons (2005/06 and 06/07). This is 40-45% of the previous estimate, but still represents well over half of the global population. If the population is declining due to fishery bycatch, as is likely, the scale of annual mortality in this population alone is at least in the high tens of thousands, and plausibly hundreds of thousands. © 2009 Springer-Verlag.",Article,Scopus,0.868969016,1,1,NA,10,5,1,5,8,NA
77,2-s2.0-84949517452,20,20,"Casaux R., Barrera-Oro E.",7004072018;56175611700;,"Linking population trends of Antarctic shag (Phalacrocorax bransfieldensis) and fish at Nelson Island, South Shetland Islands (Antarctica)",2016,Polar Biology,10.1007/s00300-015-1850-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949517452&doi=10.1007%2fs00300-015-1850-5&partnerID=40&md5=976d67730f648f9756609a9a8c21dc7b,"This study aims to provide consistent information to explain the steady declining trend in the number of breeding pairs of Antarctic shag Phalacrocorax bransfieldensis in two colonies on Nelson Island, South Shetland Islands, southern Atlantic sector of Antarctica, which was observed during the 1990s up to the mid 2000s over an overall monitoring period of over two decades. It addresses correspondence between long-term population trends of inshore demersal fish and inshore-feeding Antarctic shags of this area, where an intensive commercial fishery for shag prey once operated. The analysis also includes comparable information on diet (by examination of regurgitated pellets), foraging patterns, and breeding output of shags from the Danco Coast, western Antarctic Peninsula, an area where no commercial finfish fishery has ever existed. Integral study of these parameters there showed that, in Antarctic shags, low breeding success and high foraging effort might imply low recruitment and high adult mortality, respectively, with both factors adversely affecting the population trends of this bird. In line with these premises, the declining trend observed in shag colonies on the South Shetland Islands appears to have been influenced by the concomitant decrease in abundance of two of their main prey, the nototheniids Notothenia rossii and Gobionotothen gibberifrons, due to intensive industrial fishing in the area in the late 1970s. In comparison, no such pattern occurred for the Danco Coast colonies. © 2015, Springer-Verlag Berlin Heidelberg.",Article,Scopus,0.847924953,1,1,NA,15,5,1,5,21,NA
2,2-s2.0-0021532968,50,50,Hunter S.,7201434674;,Breeding biology and population dynamics of giant petrels Macronectes at South Georgia (Aves: Procellariiformes),1984,Journal of Zoology,10.1111/j.1469-7998.1984.tb02343.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021532968&doi=10.1111%2fj.1469-7998.1984.tb02343.x&partnerID=40&md5=9fb686a46730fd509919f0731dff0c11,"The breeding biology and population dynamics of the two species of giant petrels, Macronectes halli and M. giganteus, were studied at Bird Island, South Georgia during 1978–81. The mean laying date of M. halli was in early October, five to six weeks ahead of M. giganteus. In both species males take the larger share (c. 54%) of incubation. The eggs of the two species are of the same size but in M. halli the egg formed a significantly higher proportion of the female body weight. On hatching M. giganteus chicks are 5% heavier than M. halli chicks but there are no sexual differences in weight. Brooding and guarding in M. halli is 11 days longer than in M giganteus and males undertake 60–68% of the duties during this time. Males of both species take five to six days longer to fledge than females and M. halli chicks have a seven to nine day shorter fledging period. The sex ratio amongst chicks is 1: 1. Chick growth (weight, culmen length and wing length) is summarized. Males reach higher peak and fledging weights than females in both species and have significantly larger bills through most of the fledging period. The increase in wing length was similar in both sexes until near the end of the fledging period. Adult M. halli tend to be shorter‐winged, larger‐billed and lighter in weight than M. giganteus at Bird Island. Chick mortality was on average c. 10% higher in M. giganteus than in M. halli leading to a lower overall breeding success in the former. Whilst the breeding population of M. giganteus seems to have stayed relatively stable M. halli has increased in numbers over the last 20 years. However 26‐9‐57–5% of birds colour‐ringed in 1978 did not breed in the subsequent two breeding seasons. Mean annual survival of breeding adults was c. 0–90. Breeding commenced between age 6 and 9 years with males possibly starting earlier than females. The increased population of M. halli and the better survival of their chicks is attributed to the considerable increase in breeding Antarctic fur seals Arctocephalus gazella which provide an abundance of carrion for M. halli nestlings during the first 30 days after hatching. Copyright © 1984, Wiley Blackwell. All rights reserved",Article,Scopus,0.843688451,NA,1,NA,NA,5,1,5,51,0
33,2-s2.0-34147164040,5,5,"Sander M., Carneiro A.P.B., Balbao T.C., Bays S.R., Costa E.S., Mascarello N.E., Oliva T.D., Dos Santos C.R.",14424263000;14424146100;14423916500;16201964300;14423967400;14424267000;16203613500;16030210600;,"Status and trends of antarctic seabirds at Admiralty Bay, King George Island",2005,Polarforschung,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34147164040&partnerID=40&md5=2bde27428b66a9cbf93cc8a748007dd4,"This is a comparative study on the distribution, abundance and density of birds in Admiralty Bay on King George Island, Antarctica, excluding the area called ASPA 128. The survey was carried out during the breeding season of 2004/05. All data pertaining to populations of breeding birds were obtained after defining procedures and registering nests. Abundance and density calculations were made for all ice-free areas having breeding species. For comparison and assessment of the final status of birds in the bay, we used the work by JABLONSKI (1986) undertaken in 1978/79. Of the eight species evaluated, four had a significant population reduction: Pygoscelis antarctica, Macronectes giganteus, Phalacrocorax atriceps, and Sterna vittatta; two species, Daption capense and Chionis alba, remained stable, while Catharacta sp and Larus dominicanus had a population increase.",Article,Scopus,0.841202327,1,1,NA,5,5,1,5,6,NA
59,2-s2.0-84876367261,0,0,"González-Zevallos D., Santos M.M., Rombolá E.F., Juáres M.A., Coria N.R.",14053886000;56207120300;6507679074;16039349200;6603887685;,"Abundance and breeding distribution of seabirds in the northern part of the danco coast, antarctic peninsula",2013,Polar Research,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876367261&partnerID=40&md5=7b0fbceda3c1c04f4e5d17cbd0ecfb3e,"Seabird abundances and breeding distribution have the potential to serve as ecological indicators. The western Antarctic Peninsula is one of the three sites in the world with the greatest increases in local temperature during the last 50 years. The aim of this study was to monitor the distribution and abundance of breeding populations of seabirds in the northern sector of the Danco Coast, north-west of the Antarctic Peninsula, during the breeding season 2010/11. The birds were the Wilson's storm petrel (Oceanites oceanicus), South Polar skua (Stercorarius maccormicki), kelp gull (Larus dominicanus), Antarctic tern (Sterna vittata), snowy sheathbill (Chionis alba), chinstrap penguin (Pygoscelis antarctica), southern giant petrel (Macronectes giganteus), gentoo penguin (Pygoscelis papua), Cape petrel (Daption capense) and Antarctic shag (Phalacrocorax bransfieldensis). Annual breeding population growth increased in pygoscelids, southern giant petrel and sheathbill, and for the remaining species, breeding population trends were stable. Given that seabird populations can provide valuable information on the conditions of their feeding and nesting environments, this study highlights the need to maintain basics monitoring studies. © 2013 D. González-Zevallos et al.",Article,Scopus,0.830370629,1,1,NA,5,5,1,5,1,0
