,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
8,2-s2.0-11344252452,82,82,Dilks P.,6601996313;,"Population status, breeding and ecology of Chatham Island tui (Prosthemadera novaeseelandiae chathamensis)",2004,Notornis,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-11344252452&partnerID=40&md5=97928cc2d3b3f6c26631c1271947632e,"Status, breeding, and foraging of Chatham Island tui (Prosthemadera novaeseelandiae chathamensis) were studied on Rangatira Island, Chatham Islands between January 1995 and May 1999, with short visits made to adjacent Pitt Island throughout this period. The total population was estimated at ≈260 adults. Most birds were resident on Rangatira Island in spring, summer and autumn but moved to Pitt Island during the winter. In spring birds commuted between the two islands but became resident on Rangatira when breeding commenced. Radio transmitters were attached to adult tui to monitor breeding. No radio-tagged female bred (n = 13) but at least two of three radio-tagged males raised young. Adult tui were intolerant of disturbance during nesting so estimation of productivity was made by mapping the number of fledgling groups. Flax (Phormium tenax) nectar appeared to be the most important food for breeding tui and birds travelled long distances to visit flowering plants. Fruits of ngaio (Myoporum laetum), matipo (Myrsine chathamica), karamu (Coprosma chathamica), mahoe (Melicytus chathamicus) and muehlenbeckia (Muehlenbeekia australis) were also important foods. Invertebrates were most important when females were feeding their young. The amount of breeding that occurred each season was directly related to the abundance of flax flowers in spring, and in good flax flowering years tui were able to rear two broods. In poor flax flowering years many birds did not breed. Control of feral cats on Pitt Island would most likely result in a significant increase in this breeding population; however planting of flax adjacent to the the forest areas on Chatham Island along with predator control may be necessary before tui can re-establish there. © The Ornithological Society of New Zealand, Inc. 2004.",Article,Scopus,0.865944672,NA,1,NA,NA,5,1,5,83,NA
3,2-s2.0-0032710086,65,65,"Sagar P.M., Shankar U., Brown S.",7102936664;7005195264;55479567600;,"Distribution and numbers of waders in New Zealand, 1983-1994",1999,Notornis,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032710086&partnerID=40&md5=fa7b737fe9a4b0a94d3f156bd5860c30,"Population sizes and distribution of waders in New Zealand were determined for the first time during summer and winter, 1983-1994. In winter (June/early July), 163 000 New Zealand breeding and 21 000 Arctic migrant waders were recorded, and in summer (November/early December) 37 000 New Zealand breeding and 166 000 Arctic migrant waders were recorded. Species accounts, including seasonal totals for each year 1983-1994, average counts at favoured sites, and distribution maps are presented for the most abundant New Zealand breeding and Arctic migrant waders. The Pied Oystercatcher Haematopus ostralegus was the most abundant New Zealand breeding wader; the estimated winter total of over 112 000 birds showed that the population had increased by about 128% since 1970-71. Counts of Pied Stilt Himantopus bimantopus (estimated winter total c. 28 000 birds) and Banded Dotterel Charadrius bicinctus (c. 11 000 birds) provided the first population estimates for these species during winter in New Zealand. However, both are significantly underestimated because many overwinter inland in sites not counted. Also, most of the Banded Dotterel population migrates to Australia following the breeding season. Wrybill Anarhychus frontalis (c. 3900 birds) was next most abundant native species counted in winter, with most birds recorded in the North Island. Counts of Spur-winged Plover Vanellus miles, Variable Oystercatcher Haematopus unicolor, New Zealand Dotterel Charadrius obscurus, Black-fronted Dotterel Charadrius melanops, and Black Stilt H. novaezelandiae also substantially underestimated population sizes because most birds of these species do not use estuarine sites during winter. During summer, Bar-tailed Godwit Limosa lapponica, Lesser Knot Calidris canutus, and Turnstone Arenaria interpres were the most abundant of the Northern Hemisphere migrants with estimated populations of c. 102 000, 59 000 and 5100 birds, respectively, representing significant proportions of the East Asian-Australasian flyway populations of these species. Less than 700 birds were recorded during summer for each of the other Northern Hemisphere migrants, including (in decreasing order of abundance) Pacific Golden Plover Pluvialis fulva, Red-necked Stint Calidris rufcollis, Whimbrel Numentus phaeopus, Curlew Sandpiper C. ferruginea, Sharp-tailed Sandpiper C. acuminata, and Eastern Curlew N. madagascariensis. Counts of uncommon Arctic migrants (i.e. those which reach New Zealand in most years) are also given.",Article,Scopus,0.860839742,NA,1,NA,NA,5,1,5,66,NA
16,2-s2.0-2142829624,16,16,"Challies C.N., Burleigh R.R.",6507267345;55297710500;,"Abundance and breeding distribution of the white-flippered penguin (Eudyptula minor albosignata) on Banks Peninsula, New Zealand",2004,Notornis,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2142829624&partnerID=40&md5=a6e94c05fb35c316e70b8e8c928dcd46,"A survey of the white-flippered penguin (Eudyptula minor albosignata) nesting colonies on Banks Peninsula, New Zealand was made during the 2000/01 and 2001/02 breeding seasons. Sixty-eight colonies were found of which 51 contained 5-20 nests, 12 21-50 nests, and 5 >50 nests. Altogether there were 2112 nests which equates to a population of c. 5870 birds. Adding the estimated 1650 nests on Motunau Island gave a total population for the subspecies of c. 10,460 birds. The colonies were distributed right around the peninsula with their occurrence increasing from west to east. Most were situated either on the peripheral coast (47%) or inside bays within 1 km of their entrance (38%). All but three of the colonies were on debris slopes below coastal bluffs with the nests concentrated mainly in rock piles. One colony was on an islet, and the other two were on farmland around the heads of bays. Thirty-four of the colonies were considered accessible to introduced mammalian predators, and 14 contained evidence predators had been present. If predator numbers remain high it seems inevitable that many of the surviving penguin colonies will be lost and others reduced in size. © The Ornithological Society of New Zealand, Inc. 2004.",Article,Scopus,0.844955978,1,1,NA,15,5,1,5,17,NA
20,2-s2.0-23844458192,83,83,"Pruett-Jones S., O'Donnell E.",6603853046;8683988700;,"Land birds on barrow island: Status, population estimates, and responses to an oil-field development",2004,Journal of the Royal Society of Western Australia,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-23844458192&partnerID=40&md5=734217f04faf75a5233362c3870a620d,"A census of land birds on Barrow Island, Western Australia was carried out during September and October 2001. A total of 178 transects was conducted in six major vegetation zones, with 777 individuals of 16 species of birds recorded. The six most common species, in order of their abundance, were Spinifexbird (Eremiornis carteri), White-winged Fairy-wren (Malurus leucopterus), Singing Honeyeater (Lichenostomus virescens), White-breasted Woodswallow (Artamus leucorynchus), Zebra Finch (Taeniopygia guttata), and Welcome Swallow (Hirundo neoxena). Our total population estimates for these species were generally comparable to those of a survey of Barrow Island in 1976 (Sedgwick 1978), but some differences existed for these and other species. In an analysis of habitat preferences, more complex vegetation zones supported more species. The density of both Spinifexbirds and Singing Honeyeaters was significantly correlated with the number of emergent shrubs. Also, across vegetation zones, the number of different bird species was correlated with the maximum height of vegetation in a habitat. Species richness and numbers of individuals were compared between natural areas, areas surrounding oil pads, and along roadsides. There was no significant difference in species richness across these three areas, but there was a significant increase in number of individuals along road sides. This latter result occurred because disturbed areas along roadsides were colonized by a large species of spinifex, Triodia angusta, which supported greater numbers of birds than other species of spinifex away from roads. The oil-field development on Barrow Island occupies approximately 4% of the land area on the island and appears, at present, to have had a relatively minor impact on the populations of land birds. This conclusion is qualified in that several species of insectivorous birds have declined in numbers over the last 25 years, and the reasons for these declines are not yet known. © Royal Society of Western Australia 2004.",Article,Scopus,0.839548995,NA,1,NA,NA,5,1,5,84,NA
111,2-s2.0-84979053786,111,111,"Lilleyman A., Garnett S.T., Rogers D.I., Lawes M.J.",56296950300;7004285282;7402047658;7007146026;,"Trends in relative abundance of the eastern curlew (Numenius madagascariensis) in Darwin, Northern Territory",2015,Stilt,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979053786&partnerID=40&md5=aa9ad6616bec4ea919bb04f62caca044,"The Eastern Curlew (Numenius madagascariensis) has recently been uplisted to Critically Endangered under Australian Government legislation due to an ongoing decline of the species population on its non-breeding grounds. Declines have been reported from nearly all monitored sites along the coastline of Australia and at some, local extinction is predicted within the next thirty years. In contrast, numbers recorded at two sites in the Darwin region appear to have increased in the same period. Since 1980 numbers at Lee Point have increased by 9% per year (SE = 2%); at East Arm Wharf in Darwin Harbour, the annual population increase was 17% per year (SE = 9%) for the period of 2009-2015. This local increase over time may reflect changes in bird roosting behaviour and an increase in suitable high tide roosting habitat. The consistent use of an artificial site at East Arm Wharf is promising for adaptive management of the species and other shorebirds that are threatened by the effects of habitat loss along coastlines. © 2015, Australasian Wader Studies Group. All right reserved.",Article,Scopus,0.837589449,NA,1,NA,NA,5,1,5,112,0
81,2-s2.0-67149090802,52,52,"Mac Nally R., Bennett A.F., Thomson J.R., Radford J.Q., Unmack G., Horrocks G., Vesk P.A.",7004168810;40460915100;7402682287;7102677298;26647859000;6603174470;6701443256;,Collapse of an avifauna: Climate change appears to exacerbate habitat loss and degradation,2009,Diversity and Distributions,10.1111/j.1472-4642.2009.00578.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67149090802&doi=10.1111%2fj.1472-4642.2009.00578.x&partnerID=40&md5=a8a360c66d43d47f249dadf6e195947d,"We characterized changes in reporting rates and abundances of bird species over a period of severe rainfall deficiency and increasing average temperatures. We also measured flowering in eucalypts, which support large numbers of nectarivores characteristic of the region. Location A 30,000-km2 region of northern Victoria, Australia, consisting of limited amounts of remnant native woodlands embedded in largely agricultural landscapes. Methods There were three sets of monitoring studies, pitched at regional (survey programmes in 1995-97, 2004-05 and 2006-08), landscape (2002-03 and 2006-07) and site (1997-2008 continuously) scales. Bird survey techniques used a standard 2-ha, 20-min count method. We used Bayesian analyses of reporting rates to document statistically changes in the avifauna through time at each spatial scale. Results Bird populations in the largest remnants of native vegetation (up to 40,000 ha), some of which have been declared as national parks in the past decade, experienced similar declines to those in heavily cleared landscapes. All categories of birds (guilds based on foraging substrate, diet, nest site; relative mobility; geographical distributions) were affected similarly. We detected virtually no bird breeding in the latest survey periods. Eucalypt flowering has declined significantly over the past 12 years of drought. Main conclusions Declines in the largest woodland remnants commensurate with those in cleared landscapes suggest that reserve systems may not be relied upon to sustain species under climate change. We attribute population declines to low breeding success due to reduced food. Resilience of bird populations in this woodland system might be increased by active management to enhance habitat quality in existing vegetation and restoration of woodland in the more fertile parts of landscapes. © 2009 Blackwell Publishing Ltd.",Article,Scopus,0.81841238,NA,1,NA,NA,5,1,5,53,NA
79,2-s2.0-64949137843,29,29,"Saunders D.A., De Rebeira P.",7202074580;25633816900;,"A case study of the conservation value of a small tourist resort Island: Birds of Rottnest Island, Western Australia 1905-2007",2009,Pacific Conservation Biology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-64949137843&partnerID=40&md5=4856c3ae7c93eed0608aee7694330cb0,"The avifauna of Rottnest Island, off the southwest coast of Western Australia, has been studied by three authorities from 1953-1963, 1980-1992 and 1998-2007. In addition, several annotated bird lists have been published since 1905. Over the period 1905 to 2007, 101 species have been recorded from the island, including 41 species of vagrant (species rarely seen with no pattern of occurrence) that have not changed in status over the 102 years. Of the 60 species recorded as part of the island's avifauna, 24 have apparently not changed in status over that period. Thirty-five species have changed in status and/or abundance, including nine species of transequatorial migrant; all Charadriiformes. Seven of these species were formerly absent or vagrants but now are regular visitors, several possibly as a result of range extensions. Two species of transequatorial migrant, formerly regarded as members of the island's avifauna, have become vagrants. Six passerine and one non-passerine species have resident populations that are isolated on the island with no populations on the adjacent mainland. Populations of three of these species are sufficiently different from mainland populations to constitute conservation management units. Rottnest Island is managed as a holiday resort. In the past this management has compromised some of the conservation values. Recommendations for dedicated monitoring programmes and management for the conservation of the island's avifauna are provided.",Article,Scopus,0.814603587,NA,1,NA,NA,5,1,5,30,NA
87,2-s2.0-68549105998,31,31,"Devney C.A., Short M., Congdon B.C.",26032003100;57197231165;6701575762;,Cyclonic and anthropogenic influences on tern populations,2009,Wildlife Research,10.1071/WR08142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68549105998&doi=10.1071%2fWR08142&partnerID=40&md5=b80e7104202ad3fd07d16f70994e4249,"Organisms can be strongly affected by a range of natural and anthropogenic stressors in conjunction, making comprehensive assessments of multiple potential drivers of population dynamics essential. An 18-year dataset obtained for Michaelmas Cay in the northern Great Barrier Reef, Australia, was used to assess population trends for three tern species relative to two potential threatening processes, namely human impacts (as either commercial fishing or tourism) and cyclone activity. We found a positive, 2-year lagged relationship between long-line catch per unit effort in the Eastern Tuna and Billfish Fishery in the vicinity of Michaelmas Cay and breeding participation in the two pelagic foraging terns, but not in the inshore foraging tern. The abundance of large pelagic fish may influence recruitment into the breeding populations of the two pelagic terns in the following years through impacts on prey availability. Long-term population trends for all seabirds were not related to localised direct disturbance from cyclones or associated changes in cay size and/or nesting habitat. Current management protocols in place for the tourism industry at the cay appear to be minimising direct human impacts. Other evidence from this breeding location suggesting that climate variation may be driving foraging success and breeding-population dynamics in the two pelagic terns implies that a precautionary approach is warranted to the management of any potential stressors to birds in this system. © CSIRO 2009.",Article,Scopus,0.812048741,NA,1,NA,NA,5,1,5,32,NA
38,2-s2.0-33750215055,54,54,"Wiebe Robertson M.O., Hines J.E.",15030169300;7201521910;,"Status, distribution, and abundance of Black Brant on the mainland of the Inuvialuit Settlement Region, Northwest Territories, 1995-1998",2006,Occasional Paper of the Canadian Wildlife Service,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750215055&partnerID=40&md5=e80ed2b1ad86ed5d1ceb507cd572a327,"To determine the distribution and abundance of Black Brant Branta bernicla nigricans on the mainland of the Inuvialuit Settlement Region, aerial surveys were flown over a 5014-km2 area of the Tuktoyaktuk Peninsula, Mackenzie Delta, and western Liverpool Bay in June of 1995-1998. The estimated number of Brant, corrected for birds not seen by observers, was 2756 ± 413 (standard error) (0.56 ± 0.08 birds/km2 on 4930 km2) at the Tuktoyaktuk Peninsula - Mackenzie Delta and 3176 ± 588 (37.81 ± 7.00 birds/km2 on 84 km2) at Campbell Island - Smoke-Moose Delta in Liverpool Bay. Another 76-225 Brant were found on small islands in western Liverpool Bay just outside the survey strata. Thus, the total population estimate for the Tuktoyaktuk Peninsula, Mackenzie Delta, and western Liverpool Bay was 6100 birds. Numbers of Brant at western Liverpool Bay have apparently increased since the 1970s or 1980s. Several hundred Black Brant also nest at the Anderson River delta (just east of our survey area), where numbers appear to have declined substantially since the 1970s or earlier. Recaptures of banded Brant suggest that some breeding individuals may have shifted from Anderson River to western Liverpool Bay (approximately 70 km west). Significant numbers of previously marked Black Brant were recaptured during banding drives in 1990-1998, and this information provided a Jolly-Seber estimate, which included both survey strata and Anderson River, of 6211 ± 868 Brant. The proportion of young birds among flocks captured during banding drives varied greatly from year to year (from 8% to 54% young), indicating that annual reproductive success was quite variable and sometimes low. Our results provide a baseline against which future population estimates can be compared.",Article,Scopus,0.805937342,NA,1,NA,NA,5,1,5,55,0
70,2-s2.0-51649113356,89,89,"Mills J.A., Yarrall J.W., Bradford-Grieve J.M., Uddstrom M.J., Renwick J.A., Merilä J.",55520275300;24781342400;6701457675;56201438000;7004662136;7004683954;,The impact of climate fluctuation on food availability and reproductive performance of the planktivorous red-billed gull Larus novaehollandiae scopulinus,2008,Journal of Animal Ecology,10.1111/j.1365-2656.2008.01383.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-51649113356&doi=10.1111%2fj.1365-2656.2008.01383.x&partnerID=40&md5=a6b7853c1d8ee3287ef190aaad76cca4,"1. Using 41 years of data, we examined annual variations in the reproductive performance of the red-billed gull at the Kaikoura Peninsula, New Zealand and related these to changes in climate, oceanography and the availability of the planktonic euphausiid Nyctiphanes australis, the bird's principal food. 2. In 1994 the population began to decline, and between 1983 and 2003 it was reduced by 51%. Adult non-breeders comprised an average of 32% of the population between 1983 and 1994, but following the decline they averaged only 18%. The age at recruitment changed markedly following the population decline: 27% of 2-year-old males bred for the first time prior to the decline, whereas the corresponding figure after the decline was 38%. The proportion of females commencing to breed as a 3-year-old was not significantly different before or after the decline. 3. An increase in the availability of euphausiids increased the likelihood of breeding and the recruitment of young individuals, caused earlier laying and resulted in an increase in the condition of adults, egg volume of gulls laying two egg clutches, clutch size and fledging success. 4. The relationship between food availability and the number of pairs that bred, laying date, clutch size and fledging success was significantly different prior to and after the population decline. The underlying cause appears to be a compensatory density-dependent mechanism that reduced interspecific competition for food. 5. The relative abundance of N. australis was correlated positively with the Southern Oscillation Index (SOI) and the frequency of occurrence of NE winds. The proportion of non-breeders and mean laying date were correlated negatively with the SOI, and mean egg volume of two egg clutches correlated positively with the SOI. 6. These results emphasize that availability of adult euphausiids is critical for red-billed gulls. We hypothesize that high primary productivity of inshore water near Kaikoura in winter, linked to a stable water column of coastal water and upwelling of additional dissolved inorganic nutrients, increases the availability of adult euphausiids to the red-billed gull as long as the coastal water is not replaced by offshore subtropical water intrusions of warmer, low-nutrient water. © 2008 The Authors.",Article,Scopus,0.804172289,NA,1,NA,NA,5,,,90,1
