,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
40,2-s2.0-85018347937,42,42,"Reynolds R.T., Lambert J.S., Flather C.H., White G.C., Bird B.J., Baggett L.S., Lambert C., Bayard De Volo S.",7401830102;57194004433;7004609751;7403458981;56310806700;56088397200;57194011427;57194017602;,Long-term demography of the Northern Goshawk in a variable environment,2017,Wildlife Monographs,10.1002/wmon.1023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018347937&doi=10.1002%2fwmon.1023&partnerID=40&md5=4dd593b93dd52ef94c38c8a5b7b967eb,"The Nearctic northern goshawk (Accipiter gentilis atricapillis) is a resident of conifer, broadleaf, and mixed forests from the boreal to the southwestern montane regions of North America. We report on a 20-year mark-recapture investigation (1991–2010) of the distribution and density of breeders, temporal and spatial variability in breeding, nestling sex ratios, local versus immigrant recruitment of breeders, breeding age structure, age-specific survival rates, and rate of population change (λ) of this species on the Kaibab Plateau, a forested sky island in northern Arizona, USA. We used an information-theoretic approach to rank models representing alternative hypotheses about the influence of annual fluctuations in precipitation on the annual frequency of goshawk breeding and fledgling production. We studied 125 goshawk breeding territories, representing approximately 87% of an estimated 144 total territories based on a mean distance of 3.8 km between territory centers in a 1,728-km2 study area. The salient demographic feature of the population was extensive annual variation in breeding, which manifested as large inter-annual variation in proportions of pairs laying eggs, brood sizes, nest failure rates, and fledgling production. The percent of territories known in a prior year in which eggs were laid in a current year ranged from 8% to 86% (x = 37%, SE = 4.51), annual mean nest failure rate (active nests that failed) ranged from 12% to 48% (overall (x) = 23%, SE = 2.48), and mean annual brood size of successful nests (fledged ≥1 fledgling) ranged from 1.5 young to 2.5 young (overall x = 2.0 young, SE = 0.03). Inter-annual variation in reproduction closely tracked inter-annual variation in precipitation, which we hypothesize influenced primary forest productivity and bird and mammal prey abundance. The best breeding years (1992–1993, 77–87% of pairs laid eggs) were coincident with a record-long El Niño-Southern Oscillation (ENSO) wet period and the worst breeding year (2003; 8% of pairs laid eggs) was the last of a 3-year record drought. Overall breeding success was 83% with most failures occurring during incubation; once eggs hatched, goshawks tended to fledge young. The pooled 20-year nestling sex ratio did not differ from unity (53% M; n = 410 M, 366 F) but was significantly male-biased in 2 years and female-biased in 1 year. Nonetheless, the overall greater production of male fledglings followed a strong trend of greater male production in other goshawk populations, suggesting that breeders might have been adaptively adjusting their offspring sex ratio, perhaps to produce more of the rarer (male) sex. Annual recruitment of new individuals into the breeding population averaged 43% during the study. Study area recruitment rate of hawks locally born (in situ) and banded was 0.12. Both sexes had equal tendencies to return to the Kaibab Plateau to breed (no differences in philopatry) and there were no differences in natal dispersal distances (natal to first breeding site) between the sexes. During the final years of study (1999–2010), an estimated 46% of breeding recruits were locally born and 54% were immigrants from distant forests. Minimum age at first breeding was 2 years and mean age at first breeding by known-age hawks (banded as nestlings or aged on plumage at first breeding) was 3.7 years for males and 3.5 years for females. Mean lifespan (yr from first banding as nestling to last resighting) of known-age goshawks was 6.9 years for both sexes. Mean minimum apparent lifespan of breeders aged ≥4 years based on plumage at first capture was 6.5 years for both sexes. Average age of goshawks at their first detection was 3.9 years old, at which time apparent survival was estimated at 0.77 for both sexes, which was just slightly less than the peak survival of 0.78 as a function of age. Age-specific survival estimates showed a steady decline after 9 years old and approached 0 at 20 years of age. Estimates of λ for breeding adults (M, 0.94, SE = 0.037; F, 0.98, SE = 0.038) provided only weak evidence for a population decline during the study. Although sex was not in the top survival model, models including age + sex were competitive, evidencing lower male than female survival, a finding corroborated by the occurrence of sex effects in the top λ model. Lower male survival may result from higher mortality associated with hunting agile prey in vegetation-filled environments during long breeding seasons when they are the primary forager. Lower survival may be compensated by the more frequent production (53%) of male fledglings. High-severity crown fire was an existential threat to the population. In addition to 4 large high-severity fires that burned roughly 3,770 ha (equal to 3 goshawk territories) in the 30 years preceding 1991, 6 high-severity fires burned another 30,945 ha during our study and killed most (&gt;64%) of the forests in 8 known territories and possibly another 2 that were burned before we completed surveys. Based on a lack of any recent demographic perturbations in age structure, a relatively high and time-constant annual adult survival rate, confidence intervals around adult λ estimates overlapping 1.0, and a study area saturated with territories, we surmise that the goshawk population on the Kaibab Plateau was stable during the 20-year study. Nonetheless, uncertainty remains regarding the population's future status because of a declining trend in breeding frequency, uncertain status (dead, alive, emigrated) of non-breeding adults, extensive temporal and spatial variation in breeding, and high frequency of immigrant recruits to the breeding population on the Kaibab Plateau. If the century-long decline in precipitation persists, especially at the increased rate seen since 1980, and manifests as deeper droughts, diminished wet periods, and weaker pulses in forest productivity, then the Kaibab Plateau goshawk population would be expected to show unambiguous evidence of decline. Evidence would include reduced local and regional goshawk reproduction and survival, reduced frequency of immigration, and further habitat loss to catastrophic fire. © 2017 The Wildlife Society. © The Wildlife Society, 2017",Article,Scopus,0.929213176,NA,1,NA,NA,5,1,5,43,NA
27,2-s2.0-79952126419,10,10,"De Almeida B.J.M., Ferrari S.F.",37002658400;7201818458;,"Seasonal and longitudinal variation in the abundance and diversity of shorebirds (aves, charadriiformes) on Atalaia beach in Northeastern Brazil",2010,Ornitologia Neotropical,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952126419&partnerID=40&md5=f60341ab9009e4ccdd538c6c086eddb9,"Many Nearctic shorebirds cover vast areas during their annual migrations, and depend on an ample network of stopover and wintering areas for their survival. In this study, long-term data are presented on the occurrence of shorebirds at one such site on the coast of the state of Sergipe in northeastem Brazil. A 5-km long stretch of Atalaia Beach was surveyed each month between July 2003 and May 2006 (1-6 surveys per month, total = 101). The surveys resulted in records of three resident shorebird species (Vanellus chilensis, Charadrius collaris and Charadrius wilsonia) and ten Nearctic migrants (Charadriidae and Scolopacidae). The local abundance of these migrants followed a predictable pattern, with the main influx starting at the end of September, during the boreal autumn (with Charadrius semipalmatus arriving slightly earlier). The Semipalmated Sandpiper (Calidris pusilla) and the Semipalmated Plover (Charadrius semipalmatus) were the most abundant species throughout the study period, peaking at 1200 and 700 birds, respectively, in November-February. Some sanderlings (Calidris alba). Ruddy turnstones (Arenaria interpres), and Semipalmated plovers (C. semipalmatus) almost certainly overwinter at the site, and remained in the study area throughout the year, whereas the bimodal distribution of the White-rumped Sandpiper (Calidris fuscicollis) indicates the use of the beach as a stopover during migration to wintering sites further south. Whilst more species were recorded during the first year, counts were lower than in subsequent years, possibly reflecting natural fluctuations in abundance or migration patterns. Overall, the data indicate that the site may be an important stopover or wintering site for populations of at least five species of Nearctic migrants, while it may be visited periodically by a number of other species. © The Neotropical Ornithological Society.",Article,Scopus,0.857401897,1,1,NA,10,5,1,5,11,NA
15,2-s2.0-0036107393,29,29,"Scott Sillett T., Holmes R.T.",18937100500;7402013235;,Variation in survivorship of a migratory songbird throughout its annual cycle,2002,Journal of Animal Ecology,10.1046/j.1365-2656.2002.00599.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036107393&doi=10.1046%2fj.1365-2656.2002.00599.x&partnerID=40&md5=f3248b4b502031204c4af301ac029d5e,"1. Demographic data from both breeding and non-breeding periods are needed to manage populations of migratory birds, many of which are declining in abundance and are of conservation concern. Although habitat associations, and to a lesser extent, reproductive biology, are known for many migratory species, few studies have measured survival rates of these birds at different parts of their annual cycle. 2. Cormack-Jolly-Seber models and Akaike's information criterion model selection were used to investigate seasonal variation in survival of a Nearctic - Neotropical migrant songbird, the black-throated blue warbler, Dendroica caerulescens. Seasonal and annual survival were estimated from resightings of colour-ringed individuals on breeding grounds in New Hampshire, USA from 1986 to 2000 and on winter quarters in Jamaica, West Indies from 1986 to 1999. Warblers were studied each year during the May-August breeding period in New Hampshire and during the October-March overwinter period in Jamaica. 3. In New Hampshire, males had higher annual survival (0.51 ± 0.03) and recapture probabilities (0.93 ± 0.03) than did females (survival: 0.40 ± 0.04; recapture: 0.87 ± 0.06). In Jamaica, annual survival (0.43 ± 0.03) and recapture (0.95 ± 0.04) probabilities did not differ between sexes. Annual survival and recapture probabilities of young birds (i.e. yearlings in New Hampshire and hatch-year birds in Jamaica) did not differ from adults, indicating that from the time hatch-year individuals acquire territories on winter quarters in mid-October, they survive as well as adults within the same habitat. 4. Monthly survival probabilities during the summer (May-August) and winter (October-March) stationary periods were high: 1.0 for males in New Hampshire, and 0.99 ± 0.01 for males in Jamaica and for females in both locations. 5. These annual and seasonal survival estimates were used to calculate warbler survival for the migratory periods. Monthly survival probability during migration ranged from 0.77 to 0.81 ± 0.02. Thus, apparent mortality rates were at least 15 times higher during migration compared to that in the stationary periods, and more than 85% of apparent annual mortality of D. caerulescens occurred during migration. 6. Additional data from multiple species, especially measures of habitat-specific demography and dispersal, will improve our understanding of the relative impacts of the breeding, migratory, and winter periods on population dynamics of migratory birds and thus enhance future conservation efforts.",Article,Scopus,0.84251267,NA,?,Survival?,NA,5,?,5,30,NA
8,2-s2.0-0031679847,31,31,"Gratto-Trevor C.L., Johnston V.H., Pepper S.T.",6602195092;7004931007;7006705792;,"Changes in shorebird and eider abundance in the Rasmussen Lowlands, NWT",1998,Wilson Bulletin,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031679847&partnerID=40&md5=54324b40b7cfe792183da15b30631b7d,"Historical records of population numbers are almost entirely lacking for shorebirds and some species of waterfowl breeding in the Nearctic. In 1975 and 1976, ground surveys of breeding birds were undertaken in the Rasmussen Lowlands, Northwest Territories. We carried out similar censuses in the same area during the summers of 1994 and 1995. Weather conditions and methods were very similar during the two sets of surveys. For all years, we compared densities in different habitat types, as well as estimates for the entire region of total numbers of breeding Red Phalaropes (Phalaropus fulicaria), Pectoral Sandpipers, (Calidris melanotos), White-rumped Sandpipers (C. fuscicollis), Semipalmated Sandpipers (C. pusilla), Black-bellied Plovers (Pluvialis squatarola), American Golden-Plovers (Pluvialis dominica), Dunlin (C. alpina), Baird's Sandpipers (C. bairdii), and King Eiders (Somateria spectabilis). We found that breeding populations of Red Phalaropes, Black-bellied Plovers, American Golden-Plovers, and King Eiders in the 1990s had decreased substantially (7687%) from their numbers in the 1970s. Numbers of other shorebird species did not decrease significantly (1748%). Numbers of Black-bellied Plovers have apparently decreased at staging sites on the east coast of the United States and Canada. However, for American Golden-Plovers, there is no evidence of a decline on the east coast or in at least one other area in the eastern Nearctic. No other population information exists for Red Phalaropes breeding in the eastern Nearctic. Eider numbers appear to be decreasing throughout the Arctic. Possible reasons for declines are habitat changes in migratory staging sites and southern wintering areas. We need more consistent monitoring of arctic shorebirds in order to identify species with continual population declines. Further studies should emphasize Nearctic populations of species showing substantial declines in this study, examining consistency of decreases throughout the Nearctic, and reasons for such changes.",Article,Scopus,0.830093591,NA,1,NA,NA,5,,,32,1
33,2-s2.0-84905243565,5,5,"Burnham K.K., Sinnett D.R., Johnson J.A., Burnham J.L., Baroch J.A., Konkel B.W.",17343683000;56585589600;55645900300;57201251820;44161031600;55597480900;,New species records and changes in abundance of waterfowl in northwest Greenland,2014,Polar Biology,10.1007/s00300-014-1520-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905243565&doi=10.1007%2fs00300-014-1520-z&partnerID=40&md5=16cd6a6ab5d63784a84e31a70f95f309,"Breeding populations of Nearctic and Palearctic waterfowl have undergone significant changes in abundance and distribution over the past 50 years. The Avanersuaq District in northwest Greenland is home to an assemblage of waterfowl from both geographic areas; however, minimal historic or current information is available on species abundance. In 2008 and 2009, we conducted field surveys in Greenland from 76.00° to 77.35°N for breeding and non-breeding waterfowl and have collected anecdotal field notes of avian observations over a 20-year period (1993-2012). During these periods, we documented the first observation of a Ross's goose (Chen rossii) and the first confirmed breeding by lesser snow geese (Chen caerulescens caerulescens) in Greenland. Northern pintails (Anas acuta) were observed for the first time in northwest Greenland, and a previously unknown breeding location for brent geese (Branta bernicla hrota) was also identified. Local populations of greater snow (C. c.) and Canada geese (B. canadensis) have increased in size. The Booth Sound and Drown Bay wetland areas and many islands throughout the Avanersuaq District were identified as critical habitat for both breeding and non-breeding waterfowl. Further increases in waterfowl abundance, including more frequent rare and new visitors, are likely in the study area as breeding populations further south continue to increase and an ameliorating climate allows for a longer breeding season. These results will prove useful as a baseline for comparisons with future surveys. © 2014 Springer-Verlag Berlin Heidelberg.",Article,Scopus,0.819291984,1,1,NA,5,5,1,5,6,NA
29,2-s2.0-79959841285,14,14,"Chandler R.B., King D.I.",25229880000;55751038800;,Habitat quality and habitat selection of golden-winged warblers in Costa Rica: An application of hierarchical models for open populations,2011,Journal of Applied Ecology,10.1111/j.1365-2664.2011.02001.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959841285&doi=10.1111%2fj.1365-2664.2011.02001.x&partnerID=40&md5=73fe878f8764ae157461faae6e651408,"Identifying high-quality habitat is integral to effective species conservation efforts and requires information about habitat-specific abundance and demographics. This information is lacking for many species of conservation concern because of the inherent difficulties associated with implementing mark-recapture studies at large spatial scales. The golden-winged warbler Vermivora chrysoptera is a Neotropical-Nearctic migratory bird experiencing a long-term population decline; yet no information about non-breeding season habitat quality or habitat selection exists to inform conservation efforts. We used a novel hierarchical model that requires only spatially and temporally replicated count data to estimate habitat-specific abundance, apparent survival, recruitment and detection probability of golden-winged warblers wintering in Costa Rica. We quantified habitat selection at the home-range level using radiotelemetry. Golden-winged warblers were absent from tropical dry forest and were most abundant in premontane evergreen forest. Within their home ranges, golden-winged warblers selected microhabitat features associated with intermediate disturbance that reflected their preference for foraging in hanging dead leaves. Consistent with other evidence of a declining population, local population size decreased over the duration of the study. The rate of decrease was higher during the non-breeding season than among seasons. We found no differences in apparent survival or recruitment among habitat types; however, our estimates of these parameters were imprecise. Synthesis and applications. Golden-winged warblers are forest-dependent species during the non-breeding season and have specialized microhabitat requirements that make them vulnerable to ongoing tropical deforestation. However, advanced secondary forests can provide the requisite microhabitat features, and because we found no evidence of reduced survival in this habitat type, regenerating forest on degraded lands may be an effective component of a conservation strategy for this species. Our study also demonstrates that information on population dynamics and habitat quality can be obtained using repeated counts instead of mark-recapture methods. © 2011 The Authors. Journal of Applied Ecology © 2011 British Ecological Society.",Article,Scopus,0.741009818,1,1,NA,10,5,1,5,15,0
35,2-s2.0-84926505057,3,3,"Martínez-Curci N.S., Isacch J.P., Azpiroz A.B.",56584502000;6603320533;14035284400;,"Shorebird seasonal abundance and habitat-use patterns in punta rasa, samborombón bay, Argentina",2015,Waterbirds,10.1675/063.038.0109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926505057&doi=10.1675%2f063.038.0109&partnerID=40&md5=f98720e4298deef9a597f56900e5c090,"Shorebird assemblage composition and habitat-use patterns were characterized at Punta Rasa during the austral summer, autumn and winter. Compared to other sites within the region, this area showed high species richness, reflected by a total of 22 species recorded within a relatively short time frame. Differences in assemblage structure were driven by the use of estuarine mudflats and oceanic sandy beaches as feeding habitats. During low tide, more species used estuarine environments, achieving the highest total densities. Abundance patterns and assemblage composition also changed seasonally. Maximum total abundance occurred during the austral summer, and minimum total abundance during the austral winter. During the austral summer, the assemblage was dominated by Nearctic migrants such as American Golden-Plover (Pluvialis dominica), Hudsonian Godwit (Limosa haemastica) and White-rumped Sandpiper (Calidris fuscicollis). In addition, Two-banded Plover (Charadrius falklandicus) and American Oystercatcher (Haematopus palliatus) were abundant during the austral autumn. The Red Knot (Calidris canutus), a shorebird that dominated the austral autumn assemblage 25 years ago, was recorded in relatively small numbers during this study, probably reflecting the global population trend of a subspecies of the Red Knot (C. c. rufa) in the past two decades. During the austral winter, resident birds largely dominated the assemblage. However, it is noteworthy that some individuals of nine Nearctic migrant species remained in the area. In the case of the endangered Red Knot, Punta Rasa is, along with Lagoa do Peixe in Brazil, one of the sites in South America with the highest known abundances during the austral winter. .",Article,Scopus,0.739160613,1,1,"Changed both to 1, indicates trend/s may be present",5,5,1,5,4,NA
26,2-s2.0-67449166603,13,13,"Norris D.R., Marra P.P., Bowen G.J., Ratcliffe L.M., Royle J.A., Kyser T.K.",7201567626;7004545435;7102648080;7004472573;7005951931;6603346992;,"Migratory connectivity of a widely distributed songbird, the american redstart (Setophaga Ruticilla)",2006,Ornithological Monographs,10.1642/0078-6594(2006)61[14:MCOAWD]2.0.CO;2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67449166603&doi=10.1642%2f0078-6594%282006%2961%5b14%3aMCOAWD%5d2.0.CO%3b2&partnerID=40&md5=5eb8c88bf9ba6f4385786f64187610af,"Determining the degree of connectivity between breeding and wintering populations is critical for understanding the ecology and evolution of migratory systems. We analyzed stable hydrogen isotopic compositions in tail feathers (δDw) collected from 26 sites in 11 countries throughout the wintering range of the American Redstart (Setophaga ruticilla), a Nearctic- Neotropical migratory passerine bird. Feathers were assumed to have molted on the breeding grounds, and δDw was used to estimate breeding origin. Values of δDw were highly correlated with longitude of sampling location, indicating that breeding populations were generally distributed along the east-west axis of the wintering grounds. Within the Caribbean region, Florida, and Bahamas, δDw values were negatively correlated with winter latitude, which suggests that American Redstarts exhibit a pattern of chain migration in which individuals wintering at northern latitudes are also the most northern breeders. To identify the most probable breeding regions, we used a likelihood-assignment test incorporated with a prior probability of breeding abundance using Bayes's rule. Expected δD values of feathers from five breeding regions were based on interpolated δD values from a model of continent-wide growing-season δD values in precipitation (δDp) and were adjusted to account for a discrimination factor between precipitation and feathers. At most wintering locations, breeding assignments were significantly different from expected frequencies based on relative breeding abundance. Birds wintering in eastern and western Mexico had a high probability of breeding in northwest and midwest North America, whereas birds in the Greater and Lesser Antilles were likely to have originated from breeding regions in the northeast and southeast, respectively. Migratory connectivity, such as we report here, implies that the dynamics of breeding and nonbreeding populations may be linked at a regional scale. These results provide a key opportunity for studying the year-round ecology and evolution of spatially connected populations in a migratory species. © The American Ornithologists' Union 2006.",Article,Scopus,0.735613152,0,0,NA,10,5,0,5,14,NA
41,2-s2.0-85053002638,41,41,"Navedo J.G., Fernández G.",23486413000;57202675736;,Use of semi-intensive shrimp farms as alternative foraging areas by migratory shorebird populations in tropical areas,2018,Bird Conservation International,10.1017/S0959270918000151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053002638&doi=10.1017%2fS0959270918000151&partnerID=40&md5=5b2da7e68eef2b7010b55f9394eeb8fa,"Evaluating the ability of anthropogenic habitats to serve as surrogates for natural habitats is an increasingly relevant issue in conservation biology. This issue is especially urgent in tropical coastal wetlands that support large concentrations of migratory shorebird populations and are under pressure from development. Here we evaluated the species composition, abundance, and habitat use of Nearctic migratory shorebirds using recently harvested aquaculture ponds during two non-breeding seasons at shrimp farms surrounding Bahía Santa María (BSM), northwestern Mexico. We also estimated shorebird densities at intertidal units in BSM during and after the harvesting season to explore the connectivity with shrimp farms. Over 25,000 individuals of 25 shorebird species used the surveyed farms (1/413% of shrimp-farm development in BSM; 2014-2015: 10 farms, 994 ha; 2015-2016: 8 farms, 924 ha) during the harvest season. The most abundant species were: Western Sandpiper Calidris mauri, Willet Tringa semipalmata, Marbled Godwit Limosa fedoa, dowitchers Limnodromus spp., Black-necked Stilt Himantopus mexicanus and American Avocet Recurvirostra americana. Numbers of birds decreased as the harvest cycle progressed. Most birds (> 70%) were foraging on the ponds, regardless of tidal stage, while numbers increased during high tide for the most abundant species. At surveyed intertidal areas, shorebird densities were overall similar within and between non-breeding seasons. These results indicate that shrimp farms offer ephemeral but consistent foraging habitats used by non-breeding shorebirds, even in vast coastal wetlands offering a high availability of natural intertidal mudflats. Assuming a similar shorebird use in other shrimp ponds not surveyed within BSM, a significant proportion (> 1% of the biogeographic population) of Willet, Marbled Godwit, and Western Sandpiper, as well as imperilled Red Knot Calidris canutus, might use shrimp farms throughout the harvesting season. Before including current semi-intensive shrimp farms within management plans of BSM, further research is mandatory to assess their utility as alternative foraging habitats for shorebird conservation at tropical areas. Copyright © BirdLife International 2018.",Article in Press,Scopus,0.732616401,NA,1,NA,NA,5,1,5,42,NA
24,2-s2.0-5344234508,8,8,"Sillett T.S., Rodenhouse N.L., Holmes R.T.",6603125258;6602951822;7402013235;,Experimentally reducing neighbor density affects reproduction and behavior of a migratory songbird,2004,Ecology,10.1890/03-0272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-5344234508&doi=10.1890%2f03-0272&partnerID=40&md5=15d1c8e43d609769d83617b91c7d8f67,"Because populations of territorial birds are relatively stable compared to those of other animal taxa, they are often considered to be tightly regulated. However, the mechanisms that produce density-dependent feedbacks on demographic rates and thus regulate these populations are poorly understood, particularly for migratory species. We conducted a three-year density-reduction experiment to investigate the behavioral mechanisms that regulate the abundance of a Nearctic-Neotropical migrant passerine, the Black-throated Blue Warbler (Dendroica caerulescens), during the breeding season. We found that the number of young fledged per territory, territory size, and the proportion of time males spent foraging were significantly greater on territories around which neighbor density was experimentally reduced compared to control territories. Territory quality, proportion of nests depredated per territory, and male countersinging rates were not statistically different between treatments. These results indicate that individuals with more neighbors (i.e., in neighborhoods with greater conspecific density) have reduced breeding productivity. The results also suggest that a crowding mechanism that mediates interactions among territory-holders could generate the density dependence needed to regulate local abundance, at least in areas of homogeneous, high-quality habitat. The effect of the neighbor-density reduction on warbler fecundity and behavior varied with annual fluctuations in weather and food availability, and was strongest in 1997, an El Niño year, when conditions for breeding were least favorable. This variation in our experimental results among years implies that density dependence due to crowding may have its strongest impact on local abundance when environmental conditions are relatively poor.",Article,Scopus,0.723639417,?,?,Control?,5,10,?,5,9,NA
