,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
29,2-s2.0-0033131244,114,114,"Roth R.R., Johnson R.K.",7402469366;57199373389;,Long-term dynamics of a wood thrush population breeding in a forest fragment,1999,NCASI Technical Bulletin,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033131244&partnerID=40&md5=2fd574ba7b6e2308e1d6437761690963,"The dynamics of a population of wood thrushes (Hylocichla mustelina) in a Delaware woodlot from 1974 through 1990 did not meet all predictions of the forest-fragmentation hypothesis, which posits that declining abundance of Neotropical, migratory, forest songbirds results from poor reproduction in, and immigration to, forest fragments. Abundance declined at an average rate of 4% per year over the period 1978 through 1987, equalling the national decline found by the Breeding Bird Survey for those years, but recovered by 1990 to pre-decline levels. Abundance of previous residents followed a similar pattern, the only population component to do so. Abundance of new immigrants and of returning, locally produced young was generally stable. Throughout the study, reproductive rates were high enough to maintain the population at the return rates observed early and late in the study. However, a sustained episode of reduced production per female and of an increased percentage of adults failing to produce any young generally coincided with the decline in abundance. When the failure rate later dropped, return rate and abundance subsequently increased. [The authors] conclude that a period of elevated, predation-caused failure prompted greater emigration by an ever-young, less-site-faithful population. High emigration coupled with stable immigration, stable recruitment of local young, and even normal mortality of residents would yield a declining population. A regional predation episode could cause a broader decline in abundance through several mechanisms that could reduce the number of available immigrants.",Report,Scopus,0.897719829,NA,1,NA,NA,5,1,5,115,NA
45,2-s2.0-0034789342,32,32,"Holmes R.T., Sherry T.W.",7402013235;7004025591;,Thirty-year bird population trends in an unfragmented temperate deciduous forest: Importance of habitat change,2001,Auk,10.2307/4089923,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034789342&doi=10.2307%2f4089923&partnerID=40&md5=ef0b1130dfc68da00111c2bb3f05dd84,"Abundances of forest birds in an unfragmented, undisturbed, and relatively mature temperate deciduous forest at the Hubbard Brook Experimental Forest, New Hampshire, changed markedly between 1969 and 1998. Total numbers of birds (all species combined) declined from 210-220 individuals/10 ha in the early 1970s to 70-90/10 ha in the 1990s. Of the 24 regularly occurring species, 12 decreased significantly (four to local extinction), three increased significantly, and nine remained relatively constant in abundance. Nine of the 12 declining species were Neotropical migrants. Most species exhibited similar trends on Breeding Bird Survey (BBS) routes in New Hampshire during the same 30 year period and on three replicate study sites in nearby sections of the White Mountains from 1986-1998. Probable causes of trends were diverse and differed among species. Most could be accounted for by individual species' responses to events occurring primarily in the local breeding area. The most important local factor affecting bird abundance was temporal change in forest vegetation structure, resulting from natural forest succession and local disturbances. Four species that declined markedly and in some cases disappeared completely from the study plot (Least Flycatcher, Empidonax minimus; Wood Thrush, Hylocichla mustelina; Philadelphia Vireo, Vireo philadelphicus; and American Redstart, Setophaga ruticilla) appear to attain peak abundance in early or mid successional forests. Species preferring more mature forests, such as Black-throated Green Warbler (Dendroica virens) and Ovenbird (Seiurus aurocapillus), increased significantly in abundance over the 30 year study. Other important factors influencing bird abundances were food availability and events in the migratory and winter periods. Nest-predation rates, although varying among years, showed no long-term pattern that would account for population declines, and brood parasites were absent from this forest. Findings from this study demonstrate that major changes in bird abundances occur over time even in undisturbed and relatively mature forests, and illustrate the need for considering habitat requirements of individual species and how habitat suitability changes over time when trying to assess the causes of their long-term population trends. The results also imply that any conclusions about the effects of other factors affecting forest bird abundances, such as increased nest predation or brood parasitism associated with habitat fragmentation, must also account for successional changes that may be affecting habitat suitability.",Article,Scopus,0.878662638,NA,1,NA,NA,5,1,5,33,NA
17,2-s2.0-0032636265,176,176,Askins R.A.,6701503777;,"Population trends in grassland, shrubland, and forest birds in eastern North America",1999,NCASI Technical Bulletin,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032636265&partnerID=40&md5=9edf0495ddc769cc43ce914ca0cce631,"Many species of terrestrial birds have shown substantial population declines in eastern North America. The results of the Breeding Bird Survey (BBS) and other long-term surveys show that the populations of most species of grassland and shrubland specialists have declined during the past 25 years. These declines are primarily due to land-use changes, particularly the growth of forest on abandoned farmland and pasture, and the intensification of agriculture on the remaining farmland. Many grassland and shrubland bird species are dependent on ephemeral habitats that quickly become unsuitable due to vegetation change. Only continual disturbance, such as fire, mowing, grazing, or logging, will maintain habitats for these species. Populations of forest migrants have also declined at particular sites, but the evidence for overall population declines throughout eastern North America is not conclusive. Results of the BBS indicate, in fact, that populations of most species of forest migrants have shown an overall increase during the past 25 years. Long-term trends are difficult to discern, however, because the abundance of forest migrants has fluctuated greatly, generally increasing between 1966 and 1979, and decreasing after 1978. Regardless of past trends in populations of forest migrants, there is cause for concern for their future. Both the breeding habitat (large areas of uninterrupted forest) and winter habitat (tropical forests and other natural or seminatural tropical habitats) needed by many species of forest migrants are threatened with degradation or destruction. The future of both early-succession and forest birds depends on careful management of regional landscapes to maintain a diversity of habitat types, with relatively large areas of continuous grassland, shrubland, and forest.",Article,Scopus,0.85962881,NA,1,NA,NA,5,1,5,177,NA
147,2-s2.0-79952126419,60,60,"De Almeida B.J.M., Ferrari S.F.",37002658400;7201818458;,"Seasonal and longitudinal variation in the abundance and diversity of shorebirds (aves, charadriiformes) on Atalaia beach in Northeastern Brazil",2010,Ornitologia Neotropical,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952126419&partnerID=40&md5=f60341ab9009e4ccdd538c6c086eddb9,"Many Nearctic shorebirds cover vast areas during their annual migrations, and depend on an ample network of stopover and wintering areas for their survival. In this study, long-term data are presented on the occurrence of shorebirds at one such site on the coast of the state of Sergipe in northeastem Brazil. A 5-km long stretch of Atalaia Beach was surveyed each month between July 2003 and May 2006 (1-6 surveys per month, total = 101). The surveys resulted in records of three resident shorebird species (Vanellus chilensis, Charadrius collaris and Charadrius wilsonia) and ten Nearctic migrants (Charadriidae and Scolopacidae). The local abundance of these migrants followed a predictable pattern, with the main influx starting at the end of September, during the boreal autumn (with Charadrius semipalmatus arriving slightly earlier). The Semipalmated Sandpiper (Calidris pusilla) and the Semipalmated Plover (Charadrius semipalmatus) were the most abundant species throughout the study period, peaking at 1200 and 700 birds, respectively, in November-February. Some sanderlings (Calidris alba). Ruddy turnstones (Arenaria interpres), and Semipalmated plovers (C. semipalmatus) almost certainly overwinter at the site, and remained in the study area throughout the year, whereas the bimodal distribution of the White-rumped Sandpiper (Calidris fuscicollis) indicates the use of the beach as a stopover during migration to wintering sites further south. Whilst more species were recorded during the first year, counts were lower than in subsequent years, possibly reflecting natural fluctuations in abundance or migration patterns. Overall, the data indicate that the site may be an important stopover or wintering site for populations of at least five species of Nearctic migrants, while it may be visited periodically by a number of other species. © The Neotropical Ornithological Society.",Article,Scopus,0.857401897,NA,1,NA,NA,5,1,5,61,NA
13,2-s2.0-0030619077,31,31,"Dunn E.H., Hussell D.J.T., Adams R.J.",7102102020;6603636609;55451811800;,Monitoring songbird population change with autumn mist netting,1997,Journal of Wildlife Management,10.2307/3802595,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030619077&doi=10.2307%2f3802595&partnerID=40&md5=872b0c93ff53e49546975f8993f049e5,"Counts of migrating birds potentially could be used to detect population change. This technique would be especially valuable for tracking species poorly monitored by breeding and wintering season counts, such as boreal- nesting songbirds that winter in the tropics. Numbers of migrants counted vary with weather and other factors, however, and we need to demonstrate that migration counts give accurate results. Population trends for 1979-91 were calculated for 13 songbird species captured during autumn mist netting at 2 sites in southern Michigan. All species were northern-nesters occurring at the study sites only as transients. Annual indices of abundance were derived from a multiple regression of daily number of newly-captured birds on independent variables for date, weather, moon phase and year. Trends in the annual capture indices were significantly and positively correlated with trends in breeding bird survey (BBS) data from presumed breeding grounds in Michigan and Ontario, and were of similar magnitude. The results suggest that intensive, standardized netting can be a useful population monitoring tool.",Article,Scopus,0.854520711,NA,1,NA,NA,5,1,5,32,NA
2,2-s2.0-0024747012,173,173,"Robbins C.S., Sauer J.R., Greenberg R.S., Droege S.",7102535575;16182360600;7402059515;6603607372;,Population declines in North American birds that migrate to the neotropics,1989,"Proceedings - National Academy of Sciences, USA",10.1073/pnas.86.19.7658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024747012&doi=10.1073%2fpnas.86.19.7658&partnerID=40&md5=c63fc182a43bd337fe47cd5e3808e290,"Using data from the North American Breeding Bird Survey, the authors determined that most Neotropical migrant bird species that breed in forests of the E USA and Canada have recently (1978-1987) declined in abundance after a period of stable or increasing populations. Most permanent residents and temperate-zone migrants did not show a general pattern of decrease during this period. Field data from Mexico were used to classify a subset of the neotropical migrants as using forest or scrub habitats during winter. Population declines during 1978-1987 were significantly greater among the forest-wintering species, while populations of scrub-wintering species increased. The same subset of neotropical migrants also showed overall declines in forest-breeding species, but no significant differences existed between species breeding in forest and scrub habitats. Neotropical migrant species that primarily use forested habitats in either wintering or breeding areas are declining, but a statistically significant association between habitat and population declines was detected only in the tropics. -Authors",Article,Scopus,0.852052531,NA,1,NA,NA,5,1,5,174,NA
172,2-s2.0-84865721989,159,159,"Segura L.N., Arturi M.F.",30567779300;6602271553;,Habitat structure influences the abundance of the Red-crested Cardinal (Paroaria coronata) in a temperate forest of Argentina [La estructura del hábitat influye en la abundancia del Cardenal Común (Paroaria coronata) en un bosque templado de Argentina],2012,Ornitologia Neotropical,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865721989&partnerID=40&md5=38d12c343ab550e35aab938a13dd6705,"We analyzed the influence of forest structure on the habitat use of the Red-crested Cardinal (Paroaria coronata) in a temperate forest in central-east Argentina during 2005-2008. We counted Cardinals in each season of the year along nine line transects laid out in a dense, border, and open section of the forest. Using Distance program we estimated the population density on this site in 2.1 individuals per ha. Cardinal abundance was lower in the dense forest than in the border and open forest. Cardinal group size and juvenile abundance were also lower in the dense forest than in the open and border forest. The seasonal distribution of Cardinal abundance was different between habitats. The dense forest showed a slight increase during the breeding season, but there were no definite trends in other habitats. Results of this study indicate that habitat characteristics on a small scale are important in determining the abundance of Red-crested Cardinals. Since Cardinals intensively used pastures adjacent to forests, this is likely the cause of the lower abundance in the dense forest. We concluded that combination of dense and open forests in a grassland matrix would be suitable habitat for the conservation of Red-crested Cardinal populations. © The Neotropical Ornithological Society.",Article,Scopus,0.847038164,NA,1,NA,NA,5,1,5,160,NA
242,2-s2.0-85046897777,175,175,"Wilson S., Saracco J.F., Krikun R., Flockhart D.T.T., Godwin C.M., Foster K.R.",57145644800;7005860689;57191906486;15131335400;57188852804;57191902069;,Drivers of demographic decline across the annual cycle of a threatened migratory bird,2018,Scientific Reports,10.1038/s41598-018-25633-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046897777&doi=10.1038%2fs41598-018-25633-z&partnerID=40&md5=ec15e5498c904f7b4b087ca7a3a0eeb9,"Migratory species are rapidly declining but we rarely know which periods of the annual cycle are limiting for most species. This knowledge is needed to effectively allocate conservation resources to the periods of the annual cycle that best promote species recovery. We examined demographic trends and response to human footprint for Canada warblers (Cardellina canadensis), a threatened Neotropical migrant, using range-wide data (1993-2016) from the Monitoring Avian Productivity and Survivorship (MAPS) program on the breeding grounds. Declines in abundance were steepest in the eastern breeding region, followed by the western region. Breeding productivity did not decline in any region. In contrast, we observed declining recruitment in all regions, low apparent survival in the east and west, and a decline in apparent survival in the east. Abundance declined with increasing disturbance around MAPS stations. Between 1993 and 2009, the human footprint index on the breeding range increased by 0.11% in contrast to a 14% increase on the wintering range. Landscape-scale disturbance on the breeding grounds may influence abundance in some regions; however, the observed trends in demography and footprint suggests limitation during the non-breeding period as the likely driver of overall declines, particularly for eastern populations. © 2018 The Author(s).",Article,Scopus,0.84611289,NA,1,NA,NA,5,1,5,176,NA
50,2-s2.0-0036107393,140,140,"Scott Sillett T., Holmes R.T.",18937100500;7402013235;,Variation in survivorship of a migratory songbird throughout its annual cycle,2002,Journal of Animal Ecology,10.1046/j.1365-2656.2002.00599.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036107393&doi=10.1046%2fj.1365-2656.2002.00599.x&partnerID=40&md5=f3248b4b502031204c4af301ac029d5e,"1. Demographic data from both breeding and non-breeding periods are needed to manage populations of migratory birds, many of which are declining in abundance and are of conservation concern. Although habitat associations, and to a lesser extent, reproductive biology, are known for many migratory species, few studies have measured survival rates of these birds at different parts of their annual cycle. 2. Cormack-Jolly-Seber models and Akaike's information criterion model selection were used to investigate seasonal variation in survival of a Nearctic - Neotropical migrant songbird, the black-throated blue warbler, Dendroica caerulescens. Seasonal and annual survival were estimated from resightings of colour-ringed individuals on breeding grounds in New Hampshire, USA from 1986 to 2000 and on winter quarters in Jamaica, West Indies from 1986 to 1999. Warblers were studied each year during the May-August breeding period in New Hampshire and during the October-March overwinter period in Jamaica. 3. In New Hampshire, males had higher annual survival (0.51 ± 0.03) and recapture probabilities (0.93 ± 0.03) than did females (survival: 0.40 ± 0.04; recapture: 0.87 ± 0.06). In Jamaica, annual survival (0.43 ± 0.03) and recapture (0.95 ± 0.04) probabilities did not differ between sexes. Annual survival and recapture probabilities of young birds (i.e. yearlings in New Hampshire and hatch-year birds in Jamaica) did not differ from adults, indicating that from the time hatch-year individuals acquire territories on winter quarters in mid-October, they survive as well as adults within the same habitat. 4. Monthly survival probabilities during the summer (May-August) and winter (October-March) stationary periods were high: 1.0 for males in New Hampshire, and 0.99 ± 0.01 for males in Jamaica and for females in both locations. 5. These annual and seasonal survival estimates were used to calculate warbler survival for the migratory periods. Monthly survival probability during migration ranged from 0.77 to 0.81 ± 0.02. Thus, apparent mortality rates were at least 15 times higher during migration compared to that in the stationary periods, and more than 85% of apparent annual mortality of D. caerulescens occurred during migration. 6. Additional data from multiple species, especially measures of habitat-specific demography and dispersal, will improve our understanding of the relative impacts of the breeding, migratory, and winter periods on population dynamics of migratory birds and thus enhance future conservation efforts.",Article,Scopus,0.84251267,NA,?,Survival estimates,NA,5,?,5,141,NA
20,2-s2.0-0032669222,168,168,"Litwin T.S., Smith C.R.",6601997608;7501653490;,"Factors influencing the decline of Neotropical migrants in a northeastern forest fragment: isolation, fragmentation, or mosaic effects?",1999,NCASI Technical Bulletin,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032669222&partnerID=40&md5=2845bc0935a5c5359074639295ffbfea,"Breeding bird populations at Sapsucker Woods, Ithaca, NY, were analyzed by comparing vegetation and bird censuses conducted in 1949-50 and 1979-80 for the eastern portion of the Sapsucker Woods. Seventeen censuses conducted between 1957 and 1974 were also analyzed. Declines or local extinctions occurred in 10 Neotropical migrant species between 1949 and 1980. Species richness and abundance of the nonmigratory population increased. Although species turnover rates were highly variable, species richness of the total breeding population remained constant. Pair-wise comparisons of 20 yearly Shannon diversity indices revealed little significant variation. Wide-ranging raptor species nested regularly over a period totaling 35 years. Observed declines in breeding densities of Neotropical migrants and concurrent increases in resident species can be explained best by patterns of forest successional change affected by land-use history. Land-use history at local and regional scales can have significant effects on patterns of bird distribution and abundance, particularly with respect to the cumulative effects of gap-phase succession resulting from loss of individual canopy trees. To distinguish bird population changes resulting from local successional patterns from other influences, it is essential that vegetation data be collected and analyzed in parallel with bird population data. In this more dynamic context, reported declines in populations of eastern woodland songbirds, attributed to forest fragmentation, insularization, and even tropical deforestation, might need to be qualified.",Article,Scopus,0.840844332,NA,1,NA,NA,5,1,5,169,NA
