,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_std_mod,Timespan_std_mod,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
64,2-s2.0-85018655985,13,13,"Silva B.M.G., Bugoni L., Almeida B.A.D.L., Giffoni B.B., Alvarenga F.S., Brondizio L.S., Becker J.H.",57194079183;8606809300;57194078410;13806739300;57194077304;36187872100;13807773900;,Long-term trends in abundance of green sea turtles (Chelonia mydas) assessed by non-lethal capture rates in a coastal fishery,2017,Ecological Indicators,10.1016/j.ecolind.2017.04.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018655985&doi=10.1016%2fj.ecolind.2017.04.008&partnerID=40&md5=17a5629bd7db14969c3b43f19c830a72,"Sea turtle populations underwent severe decline in historical times, mainly through harvesting eggs and adults on nesting beaches. With the reduction of this threat in many areas, coupled with other conservation actions, some populations have demonstrated encouraging recovery, although remaining below their previous levels and undergone additional modern threats such as incidental capture in fisheries and pollution. Trends in sea turtle populations have usually been assessed through monitoring of females or nests on nesting beaches. Here we present data from a 22-year monitoring period for a juvenile green sea turtle Chelonia mydas mixed-stock in southeastern Brazil that were incidentally captured in passive non-lethal pound nets. A total of 3639 green turtles were captured in 5323 fishing days.pound−1 with mortality rate of 2%. Captures occurred in all months, but bycatch rates, excluding recapture events, were higher in September and October, probably due to the recruitment of turtles migrating from southern areas, as well as recruits from the oceanic zone. Capture rates increased by 9.2% per year in the period from 1995 to 2016, in line with increasing source populations, particularly the main source contributor at Ascension Island, but also Trindade Island (Brazil) and Aves Island (Venezuela). Mean Curved Carapace Length of green turtles was higher during austral summer/early autumn and decreased markedly in May, probably due to the small-sized individuals that recruited to the study site. We show that the incidental capture of sea turtles in non-lethal fisheries, such as Brazilian pound nets, could also provide data on trends of populations nesting in distant places, and can contribute to the assessment of population status of sea turtles within Regional Management Units throughout the Atlantic Ocean. © 2017 Elsevier Ltd",Article,Scopus,0.920929569,1,1,NA,10,5,1,10,1,5,14,NA
20,2-s2.0-11344252452,41,41,Dilks P.,6601996313;,"Population status, breeding and ecology of Chatham Island tui (Prosthemadera novaeseelandiae chathamensis)",2004,Notornis,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-11344252452&partnerID=40&md5=97928cc2d3b3f6c26631c1271947632e,"Status, breeding, and foraging of Chatham Island tui (Prosthemadera novaeseelandiae chathamensis) were studied on Rangatira Island, Chatham Islands between January 1995 and May 1999, with short visits made to adjacent Pitt Island throughout this period. The total population was estimated at ≈260 adults. Most birds were resident on Rangatira Island in spring, summer and autumn but moved to Pitt Island during the winter. In spring birds commuted between the two islands but became resident on Rangatira when breeding commenced. Radio transmitters were attached to adult tui to monitor breeding. No radio-tagged female bred (n = 13) but at least two of three radio-tagged males raised young. Adult tui were intolerant of disturbance during nesting so estimation of productivity was made by mapping the number of fledgling groups. Flax (Phormium tenax) nectar appeared to be the most important food for breeding tui and birds travelled long distances to visit flowering plants. Fruits of ngaio (Myoporum laetum), matipo (Myrsine chathamica), karamu (Coprosma chathamica), mahoe (Melicytus chathamicus) and muehlenbeckia (Muehlenbeekia australis) were also important foods. Invertebrates were most important when females were feeding their young. The amount of breeding that occurred each season was directly related to the abundance of flax flowers in spring, and in good flax flowering years tui were able to rear two broods. In poor flax flowering years many birds did not breed. Control of feral cats on Pitt Island would most likely result in a significant increase in this breeding population; however planting of flax adjacent to the the forest areas on Chatham Island along with predator control may be necessary before tui can re-establish there. © The Ornithological Society of New Zealand, Inc. 2004.",Article,Scopus,0.865944672,NA,1,NA,NA,5,,,1,5,42,NA
44,2-s2.0-80051750876,47,47,"Obura D., Stone G., Mangubhai S., Bailey S., Yoshinaga A., Holloway C., Barrel R.",55932162400;7202761494;23091619400;49961021400;7004403458;49961540200;49961098400;,"Baseline marine biological surveys of the Phoenix Islands, July 2000",2011,Atoll Research Bulletin,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051750876&partnerID=40&md5=5f5c52f95fe078975ac18d23d4e37379,"Rapid assessment surveys were conducted during a 21-day marine biological expedition to the Phoenix Islands, Republic of Kiribati, from 29 June to 11 July 2000. This study includes new data on the biological diversity and abundance of the region and research and management recommendations. We conducted surveys and over 300 research SCUBA dives among the remote Phoenix Islands: Nikumaroro (Gardner), McKean, Manra (Sydney), Kanton (Aba-Riringa), Enderbury, Orona (Hull) and Rawaki (Phoenix), only excluding Birnie Island due to time limitations. Corals, benthic and mobile invertebrates, fishes, algae, sea turtles, sea birds, and marine mammals were surveyed at each site. Deep-sea life was sampled during seven deployments of an autonomous digital video camera system to 1,000 m depth at Kanton, Manra, and Orona. Coral reef and fish communities were surveyed using rapid assessment methods, small benthic fishes were collected using rotenone as a stunning agent, marine algae were collected by hand primarily during SCUBA dives, and a deepdrop collecting net was deployed to sample deep-sea animals. The reefs show evidence of the extreme isolation of these islands, pounded on three sides by the large ocean swells of the Pacific with only a narrow protected side to the west providing protection for anchorage. Coral species diversity of the islands was moderately high. While lacking in some corals dominant in other major reef areas, the reefs have interesting species assemblages, with prolific growth of some species normally subdominant in other reef areas. The reefs were in an excellent state of health, at the time of these surveys free from the bleaching that has plagued reefs in other parts of the Pacific recently and with no evidence of any coral diseases. Our data include new distribution records for species of algae, coral and fishes. Fish communities were abundant and diverse and included pelagic fishes such as tuna and oceanic mackerels. Significant populations of grey reef, whitetip reef, and blacktip reef sharks were also observed indicating a healthy coral reef ecosystem. Reef macropredators (trevally, Napoleon wrasse) were also abundant. The deep-sea camera recorded images of deep-water sharks including six-gilled and Pacific sleeper sharks. Marine mammal sightings include bottlenose dolphins, Pacific spinner dolphins, beaked whales (Mesoplodon spp.), and unidentified whales. Sea birds observed on Rawaki, McKean, Enderbury, and Orona Islands included tens of thousands of nesting spectacled terns (grey-backed), sooty terns, white fairy-terns, brown noddies, blue-grey noddies, masked boobies, brown boobies, red-footed boobies, red-tailed tropic birds, great frigate birds and lesser frigate birds. Green sea turtle nesting sites were identified on Nikumaroro, McKean and Phoenix Islands. The observations on Rawaki Island are the first confirmed green turtle nestings for that island.",Article,Scopus,0.84393964,NA,0,NA,NA,5,,,0,5,48,0
50,2-s2.0-84876367261,0,0,"González-Zevallos D., Santos M.M., Rombolá E.F., Juáres M.A., Coria N.R.",14053886000;56207120300;6507679074;16039349200;6603887685;,"Abundance and breeding distribution of seabirds in the northern part of the danco coast, antarctic peninsula",2013,Polar Research,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876367261&partnerID=40&md5=7b0fbceda3c1c04f4e5d17cbd0ecfb3e,"Seabird abundances and breeding distribution have the potential to serve as ecological indicators. The western Antarctic Peninsula is one of the three sites in the world with the greatest increases in local temperature during the last 50 years. The aim of this study was to monitor the distribution and abundance of breeding populations of seabirds in the northern sector of the Danco Coast, north-west of the Antarctic Peninsula, during the breeding season 2010/11. The birds were the Wilson's storm petrel (Oceanites oceanicus), South Polar skua (Stercorarius maccormicki), kelp gull (Larus dominicanus), Antarctic tern (Sterna vittata), snowy sheathbill (Chionis alba), chinstrap penguin (Pygoscelis antarctica), southern giant petrel (Macronectes giganteus), gentoo penguin (Pygoscelis papua), Cape petrel (Daption capense) and Antarctic shag (Phalacrocorax bransfieldensis). Annual breeding population growth increased in pygoscelids, southern giant petrel and sheathbill, and for the remaining species, breeding population trends were stable. Given that seabird populations can provide valuable information on the conditions of their feeding and nesting environments, this study highlights the need to maintain basics monitoring studies. © 2013 D. González-Zevallos et al.",Article,Scopus,0.830370629,1,1,"Classed as 1 in another, corrected to 1",5,5,1,5,1,5,1,0
63,2-s2.0-85007441209,17,17,"Pettex E., Laran S., Authier M., Blanck A., Dorémus G., Falchetto H., Lambert C., Monestiez P., Stéfan E., Van Canneyt O., Ridoux V.",6504089427;6503993076;15079115300;57192701144;42361076500;49260952500;56806278100;55886884900;57192698748;55951333000;55951555500;,Using large scale surveys to investigate seasonal variations in seabird distribution and abundance. Part II: The Bay of Biscay and the English Channel,2017,Deep-Sea Research Part II: Topical Studies in Oceanography,10.1016/j.dsr2.2016.11.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007441209&doi=10.1016%2fj.dsr2.2016.11.012&partnerID=40&md5=7000732ef6f9ec2b7cee38f984bb63ec,"Seabird distributions and the associated seasonal variations remain challenging to investigate, especially in oceanic areas. Recent advances in telemetry have provided considerable information on seabird ecology, but still exclude small species, non-breeding birds and individuals from inaccessible colonies from any scientific survey. To overcome this issue and investigate seabird distribution and abundance in the eastern North Atlantic (ENA), large-scale aerial surveys were conducted in winter 2011-12 and summer 2012 over a 375,000 km2 area encompassing the English Channel (EC) and the Bay of Biscay (BoB). Seabird sightings, from 15 taxonomic groups, added up to 17,506 and 8263 sightings in winter and summer respectively, along 66,307 km. Using geostatistical methods, density maps were provided for both seasons. Abundance was estimated by strip transect sampling. Most taxa showed marked seasonal variations in their density and distribution. The highest densities were recorded during winter for most groups except shearwaters, storm-petrels, terns and large-sized gulls. Subsequently, the abundance in winter nearly reached one million individuals and was 2.5 times larger than in summer. The continental shelf and the slope in the BoB and the EC were identified as key areas for seabird conservation, especially during winter, as birds from northern Europe migrate southward after breeding. This large-scale study provided a synoptic view of the seabird community in the ENA, over two contrasting seasons. Our results highlight that oceanic areas harbour an abundant avifauna. Since most of the existing marine protected areas are restricted to the coastal fringe, the importance of oceanic areas in winter should be considered in future conservation plans. Our work will provide a baseline for the monitoring of seabird distribution at sea, and could inform the EU Marine Strategy Framework Directive. © 2016 Elsevier Ltd",Article,Scopus,0.826886112,0,0,NA,10,5,0,10,0,5,18,NA
10,2-s2.0-0034468376,51,51,"Lumpe P., Weidinger K.",18836716000;7004159984;,"Distribution, numbers and breeding of birds at the Northern ice-free areas of Nelson Island, South Shetland Island, Antarctica, 1990-1992",2000,Marine Ornithology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034468376&partnerID=40&md5=5426a23129cce45a5d490c307bfbcc78,"Bird populations were surveyed at the northern ice-free areas of Nelson Island (South Shetland Is.) from December 1990 to May 1992. Seasonal variation in abundance of individual species was evaluated by means of regular censuses along the coastline. The approximate number of breeding pairs for 10 species were: Chinstrap Penguin Pygoscelis antarctica (800), Southern Giant Petrel Macronectes giganteus (40), Pintado or Cape Petrel Daption capense (1300), Wilson's Storm Petrel Oceanites oceanicus (100-500), Black-bellied Storm Petrel Fregetta tropica (10), Greater Sheathbill Chionis alba (2), Subantarctic Skua Catharacta antarctica (12), South Polar Skua C. maccormicki (21), Kelp Gull Larus dominicanus (10), and Antarctic Tern Sterna vittata (100). Species composition of breeding birds has not changed since 1984/85, whereas the higher abundance of some species likely reflects an increased observer effort. Breeding of Antarctic Terns, Kelp Gulls and South Polar Skuas was delayed after the harsh winter of 1991. Compared to earlier studies, no differences were found in clutch size, egg size or breeding success. Thirteen non-breeding species were recorded.",Article,Scopus,0.811735479,NA,1,NA,NA,5,,,,,52,1
15,2-s2.0-0035240744,11,11,"Bó M.S., Copello S.",7004530646;6508062365;,"Distribution and abundance of breeding birds at Deception Island, South Shetland Islands, Antarctica, February to April 2000",2001,Marine Ornithology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035240744&partnerID=40&md5=bedafc83cf100b11d34f5cbc32954393,"A survey of breeding birds during the brooding stage was carried out from February to April 2000 in the southern portion of Deception Island, South Shetland Islands, Antarctica. This island supports two Sites of Special Scientific Interest (SSSI Nos. 21 and 27). Nine species were found breeding in the study area: Chinstrap Penguin Pygoscelis antarctica (an estimated 6820 breeding pairs at two colonies surveyed), Pintado or Cape Petrel Daption capense (36), Wilson's Storm Petrel Oceanites oceanicus (3), Antarctic Cormorant Phalacrocorax atriceps bransfieldensis (9), Greater Sheathbill Chionis alba (2), Subantarctic Skua Catharacta antarctica (4), South Polar Skua C. maccormicki (11), Kelp Gull Larus dominicanus (49) and Antarctic Tern Sierna vittata (5). Due to the increasing tourist activity at Deception Island, better information on the location and size of breeding populations is a particular requirement if effective precautionary conservation actions are to be taken.",Article,Scopus,0.810827376,0,0,NA,10,5,0,10,0,5,12,0
46,2-s2.0-80052979401,62,62,"Tuck G.N., Wilcox C.",6701797338;7203060884;,Assessing the impacts of fishing and habitat loss on the Lord Howe Island population of flesh-footed shearwaters,2009,"18th World IMACS Congress and MODSIM09 International Congress on Modelling and Simulation: Interfacing Modelling and Simulation with Mathematical and Computational Sciences, Proceedings",NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052979401&partnerID=40&md5=20005f2454df990c94800938e608fcbc,"The flesh-footed shearwater Puffinus carneipes is a medium-sized seabird with a single eastern Australian population breeding on Lord Howe Island. Other breeding populations exist in New Zealand, south-western Western Australia and St. Paul Island in the Indian Ocean. Tagging and banding studies indicate that breeding birds of the Lord Howe Island population inhabit waters mainly to the west of the Island during October to May. Birds then migrate north to waters surrounding Japan during the Austral winter. Seabirds are attracted to the baited hooks of longline vessels and can become snagged and drown as the line sinks into the water. Observations of flesh-footed shearwater (FFS) bycatch in Australian waters have been recorded on both Japanese and domestic longline fishing vessels. Increased observer coverage between 2002 and 2004 on Australian longline vessels, in order to monitor the effectiveness of an under-water setting chute and various line-weighting regimes, showed large bycatch rates of seabirds, and in particular flesh-footed shearwaters (Baker and Wise, 2005). In addition, substantial reductions in colony size have occurred on the island due to housing development. As a consequence of these sources of additional mortality, concerns have been expressed about the population's sustainability. Australia has international and national obligations to ensure that fishery interactions with seabird populations are not deleterious to their populations. The ""incidental catch (or by-catch) of seabirds during oceanic longline fishing operations"" has been listed under the Environment Protection and Biodiversity Conservation Act 1999 as a key threatening process for seabirds (Environment Australia, 1998). Flesh-footed shearwaters were nominated as being at risk from longline fishing. This paper presents a quantitative impact assessment that fully integrates information on the biology, foraging distributions, links to oceanography, fishing interactions (Northern and Southern Hemisphere), and potential impacts from housing on Lord Howe Island. A discrete age-, sex- and colony-structured model is developed that accounts for natural and fishing mortality, together with potential consequences from the loss of nesting habitat on Lord Howe Island. The model is able to fit to tagging data on breeding foraging distributions. These data assist the model in predicting where the birds might be when at sea. The birds' position is assumed to be a function of time of year, sea surface temperature and longitude. Using the predicted positions, the model fits to data on the observed bycatch from the Australian domestic longline fishery. These data enable the model to predict the probability of catching a bird, given various operational characteristics (e.g. setting at night). The model also fits to data from the two surveys of breeding abundance that have occurred on Lord Howe Island.",Conference Paper,Scopus,0.806503312,NA,1,two surveys of abundance?,NA,5,,,1,5,63,NA
11,2-s2.0-0034474179,26,26,"Quintana R.D., Cirelli V., Orgeira J.L.",56257286800;6508390334;6505900242;,"Abundance and spatial distribution of bird populations at Cierva point, Antarctic Peninsula",2000,Marine Ornithology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034474179&partnerID=40&md5=f1fc9f56d0280e7bf87de3622e7854cf,"The bird community in the vicinity of Cierva Point, Antarctic Peninsula (including Site of Special Scientific Interest No. 15), was surveyed from the 1990/91 to 1995/96 breeding seasons. Of 15 bird species found in the area, 13 were breeders (Chinstrap Penguin Pygoscelis antarctica, Adélie Penguin P. adeliae, Gentoo Penguin P. papua, Southern Giant Petrel Macronectes giganteus, Pintado or Cape Petrel Daption capense, Snow Petrel, Pagodroma nivea, Wilson's Storm Petrel, Oceanites oceanicus, Imperial Cormorant or Blue-eyed Shag Phalacrocorax atriceps, Greater Sheathbill Chionis alba, Subantarctic Skua Catharacta antarctica, South Polar Skua C. maccormicki, Kelp Gull Larus dominicanus and Antarctic Tern Sterna vittata) whereas two were non-breeding visitors: White-chinned Petrel Procellaria aequinoctialis and Blacknecked Swan Cygnus melanocoryphus. Gentoo Penguins, Wilson's Storm Petrels, and both skua species were the most abundant on the mainland coast. Chinstrap Penguin and Imperial Cormorant colonies on Pingüino Island were the most numerous. Spatial distribution of nest sites was closely associated with environmental features in all surveyed years. A slight increase in the diversity of nesting and non-breeding resident species was observed after 1990. The low human impact on the area, which affects only the surroundings of Primavera Station, was likely to be significant in the establishment of bird colonies.",Article,Scopus,0.785248233,1,1,NA,15,5,1,15,1,5,27,0
8,2-s2.0-0034391507,6,6,"Colwell A.M., Sundeen K.D.",7004105598;6507676726;,Shorebird distributions on ocean beaches of Northern California [Distribución de aves playeras en las playas oceánicas del Norte California],2000,Journal of Field Ornithology,10.1648/0273-8570-71.1.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034391507&doi=10.1648%2f0273-8570-71.1.1&partnerID=40&md5=a7bd518780b29894ddb06aa5ef8dbf88,"Use of coastal beaches by nonbreeding shorebirds along the Pacific coast of North America is poorlv understood because survey efforts have targeted large bays and wetlands where birds concentrate. Consequently, we studied coastal shorebird distributions and community composition by conducting monthly surveys at 40, 0.5-km linear plots along sandy beaches of coastal northern California from January through April 1996. We recorded 12 species, whose ranked abundances were consistent between winter (January-February) and spring (March-April). However, five of the six commonest species were more abundant in winter than spring. Among beaches, we detected a mean of 2.6 ± 2.3 (SD; range: 0-9) species and 12.0 ± 14.1 (range: 0-62) individuals. Number of species correlated positively with total shorebird abundance. Most species' abundances varied greatlv among sites; nine taxa had aggregated spatial distributions, one species was hyper-dispersed, and two species were randomly distributed among beaches. Species composition of the shorebird community was highly nested, partly because abundant species were more widespread in their occurrence than less-numerous taxa. More species and individuals occurred at sites near Humboldt Bay, probably because high tides forced birds off their principal feeding areas within the bay to adjacent beaches. Variation in shorebird use of beaches suggests that some areas are more important to wintering and migrating shorebirds than other locations. Although current levels of human activity in coastal northern California do not appear to influence distributions of nonbreeding shorebirds, we suggest that monitoring and management plans be considered to minimize potential negative impacts of recreational activities, which are certain to increase with human population size and recreational use of beaches.",Article,Scopus,0.780344381,0,0,NA,5,5,0,5,0,5,7,NA
