"","EID","X__1","Unnamed: 0","Authors","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract","Document Type","Source","p","Relevance_std","Relevance_ranked","X__2","Timespan_std","Timespan_ranked","Scopus_index","Present_in_training_docs"
"1","2-s2.0-0023554910",19,19,"Compredon P.","6504267805;","Reproduction of aquatic birds in the Banc d'Arguin National Park, Mauritania, 1984-1985 [La reproduction des oiseaux d'eau sur le Parc National du Banc d'Arguin (Mauritanie), en 1984-1985]",1987,"Alauda",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023554910&partnerID=40&md5=4bfd8e41cd6044892ca07ac6054107a9","Cormorant Phalacrocorax carbo, white pelican Pelecanus onocrotalus, grey heron Ardea cinerea, and Caspian tern Hydroprogne caspia show a noticeable increase. Tropical species (reef heron Egretta gularis and bridled tern Sterna anaetheta) show a pronounced decline which may, at least in part, be related to 2 nesting islands having been abandoned after visits from ground predators. The abundance and diversity of nesting populations at the Banc d'Arguin is dependant on the number and distribution of its islands, availability of resources and moderation of human activities. There are representatives of both the Palearctic and Ethiopian faunal groups and there are both estuarine and sea birds. -from English summary","Article","Scopus",0.730327616211096,"1","1",NA,15,15,20,NA
"2","2-s2.0-0028984203",47,47,"Keast A.","6603781432;","The nearctic-neotropical bird migration system",1995,"Israel Journal of Zoology","10.1080/00212210.1995.10688814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028984203&doi=10.1080%2f00212210.1995.10688814&partnerID=40&md5=d871b9a5ea394bffbc2517f7c27fe80a","A review of the Nearctic-Neotropical migration system reveals that: (1) 90% of breeding land and fresh-water species in the sub-Arctic are migrants, 80% in southern Ontario, and 50-60% in Florida and Arizona. (2) Insectivorous Parulinae winter from 30°N to 10°S; seed-eating Emberizinae from 40° to 15°N; aerial feeding Tyrannidae and diurnal birds-of-prey trans-equatorially; and ducks from 50° to 5°N. (3) Co-occurrence of migrant species is facilitated by geographic and habitat allopatry, varying levels of ecological distinctness, sparse dispersal, and, sometimes, intraspecific spatial separation of sexes and age-groups. (4) Migrant-resident co-occurrence is facilitated by high proportions of the two belonging to different taxonomic and ecological groups and, within families, partial feeding zone and habitat segregation. All, however, draw on a common food pool. Too little is known about the winter food support base, differential habitat utilizations, species abundances, and biological needs, either to gauge whether interspecific competition has been a major evolutionary factor, or to differentially predict the efforts of future deleterious habitat change. In two appendixes, the Nearctic-Neotropical, Palearctic-African, and Asian migration systems are compared, and data pertaining to current population trends in Neotropical migrants are compiled. © 1995 Taylor & Francis Group, LLC.","Article","Scopus",0.535370732583405,NA,NA,NA,NA,NA,48,NA
"3","2-s2.0-0030322327",46,46,"Newton S.F., Newton A.V.","57196519236;7201389655;","Seasonal changes in the abundance and diversity of birds in threatened juniper forest in the southern Asir mountains, Saudi Arabia",1996,"Bird Conservation International","10.1017/S0959270900001829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030322327&doi=10.1017%2fS0959270900001829&partnerID=40&md5=db35a46455dc347f4a5795ffcd8c36a2","Juniper forest once covered much of the upper slopes (2,000-3,000 m) of the Rift Valley escarpment in the Asir mountains of south-west Saudi Arabia. One of the best preserved tracts is at Raydah near Abha, where a complete altitudinal floristic zonation persists. Although only about 125 bird species have been recorded in the area, the community is of considerable conservation interest due to high densities of endemic species and resident or breeding Afrotropical forest species, together with a wide range of diurnal raptors, owls and nightjars. The forest does not appear to support many Palearctic-African migrants during periods of passage, although several Palearctic species overwinter in considerable numbers. Scrub and mixed deciduous and riparian forest scattered throughout the junipers hold highest bird diversities but the juniper stands are vitally important to the well-being of Yemen Thrush Turdus menachensis, Yemen Warbler Parisoma buryi and Yemen Linnet Carduelis yemenensis populations. The disappearance of juniper forest from neighbouring Yemen necessitates that highest priority conservation action should be given to the remaining intact forests such as Raydah, in an attempt to preserve their unique biodiversity.","Article","Scopus",0.721559237220918,NA,"0",NA,NA,15,47,NA
"4","2-s2.0-0030437997",32,32,"Luniak M.","6603218430;","Inventory of the avifauna of Warsaw - Species composition, abundance, and habitat distribution",1996,"Acta Ornithologica",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030437997&partnerID=40&md5=c64889407c86be723e78fb8817859318","Investigations covered the administrative area of Warsaw (485 km2) in the period since 1986. A total of 213 bird species were recorded, 169 of them occurring regularly, 140-145 - breeding or probably breeding, about 78 - wintering regularly, about 28 - observed only in migration seasons. The list of sp. their abundance and habitat distribution is given in the Appendix. The overall bird population was estimated at 190-370 thousand pairs and ca 300-900 ind. in winter House Sparrows and Feral Pigeons made up 56% of the breeding population, and in winter 76% (including Rook). In comparison to the inventory made over thirty years ago the number of species inhabiting Warsaw seems similar, but interchange of species and changes of their populations were considerable. 94% of the breeding species were of native (mainly Palearctic) origin, but a majority of the population (56%) were southern species. Of the 7 main types of habitats distinguished, peripheral forest parks were richest in breeding species, the Vistula river was the richest in migrants and the built up areas had the highest density of bird populations.","Article","Scopus",0.897404629603939,NA,"1",NA,NA,5,33,NA
"5","2-s2.0-0030449631",2,2,"Lefebvre G., Poulin B.","7102889628;7003681915;","Seasonal abundance of migrant birds and food resources in panamanian mangrove forests",1996,"Wilson Bulletin",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030449631&partnerID=40&md5=e49c2f3b47c25ca7a2224de22467481d","We studied temporal variation in abundance of Nearctic-Neotropical migrants, particularly the Northern Waterthrush (Seiurus noveboracensis), Prothonotary Warbler (Protonotaria citrea), and American Redstart (Setophaga ruticilla) in two black mangrove sites of central Panama from September 1993 through May 1995. The two sites, on the Caribbean and the Pacific coasts, differ importantly in annual rainfall, tide amplitude, and seasonal invertebrate abundance. Most migrant species varied temporally in abundance with the opposite pattern at each site, suggesting mid-winter movements correlated with abundance of food resources. Because of their wide geographic distribution and their particular response to hydrographic factors, mangroves are likely to have a temporally complementary role in sustaining migrant populations throughout the Neptropics. However, variations in migrant numbers reported in other Neotropical habitats could also reflect large-scale movements by migrants. Occurrence of mid-winter (facultative) migration has been documented mostly for the Palearctic-African migratory system, and needs to be investigated in the Nearctic-Neotropical realm for proper conservation of migratory species.","Article","Scopus",0.694401608498761,"1",NA,NA,5,NA,3,NA
"6","2-s2.0-0031400737",41,41,"[No author name available]","[No author id available]","Pelecanus crispus dalmation pelican",1997,"BWP Update",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031400737&partnerID=40&md5=6cec29f9c2a594c850ee29aa893323f1","The population of the Dalmatian Pelican was in decline in many countries, but protection in all countries of the West Palearctic coupled with active conservation measures has resulted in a stabilization of numbers though few colonies are, as yet, showing any increase. Colour ringing has revealed considerable new information on movements: birds breeding in Europe wintering the east Mediterranean, mainly Greece and Turkey. Breeders in the former USSR winter either in the Caspian Sea are or in wetlands from Iraq to western India. More information is abailable on spring arrival and autumn departure from colonies. Knowledge of diet of chicks has been acquired from regungitates. In some areas there are interannual variations in prey caught. Overall, diet composition depends largely on relative abundance and distrubiton of prey species. The pair bond is confirmed as lasting for the breeding season only. Adults mostly feed in the colony area, but may commute from 10 to 50 km to obtain food. New data are presented on several aspects of breeding, including nest size and inter-nest distance, incubation and fledging periods and breeding success.","Article","Scopus",0.826143054468892,NA,"1",NA,NA,5,42,NA
"7","2-s2.0-0031669248",50,50,"Koffijberg K., Beekman J., Van den Bergh L., Berrevoets C., Ebbinge B., Haitjema T., Philippona J., Prop J., Spaans B., Zijlstra M.","16643516000;7004389921;6602592564;6601974255;6603656405;25958670900;6504191003;7005683935;6602710948;7003862147;","Goose and swan numbers in the Netherlands, 1990-95 [Ganzen en zwanen in Nederland in 1990-95]",1998,"Limosa",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031669248&partnerID=40&md5=3d1a12164404c6d375a68844a8e6b0de","This paper summarises results of goose and swan counts in The Netherlands from 1990/91 through 1994/95 presenting information on numbers and percentage of first-year birds (Tabs 2-13), trends (Fig 2). seasonal patterns (Fig. 3) and spatial distribution (Fig 4). A mid-monthly counting scheme runs from October to March (all species, both geese and swans), additional counts being organised for Greylag Geese in Semptember and Brent Geese in May (Tab. 1). Prior to 1993, only geese were taken into account whereas census work was mainly undertaken during periods of peak-occurrence of the various species. Seven goose and three swan species occur as regular visitors to The Netherlands. Most abundant species are White-fronted, Greylag, Barnacle and Brent Geese. In all species numbers recorded are of international importance (Tab. 13). Occurrence of Bewick's Swan and Pink-footed, White-fronted, Greylag, Barnacle and Brent Geese highlight the important position of the Netherlands in the West-Palearctic network of flyways. The entire Svalbard population of Pinkfooted Goose stages in the Netherlands in autumn (November). Since the 1960s most species have shown a marked increase (Fig. 2). This trend conforms with overal West-Palearctic trends, often attributed to better protection measures (lower hunting pressure), improvement of feeding habitats in winter and/or changes in flyways. Results of Dutch counts suggest that in most species population growth has levelled off during the 1990s. Fluctuations in numbers over the past decades may be due to severe winter conditions, resulting in an influx of species which regularly winter in the Baltic or eastern Europe (e.g. Whooper Swan, Tundra and Taiga Bean Goose), or in an efflux of birds wintering in The Netherlands to the British Isles and Belgium and northern France (e.g. Bewick's Swan, White-fronted Goose). Since there were no severe winters during 1990/91-1994/95 (Fig. 1), goose and swan numbers as well as seasonal patterns and distribution throughout the country refect the situation in mild winters. The series of mild winters from 1986/87 onwards, eventually may have contributed to increasing numbers of wintering Bewick's Swans and Greylag Geese, whereas numbers of Whooper Swan and Taiga and Tundra Bean Geese have dropped to a lower level as compared to the 1980s.","Article","Scopus",0.740698458554578,NA,"1",NA,NA,15,51,NA
"8","2-s2.0-0033675997",38,38,"Ganter B., Boyd H.","7003634621;7005607870;","A tropical volcano, high predation pressure, and the breeding biology of Arctic waterbirds: A circumpolar review of breeding failure in the summer of 1992",2000,"Arctic","10.14430/arctic859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033675997&doi=10.14430%2farctic859&partnerID=40&md5=6fffa94e5abc1714542d4527e7af2e20","Although periodic breeding failures of Arctic-nesting birds on a regional scale are common, a breeding failure encompassing almost the entire Arctic in the same year is exceptional. In the spring and summer of 1992, however, the aerosol cloud resulting from the 1991 eruption of Mount Pinatubo (Philippines) had reached the high northern latitudes and caused significant cooling in most of the Arctic, with widespread negative consequences for Arctic-breeding birds. At the same time, low abundance of small rodents and high abundance of predators presented additional problems for breeding birds in parts of the Palearctic. We compiled data on breeding biology of Arctic waterfowl and waders from more than 30 field studies to illuminate in what ways the circumpolar bad weather and predation influenced the breeding season of Arctic birds in 1992. Most projects reported a higher proportion of nonbreeders and a delayed onset of nest initiation compared to other years. Hatching and fledging success of the low number of late breeders was reduced. In addition, some projects reported lower clutch sizes and increased adult mortality. Detailed data from field studies are complemented by data on overall reproductive success of waterfowl and wader populations collected from staging and wintering grounds. In total, there was an almost complete reproductive failure for waders and waterfowl throughout the Arctic in 1992, suggesting a short-term effect on global waterbird populations. This is an example of climatic fluctuations influencing reproductive biology of a group of species on a circumpolar scale.","Article","Scopus",0.803868275833811,NA,"?","Compiles breeding biology studies, may contain abundance trends but unclear.",NA,10,39,NA
"9","2-s2.0-0038335514",28,28,"Salewski V., Falk K.H., Bairlein F., Leisler B.","35619651300;7102412607;7003819014;6701393475;","Numbers, body mass and fat scores of three Palearctic migrants at a constant effort mist netting site in Ivory Coast, West Africa",2002,"Ardea",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038335514&partnerID=40&md5=7d906a9b23ca970203433fb9ac8b9386","Constant effort mist netting sites are widely used along the Palearctic-African migration system in areas north of the Sahara to collect standardised migration data. However, in sub-Saharan Africa such sites are scarce. We present data collected at a constant effort site which we ran once about every ten days in the northern Guinea savannah zone in north-east Ivory Coast from 1994 to 1998 in four successive European winters. The species most frequently caught were Willow Warbler Phylloscopus trochilus, Melodious Warbler Hippolais polyglotta and Pied Flycatcher Ficedula hypoleuca. Phenology data showed that the three species were more frequently mist netted early and late in the winter which was presumed to coincide with times of migration through the area. However, care must be taken when interpreting the data because Pied Flycatchers were abundant in other habitats in times when none was mist netted and therefore the data do not reflect relative abundance in the area. In Willow Warbler and Melodious Warbler, the data indicate possible itinerant behaviour. All three species show highest median body mass and scores toward the end of the winter but this is not significant in Pied Flycatcher, possibly due to the low capture rate. Although there are individual birds with high mass and fat scores, there is no indication that the area serves as an important stopover area for premigratory fattening as some sites in the Sahel region.","Conference Paper","Scopus",0.661934879912029,NA,NA,NA,NA,NA,29,NA
"10","2-s2.0-14244269812",18,18,"Browne S., Aebischer N.","7102478355;7005830954;","Studies of West Palearctic birds: Turtle dove",2005,"British Birds",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-14244269812&partnerID=40&md5=161bfb77e5d420cfd9ace9c6cf00431b","The Turtle Dove Streptopelia turtur has declined, in terms of both range and abundance, throughout much of northern Europe over the last 30 years. Until recently, the species was relatively poorly studied in the modern agricultural landscape in Britain. Concerns over its conservation status prompted an intensive research programme to gather information on its breeding ecology, identify the causes of the recent decline and make recommendations to aid its recovery and conservation. Turtle Doves require tall, overgrown bushes for nesting and short weed-rich areas for feeding, but agricultural intensification has markedly reduced the availability and suitability of these habitats. Over the last 40 years, Turtle Doves have switched from foraging in 'natural habitats' to those created by humans, and their diet is now primarily seeds from cultivated plants. The number of chicks fledged per pair per year is today almost half that in the 1960s, while autumn migration has become significantly earlier. Many management options to help to conserve the species can be achieved within the current UK agri-environment policy framework. © British Birds 98.","Article","Scopus",0.748725055125462,"1","1",NA,15,10,19,NA
