,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_std_mod,Timespan_std_mod,Scopus_index,Present_in_training_docs
50,2-s2.0-33645099456,46,46,"Arnold J.M., Brault S., Croxall J.P.",35478434400;6602434663;7004527404;,Albatross populations in peril: A population trajectory for Black-browed Albatrosses at South Georgia,2006,Ecological Applications,10.1890/03-5340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645099456&doi=10.1890%2f03-5340&partnerID=40&md5=7885c213300142968ff1fa33700bc7d4,"Simulation modeling was used to reconstruct Black-browed Albatross (Diomedea melanophris) population trends. Close approximations to observed data were accomplished by annually varying survival rates, reproductive success, and probabilities of returning to breed given success in previous years. The temporal shift in annual values coincided with the start of longline fishing at South Georgia and potential changes in krill abundance. We used 23 years of demographic data from long-term studies of a breeding colony of this species at Bird Island, South Georgia, to validate our model. When we used annual parameter estimates for survival, reproductive success, and probabilities of returning to breed given success in previous years, our model trajectory closely followed the observed changes in breeding population size over time. Population growth rate was below replacement (lambda < 1) in most years and was most sensitive to changes in adult survival. This supports the recent IUCN uplisting of this species from ""Vulnerable"" to ""Endangered."" Comparison of pre-1988 and post-1988 demography (before and after the inception of a longline fishery in the breeding area) reveals a decrease in lambda from 0.963 to 0.910. A life table response experiment (LTRE) showed that this decline in lambda was caused mostly by declines in survival of adults. If 1988-1998 demographic rates are maintained, the model predicts a 98% chance of a population of fewer than 25 pairs within 78 years. For this population to recover to a status under which it could be ""delisted,"" a 10% increase in survival of all age classes would be needed. © 2006 by the Ecological Society of America.",Article,Scopus,0.886828932,NA,1,NA,NA,5,,,47,NA
52,2-s2.0-34250141159,116,116,"Burchett M.S., Ricketts C.",6603913002;57191001782;,The population dynamics of Notothenia rossii from South Georgia (Antarctica),1984,Polar Biology,10.1007/BF00265565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250141159&doi=10.1007%2fBF00265565&partnerID=40&md5=6039ce2ac718d4c4e06cf405720d68c8,"The population dynamics of nearshore juvenile Notothenia rossii were studied at South Georgia during 1978 and 1979. Mortality of the population was calculated from length-class abundance of fish sampled by trammel nets, and the population size estimated using a mark and recapture technique. Instantaneous natural mortality in the nearshore population was high (M=0.78) although other author's estimate for the mortality in the offshore population was only 0.35. Therefore it is likely that no single estimate of mortality will apply to fish of all ages. The population density of juvenile N. rossii was about 11 g m-2 nearshore. The size of the offshore population was estimated by calculating survival from the nearshore age classes. The data suggest that the population around South Georgia has been reduced by overfishing to about one tenth of its previous unexploited level. Yield could have been increased by fishing less intensively, and the population maintained at or near its initial level if recruitment remained constant. © 1984 Springer-Verlag.",Article,Scopus,0.883955661,NA,1,NA,NA,5,,,117,NA
53,2-s2.0-34447337211,4,4,"Creuwels J.C.S., Poncet S., Hodum P.J., Van Franeker J.A.",8646015200;14049119900;6603135162;6602084064;,Distribution and abundance of the Southern Fulmar Fulmarus glacialoides,2007,Polar Biology,10.1007/s00300-007-0276-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447337211&doi=10.1007%2fs00300-007-0276-0&partnerID=40&md5=46967a167e82011f7b080ac173bf6669,"We reviewed published and unpublished literature to establish the status of the breeding distribution and abundance of Southern Fulmars Fulmarus glacialoides. The species breeds widely throughout the Antarctic and on peri-Antarctic islands. From breeding population data collated from 73 of these localities, we estimated the minimum global population to be about 400,000 breeding pairs. After adjusting for seasonal variation in numbers of breeding pairs based on studies at Ardery Island, East Antarctica, the total global population is estimated to be at least one million breeding pairs. Of this, 72% nest on islands of the Scotia Sea arc and the South Atlantic Ocean. The precision of the estimate on the total number of breeding pairs is low, as several colony estimates were only available as orders of magnitude. Furthermore, different timing of the surveys and the difficulties of censusing colonial cliff-nesting birds reduced the count accuracy. Currently, there are no known threats to the global population, although the effects of fishery activities are not fully known. © 2007 Springer-Verlag.",Review,Scopus,0.88102345,?,?,Changed to ? As this was present in another ranking,5,5,?,5,5,NA
68,2-s2.0-62949087869,28,28,"Martin A.R., Poncet S., Barbraud C., Foster E., Fretwell P., Rothery P.",55708418100;14049119900;35616520600;25958026000;8785398400;36952564400;,"The white-chinned petrel (Procellaria aequinoctialis) on South Georgia: Population size, distribution and global significance",2009,Polar Biology,10.1007/s00300-008-0570-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-62949087869&doi=10.1007%2fs00300-008-0570-5&partnerID=40&md5=6b0993f0ff0ed194356c008ecd82bc26,"More white-chinned petrels (Procellaria aequinoctialis) are accidentally killed in fisheries than probably any other seabird in the world, but the population impact of this mortality is poorly understood, partly because there have been no recent estimates of the species' abundance. The breeding aggregation on the sub-Antarctic island of South Georgia is believed to be larger than all others combined. We estimated the size of this population by calculating the area of suitable habitat and the density of occupied burrows within it. Some 670,000 occupied nests were estimated for the island at mid-incubation, representing 0.9 million pairs of breeding-age birds associated with South Georgia in the survey seasons (2005/06 and 06/07). This is 40-45% of the previous estimate, but still represents well over half of the global population. If the population is declining due to fishery bycatch, as is likely, the scale of annual mortality in this population alone is at least in the high tens of thousands, and plausibly hundreds of thousands. © 2009 Springer-Verlag.",Article,Scopus,0.868969016,1,1,NA,15,5,1,15,29,NA
44,2-s2.0-13844299725,96,96,"Witting L., Born E.W.",56600324800;7006212133;,An assessment of Greenland walrus populations,2005,ICES Journal of Marine Science,10.1016/j.icesjms.2004.11.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-13844299725&doi=10.1016%2fj.icesjms.2004.11.001&partnerID=40&md5=44e579976443896b5e83bf501ccadcb2,"Recent abundance estimates were combined with historical catches and an age- and sex-structured population dynamic model to perform Bayesian assessments of the walrus (Odobenus rosmarus) populations in West Greenland, the North Water in northern Baffin Bay, and East Greenland. The model assumed density-regulated dynamics and pre-harvest populations in population-dynamical equilibrium. It projected the populations under the influence of the catches to estimate the historical trajectories and the current population status. It was found that the West Greenland and North Water populations have been heavily exploited during the last century with the current abundance being at best only a few per cent of the historical abundance. Apparently these populations are still being exploited above sustainable level. The East Greenland population was heavily exploited after 1889 and during the first half of the 20th century and was depleted to approximately 50% of pristine population size in 1933. After protective measures were introduced in the 1950s this population has increased to a current level close to the abundance in 1889, and the present exploitation appears to be sustainable. © 2004 International Council for the Exploration of the Sea. Published by Elsevier Ltd. All rights reserved.",Article,Scopus,0.866827767,NA,1,NA,NA,5,,,97,NA
164,2-s2.0-85040006560,24,24,"Pitman R.L., Fearnbach H., Durban J.W.",7103016066;40461413500;6601978335;,"Abundance and population status of Ross Sea killer whales (Orcinus orca, type C) in McMurdo Sound, Antarctica: evidence for impact by commercial fishing?",2018,Polar Biology,10.1007/s00300-017-2239-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040006560&doi=10.1007%2fs00300-017-2239-4&partnerID=40&md5=dbf359238cce59303512b1e9c4fbf731,"For over a century, the Ross Sea killer whale (RSKW; Orcinus orca, Antarctic type C), a fish-eating ecotype, has been commonly reported in McMurdo Sound (McM), Ross Sea, Antarctica. However, a significant population decline reported at Ross Island after 2006 has been linked to a commercial fishery that began in the Ross Sea in 1996–1997 and targets large Antarctic toothfish (Dissostichus mawsoni)—the presumed primary prey of RSKW. We assessed RSKW population abundance and trends using photo-identification data collected in McM during seven summers from 2001–2002 to 2014–2015. We identified 352 individual RSKWs and estimated an average annual population of 470 distinctly marked whales. Using a Bayesian mark–recapture model, we identified two population clusters: ‘regulars’ showed strong inter- and intra-annual site fidelity and an average annual abundance of 73 distinctive individuals (95% probability: 57–88); ‘irregulars’ were less frequently encountered but comprised a larger population with an annual estimate of 397 distinctive individuals (287–609). The number of seasonally resident regulars appeared to be stable over the period of purported RSKW decline, with the estimated annual number of deaths (6; 95% probability: 1–22) offset by the number of recruits (6; 2–19). As an alternative to the decline-due-to-fishery hypothesis, we suggest that the presence of mega-iceberg B-15 at Ross Island during the “iceberg years” (2000–2001 to 2005–2006) could have temporarily disrupted normal RSKW movement patterns, resulting in an apparent decline. Continued population monitoring of toothfish and their predators will be important for assessing ecosystem impacts of commercial fishing in the Ross Sea. © 2018, This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply.",Article,Scopus,0.853061625,1,1,NA,10,5,1,10,25,NA
148,2-s2.0-84949517452,32,32,"Casaux R., Barrera-Oro E.",7004072018;56175611700;,"Linking population trends of Antarctic shag (Phalacrocorax bransfieldensis) and fish at Nelson Island, South Shetland Islands (Antarctica)",2016,Polar Biology,10.1007/s00300-015-1850-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949517452&doi=10.1007%2fs00300-015-1850-5&partnerID=40&md5=976d67730f648f9756609a9a8c21dc7b,"This study aims to provide consistent information to explain the steady declining trend in the number of breeding pairs of Antarctic shag Phalacrocorax bransfieldensis in two colonies on Nelson Island, South Shetland Islands, southern Atlantic sector of Antarctica, which was observed during the 1990s up to the mid 2000s over an overall monitoring period of over two decades. It addresses correspondence between long-term population trends of inshore demersal fish and inshore-feeding Antarctic shags of this area, where an intensive commercial fishery for shag prey once operated. The analysis also includes comparable information on diet (by examination of regurgitated pellets), foraging patterns, and breeding output of shags from the Danco Coast, western Antarctic Peninsula, an area where no commercial finfish fishery has ever existed. Integral study of these parameters there showed that, in Antarctic shags, low breeding success and high foraging effort might imply low recruitment and high adult mortality, respectively, with both factors adversely affecting the population trends of this bird. In line with these premises, the declining trend observed in shag colonies on the South Shetland Islands appears to have been influenced by the concomitant decrease in abundance of two of their main prey, the nototheniids Notothenia rossii and Gobionotothen gibberifrons, due to intensive industrial fishing in the area in the late 1970s. In comparison, no such pattern occurred for the Danco Coast colonies. © 2015, Springer-Verlag Berlin Heidelberg.",Article,Scopus,0.847924953,1,1,NA,15,5,1,15,33,NA
5,2-s2.0-0002990740,36,36,"Barrera-Oro E.R., Marschoff E.R., Casaux R.J.",56175611700;6603541942;7004072018;,"Trends in relative abundance of fjord Notothenia rossii, Gobionotothen gibberifrons and Notothenia coriiceps at potter cove, South Shetland Islands, after commercial fishing in the area",2000,CCAMLR Science,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002990740&partnerID=40&md5=207f744da356cdc93ec8d24ef0a2092f,"Monitoring of demersal fish at inshore sites of the South Shetland Islands has continued at Potter Cove from 1991 to 1999, and at Harmony Cove, Nelson Island, in the austral summer of 1995/96. Still evident is the decline in trammel-net catches of fjord-dwelling Notothenia rossii and Gobionotothen gibberifrons in relation to the non-commercially fished Notothenia coriiceps, which was previously reported for the period 1983-1990. A trend of increasing N. rossii catches was observed, but the levels of relative abundance of this species and G. gibberifrons are well below those found in the early 1980s. These results are supported by our knowledge about the diet of the piscivorous Antarctic shag (Phalacrocorax bransfieldensis) in the South Shetland-Antarctic Peninsula area in this decade. The decrease in recruitment to the inshore sub-populations of N. rossii and G. gibberifrons over the last 16 years was most probably caused by the offshore commercial fishery in the area in the late 1970s. This interpretation is consistent with historical information on offshore commercial fishing and with the results of scientific surveys in the area.",Article,Scopus,0.844461562,NA,1,NA,NA,5,1,15,37,NA
146,2-s2.0-84944937974,37,37,"Fallon N.G., Collins M.A., Marshall C.T., Fernandes P.G.",56915895200;7404083794;56375346300;57196114776;,Assessing consistency of fish survey data: uncertainties in the estimation of mackerel icefish (Champsocephalus gunnari) abundance at South Georgia,2016,Polar Biology,10.1007/s00300-015-1810-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944937974&doi=10.1007%2fs00300-015-1810-0&partnerID=40&md5=576ba259821ee90f7ee51675cc371b77,"Mackerel icefish (Champsocephalus gunnari) is a semi-pelagic finfish species inhabiting shelf areas in the Southern Ocean. The population at South Georgia is currently exploited by pelagic trawlers fishing close to the seabed. Annual catches peaked at 150,000 t in 1983 and have declined since the mid-to-late 1980s. Bottom-trawl surveys have been conducted since 1987, providing a time series of abundance and size distribution for use in assessing the status of the stock and setting quotas. Food web models suggest that estimates of the biomass from survey data are substantially lower than the amount of icefish required by the local ecosystem. The aim of this study was to assess the uncertainty around current estimates of density and variance, using alternative nonparametric stratified bootstrapping methods. The stratified rescaling bootstrap estimator was identified as the most appropriate method of those tested: in comparison with the existing method, confidence intervals and the inter-annual variability of the estimates were reduced. Numbers-at-age were estimated from mixture distribution models fitted to length-disaggregated density data in order to determine whether individual cohorts were consistently detected by the surveys. Estimates of numbers-at-age could not consistently delineate cohorts in successive years indicating that survey-based estimates of density were biased. These biases may have arisen because the trawl gear did not select individuals of all sizes equally, or because sampling was restricted to the demersal component of the stock. Estimates of abundance of the pelagic component of the stock should be derived from acoustic data to improve the assessment. © 2015, Springer-Verlag Berlin Heidelberg.",Article,Scopus,0.83601677,NA,1,NA,NA,5,,,38,NA
125,2-s2.0-84895832094,29,29,"Lyver P.O'B., Barron M., Barton K.J., Ainley D.G., Pollard A., Gordon S., McNeill S., Ballard G., Wilson P.R.",6601968591;7101884248;8081357500;7003309400;55993845100;43161132800;7005392973;7003323790;55519808400;,"Trends in the breeding population of Adélie penguins in the Ross Sea, 1981-2012: A coincidence of climate and resource extraction effects",2014,PLoS ONE,10.1371/journal.pone.0091188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895832094&doi=10.1371%2fjournal.pone.0091188&partnerID=40&md5=4238b6ced667162a48382b1f4df93ea0,"Measurements of the size of Adélie penguin (Pygoscelis adeliae) colonies of the southern Ross Sea are among the longest biologic time series in the Antarctic. We present an assessment of recent annual variation and trends in abundance and growth rates of these colonies, adding to the published record not updated for more than two decades. High angle oblique aerial photographic surveys of colonies were acquired and penguins counted for the breeding seasons 1981-2012. In the last four years the numbers of Adélie penguins in the Ross and Beaufort Island colonies (southern Ross Sea metapopulation) reached their highest levels since aerial counts began in 1981. Results indicated that 855,625 pairs of Adélie penguins established breeding territories in the western Ross Sea, with just over a quarter (28%) of those in the southern portion, constituting a semi-isolated metapopulation (three colonies on Ross Island, one on nearby Beaufort Island). The southern population had a negative per capita growth rate of -0.019 during 1981-2000, followed by a positive per capita growth rate of 0.067 for 2001-2012. Colony growth rates for this metapopulation showed striking synchrony through time, indicating that large-scale factors influenced their annual growth. In contrast to the increased colony sizes in the southern population, the patterns of change among colonies of the northern Ross Sea were difficult to characterize. Trends were similar to southern colonies until the mid-1990s, after which the signal was lost owing to significantly reduced frequency of surveys. Both climate factors and recovery of whale populations likely played roles in the trends among southern colonies until 2000, after which depletion of another trophic competitor, the Antarctic toothfish (Dissostichus mawsoni), may explain the sharp increasing trend evident since then. © 2014 Lyver et al.",Article,Scopus,0.835592282,1,1,NA,15,5,1,15,30,NA
45,2-s2.0-15244342534,155,155,"Emslie S.D., Woehler E.J.",7004183166;55895022100;,"A 9000-year record of Adélie penguin occupation and diet in the Windmill Islands, East Antarctica",2005,Antarctic Science,10.1017/S0954102005002427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-15244342534&doi=10.1017%2fS0954102005002427&partnerID=40&md5=371d510aabff62ee4e52e39720542546,"We investigated 17 abandoned Adélie penguin (Pygoscelis adeliae) colonies in the Windmill Islands, East Antarctica, in summer 2002/03. Forty radiocarbon dates on penguin bones and eggshells from 13 of these sites indicate a near continuous occupation by breeding penguins in this region for over 9000 years. These dates refine the recent geological record in this region and indicate that deglaciation of the northern islands occurred much earlier than previously suggested. Dietary remains from these sites include at least 23 taxa of cephalopods and teleost fish. Quantification of these remains indicates significant fluctuations in the relative abundance of two of the more common major prey taxa. The Antarctic silverfish (Pleuragramma antarcticum Boulenger) was the most common teleost prey during all time periods represented by the ages of the sites, but preservational factors may explain a gradual decrease in the remains of this species in increasingly older sites. The most common cephalopod in the sediments was the squid, Psychroteuthis glacialis Thiele, which occurred in low numbers in most sites except one (Site 75). An unusually high number of squid beaks preserved in Site 75, dating to approximately 5700-6100 cal. yr BP, does not correlate with a decrease in fish prey at that time. The high number of abandoned penguin colonies (> 200) in the Windmill Islands may be due to population cycles in the past in association with low nest-site fidelity and movement by breeding penguins to new sites within this region. © Antarctic Science Ltd.",Article,Scopus,0.834685344,NA,0,NA,NA,5,,,156,NA
110,2-s2.0-84869160594,14,14,"Ryan P.G., Dilley B.J., Jones M.G.W.",7402920679;55324753900;55491026800;,The distribution and abundance of white-chinned petrels (Procellaria aequinoctialis) breeding at the sub-Antarctic Prince Edward Islands,2012,Polar Biology,10.1007/s00300-012-1227-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869160594&doi=10.1007%2fs00300-012-1227-y&partnerID=40&md5=2303ec379dbf40a03ae4d399a591cc77,"The white-chinned petrel (Procellaria aequinoctialis) is the seabird most often killed on longlines in the Southern Ocean and is listed as vulnerable to extinction. We estimated the population breeding at the Prince Edward Islands, the last breeding site for the nominate subspecies that lacks a recent population estimate. White-chinned petrel burrows are largely confined to deep, muddy soils, usually on slopes below 200 m, but locally up to 420 m. After correcting for count bias, Marion Island has an estimated 29,900 nests (95 % CI 27,700-32,400). Burrow occupancy rates at the start of the incubation period were 65 % during one-off surveys, but repeat surveys found that at least 73 % of burrows were occupied and 87 % of burrows showed signs of occupancy. This suggests that there were roughly 24,000 occupied nests on Marion Island (95 % CI 20,000-28,000). A more cursory survey on Prince Edward Island yielded 14,700 burrows, suggesting that there are 9,000-15,000 occupied nests. The nominate subspecies of white-chinned petrel occupies approximately 974,200 nests (95 % CI 678,000-1,286,000), with the Prince Edward Islands, the third most important breeding site, after South Georgia and Kerguelen. Assuming that populations breeding at islands in the Atlantic and Indian Oceans winter in different regions, the impact of fishery bycatch is likely to have had a greater impact on the Indian Ocean population. The Marion Island survey provides a baseline against which future population changes can be assessed. © 2012 Springer-Verlag.",Article,Scopus,0.825721253,0,0,NA,10,5,0,10,15,NA
147,2-s2.0-84947510058,99,99,"Southwell C., Emmerson L., McKinlay J., Newbery K., Takahashi A., Kato A., Barbraud C., DeLord K., Weimerskirch H.",6701777858;7801514534;7006004856;15769359300;7402798902;7403314052;35616520600;6506656820;56213156300;,"Spatially extensive standardized surveys reveal widespread, multi-decadal increase in East Antarctic Adélie penguin populations",2015,PLoS ONE,10.1371/journal.pone.0139877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947510058&doi=10.1371%2fjournal.pone.0139877&partnerID=40&md5=635239b120dd57a949efaf7f13e8d8fa,"Seabirds are considered to be useful and practical indicators of the state of marine ecosystems because they integrate across changes in the lower trophic levels and the physical environment. Signals from this key group of species can indicate broad scale impacts or response to environmental change. Recent studies of penguin populations, the most commonly abundant Antarctic seabirds in the west Antarctic Peninsula and western Ross Sea, have demonstrated that physical changes in Antarctic marine environments have profound effects on biota at high trophic levels. Large populations of the circumpolar-breeding Adélie penguin occur in East Antarctica, but direct, standardized population data across much of this vast coastline have been more limited than in other Antarctic regions. We combine extensive new population survey data, new population estimation methods, and re-interpreted historical survey data to assess decadal-scale change in East Antarctic Adélie penguin breeding populations. We show that, in contrast to the west Antarctic Peninsula and western Ross Sea where breeding populations have decreased or shown variable trends over the last 30 years, East Antarctic regional populations have almost doubled in abundance since the 1980's and have been increasing since the earliest counts in the 1960's. The population changes are associated with five-year lagged changes in the physical environment, suggesting that the changing environment impacts primarily on the pre-breeding age classes. East Antarctic marine ecosystems have been subject to a number of changes over the last 50 years which may have influenced Adélie penguin population growth, including decadal-scale climate variation, an inferred mid-20th century sea-ice contraction, and early-to-mid 20th century exploitation of fish and whale populations. © 2015 Southwell et al This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,Scopus,0.822641497,NA,1,NA,NA,10,,,100,NA
