,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_std_mod,Timespan_std_mod,Scopus_index,Present_in_training_docs
83,2-s2.0-4344683258,1,1,Moore P.J.,7403684803;,Abundance and population trends of mollymawks on Campbell Island,2004,Science for Conservation,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344683258&partnerID=40&md5=efc09c6a814f804bef6114fad5f0cb8e,"Counts of nests in photographs taken since the 1940s and ground counts conducted during the 1990s are used to establish population trends over a 55-year period for Campbell (Thalassarche impavida) and grey-headed (T. chrysostoma) mollymawks (albatrosses) on northern Campbell Island (subantarctic islands, New Zealand). Repeat counts of photographs had coefficients of variation (CVs) of 6.6% and the main ground count methods had CVs of 3%-5%. Between the 1940s and 1990s there was an apparently continuous 82%-88% decrease (at 1.5%-2.7% p.a.) in nest numbers at three photographed grey-headed mollymawk colonies. Ground counts in 1995-97 recorded 7800 grey-headed mollymawk nests/yr (6200 with eggs during mid-October), representing a population of about 11800 (biennially breeding) pairs. Extrapolating back from these data, there may have been 43 000 grey-headed mollymawk nests/yr in the 1940s. Environmental changes affecting the food supply are the most likely explanation for the long-term decline. One Campbell mollymawk colony showed an increase of 11% in nest numbers between the 1940s and 1966, a decrease of 47% by the 1980s, then a gradual recovery of 3.2% p.a. Extrapolation suggests there were about 31 300 Campbell mollymawk nests in the 1940s. There were 24 600 nests in 1995-97 (21 000 with eggs during mid-October). The large decrease in the late 1960s to early 1980s coincided with the peak in long-line fishing for southern bluefin tuna. Regular monitoring of mollymawk populations (preferably with a suite of species) is recommended; three consecutive years every decade is a minimum requirement. A multidisciplinary approach is needed to test links between environmental change and mollymawk population trends. © July 2004, Department of Conservation.",Article,Scopus,0.885292778,1,1,NA,5,5,1,5,2,NA
32,2-s2.0-3042826845,39,39,"Otway N.M., Bradshaw C.J.A., Harcourt R.G.",57188847504;57203904987;7005654071;,Estimating the rate of quasi-extinction of the Australian grey nurse shark (Carcharias taurus) population using deterministic age- and stage-classified models,2004,Biological Conservation,10.1016/j.biocon.2003.11.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042826845&doi=10.1016%2fj.biocon.2003.11.017&partnerID=40&md5=ced9d3a0517996eb0dfcd53ace4c40c8,"Grey nurse sharks off the east coast of Australia are listed nationally as ""critically endangered"" under Schedule 1 of the Environmental Protection and Biodiversity Conservation Act (1999) and may number no more than 300 in New South Wales and southern Queensland waters. They are an inshore, coastal dwelling species and were severely depleted by spearfishing in the 1960s. The population has continued to decline despite protection since 1984. Their life history (long-lived to 25+ years), late maturation (6-8 years), low fecundity (maximum 2 live young biennially), specific habitat requirements, limited inshore distribution, and small population size render them particularly vulnerable to extinction. We estimated the time to quasi-extinction (years elapsed for the population to consist of ≤50 females) for the grey nurse shark population off the east coast of Australia based on current estimates of abundance and known anthropogenic rates of mortality. Estimated minimum population size was 300 as of 2002, and minimum anthropogenic mortality assessed from recovered carcasses was 12/year of which 75% were females. We modelled time to quasi-extinction using deterministic age- and stage-classified models for worst-, likely and best-case scenarios. Population size was estimated at 300 (worst), 1000 (likely) and 3000 (best). Anthropogenic mortality was added to the model assuming either all carcasses are being recovered (best), or conservatively, that only 50% are reported (realistic). Depending on model structure, if all carcasses are being reported, quasi-extinction times for worst-, likely and best-case scenarios range from 13 to 16 years, 84-98 years and 289-324 years, respectively. If under-reporting is occurring, time to quasi-extinction ranges from 6 to 8 years, 45-53 years and 173-200 years, respectively. In all scenarios modelled the grey nurse shark population will decline if no further steps are taken to remove anthropogenic sources of mortality. Because estimates of quasi-extinction rate depend on initial population size, and sensitivity analysis revealed that population rate of change was most sensitive to changes in the survival probability of the smallest length classes, obtaining precise estimates of abundance and annual survival of young females is critical. © 2004 Elsevier Ltd. All rights reserved.",Article,Scopus,0.856500814,NA,0,Mentions population declines but only appears to use a single recent estimate of population size in the model,NA,5,,,40,NA
13,2-s2.0-13544250627,3,3,"Gribben P.E., Helson J., Millar R.",6603281646;6507812422;7202316922;,"Population abundance estimates of the New Zealand geoduck clam, Panopea zelandica, using north american methodology: Is the technology transferable?",2004,Journal of Shellfish Research,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-13544250627&partnerID=40&md5=94e0a626dd6553343a2fd8d7fb5e5f9f,"This study investigates the applicability of methods used to describe patterns of distribution, and estimates of density and biomass of the Pacific geoduck clam, Panopea abrupta, from western North America for populations of the New Zealand geoduck, Panopea zelandica in Kennedy Bay, on the Coromandel Peninsula, and in Wellington Harbour. Central to this is the use of line transect surveys and estimations of the detection rate of geoduck (show-factor) using counts of siphon holes. Studies were restricted to less than 17 m water depth. Geoduck in Kennedy Bay were found from 4-8 m water depth, whereas geoduck in Wellington Harbour occurred in several separate beds from 4-16 m. In Wellington Harbour, there was a pattern of increasing numbers with depth up to ∼15 m. Numbers seemed to decrease thereafter. Analysis of sediment samples indicated that P. zelandica was more prevalent in fine sand to fine silty sand substrates. P. abrupta is found in similar habitats. There was no significant difference in the show-factor (the proportion of geoduck detectable by sight or touch vs. the actual number of geoduck present) of geoduck with respect to season (summer and winter), region (Wellington Harbour and Kennedy Bay), or tidal height (low, mid, and high tide). Hence, a mean show-factor of 0.914 was used to adjust density estimates from all surveyed populations. Estimates of the mean population density (±SE) of P. zelandica were much lower than those reported for P. abrupta ranging from 0.058 (±0.01) geoduck/m2 in Kennedy Bay to 0.489 (±0.08) geoduck/m2 in Shelly Bay, Wellington Harbour. Survey densities, abundance, and biomass estimates were reasonably well determined with coefficients of variation (CVs) generally less than 20%. The results suggest that the methods used to provide population estimates for P. abrupta are readily transferable to P. zelandica. However, further research needs to be conducted on the diver variability on counts of geoduck, the role that geoduck occurring in water depths &gt;17 m play in the population dynamics of local populations, and the density dependence of fertilization success of P. zelandica. Given the low estimates of density in this study, fisheries managers will have to carefully consider the feasibility of sustainably harvesting this species.",Article,Scopus,0.84991163,0,0,NA,5,5,0,5,4,NA
104,2-s2.0-58149333702,27,27,"White A.W., Pyke G.H.",55473129300;7004178807;,Green and Golden Bell Frogs in New South Wales: Current status and future prospects,2008,Australian Zoologist,10.7882/AZ.2008.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149333702&doi=10.7882%2fAZ.2008.010&partnerID=40&md5=b68b5879b2af6332d179ca73adc53246,"Surveys carried out between 1990 and 1995 of almost all known historic locations within New South Wales (including the ACT) for the Green and Golden Bell Frog Litoria aurea revealed that the species had suffered a dramatic decline in distribution and abundance in this region, with over 80% of all historic populations having gone extinct, and many of the extant populations being reduced to low numbers. The present study involved surveys of the Green and Golden Bell Frog locations that were known in 1995, surveys of new locations or potential areas for new locations of this species, and review of management plans and other documented information concerning particular populations. Over the last 12 years extinctions have continued with the loss of almost 50% of those sub-populations and 23% of populations known in 1995. Obviously the species cannot sustain this rate of loss for much longer and continue to exist within New South Wales. Protection for remaining extant populations is very limited and most are under continuing threat. Management plans have been prepared in relation to a number of sub-populations/populations, but these plans have not focused on populations under current threat, and associated management actions designed to benefit this frog have occurred in only a few cases. Hence, decline of this species within NSW is likely to continue. Habitat change, mostly through destruction and disturbance, has been the major factor in population loss with the likelihood of extinction increasing with increases in the extent of habitat loss as measured by the number of habitat variables that have declined. Invasion by exotic predatory fish Gambusia holbrooki, previously linked with declines in this frog species, shows no apparent association with extinction of populations over the last 12 years and poses no apparent current threat to any population, apparently because any impact of this species has been ameliorated through the presence of submerged/floating aquatic vegetation which may provide some protection against predation for eggs and tadpoles. The steps most likely to improve the conservation status of the Green and Golden Bell Frog within the state are habitat enhancement/development and restoration of movement links between nearby populations.",Review,Scopus,0.848459096,NA,1,NA,NA,5,,,28,NA
92,2-s2.0-46749138989,5,5,"Bradshaw C.J.A., Fitzpatrick B.M., Steinberg C.C., Brook B.W., Meekan M.G.",7102130752;7005080921;35564989800;7003956690;6701849401;,Decline in whale shark size and abundance at Ningaloo Reef over the past decade: The world's largest fish is getting smaller,2008,Biological Conservation,10.1016/j.biocon.2008.05.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-46749138989&doi=10.1016%2fj.biocon.2008.05.007&partnerID=40&md5=e1f4ed6cb094638cc426308a977a60ab,"Over-exploitation of whale sharks threatens the future of these wide-ranging pelagic fish. A long-term continuous record (4436 sightings) from a large aggregation (300-500 resident individuals) of whale sharks at Ningaloo Reef, Western Australia shows that mean shark length declined linearly by nearly 2.0 m and relative abundance measured from ecotourism sightings (corrected for variation in search effort and environmental stochasticity) has fallen by approximately 40% over the last decade. This population-level result confirms previous predictions of population decline based on projection models parameterised using mark-recapture estimates of survival. The majority of these changes are driven by reductions in the number of large individuals in the population. Phenomenological time series models support a deterministic (extrinsic) decline in large females, although there was some evidence for density dependence in large males. These reductions have occurred despite the total protection of whale sharks in Australian waters. As this species is highly migratory, the rapid change in population composition over a decade (<1 whale shark generation) supports the hypothesis of unsustainable mortality in other parts of their range (e.g., overfishing), rather than the alternative of long-term abiotic or biotic shifts in the environment. As such, effective conservation of whale sharks will require international protection, and collaborative tagging studies to identify and monitor migratory pathways. Crown Copyright © 2008.",Article,Scopus,0.841012092,1,1,NA,5,5,1,5,6,0
2,2-s2.0-0028979809,120,120,"Norman F.I., Menkhorst P.W.",7003265642;6603615300;,"Aspects of the breeding and feeding ecology of the australasian gannet morns senator in port phillip bay, victoria, 1988-92",1995,Emu,10.1071/MU9950023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028979809&doi=10.1071%2fMU9950023&partnerID=40&md5=1fd33b81a4f0132cee2c5ee7c06b66c7,"Breeding periodicity and success of Australasian Gannets Morus senator were studied between 1988 and 1992 at two small colonies (Pope’s Eye and Wedge Light), on artificial sites in Port Phillip Bay, Victoria. Samples of foods taken by adults (were collected for identification of major prey species. Banding of chicks and observations of adults previously banded as chicks (particularly at Wedge Light) provided information on the source of breeding adults and age of return to colonies. Wedge Light colony, estab­lished in 1966, has reached some 50 pairs: breeding there is now limited by available space. At Pope’s Eye, where breeding began before 1985, space also limited breeding but the provision of an additional platform in 1989 led to a dou­bling of adults nesting (to c. 120 in 1991-92). Nest building at the study sites began in August-September, and eggs were laid mainly in September; second, or replacement, eggs from November-December. Most hatching took place October-November, with chicks fledging January-Febru- ary; there was some variation in timing between years. Numbers of clutches laid, as a proportion of nest attempts, were consistently higher at Wedge Light; at Pope’s Eye some nests were lost presumably as a result of bad weather. Hatching success was similar at both sites (64%), some 89% of chicks hatched left the platforms; mean breeding success (chicks fledged/eggs laid) was 57%. Although relatively few chicks died or were lost (9-14%), about 36% of eggs failed to hatch (mainly through loss). Nest success was influenced, to some extent, by exposure, particularly at Pope’s Eye where seas may wash over breeding sites and drainage is poor. The extended breeding period may reflect local weath­er conditions and less reliable food availability. In this study, individual prey items were mainly Pilchards Sarclinops sagax (58.4%); other taxa (20 fish, four cephalopods and a shrimp species) were generally represented by a few indi­viduals. On average, prey species weighed 45 g, were 141 mm long, 15 mm wide and 26 mm deep; Pilchards were mostly (72%) < 140 mm long. Most regurgitations collected (mean mass 146 g) contained only one fish species (82%). As in other dietary studies of gannets, prey species were pri­marily inshore, schooling and pelagic. Little is known of factors influencing the distribution or abundance of the prey species; food deliveries at breeding colonies were lighter than those reported elsewhere, which may indicate local for­aging. At both sites, colonies have grown as a consequence, in part at least, of the recruitment of chicks fledged at Wedge Light. Expansion at Wedge Light is now impossible, and at Pope’s Eye there is little additional area for breeding. The provision of more artificial platforms might further in­crease the local population. © 1995 Royal Australasian Ornithologists Union.",Article,Scopus,0.828257178,NA,1,NA,NA,5,,,121,NA
119,2-s2.0-68549105998,31,31,"Devney C.A., Short M., Congdon B.C.",26032003100;57197231165;6701575762;,Cyclonic and anthropogenic influences on tern populations,2009,Wildlife Research,10.1071/WR08142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68549105998&doi=10.1071%2fWR08142&partnerID=40&md5=b80e7104202ad3fd07d16f70994e4249,"Organisms can be strongly affected by a range of natural and anthropogenic stressors in conjunction, making comprehensive assessments of multiple potential drivers of population dynamics essential. An 18-year dataset obtained for Michaelmas Cay in the northern Great Barrier Reef, Australia, was used to assess population trends for three tern species relative to two potential threatening processes, namely human impacts (as either commercial fishing or tourism) and cyclone activity. We found a positive, 2-year lagged relationship between long-line catch per unit effort in the Eastern Tuna and Billfish Fishery in the vicinity of Michaelmas Cay and breeding participation in the two pelagic foraging terns, but not in the inshore foraging tern. The abundance of large pelagic fish may influence recruitment into the breeding populations of the two pelagic terns in the following years through impacts on prey availability. Long-term population trends for all seabirds were not related to localised direct disturbance from cyclones or associated changes in cay size and/or nesting habitat. Current management protocols in place for the tourism industry at the cay appear to be minimising direct human impacts. Other evidence from this breeding location suggesting that climate variation may be driving foraging success and breeding-population dynamics in the two pelagic terns implies that a precautionary approach is warranted to the management of any potential stressors to birds in this system. © CSIRO 2009.",Article,Scopus,0.812048741,NA,1,NA,NA,5,,,32,NA
30,2-s2.0-29944437316,12,12,"Slooten E., Dawson S., Rayment W., Childerhouse S.",6603949910;7202901010;10839465100;6602521657;,A new abundance estimate for Maui's dolphin: What does it mean for managing this critically endangered species?,2006,Biological Conservation,10.1016/j.biocon.2005.10.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29944437316&doi=10.1016%2fj.biocon.2005.10.013&partnerID=40&md5=f30128d8f5f1f8ac01ec9d10d86d8959,"Hector's dolphin Cephalorhynchus hectori is found only in New Zealand waters. We carried out a population survey of the North Island subspecies Cephalorhychus hectori maui, also known as Maui's dolphin. The total population size estimate is 111 individuals (95% confidence interval = 48-252). The small population size confirms its critically endangered IUCN status. A sustainable level of human-caused mortality for this population would be 0.16 (one dolphin every 6.4 years). This essentially means that fisheries bycatch, and where possible other human impacts, need to be eliminated to allow population recovery. A protected area has been created to reduce the threat from entanglement in fishing gear. Gillnet fishing is prohibited along a 210 nautical mile stretch of coastline. The main concerns are that gillnet fishing is still allowed inside harbours and trawling continues inside the protected area. © 2005 Elsevier Ltd. All rights reserved.",Article,Scopus,0.809360985,0,0,NA,10,5,0,10,13,NA
87,2-s2.0-44949092635,33,33,"Fowler A.J., Steer M.A., Jackson W.B., Lloyd M.T.",7202264852;7103146813;22953367400;24343867400;,"Population characteristics of southern sea garfish (Hyporhamphus melanochir, Hemiramphidae) in South Australia",2008,Marine and Freshwater Research,10.1071/MF07230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-44949092635&doi=10.1071%2fMF07230&partnerID=40&md5=94bb8ea456bd0cc8035fde923f00ee1d,"Population dynamics, demography and spatial distribution of an important species of 'halfbeak', the southern sea garfish (Hyporhamphus melanochir), were studied in South Australia, which accounts for most of the national catch. Commercial catch and effort data were used to indicate spatial and temporal abundance. Catch sampling provided fish measurements and estimates of age, sex and reproductive maturity. Catches were from throughout South Australia's gulf region, but three areas separated by hundreds of kilometres produced the highest catches. These relatively protected areas support extensive beds of intertidal and subtidal seagrasses. Statewide commercial fishery catches demonstrated considerable inter-annual variation of 240-320 t year-1. Catches were dominated by 1+ and 2+ fish, with few individuals from the 3+ to 5+ age classes. Females dominated the sex ratios, were the largest individuals, and the largest from each age class. No running ripe fish were sampled. Seasonal variation in the catch and in the lack of spawning fish suggested that adults might move from fishing areas during the spawning season. Length/weight and length/age relationships did not differ between areas separated by hundreds of kilometres, suggesting large-scale movement. Possible population truncation related to fishery exploitation has prompted a stock rebuilding program for the South Australian stock. © CSIRO 2008.",Article,Scopus,0.805085446,NA,1,NA,NA,5,,,34,NA
108,2-s2.0-59649099954,25,25,"Barrett N.S., Buxton C.D., Edgar G.J.",7102133208;7003846822;7005803258;,Changes in invertebrate and macroalgal populations in Tasmanian marine reserves in the decade following protection,2009,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2008.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-59649099954&doi=10.1016%2fj.jembe.2008.12.005&partnerID=40&md5=beed3e0ed5ea933d87a69b613624b2c7,"Densities of macrobenthic invertebrates and macro-algae in four Tasmanian 'no-take' marine protected areas (MPAs) were monitored annually for 10 years following MPA establishment, with changes compared to those at external (fished) reference locations. Fishing substantially influenced the population characteristics of many species, including altering the mean size and abundance of rock lobsters and the abundance of prey species such as urchins and abalone. Strong declines in abundances of purple urchins and abalone within the largest MPA at Maria Island indicate likely indirect effects related to protection of predators from fishing. The two smallest MPAs (ca. 1 km coastal span) generated few detectable changes. Our results affirm the importance of long-term monitoring and the value of MPAs, when sufficiently large, as reference areas for determining and understanding ecosystem effects of fishing in the absence of historical baseline data. © 2008 Elsevier B.V. All rights reserved.",Article,Scopus,0.802913993,0,0,NA,15,5,0,15,26,0
