"","EID","X__1","Unnamed: 0","Authors","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract","Document Type","Source","p","Relevance_std","Relevance_ranked","X__2","Timespan_std","Timespan_ranked","Scopus_index","Present_in_training_docs"
"1","2-s2.0-0008041337",66,66,"Reid G.M.","55955113800;","Ichthyogeography of the Guinea-Congo rain forest, West Africa",1996,"Proceedings of the Royal Society of Edinburgh Section B: Biological Sciences",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0008041337&partnerID=40&md5=949fad6ad4b61e63d08d69d0dda46be0","Ichthyogeography is the section of biogeography which seeks to interpret fish biodiversity in terms of present and past distributions and abundance. It can also have practical applications in fisheries management and conservation. There are thought to be more than one thousand species of fish in the 40 or so major rivers of the Guinea-Congo rain forest region, with correspondingly high levels of endemicity. In the Congo or Zaïre river basin alone, the proportion of endemic fish species may exceed 80% (from a total of >690), but many more taxonomic and distributional data remain to be gathered. Unlike terrestrial vertebrates, the diverse freshwater fishes of Guinea-Congo evidently have distributions which are closely confined by hydrography. Hence, fish distributions may be of particular help in corroborating or refuting postulated geological events, patterns and processes and in explaining associated aspects of rainforest evolution. From the 19th century until now, the ichthyogeography of Guinea-Congo has been diagnosed largely in terms of presumed post-Miocene geological sequences of fish taxa and their past and recent dispersal in relation to particular hydrological conditions: mainly riverine volume discharge, salinity and temperature. From this, the fish fauna is, by convention, divided into 'provinces' established on endemism, palaeogeography and supposed physical or ecological barriers to dispersal. However, in this paper it is argued that the traditional ichthyogeographical accounts which highlight endemism and dispersal are generally flawed. It is argued here that historical patterns of fish distribution can only be fully understood if phyletic (cladistic) data are taken into consideration. While Upper and Lower Guinea and the Zaïre basin may be defined in part on the basis of endemism there is a lack of taxonomic and distributional evidence to show that Guinea-Congo is itself a cohesive ichthyogeographical unit. There is clearly a need for comparisons with fish distributions outside the rain forest zone of Guinea-Congo. African inter-provincial, trans-continental and inter-continental comparisons reveal distribution patterns which may relate more to pre-Miocene rather than post-Miocene geology or present-day rain forest ecology. Continental drift, notably between Africa and South America, probably led to the separation 85 million years ago of previously united fish populations. This may account for recent higher-level phyletic correspondences between the separate rain forest fish faunas of Africa and the neotropics. Last, the so-called 'marine intrusive' fishes - which are normally excluded from zoogeographical consideration - merit a careful re-evaluation. While they may be regarded as an inconvenience in developing scientific hypotheses, such intrusives can comprise a remarkable 30% or more of the riverine fish fauna in Guinea-Congo. It seems that the widely accepted ecological divisions between marine and 'primary freshwater' fishes are not as clear-cut as has been supposed. In addition, zoogeographically critical marine, trans-Atlantic, phyletic relationships apparently exist. These are probably best interpreted by using area cladograms in the context of ocean basin development, rather than by referring solely to marine fish dispersal and the traditional continental and provincial ichthyogeography of Guinea-Congo.","Article","Scopus",0.562677123508072,NA,NA,NA,NA,NA,67,NA
"2","2-s2.0-0024886983",49,49,"Meyer A.","57203423445;","Cost of morphological specialization: feeding performance of the two morphs in the trophically polymorphic cichlid fish, Cichlasoma citrinellum",1989,"Oecologia","10.1007/BF00379047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024886983&doi=10.1007%2fBF00379047&partnerID=40&md5=29b6c730ea975842d28acf474dc47f34","The feeding performance on soft and hard prey of two morphs of the trophically polymorphic Neotropical cichlid fish, Cichlasoma citrinellum, was investigated in the laboratory. The molariform morphs, specialized to feed on hard prey, are able to crack snail shells that are twice as hard as those cracked by the papilliform morphs. During ecological bottlenecks in food resources this ability should allow molariform morphs to exploit alternate, less preferred prey sources that are not available to papilliform morphs. Analysis of stomach contents revealed that molariform morphs feed significantly more often on hard snails than do papilliform morphs (Meyer 1989a). The performance advantage of the trophically specialized morphs when feeding on hard prey is countered by their less efficient performance on soft diets. The morphologically generalized papilliform morph feeds more efficiently on soft prey. The abundance of preferred soft prey, seasonal fluctuations in prey availability and the frequency of ecological bottlenecks may determine the relative abundance of these two morphs in natural populations in Nicaraguan lakes. © 1989 Springer-Verlag.","Article","Scopus",0.399679679841381,NA,NA,NA,NA,NA,50,NA
"3","2-s2.0-0025669302",55,55,"MEYER A.","57203423445;","Ecological and evolutionary consequences of the trophic polymorphism in Cichlasoma citrinellum (Pisces: Cichlidae)",1990,"Biological Journal of the Linnean Society","10.1111/j.1095-8312.1990.tb00517.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025669302&doi=10.1111%2fj.1095-8312.1990.tb00517.x&partnerID=40&md5=47055e5c515981a489d6787927fa6d8c","The neotropical cichlid fish Cichlasoma citrinellum is polymorphic in the structure of its pharyngeal jaw apparatus and external morphology. The pharyngeal jaws are either gracile and bear slender, pointed teeth (papilliform) or robust with strong, rounded teeth (molariform). Molariform morphs have a ‘benthic’, and papilliform morphs a ‘limnetic’ body form. Furthermore, this species is also polychromatic, with yellow and black morphs. The molariform morphology of the pharyngeal jaw apparatus adapts the fish for cracking and feeding on snails. Based on analysis of stomach contents, 94% of the molariform morph ate snails whereas only 19%, of the papilliform morph did so. This result suggests that the morphs occupy different ecological niches. The morphology of the pharyngeal jaw apparatus does not correlate significantly with sex, but it does with body colouration (P<0.005). Cichlasoma citrinellum mate assortatively with their own colour; therefore a mating preference for colour may lead to genetic isolation of trophic morphs. The frequency of the molariform morph differs strikingly among populations of five Nicaraguan lakes and its abundance is correlated with the abundance of snails, the fishes' principal prey item. Among populations the frequency of molariform morphs decreases in the dry season. Morphology possibly changes reversibly within particular individuals between seasons. These results suggest that phenotypic plasticity and polymorphisms may be an adaptive characteristic of cichlid fishes. Patterns of intraspecific morphological variation match patterns of interspecific morphological diversification which suggests that universal developmental mechanisms canalize the possible expressions of morphology. The ability to respond morphologically to environmental shifts, in conjunction with genetically determined trophic polymorphisms and sexual selection via mate choice, could be the basis for speciation through intermediate stages of polymorphism of the impressive adaptive radiation of cichlid fishes. Copyright © 1990, Wiley Blackwell. All rights reserved","Article","Scopus",0.323886188781156,NA,NA,NA,NA,NA,56,NA
"4","2-s2.0-0026565148",48,48,"Flecker A.S.","6701817402;","Fish predation and the evolution of invertebrate drift periodicity: evidence from Neotropical streams",1992,"Ecology","10.2307/1940751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026565148&doi=10.2307%2f1940751&partnerID=40&md5=2c72b5d32cc81458000f73221ccea808","Examined drift behavior of mayflies (Ephemeroptera) in a series of Venezuelan Andean mountain and piedmont streams that vary in the abundance of drift-feeding fishes. Drift was primarily nocturnal in piedmont streams with natural populations of visually hunting predators. Mayfly drift activity did not differ between day and night in mountain streams that historically lack drift-feeding fishes, but in naturally fishless Andean streams containing introduced rainbow trout Oncorhynchus mykiss, nocturnal peaks in drift were observed for Baetis, suggesting a rapid evolutionary change in behavior in response to an exotic predator. When drift periodicty was examined along a gradient of predation regimes, activity was increasingly restricted to the nighttime hours as predation risk became more intense. Diel periodicity was observed even when fish were experimentally excluded, suggesting that noctural activity has evolved as a fixed behavioral response to predation, and is not a direct ecological consequence of diurnal feeding by fishes. -from Author","Article","Scopus",0.509819994576185,NA,NA,NA,NA,NA,49,NA
"5","2-s2.0-0029853582",61,61,"Mol J.H.","7101772690;","Impact of predation on early stages of the armoured catfish Hoplosternum thoracatum (Siluriformes-Callichthyidae) and implications for the syntopic occurrence with other related catfishes in a neotropical multi- predator swamp",1996,"Oecologia","10.1007/BF00328457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029853582&doi=10.1007%2fBF00328457&partnerID=40&md5=d00cf95397bf8a0de023608092fce266","This study investigated the role of predators in preventing competitive exclusion among three closely related armoured catfishes (Callichthys callichthys, Hoplosternum littorale and H. thoracatum) that occur syntopically in multi-predator freshwater swamps of Suriname, South America. The potential impact of predation on armoured catfish was determined by combining laboratory measurements of predation rates on five early developmental stages of the armoured catfish H. thoracatum for 24 aquatic predators with field studies of the density of the predators in the swamps. The contribution of a particular predator to the total predation pressure on its prey was determined to a large extent by the density of the predator in the swamp. Seemingly innocuous predators with low or moderate predation rates in the laboratory may be extremely important in the swamps due to their high abundance. Small-sized omnivorous fishes and aquatic invertebrates were major predators of early developmental stages of armoured catfish. Both qualitative and quantitative ontogenetic changes in the predation pressure on armoured catfish were observed. Major predation on eggs, larvae and juveniles of H. thoracatum resulted from a different set of predators in each developmental stage of the prey. In all developmental stages of H. thoracatum the predation pressure involved several predator species and not a single, dominant predator. The potential predation pressure of the 24 predators taken together and the number of predators that were able to prey on H. thoracatum decreased sharply with increasing age (size) of the prey. Even if egg (nest) predation is prevented by the guarding male, the potential impact of the 24 predators on the populations of armoured catfish is large. Predation may account for the high mortality of H. thoracatum observed in the swamps. The high predation pressure on callichthyid catfishes may help to explain the coexistence of three closely related and morphologically quite similar armoured catfishes in Surinamese swamps.","Article","Scopus",0.572379779525277,NA,NA,NA,NA,NA,62,NA
"6","2-s2.0-0032645607",3,3,"McKay N.T.","7006761841;","Avian and vegetative community characteristics and associations in South Carolina beaver ponds",1999,"NCASI Technical Bulletin",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032645607&partnerID=40&md5=7d375698308a3d56ff981289d54e848f","The avian and vegetative community characteristics and associations in six beaver ponds in the upper Piedmont of South Carolina were studied. From April 1994 to June 1994, the avian community was sampled by flush counts and fixed-radius point counts. A total of 96 birds species were recorded and grouped based on pond use and migratory status. Ten vegetation cover types were identified and categorized based on the U.S. Fish and Wildlife wetland classification system.","Article","Scopus",0.531606518560795,0,NA,NA,5,NA,4,NA
"7","2-s2.0-0032733085",29,29,"De Mérona B., Albert P.","6601977625;36935599600;","Ecological monitoring of fish assemblages downstream of a hydroelectric dam in French Guiana (South America)",1999,"Regulated Rivers: Research and Management","10.1002/(SICI)1099-1646(199907/08)15:4<339::AID-RRR546>3.0.CO;2-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032733085&doi=10.1002%2f%28SICI%291099-1646%28199907%2f08%2915%3a4%3c339%3a%3aAID-RRR546%3e3.0.CO%3b2-0&partnerID=40&md5=96709db8d3ccfac66ed1b613781bcf3e","Dam impacts on the downstream section of dammed rivers are known to be important for fish because of changes in the physical and chemical river characteristics. However, the available data seem to be insufficient to draw general conclusions regarding the transformation of fish communities. A hydroelectric dam was built on the Sinnamary River in French Guiana and closed in January 1994. From December 1991 to December 1996 fish collections were made from the downstream section. The results show a rapid decrease in fish abundance in the middle downstream course immediately after dam closure. This low abundance was observed until the end of the filling phase, when the flow was maintained at a minimum level. Afterwards, abundance returned to a level comparable with that prior to dam closure. Fish collection in different zones showed that the decrease in abundance was probably due to the escape of fish to shelter areas. Another marked effect was the reduction of sample diversity due to a decrease in species richness, as well as in the regularity of the distribution of species' relative abundance. Examination of biological traits of species suggests that under these conditions feeding strategies could have been the most important factor affecting the abundance of populations.","Article","Scopus",0.686967694642252,NA,1,"damn effect",NA,10,30,0
"8","2-s2.0-0033805675",32,32,"Elliot S.L., De Moraes G.J., Delalibera I. Jr., Da Silva C.A.D., Tamai M.A., Mumford J.D.","23970232400;7003792315;6603232960;57196582163;7201659468;55225212900;","Potential of the mite-pathogenic fungus Neozygites floridana (Entomophthorales: Neozygitaceae) for control of the cassava green mite Mononychellus tanajoa (Acari: Tetranychidae)",2000,"Bulletin of Entomological Research",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033805675&partnerID=40&md5=e91b7fab8614fe2ffc36a75bcf87caa3","The cassava green mite, Mononychellus tanajoa (Bondar), is an exotic pest in Africa and is the target of a classical biological control programme. Field data from the Neotropics, where it is indigenous, are presented for the first time, charting the variation in abundance of M. tanajoa over several seasons. This was highly variable, with a characteristic trough mid-year and a peak at the turn of the year. This pattern corresponded positively with rainfall levels, appearing to fit a phenology also characteristic of African studies, where rainfall at the start of the wet season promotes a leaf flush and so growth in M. tanajoa populations. Analyses implied some impact of leaf-inhabiting predatory mites (predominantly Neoseiulus idaeus Denmark and Muma) and a considerable impact of the fungal pathogen Neozygites floridana Fisher on M. tanajoa populations. This pathogen was not observed in the host population for several (generally dry) periods implying survival outside the host, perhaps as resting spores. This is a particularly desirable characteristic of a biological control agent. It is therefore proposed that N. floridana might be of particular use in drier cassava-growing areas where rainfall at the outset of the wet season is not sufficiently intense to cause heavy M. tanajoa mortality but may be sufficient to stimulate epizootics of the fungal pathogen, protecting the flush of new cassava growth.","Article","Scopus",0.507533626627898,NA,NA,NA,NA,NA,33,NA
"9","2-s2.0-0035161456",47,47,"Agostinho A.A., Gomes L.C., Zalewski M.","8614711600;7103337731;7005530676;","The importance of floodplains for the dynamics of fish communities of the upper river Paraná",2001,"Ecohydrology and Hydrobiology",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035161456&partnerID=40&md5=2c2353673825ef29d1fde9dafd9f9527","The last free stretch of the River Paraná inside of Brazilian territory, about 230 km of the former 810 km, runs in a wide floodplain, which flood regime is controlled in part by upstream dams. Aim to evaluate the impacts of different levels of hydrological control on the regional fish diversity, nutritional condition, trophic categories proportion, reproduction and young abundance monthly sampling were carried, between 1986 and 1993, during three annual periods with different flood duration and intensity. Lagoons, secondary channels and river channel was sampled with gillnet of different mesh size and standardized effort. Diversity, evenness indexes and number of species increased with the occurence of floods. The trophic category proportions varied among the periods considered, with a decrease in piscivores participation and an increase of iliophages, herbivores and insectivores (terrestrial) participation in big flood years. The tendencies for piscivores guild were not uniform to every species. The variations on the nutritional condition reveal that the absence of flooding has a negative effect on greater migratory species and positive on sedentary ones. The young abundance shows, however, that fail in the flooding has a strong negative impact on de recruitment of all the reproductive strategies. It's stressed the operational procedures in the upstream dams and the maintenance of the floodplain integrity is essential to preserve the regional biodiversity, fisheries and particularly the greater migratory fishes population.","Article","Scopus",0.672986022663821,NA,1,NA,NA,10,48,NA
"10","2-s2.0-0042808416",45,45,"Stern M., Quesada M., Stoner K.E.","7401697574;7005115113;7004618587;","Changes in composition and structure of a tropical dry forest following intermittent cattle grazing",2002,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042808416&partnerID=40&md5=a9d3ef4e55a36bacca395613eab63325","In northwestern Costa Rica, cattle are being used as a ""management tool"" to reduce the amount of combustible material, mainly dominated by Hyparrhenia rufa, an African grass. This project is being developed within Parque Nacional Palo Verde and Reserva Biológica Lomas Barbudal, both of which form part of the only remaining tropical dry forests in Mesoamerica. To determine the short-term effects of cattle grazing on the natural vegetation, we compared the floristic composition within Palo Verde in an area under intermittent cattle grazing with an area that has not been grazed. There were significantly fewer plant species in the area with intermittent cattle grazing compared to the area with no grazing. Floristic composition of these two habitats was different as reflected by both Fisher's alpha values and the Shannon index of diversity, both of which were significantly higher in the ungrazed site. The ungrazed area contained more plant species and was more similar to mature forest. The structure of the vegetation was significantly different between the intermittently grazed and ungrazed sites with more small stems (1-5 cm dbh) and fewer large stems (>5 cm dbh) in the intermittently grazed habitat. These results indicate that cattle grazing has an impact on the dry forest by reducing the relative abundance and density of larger tree species and by changing the species composition and structure of the community. The current management plan implemented in Palo Verde and Lomas Barbudal is not appropriate because of the impact that cattle have on the structure of the natural vegetation and should not be considered a viable alternative in other protected areas of dry forest in the Neotropics. We suggest that alternative fire prevention measures be evaluated including hand-cutting H. rufa, the creation of more frequent and larger fire breaks, and the development of green breaks.","Article","Scopus",0.528729566674434,NA,NA,NA,NA,NA,46,NA
