"","EID","X__1","Unnamed: 0","Authors","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract","Document Type","Source","p","Relevance_std","Relevance_ranked","X__2","Timespan_std","Timespan_ranked","Scopus_index","Present_in_training_docs"
"1","2-s2.0-0000852840",364,364,"Reid S.B., Hirota J., Young R.E., Hallacher L.E.","16430862600;16194137800;37019515200;6506153685;","Mesopelagic-boundary community in Hawaii: Micronekton at the interface between neritic and oceanic ecosystems",1991,"Marine Biology","10.1007/BF01313508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000852840&doi=10.1007%2fBF01313508&partnerID=40&md5=29023a780da822975b8ea8a94e4117ad","The present study demonstrates that a distinct land-associated community of mesopelagic micronekton exists around the Hawaiian Islands. This ""mesopelagic-boundary community"" replaces the oceanic mesopelagic community over bottom depths of approx 400 to 700 m and includes about 14 species of fishes, 5 of shrimps and 4 of squids. Similar species of the mesopelagic micronekton have been reported in association with other landmasses at the boundary between the oceanic mesopelagic realm and upper continental or island slopes. These species may form a cosmopolitan ""mesopelagic-boundary community"" which shows regional differences in taxonomic composition, abundance and diversity. Boundary communities, with populations which are both tightly constrained geographically and relatively accessible to shore-based research programs, offer unique opportunities for studying biological processes of the mesopelagic realm and the interactions between neritic and oceanic populations. Data is presented from three midwater and two neuston sampling projects undertaken around the main Hawaiian Islands between 1987 and 1989; additional evidence from the literature is also discussed. © 1991 Springer-Verlag.","Article","Scopus",0.467618705289867,NA,NA,NA,NA,NA,365,NA
"2","2-s2.0-0001176337",345,345,"Vásquez-Yeomans, Richards W.J.","6602422544;7202452091;","Variación estacional del ictioplancton de la Bahía de la Ascensión, Reserva de la Biosfera de Sian Ka'an (1990-1994)",1999,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001176337&partnerID=40&md5=e7b35a2c7c0f94a321d02e836e118016","The taxonomic composition of the Bahia de la Ascensión ichthyoplankton has been surveyed for several years (1990-1994). Fifty seven families, 34 genera, and 74 species of fish larvae were identified. Clupeidae, Callionymidae, Labrisomidae, and Gobiidae were the most abundant families in this bay. Larval fish diversity was highest in the rainy season. Highest overall ichthyoplankton abundances were observed in August 1993, which was attributed to a change in the net mesh size of the plankton. Also, the highest seasonal ichthyoplankton abundances were recorded during the rainy season (July to October). Eggs density was highest along the oceanic front of the bay, while larvae were most abundant in the inner most reaches of the bay. This work confirms Bahía de la Ascension as a regional nursery ground for marine fish populations.","Article","Scopus",0.687730293377978,NA,NA,NA,NA,NA,346,NA
"3","2-s2.0-0001968378",387,387,"Waples R.S., Winans G.A., Utter F.M., Mahnken C.","6701813867;6602119726;7004330250;6602632737;","Genetic approaches to the management of pacific salmon",1990,"Fisheries","10.1577/1548-8446(1990)015<0019:GATTMO>2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001968378&doi=10.1577%2f1548-8446%281990%29015%3c0019%3aGATTMO%3e2.0.CO%3b2&partnerID=40&md5=e7167c0bb40b461c8731a88c557e0f64","The complex problems involved in managing Pacific salmon (Oncorhynchus spp.) are largely a consequence of the unusual life history features of these species. The strong homing instinct leads to the formation of discrete, locally-adapted spawning populations, each of which has the potential to evolve as an independent evolutionary unit. It is important, therefore, that the genetic consequences of different management policies be carefully evaluated. If current management goals (e.g., doubling the abundance of anadromous salmonids in the Columbia River basin through increased hatchery production and supplementation of natural populations) are realized, genetic issues will assume even greater importance in the future. To date, however, genetic concerns have not been adequately incorporated into the management process. We identify three genetic approaches, primarily based on easily obtained electrophoretic data, that can provide valuable information on which to base management decisions: (1) Using the Genetic Stock Identification method for identifying stocks contributing to oceanic, mixed-stock fisheries. Genetic Stock Identification has several advantages over traditional tagging methods, including cost-effectiveness and easy access to wild as well as hatchery stocks. (2) Monitoring genetic changes in hatchery stocks. Analysis of the nature and magnitude of such changes is the best means of identifying stocks in which potentially dangerous levels of inbreeding may be occurring. (3) Detecting mixtures of gene pools. The ability to detect hybridization and introgression is necessary for an evaluation of the genetic consequences of releasing artificially propagated fish into the wild. © 1990 Taylor & Francis Group, LLC.","Article","Scopus",0.419213180246323,NA,NA,NA,NA,NA,388,NA
"4","2-s2.0-0002203407",362,362,"Roe H.S.J.","7004206951;","Observations on the diurnal vertical migrations of an oceanic animal community",1974,"Marine Biology","10.1007/BF00396301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002203407&doi=10.1007%2fBF00396301&partnerID=40&md5=9319628a95b6bc53b893d7a8072d8b4d","Diurnal changes in abundance caused by vertical migrations have been examined in populations of copepods, ostracods, euphausiids, amphipods, decapods, chaetognaths, siphonophores and fish. The animals were taken in a series of hauls made over a 24 h period with an opening-closing midwater trawl system (RMT 1+8), consisting of a net of 1 m2 mouth area combined in the same frame as one of 8 m2 mouth area. The samples were taken at 250 m depth in a position 30°N; 23°W on 7/8 April 1972. The specific composition of the community and the numbers of individuals changed continuously with time. The numbers of fish, decapods and chaetognaths increased at night, but those of copepods, ostracods and euphausiids decreased. More species of fish, decapods and copepods were present by night than by day, whereas the numbers of species per haul for other groups remained fairly constant. The relative abundances of groups caught by the RMT 1 have been analysed, but similar treatment of the RMT 8 samples was impossible as only 3 groups were taken from this net. Non-migrants were a minority in every group except chaetognaths. Migrant species have been put into one of 6 transitory categories according to their patterns of abundance and hence migrations. Within each category, migratory behaviour varied both inter- and intraspecifically. The patterns of abundance of many species were smooth and continuous, suggesting slow migratory cycles of small amplitude. Conversely, extensive migrants had discontinuous patterns and presumably more rapid movements. Few migrants had a steady numerical plateau between their upward and downward migrations, and most apparently moved up or down continuously. The presence of migratory species in the sampled layer depended upon the time of day or night. It is concluded that, in a vertical series of hauls, the depths of occurrence of migrants will vary with the sampling time. Further-more, a vertical series will show a species minimum migration range but not necessarily its maximum. Individuals of some species were out of phase with the migrations of their main populations. There is evidence that the distributions and migrations of some species of decapods, euphausiids, copepods and fish could be related to the distribution of underwater light. Three pairs of congeneric copepod species were both spatially and temporally segregated for at least part of their diurnal cycles. Such an orderly arrangement could provide a means of reducing competition between species. Some species, however, overtook others on their migrations and the pattern of underwater light cannot, therefore, regulate the distribution of all species in the same way. © 1974 Springer-Verlag.","Article","Scopus",0.717997181084047,NA,NA,NA,NA,NA,363,NA
"5","2-s2.0-0002373298",416,416,"Cronin L.E., Daiber J.C., Hulbert E.M.","7006149048;35953470800;6504342403;","Quantitative seasonal aspects of zooplankton in the Delaware River estuary",1962,"Chesapeake Science","10.2307/1351221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002373298&doi=10.2307%2f1351221&partnerID=40&md5=bf15d6d59193748b5e77acbb5272b0f3","The Delaware, a major Coastal Plain estuary about 90 miles long, was quantitatively sampled for net zooplankton at quarterly intervals over a two-year period (#2 bolting cloth on Clarke-Bumpus samplers for 1-hour tows). The principal species were counted from 20-foot depth intervals and for 13 channel stations distributed from the Atlantic Ocean to fresh water. Accompanying hydrographic data were taken on salinity, temperature, dissolved oxygen, and surface transparency. The estuary always showed a gradient salinity from fresh water to about 31‰, but strong seasonal pulses responded to changes in runoff of fresh water. Temperatures varied from 3°C to 28°C in the river, with greater stability near the sea. Turbid river water cleared appreciably near the ocean, and dissolved oxygen levels were high except where pollution loading was apparent in the river. Both salinity and temperatures showed vertical stratification, especially during periods of maximum flow in winter and spring. The total standing crop of zooplankton was always greatest in the estuary, with smaller catches in the river and in the ocean. Seasonal levels of abundance per cubic meter were recorded for about 35 principal species. Among coelenterates, Aglantha digitale appeared in winter, Bougainvillia entered from the ocean in summer, Nemopsis bachei was produced locally in spring and summer, and Blackfordia virginica was sporadic. Ctenophores, especially Mnemiopsis leidyi, were abundant and are suspected to be heavy predators of plankton. The chaetognaths Sagitta elegans and S. enflata fluctuated seasonally but reached substantial levels of abundance. Catches occasionally included tomopterid and other worms, tunicates, isopods, larval and adult decapods, and fish larvae, but many of these were accidental and non-quantitative captures. Small crustacea usually comprised the catch in limnetic waters;Cyclops viridis and several cladocerans were important, especially in spring. The amphipod Gammarus fasciatus showed massive concentrations in the oligohaline zone (ca. 0.5-5.0‰) during spring and summer. The relatively rich mesohaline zone (ca. 5.0-18.0‰) was always dominated by endemic estuarine species. The most abundant were Eurytemora hirundoides and E. affinis, Acartia tonsa (the most numerous, persistent, and euryhaline copepod in this estuary), Pseudodiaptomus coronatus and Neomysis americana. Polyhaline waters (ca. 18.0-30.0‰) characteristically contained low volumes of oceanic intruders, including Centropages typicus and C. hamatus, Labidocera aestiva, Temora longicornis, Penilia avirostris, Evadne nordmanni, Pseudocalanus minutus, and others. A small number of species dominated the catch. Five species made up 89% of the volume (Gammarus fasciatus 54%, Acartia tonsa 22%, Eurytemora hirundoides and E. affinis 7%, Neomysis americana 6%). Three species provided 84% of the number caught (Acartia tonsa 65%, Eurytemora hirundoides and E. affinis 19%). These are the resident species which make the estuarine zooplankton distinctly different from the ocean and the river, and much richer than either. They offer promising fields for additional research. The volume of plankton was highest in spring and summer, and it was markedly affected by changes in the important species. Gammarus was responsible for most of the high spring and summer crop, and Cyclops and Eurytemora also varied greatly with season. Some stability was provided by the year-round presence of large numbers of Acartia, Pseudodiaptomus, Centropages, Neomysis, and less abundant forms. The mechanisms which maintain holoplankters successfully in a flowing hydrographic system appear to involve specific patterns of behavior by individuals or by populations. Especially, these may provide adaptation to the two-layer system of circulation present in this estuary and in many others. Diurnal vertical migration, upstream sites of reproduction, species reservoirs in shoal lateral waters and other unknown mechanisms probably aid in successful estuarine existence. © 1962 Estuarine Research Federation.","Article","Scopus",0.748028072074829,NA,NA,NA,NA,NA,417,NA
"6","2-s2.0-0002883525",322,322,"Butler V.L.","7005923694;","Changing fish use on Mangaia, Southern Cook Islands: Resource depression and the prey choice model",2001,"International Journal of Osteoarchaeology","10.1002/oa.548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002883525&doi=10.1002%2foa.548&partnerID=40&md5=a1f0af69dbecc396aab3125f685e2c6b","This study applies the prey choice model from foraging theory to explain changing human use of fish during the 700-year occupation of Tangatatau Rockshelter, Mangaia, southern Cook Islands. The prey choice model suggests that predators will focus initially on high ranked prey, turning to lower ranked prey if abundance of higher ranked prey declines. It is suggested that increasing human population size would have resulted in increases in harvesting pressure and ultimately prey resource depression. To apply the prey choice model to archaeological faunal records and based on previous research, prey ranks are estimated using overall attributes of taxon body size; the larger the taxon, the higher the rank. Two indices, the Marine and Freshwater Fish Index, are developed to estimate the ratio of high to low ranked prey and are calculated for each zone of the rockshelter. Over time, the indices show a decreasing abundance of high ranked prey and increasing abundance of low ranked prey, which supports the view of resource depression. Skeletal elements from two of the high ranked prey, Serranidae and Anguilla sp., are measured to examine taxon-specific changes in fish body size/age that would indicate direct human exploitation pressure. Evidence for a decline in Serranidae body size over time suggests that some of the decline in prey abundance and encounter rates results from direct harvesting pressure along with behavioural adjustments in the prey. Sample sizes for Anguilla were insufficient for statistical treatment. Environmental and technological factors that might also affect prey abundance and taxonomic representation do not satisfactorily account for the patterns. Overall, the increasing use of lower ranked prey suggests a decline in foraging efficiency, given higher energetic costs associated with their use. The study adds to a growing body of evidence that Polynesians profoundly affected the indigenous biota on islands they colonized. Copyright © 2001 John Wiley & Sons, Ltd.","Article","Scopus",0.666641832888823,NA,NA,NA,NA,NA,323,NA
"7","2-s2.0-0008137986",40,40,"Alvaro Morales R., Murillo M.M.","6506600863;57193051182;","Distribution, abundance and composition of coral reef Zooplankton, Cahuita National Park, Limon, Costa Rica",1996,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0008137986&partnerID=40&md5=b8f4980f398d314dbeb8d4470c725e38","The Zooplankton distribution, abundance and composition at Cahuita coral reef (Cahuita National Park, 9° 45' N and 82° 49 'W, Costa Rica) were studied in four stations from January to November 1984. The samples were collected monthly using a net with 0.47m diameter opening and 280μm mesh. Copepods were predominant throughout the year (32-95%), followed by foraminiferans (1-34%), fish larvae and eggs (<1-28%), crustacean larvae (2-13.8%) and chaetognatha (1 - 6.5%). Mollusc and echinoderm larvae were also present. High densities of Zooplankton were obtained in January, August and October, with peak abundance in May. Low densities were found in April and November. Some groups like Copepoda, Chaetognatha, crustacean larvae and Polychaeta showed significant differences in their abundances from station to station. Amphipoda, Urochordata, mollusc and echinoderm larvae as well as ichthyoplankton showed no such differences. Comparing the rainy and dry season, a significant difference was detected between holo- and merozooplankton abundances; holozooplankton population dominated both in number and diversity. The lower diversity of larval forms is assumed to be a result of strong sedimentation and sediment resuspension. The variability of Zooplankton abundance and its distribution are influenced by the current system that predominates in Cahuita. Qualitative analysis suggests that the Zooplankton sampled in the Cahuita coral reef corresponds more to pelagic-oceanic Zooplankton than to demersal Zooplankton. Differences between the sampling sations may reflect the intensity of exchange between the reef water and surrounding water.","Article","Scopus",0.562907714559534,NA,NA,NA,NA,NA,41,NA
"8","2-s2.0-0012054002",44,44,"Drake D.C., Naiman R.J., Helfield J.M.","7102454182;7006543659;6603293179;","Reconstructing salmon abundance in rivers: An initial dendrochronological evaluation",2002,"Ecology","10.1890/0012-9658(2002)083[2971:RSAIRA]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012054002&doi=10.1890%2f0012-9658%282002%29083%5b2971%3aRSAIRA%5d2.0.CO%3b2&partnerID=40&md5=56e20723046cc2a2059dd74b4176d453","Decision-makers concerned with salmon or their stream habitats are faced with many persistent, difficult questions including: how large and variable were these populations before European settlement? Here, we examine the feasibility of reconstructing salmon abundance using links between marine nutrients carried upstream by Pacific salmon (Oncorhynchus spp.) and growth of dominant riparian trees in two Alaskan systems. We employ standard dendrochronology methods and regression models to quantify relationships between annual tree-ring growth, salmon escapement, and the climate pattern that affects oceanic production of Northeast Pacific salmon stocks, the Pacific Decadal Oscillation (PDO). We find that known, annual salmon escapement is significantly related to tree-ring growth at two sites in the Pacific coastal rainforest (PCRF) (r2 = 0.23, P &lt; 0.05 at each site), but not at two sites in the boreal forest. We then use relationships established at PCRF sites to reconstruct preliminary salmon spawning abundances to 1820 A.D. The PDO was not correlated with local 19-yr salmon escapement records and could not be used in reconstructions. Reconstructions compare favorably to southeastern Alaska fisheries catch data from 1924 to 1994 (Pearson correlation = 0.301 [P = 0.02] and 0.401 [P &lt; 0.01]). This study demonstrates the promise and utility of dendrochronology for reconstructing salmon returns to streams.","Article","Scopus",0.539359943192153,NA,NA,NA,NA,NA,45,NA
"9","2-s2.0-0024266871",236,236,"Shannon L.V., Crawford R.J.M., Brundrit G.B., Underhill L.G.","7005273895;7402584631;6601964822;9636921200;","Responses of fish populations in the Benguela ecosystem to environmental change",1988,"Journal du Conseil - Conseil International pour l'Exploration de la Mer",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024266871&partnerID=40&md5=e9ad0d2b70818d73ebe03a16ca9ee0ce","Since 1950 several exploited fish stocks in the Benguela ecosystem have undergone major changes in distribution and abundance which cannot be ascribed solely to fishing. In the S Benguela changes are related to interannual variability of oceanic sea-surface temperature, which to some extent reflects the leakage of Agulhas Current water into the SE Atlantic. In the N Benguela fish populations have responded to both changes in the local environment and large-scale processes in the tropical Atlantic. As a general rule, the environment appears to have favoured either epipelagic species or groundfish species, but not both simultaneously. -Authors","Article","Scopus",0.643444954024498,NA,NA,NA,NA,NA,237,NA
"10","2-s2.0-0025684460",361,361,"Arntz W.E., Tarazona J.","7003410301;7006547278;","Effects of El Nino 1982-83 on benthos, fish and fisheries off the South American Pacific coast",1990,"Global ecological consequences of the 1982-83 El Nino-Southern Oscillation",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025684460&partnerID=40&md5=d70ee9e7eb6126e1f73d619a6f2bc380","In the pelagic subsystem, a surface temperature increase of up to 11°C, the effects of which could be traced down to at least 1000 m depth, led to a tropicalization of the ecosystem, disruption of the normal food web, and induced changes in species composition and migrations of a large number of fish and invertebrate species populations. This resulted in a general impoverishment of this system. The consequences for some commercially important species, which had already been damaged by former EN events and the impact of overfishing, were severe off Peru and Ecuador although there were certain positive effects due to the inshore migration of various oceanic mackerels and the southward migration of (sub)tropical fish species such as dolphinfish and skipjack tuna. In the benthic subsystem, a factor of major importance, besides the increase in temperature, was the marked increase of dissolved oxygen at the seafloor. Despite mass mortalities of many of the cold-water adapted invertebrate species on sandy beaches, shallow soft bottoms and in the rocky intertidal zone, the overall effect on fisheries was rather positive. In the case of commercially exploited shellfish, this was due to an increased immigration of subtropical species, mostly crustaceans, as well as increases in abundance of some local species more tolerant of warm water. -from Authors","Article","Scopus",0.650992349000867,NA,NA,NA,NA,NA,362,NA
