,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_std_mod,Timespan_std_mod,Scopus_index,Present_in_training_docs
10,2-s2.0-13844299725,25,25,"Witting L., Born E.W.",56600324800;7006212133;,An assessment of Greenland walrus populations,2005,ICES Journal of Marine Science,10.1016/j.icesjms.2004.11.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-13844299725&doi=10.1016%2fj.icesjms.2004.11.001&partnerID=40&md5=44e579976443896b5e83bf501ccadcb2,"Recent abundance estimates were combined with historical catches and an age- and sex-structured population dynamic model to perform Bayesian assessments of the walrus (Odobenus rosmarus) populations in West Greenland, the North Water in northern Baffin Bay, and East Greenland. The model assumed density-regulated dynamics and pre-harvest populations in population-dynamical equilibrium. It projected the populations under the influence of the catches to estimate the historical trajectories and the current population status. It was found that the West Greenland and North Water populations have been heavily exploited during the last century with the current abundance being at best only a few per cent of the historical abundance. Apparently these populations are still being exploited above sustainable level. The East Greenland population was heavily exploited after 1889 and during the first half of the 20th century and was depleted to approximately 50% of pristine population size in 1933. After protective measures were introduced in the 1950s this population has increased to a current level close to the abundance in 1889, and the present exploitation appears to be sustainable. © 2004 International Council for the Exploration of the Sea. Published by Elsevier Ltd. All rights reserved.",Article,Scopus,0.866827767,NA,1,NA,NA,5,,,26,NA
3,2-s2.0-0032991223,3,3,"Gales N.J., Fletcher D.J.",7004223286;56278589300;,"Abundance, distribution and status of the New Zealand sea lion, Phocarctos hookeri",1999,Wildlife Research,10.1071/WR98022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032991223&doi=10.1071%2fWR98022&partnerID=40&md5=b2e263034897cb57189dce18fd2ef30c,"The abundance of the New Zealand sea lion, Phocarctos hookeri, was estimated using a model that incorporated estimated pup production. Pups are born at only five sites, four of which are at the sub-Antarctic Auckland Islands, which lie to the south of New Zealand. The remaining breeding site is at Campbell Island in the same region. Pup production was estimated during the 1994/95 and 1995/96 breeding seasons from mark-recapture studies at the two largest sea lion rookeries, at the Auckland Islands (Sandy Bay and Dundas Island), which account for almost 90% of total pup production for the species. Pup production for the other sites was estimated from direct counts or, in the case of Campbell Island, from recent tagging data. Total pup production estimates for all sites during the 1994/95 and 1995/96 breeding seasons are 2640 and 2807 respectively. During the four-week pupping season, pup mortality at most sites was estimated to be about 10%. The estimates of absolute abundance based on pup production for the two breeding seasons were 11 700 (95% confidence interval (CI): 10500-13100) and 12500 (95% CI: 11100-14000) respectively. This population abundance is among the smallest reported for a species within the Otariidae. The highly localised, and historically reduced distribution make this species vulnerable to impact and warrants particular attention from conservation managers. In particular, the potential impact of the annual bycatch of P. hookeri in a trawl fishery requires close monitoring and, ideally, some mitigation action.",Article,Scopus,0.816400879,1,1,"Question concerning pup production, but inspection indicates total abundance estimates too.",5,5,1,5,4,0
5,2-s2.0-0036117415,48,48,"Croxall J.P., Wood A.G.",7004527404;7401883630;,The importance of the Patagonian Shelf for top predator species breeding at South Georgia,2002,Aquatic Conservation: Marine and Freshwater Ecosystems,10.1002/aqc.480,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036117415&doi=10.1002%2faqc.480&partnerID=40&md5=9051702ee7a8cd9fe048028c3f5f69e2,"1. The rich zooplankton, fish and squid resources on the Patagonian Shelf sustain substantial populations of largely resident seabirds and marine mammals. These habitats are also visited seasonally by similar species from elsewhere but few data exist on their status and origin. Recent studies, using satellite-tracking to determine foraging ranges and feeding areas of seabirds and marine mammals breeding at South Georgia, have shown that several species make substantial use of the waters of the Patagonian Shelf. 2. Wandering albatrosses use shelf-edge areas year-round with direct observations of both sexes of almost all age classes, including, breeding, pre-breeding and non-breeding individuals. White-chinned petrels and female Northern and Southern giant petrels mainly visit during incubation and post-breeding, particularly to the Falklands Current (White-chinned petrels) and to upwelling areas around the southern shelf-break from the Burdwood Bank in the east to Staten Island and Diego Ramirez in the west (giant petrels). Northern giant petrel males during incubation and Antarctic fur seals in winter reach inner shelf habitats in the northern sector. In contrast, South Georgia populations of black-browed and grey-headed albatrosses do not appear to use the Patagonian Shelf at any stage of their breeding cycle. 3. Although the use of the Patagonian Shelf by visiting species is now best documented for South Georgia species, recent observational data confirm that seabirds from Diego Ramirez, Tristan da Cunha and Gough visit the southern and northern sectors, during both breeding and non-breeding seasons respectively. Several Antarctic species (notably Antarctic fulmar and cape petrel) winter in the region as do at least two albatross species from New Zealand; other species (especially Wilson's storm petrels) use it as a staging ground on migration, as do several species of baleen whales and possibly other cetacean species. 4. Three of the seabird species which breed on the Patagonian Shelf are Globally Threatened; seven of the visiting species (and four baleen whale species) also have this status. The Patagonian Shelf is, therefore, not only of global importance for the diversity and abundance of its resident top predators but is just as critical for the survival of many visiting species, some of which are even more endangered. 5. Combining data from satellite-tracking with conventional mapping from direct observations offers the prospect of defining the foraging ranges (and the main feeding areas within these) of a range of key top predator species. Such data should be used, in conjunction with similar information of the distributions of fish, squid and zooplankton resources and of fishing effort, to identify critical marine habitats whose precautionary, multiple-use sustainable management will be vital to protect the interests of both commercial fishers and top predators. © 2002 John Wiley & Sons, Ltd.",Conference Paper,Scopus,0.801142872,NA,0,NA,NA,5,,,49,NA
42,2-s2.0-84929379144,1,1,"Southwell C., Emmerson L., Newbery K., McKinlay J., Kerry K., Woehler E., Ensor P.",6701777858;7801514534;15769359300;7006004856;6701429391;55895022100;6601965943;,Re-constructing historical Adélie penguin abundance estimates by retrospectively accounting for detection bias,2015,PLoS ONE,10.1371/journal.pone.0123540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929379144&doi=10.1371%2fjournal.pone.0123540&partnerID=40&md5=02f1015f144a6ecc5bb045859b5ff06f,"Seabirds and other land-breeding marine predators are considered to be useful and practical indicators of the state of marine ecosystems because of their dependence on marine prey and the accessibility of their populations at breeding colonies. Historical counts of breeding populations of these higher-order marine predators are one of few data sources available for inferring past change in marine ecosystems. However, historical abundance estimates derived from these population counts may be subject to unrecognised bias and uncertainty because of variable attendance of birds at breeding colonies and variable timing of past population surveys. We retrospectively accounted for detection bias in historical abundance estimates of the colonial, land-breeding Adélie penguin through an analysis of 222 historical abundance estimates from 81 breeding sites in east Antarctica. The published abundance estimates were de-constructed to retrieve the raw count data and then re-constructed by applying contemporary adjustment factors obtained from remotely operating time-lapse cameras. The re-construction process incorporated spatial and temporal variation in phenology and attendance by using data from cameras deployed at multiple sites over multiple years and propagating this uncertainty through to the final revised abundance estimates. Our re-constructed abundance estimates were consistently higher and more uncertain than published estimates. The re-constructed estimates alter the conclusions reached for some sites in east Antarctica in recent assessments of long-term Adélie penguin population change. Our approach is applicable to abundance data for a wide range of colonial, land-breeding marine species including other penguin species, flying seabirds and marine mammals. © 2015 Southwell et al.",Article,Scopus,0.800014998,1,1,NA,5,5,1,5,2,NA
40,2-s2.0-84919624930,27,27,"Guzman H.M., Condit R., Pérez-Ortega B., Capella J.J., Stevick P.T.",23097739900;35500762400;36175136300;7003877120;6602319130;,"Population size and migratory connectivity of humpback whales wintering in Las Perlas Archipelago, Panama",2015,Marine Mammal Science,10.1111/mms.12136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919624930&doi=10.1111%2fmms.12136&partnerID=40&md5=c4a518ae90865e03ecfc7925e0997ad5,"From 2003 to 2009, we surveyed Las Perlas Archipelago off the Pacific coast of Panama 53 times between the months of August and October to estimate abundance of humpback whales and to test for a migratory connection with populations from the southern hemisphere. We identified 295 individuals using photo-identification of dorsal fins, including 58 calves, and the population estimate for a single season was 100-300 solitary adults plus 25-50 mothers with calves; the estimated population of animals across all seasons using a mark and recapture model was over 1,000. Eight of the 139 fluke identifications were matched to whales in photograph catalogues from the Antarctic Peninsula and a ninth was matched to a whale sighted in Chilean waters; four of these nine individuals have also been sighted in Colombia. We conclude that Panama (Las Perlas Archipelago in particular) is an important calving area for humpback whales in the Southern Hemisphere. These data should provide a foundation for monitoring of population change and to increase awareness in Panama about the need to manage vessel traffic and tourism related to the whales at Las Perlas. © 2014 Society for Marine Mammalogy.",Article,Scopus,0.799841986,NA,1,NA,NA,5,,,28,0
36,2-s2.0-84889606621,33,33,"Fossette S., Heide-Jørgensen M.-P., Jensen M.V., Kiszka J., Bérubé M., Bertrand N., Vély M.",14424063400;55944048100;12239589400;16025171700;7006602613;55953524700;6508008054;,Humpback whale (Megaptera novaeangliae) post breeding dispersal and southward migration in the western Indian Ocean,2014,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2013.10.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889606621&doi=10.1016%2fj.jembe.2013.10.014&partnerID=40&md5=060c38c24770c723d7013d69fd077b0a,"Investigating movement patterns of marine migratory species is critical to understand habitat use and population structure, and help inform conservation and management planning. Little is known about humpback whale (Megaptera novaeangliae) dispersal and migration in the western Indian Ocean. In October 2011 and 2012, eleven satellite transmitters were deployed on wintering humpback whales from the south-western Indian Ocean breeding stock at the Comoros islands (Mohéli, n = 6 and Mayotte, n = 5). Eight individuals were successfully tracked for 24.3 ± 12.4. days (range = 8-49. days) and travelled between 146. km and 5804. km in total. Whales either remained at their wintering site for several weeks (n = 3) or dispersed along the west coast (n = 4) or east (n = 1) coast of Madagascar where two main stop-over sites were identified. In addition, two individuals travelled along straight paths to distant, potential, foraging areas. One whale reached the French sub-Antarctic islands while the other travelled to one of the supposed Antarctic foraging areas for humpback whales of this breeding stock. This is the first time movements of humpback whales from this area are being described and their potential foraging areas in the Southern Ocean identified. Identification of these dispersal patterns is important for delineation of breeding regions and for allocating abundance estimates to stocks. © 2013 Elsevier B.V.",Article,Scopus,0.792272905,NA,0,NA,NA,5,,,34,NA
47,2-s2.0-84984917470,6,6,"Rexer-Huber K., Parker G.C., Sagar P.M., Thompson D.R.",43661793400;55279285800;7102936664;55316299800;,"White-chinned petrel population estimate, Disappointment Island (Auckland Islands)",2017,Polar Biology,10.1007/s00300-016-2031-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984917470&doi=10.1007%2fs00300-016-2031-x&partnerID=40&md5=3359b95b65822d6293f635e31f4061de,"The white-chinned petrel Procellaria aequinoctialis is one of the most frequently observed seabird species captured in fisheries bycatch, yet some populations remain virtually unstudied. The size of the breeding population on the sub-Antarctic Auckland Islands, New Zealand, is unknown. Disappointment Island is thought to be the main white-chinned petrel breeding site in the Auckland Islands, and maybe also in the New Zealand region, and has never had introduced mammalian predators. We estimated the white-chinned petrel breeding population size taking into account the detection probability of burrows via distance sampling and the burrow occupancy rate. Eighty line transects were distributed over the island, with a total line length of 1600 m. Burrows were patchily distributed and most abundant in dense megaherb communities. White-chinned petrel burrow density D^ was 654 burrows/ha (95 % CI 528–809 burrows/ha), with burrow detection probability p^ varying among vegetation communities from 0.28 ± 0.02 to 0.43 ± 0.02 (±SE). Mean burrow occupancy was 0.73 ± 0.03. We document an estimated total of 155,500 (125,600–192,500) breeding pairs of white-chinned petrels on Disappointment Island during mid incubation in early January 2015. The relatively high occupancy and density of burrows suggest that Disappointment Island is a key breeding site for white-chinned petrels. © 2016, Springer-Verlag Berlin Heidelberg.",Article,Scopus,0.780608573,0,0,NA,5,5,0,5,7,NA
46,2-s2.0-84975045802,42,42,"Seyboth E., Groch K.R., Dalla Rosa L., Reid K., Flores P.A.C., Secchi E.R.",38562080400;54419994600;16024117200;7202780677;7005207988;6603441668;,Southern Right Whale (Eubalaena australis) Reproductive Success is Influenced by Krill (Euphausia superba) Density and Climate,2016,Scientific Reports,10.1038/srep28205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975045802&doi=10.1038%2fsrep28205&partnerID=40&md5=9b2b4d58816e42346ad18b1b3bfd50c2,"The reproductive success of southern right whale (Eubalaena australis) depends on body condition and, therefore, on foraging success. This, in turn, might be affected by climatically driven change in the abundance of the species main prey, krill (Euphausia superba), on the feeding grounds. Annual data on southern right whale number of calves were obtained from aerial surveys carried out between 1997 and 2013 in southern Brazil, where the species concentrate during their breeding season. The number of calves recorded each year varied from 7 to 43 (= 21.11 ± 11.88). Using cross-correlation analysis we examined the response of the species to climate anomalies and krill densities. Significant correlations were found with krill densities (r = 0.69, p = 0.002, lag 0 years), Oceanic Niño Index (r = '0.65, p = 0.03, lag 6 years), Antarctic Oscillation (r = 0.76, p = 0.01, lag 7 years) and Antarctic sea ice area (r = '0.68, p = 0.002, lag 0 years). Our results suggest that global climate indices influence southern right whale breeding success in southern Brazil by determining variation in food (krill) availability for the species. Therefore, increased frequency of years with reduced krill abundance, due to global warming, is likely to reduce the current rate of recovery of southern right whales from historical overexploitation.",Article,Scopus,0.775146741,NA,?,Question over using calf numbers as a metric of abundance,NA,5,,,43,NA
12,2-s2.0-3142639196,9,9,"Jessopp M.J., Forcada J., Reid K., Trathan P.N., Murphy E.J.",6506459557;7004397268;7202780677;7003343692;7401684007;,Winter dispersal of leopard seals (Hydrurga leptonyx): Environmental factors influencing demographics and seasonal abundance,2004,Journal of Zoology,10.1017/S0952836904005102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142639196&doi=10.1017%2fS0952836904005102&partnerID=40&md5=fb14abcf083df0b9f890fe756972be9f,"The dynamics of leopard seal Hydrurga leptonyx abundance and residency were investigated both within and between years at Bird Island, South Georgia, using observations of tagged and untagged individuals. Seals belonged to an open population, and were sampled outside the breeding season and during their northward winter dispersal (April-October). Seals at Bird Island were highly transient (41-63%) with only a limited number of individuals making repeat visits across years. A minimum yearly survival for resident seals was estimated to be between 0.61 and 0.85. The physical environment played an important role in leopard seal abundance, with observations following an apparent 4-year periodicity consistent with the frequency and timing of the Antarctic Circumpolar Wave. Years of low sea-surface temperature (SST) and extensive pack-ice corresponded to a higher number of seals present, earlier arrivals, and longer periods of residency. Peak leopard seal arrivals at Bird Island corresponded to periods of low SST, which was consistent with the pagophilic nature of this species.",Article,Scopus,0.772810535,1,1,NA,10,10,1,10,10,NA
20,2-s2.0-4043098396,2,2,"Cameron M.F., Siniff D.B.",7102724651;7003874433;,"Age-specific survival, abundance, and immigration rates of a Weddell seal (Leptonychotes weddellii) population in McMurdo Sound, Antartica",2004,Canadian Journal of Zoology,10.1139/z04-025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4043098396&doi=10.1139%2fz04-025&partnerID=40&md5=dc18bff7a228be5500e880a389cf4484,"Since the 1960s, Weddell seals (Leptonychotes weddellii (Lesson, 1826)) have been tagged and surveyed annually in McMurdo Sound, Antarctica. Mark-recapture analyses and model selection trials using Akaike's Information Criterion indicate that sex, cohort, and year affect juvenile (ages 1 and 2) survival. In contrast, year and perhaps sex and cohort are less important factors for adult survival. Average annual survival is higher among adults (0.93) than juveniles (0.55-0.59) and there is little evidence for senescence to at least age 17. The oldest known-aged female and male in the study were 27 and 24 years old, respectively. Data suggest that the abundance of a resident population of Weddell seals remains relatively stable over time despite annual fluctuations in Jolly-Seber abundance estimates for the entire population. We argue that this annual variability is likely the result of temporary immigration of animals born outside the study area; mean rates are estimated from a simulation model and tagging data to be between 16.8% and 39.7% for females and between -13.1% and 31.6% for males. Sea ice extent appears to affect immigration where, during times of reduced fast-ice, immigrants are forced, or allowed easier access, into the ice-covered areas of Erebus Bay from surrounding locations. Our findings contradict previous studies reporting lower survival and higher immigration. Model choice is shown to be the most likely cause of these discrepancies and we provide evidence that our models are more appropriate than those used elsewhere.",Article,Scopus,0.766331811,1,1,NA,5,10,1,5,3,NA
