,EID,X__1,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Access Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Scopus_index,Present_in_training_docs
74,2-s2.0-84925303222,0,"Norbury G., Jones C.",6603960402;55474251200;,Pests controlling pests: Does predator control lead to greater European rabbit abundance in Australasia?,2015,Mammal Review,10.1111/mam.12034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925303222&doi=10.1111%2fmam.12034&partnerID=40&md5=399142f53a6211aea37b70e9cdc2e7b4,"In New Zealand and Australia, rural landowners believe that local predator control to protect indigenous biota exacerbates European rabbit Oryctolagus cuniculus problems on their land. We assess the validity of their concerns by reviewing the published literature on effects of predators on rabbit abundance. In New Zealand, where rabbits and their predators are introduced, predators appear to have relatively little effect on rabbit numbers compared with other factors leading to mortality, such as disease, flooding of burrows and burrow collapse. Similarly, in Australia, rabbit numbers are driven primarily by climate and its effects on food abundance and quality, and by disease. However, where rabbit numbers are low following drought or major epizootics, predation can limit population recovery. In the Iberian Peninsula, where rabbits and their predators are indigenous, the effects of predators are unknown, as they are often confounded by other factors. Rabbit numbers are influenced mostly by habitat, food, disease and rainfall. Elsewhere in Europe, predators have their strongest effect when rabbit numbers have been reduced by other factors, but have little effect on high-density rabbit populations. In Australasia, abundance of predators (especially rabbit specialists) can usually be predicted from rabbit abundance, not vice versa. Although predation effects can be limiting under certain conditions, they are minor compared to the roles of climate, food, disease and habitat. A key unresolved question is whether those circumstances where predator control might lead to increases in rabbit populations can be identified with enough certainty to allow reliable predictions to be generated. One approach is to implement robust rabbit, predator and disease monitoring programmes at sites with predator control operations. Data on changes in rabbits, predators, and disease prevalence could be combined with local data on other key factors to facilitate reasonable inference about effects of predators on rabbits. The inclusion of carefully matched non-treatment areas is crucial if such programmes are to succeed. © 2015 The Mammal Society and John Wiley & Sons Ltd.",Review,NA,Scopus,0.551293457,1,NA,May contain data on abundances,5,NA,1,NA
72,2-s2.0-71649088078,1,"Brearley G., Bradley A., Bell S., McAlpine C.",35072553000;7202847469;35072364500;7003420718;,"Influence of contrasting urban edges on the abundance of arboreal mammals: A study of squirrel gliders (Petaurus norfolcensis) in southeast Queensland, Australia",2010,Biological Conservation,10.1016/j.biocon.2009.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71649088078&doi=10.1016%2fj.biocon.2009.09.003&partnerID=40&md5=0d71911947550a00bd7a2900ef3cb06b,"The primary impacts of urban development on biodiversity are loss and fragmentation of habitat, and changes in the structure, composition and function of remnant native ecosystems. Forest dependent species, including arboreal mammals, are particularly sensitive to these changes due to their highly specific habitat requirements and inability or reluctance to cross the urban matrix. We addressed this problem using a case study of the squirrel glider (Petaurus norfolcensis) in fragmented urban landscapes of southeast Queensland, Australia. We applied a mixed effect modeling approach clustered by patch to quantify the importance of site-level habitat factors relative to edge contrast and habitat patch size on squirrel glider abundance. Analysis of variance was used to test for differences in glider age and sex in interior habitats compared to road and residential edges. We found that edge contrast had a strong negative effect on the abundance of squirrel gliders but is conditional on the presence of a low numbers of unreliable flowering overstorey trees and the availability of critical resources such as nest hollows at a site. We also found that older male gliders prefer forest fragment interiors over road and residential edge habitats. We conclude that although interior habitats are ideal to maintain large stable populations, the conservation value of low contrast edges containing key site-level resources should not be underestimated for arboreal mammals such as the squirrel glider. © 2009 Elsevier Ltd. All rights reserved.",Article,NA,Scopus,0.489224818,0,NA,NA,5,NA,2,NA
73,2-s2.0-71649096748,2,"Bilney R.J., Cooke R., White J.G.",12770020700;7402645441;56184980600;,"Underestimated and severe: Small mammal decline from the forests of south-eastern Australia since European settlement, as revealed by a top-order predator",2010,Biological Conservation,10.1016/j.biocon.2009.09.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71649096748&doi=10.1016%2fj.biocon.2009.09.002&partnerID=40&md5=d624f1d31ef97def814854d9535702bb,"In Australia, numerous small mammal species have suffered extinction or severe declines in distribution and abundance following European settlement. The extent of these declines from forested areas of south-eastern Australia, however, remains poorly understood. In this paper we use sub-fossil deposits of the sooty owl (Tyto tenebricosa tenebricosa) as a tool for understanding the diversity of the small mammal palaeocommunity. These results are compared to the contemporary sooty owl diet from the same geographical region to investigate the degree of small mammal decline following European settlement. Of 28 mammal species detected in sub-fossil deposits and considered prey items of the sooty owl at the time of European settlement, only 10 species were detected in the contemporary sooty owl diet. Numerous small mammal species have not only recently suffered severe declines in distribution and abundance but have also recently undergone niche contraction, as they occupied a greater diversity of regions and habitats at the time of European settlement. For some species our understanding of their true ecological niche and ecological potential is therefore limited. The species that underwent the greatest declines occupied open habitat types or were terrestrial. The severity of decline is also likely to have resulted in severe disruption of ecosystem functions, with wide scale ecosystem consequences. There is an urgent need to improve small mammal conservation, to maintain crucial ecosystem functions performed by small mammals. It is recommended that broad-scale exotic predator control programs are conducted which may also provide suitable conditions for the re-introduction of locally extinct species. © 2009 Elsevier Ltd. All rights reserved.",Article,NA,Scopus,0.615482162,0,NA,NA,5,NA,3,NA
71,2-s2.0-70350633718,3,Gibbs G.W.,35737152900;,The end of an 80-million year experiment: A review of evidence describing the impact of introduced rodents on New Zealand's 'mammal-free' invertebrate fauna,2009,Biological Invasions,10.1007/s10530-008-9408-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350633718&doi=10.1007%2fs10530-008-9408-x&partnerID=40&md5=55e984660a5ff19c9c9cf2de45c3fe0d,"Since separating from its super-continental origin 80 million years ago, New Zealand has effectively been isolated from the impacts of terrestrial mammals. The arrival of Polynesians in 13th C heralded the end of this era, with the introduction of kiore, (Rattus exulans, or Pacific rat), which had far-reaching effects on plant regeneration, survival of small ground vertebrates, larger invertebrates, and seabird breeding colonies. This paper reviews the evidence available from raptor nest sites and Quaternary beetle fossils to summarise extinctions thought to be caused by kiore in New Zealand. It also utilises invertebrate comparisons between islands with and without rats, or where rats have been eradicated, in order to document the impacts of rats (R. exulans, R. norvegicus) on invertebrate abundance, body mass, and the behavioural responses of some large New Zealand insects to the presence of rats. The role of a 'mammal-free' evolutionary history is discussed. © Springer Science+Business Media B.V. 2008.",Article,NA,Scopus,0.539029417,0,NA,NA,5,NA,4,NA
67,2-s2.0-65349126035,4,"Johnson C.N., Vanderwal J.",7405667303;24588327400;,Evidence that dingoes limit abundance of a mesopredator in eastern Australian forests,2009,Journal of Applied Ecology,10.1111/j.1365-2664.2009.01650.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349126035&doi=10.1111%2fj.1365-2664.2009.01650.x&partnerID=40&md5=c9dd7b258e08499bca8b9e66935c8a0b,"1. Aggressive behaviour of top predators may have strong effects on the distribution and abundance of mesopredator species. Such interactions between predator species can reduce the intensity of predation on vulnerable prey. Suppression of mesopredators by top predators is a potentially important process that could protect small prey species from unsustainable predation. 2. There is some evidence that in Australia, the dingo Canis lupus suppresses populations of the red fox Vulpes vulpes. This interaction could be significant to biodiversity conservation because while dingoes have been in Australia for several thousand years and coexist with a wide range of small mammals, the fox is a recent arrival which has caused declines and extinctions, and continues to threaten many prey species. 3. However the strength of the effect of dingoes on foxes is unclear, and some published data have been interpreted as demonstrating no relationship between abundance of the two species. These data come from forested habitats in eastern Australia, and may suggest that negative relationships of dingoes and foxes do not occur in complex habitats. 4. We re-analyse published data on fox vs. wild dog (i.e. dingoes plus, potentially, feral dogs and hybrids) abundance in eastern forests. These data reveal a triangular relationship of fox to wild dog density: when wild dogs are abundant, foxes are consistently rare, while when wild dogs are rare, foxes may be abundant but are not always so. This suggests that the abundance of wild dogs sets an upper limit on the abundance of foxes, but does not fully determine fox abundance. 5. Standard regression and correlation methods are not appropriate for analysing such triangular relationships. We apply two statistical methods that can be used to characterize the edges of data distributions, and use these to demonstrate a negative relationship of maximum fox abundance to the abundance of wild dogs. 6. Synthesis and applications. Our analysis adds to evidence that dingoes may have negative effects on red foxes in a wide range of habitats, and therefore, that dingoes may be significant to conservation of mammal biodiversity in Australia. It also illustrates problems and solutions in the statistical analysis of abundance of one species as a function of the abundance of another species with which it has a strong interaction. © 2008 British Ecological Society.",Article,Open Access,Scopus,0.673253808,1,NA,"Questionable, indicates time frame (uses the term 'when' rather than 'where')",5,NA,5,NA
69,2-s2.0-66249129388,5,"Stokes V.L., Banks P.B., Pech R.P., Williams R.L.",7004951968;7201821329;35556864200;57189448882;,Invasion by Rattus rattus into native coastal forests of south-eastern Australia: Are native small mammals at risk?,2009,Austral Ecology,10.1111/j.1442-9993.2009.01941.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66249129388&doi=10.1111%2fj.1442-9993.2009.01941.x&partnerID=40&md5=57ccadb7f93bc044a1c68cb0632307d1,"The black rat, Rattus rattus, is an alien rodent in Australian ecosystems where niche overlap with native small mammals may lead to competition for resources and displacement of native species. In coastal habitats surrounding Jervis Bay in south-eastern Australia, R. rattus co-occurs with the native bush rat, Rattus fuscipes, and brown antechinus, Antechinus stuartii. Relative distributions and abundances, and fine-scale space use suggest invasive and native rodents compete for use of space and habitat. Such competitive interactions were not evident between R. rattus and native A. stuartii, which was negatively influenced more by disturbance to habitat. Differences in rodent communities between spatially separate forests forming the northern and southern peninsulas of Jervis Bay potentially reflect symmetrical competition and differences in competitive outcomes. In southern forests, R. rattus was largely restricted to patches of disturbed forest associated with campgrounds. Competitive interference by native rodent populations inhabiting surrounding intact forests may have so far limited R. rattus colonization of these areas. In northern forests, R. rattus was the predominant rodent irrespective of disturbance, while populations of R. fuscipes were unusually low seemingly due to poor juvenile recruitment. Native individuals avoided areas frequented by adult R. rattus and given that species did not partition use of microhabitats, R. rattus most likely precluded R. fuscipes from suitable habitat and in doing so limited native populations. We discuss how natural disturbance of habitat and human activity have potentially facilitated successful invasion by R. rattus of the northern forests. Studies that manipulate rodent populations are required to support these interpretations of observed patterns. © 2009 Ecological Society of Australia.",Article,NA,Scopus,0.61742874,0,NA,NA,5,NA,6,NA
70,2-s2.0-70249097744,6,"Brockie R.E., Sadleir R.M.F.S., Linklater W.L.",57202616382;6701366222;6701403134;,Long-term wildlife road-kill counts in New Zealand,2009,New Zealand Journal of Zoology,10.1080/03014220909510147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70249097744&doi=10.1080%2f03014220909510147&partnerID=40&md5=f429baad652a55c18461e6e36e50c791,"We compare the number of medium- sized animals (between rat and dog-size) killed on repeated counts along the same 1660 km of North Island highways in 1984,1994 and 2005 with other counts going back to 1949. Eleven mammal and 14 bird species were recorded, but Australian possums (Trichosurus vulpecula), hedgehogs (Erinaceus europaeus) and rabbits (Oryctolagus cuniculus) predominated, and pukekos (Porphyrio porphyrio), mynas (Acridotheres tristis), and Australian magpies (Gymnorhina tibiceri) were the most common birds. Counts of possums, hedgehogs and rabbits ranged between 0.7 and 89 corpses/100 km, and changed dramatically over six decades. The possum count rose 80% between 1984 and 1994, but declined 60% by 2005. A possible irruption of hedgehogs is reported in 1988-89, followed by an 82% decline in their numbers between 1994 and 2005. Although rabbit hemorrhagic disease was introduced to New Zealand in 1997,rabbit road-kill increased 59% between 1994 and 2005. The relationship between road-kill and traffic volume indicates that roads carrying more than 3000 vehicles per day act as barriers to larger mammals, while vehicles on less busy roads are more dangerous for crossing animals. We suggest that regular counts taken at annual intervals over the same roads is a useful method for gathering information about the changing distribution and relative abundance of certain animals on a provincial or national scale and over long periods of time. Regular counts at seasonal, monthly or weekly intervals are also a rich source of information. © The Royal Society of New Zealand 2009.",Article,NA,Scopus,0.740304997,?,?,Questions remain regarding the use of road-kill data.,5,15,7,NA
66,2-s2.0-65249129041,7,"Dexter N., Murray A.",55856960200;8387206100;,"The impact of fox control on the relative abundance of forest mammals in East Gippsland, Victoria",2009,Wildlife Research,10.1071/WR08135,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65249129041&doi=10.1071%2fWR08135&partnerID=40&md5=28d1c038d01f1f236ac07ad35646eafe,"Predation by European red foxes is believed to be the major cause of the extinction and decline of a large number of native medium-sized terrestrial mammals in Australia. We examined the impact of poisoning of foxes on the relative abundance of a group of medium-sized mammals in an experiment conducted in three large forest blocks in south-eastern Australia. The blocks consisted of paired sites, as follows: one site where poison baiting was used to control foxes (treatment site) and one where foxes were not controlled (non-treatment site). At all six sites, the population responses of a range of mammals were measured, and compared between treatment and non-treatment sites. The relative fox abundance, as indexed by bait-take, declined during the course of the study at treatment sites and to a lesser extent at non-treatment sites. The decline in bait-take at non-treatment sites was most likely due to treatment sites acting as ecological traps, so that reduced intra-specific competition attracted foxes from non-treatment to treatment sites, where they were subsequently poisoned. There was a significant treatment effect for the abundances of total mammals, long-nosed potoroos, southern brown bandicoots and common brushtail possums, with higher abundances at treatment sites than at non-treatment sites. Common ringtail possums increased in abundance during the course of the study, with no significant difference between treatment and non-treatment sites. There was no significant effect of time or treatment on the abundance of long-nosed bandicoots. The increase in the abundance of native mammals at treatment sites was most likely due to a lower predation pressure by foxes brought about by fox control, and the smaller increase in abundance in non-treatment blocks was likely due to the ecological-trap effect because of fox baiting at treatment sites. The present study demonstrated that broad-scale fox control can lead to increases in the abundance of native mammals in forested habitats, without recourse to aerial baiting or fences. The study also demonstrated that the influence of fox control on the fox abundance can extend well beyond the perimeter of the area baited. © 2009 CSIRO.",Article,NA,Scopus,0.677840327,1,NA,"Fox populations were reduced, population responses of other species were recorded. Control plots available, no indication of length of study.",10,NA,8,NA
65,2-s2.0-62749108425,8,"Moseby K.E., Hill B.M., Read J.L.",6603441547;56249562200;7202392107;,"Arid Recovery - A comparison of reptile and small mammal populations inside and outside a large rabbit, cat and fox-proof exclosure in arid South Australia",2009,Austral Ecology,10.1111/j.1442-9993.2008.01916.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-62749108425&doi=10.1111%2fj.1442-9993.2008.01916.x&partnerID=40&md5=714054e4252d7175ab21dd5a189c1d5f,"Australian arid zone mammal species within the Critical Weight Range (CWR) of 35 g-5.5 kg have suffered disproportionately in the global epidemic of contemporary faunal extinctions. CWR extinctions have been attributed largely to the effects of introduced or invasive mammals; however, the impact of these threatening processes on smaller mammals and reptiles is less clear. The change in small mammal and reptile assemblages after the removal of rabbits, cats and foxes was studied over a 6-year period in a landscape-scale exclosure in the Australian arid zone. Rodents, particularly Notomys alexis and Pseudomys bolami, increased to 15 times higher inside the feral-proof Arid Recovery Reserve compared with outside sites, where rabbits, cats and foxes were still present. Predation by cats was thought to exert the greatest influence on rodent numbers owing to the maintenance of the disparity in rodent responses through dry years and the differences in dietary preferences between rabbits and P. bolami. The presence of introduced Mus domesticus or medium-sized re-introduced mammal species did not significantly affect resident small mammal or reptile abundance. Abundance of most dasyurids and small lizards did not change significantly after the removal of feral animals although reductions in gecko populations inside the reserve may be attributable to second order trophic interactions or subtle changes in vegetation structure and cover. This study suggests that populations of rodent species in northern South Australia below the CWR may also be significantly affected by introduced cats, foxes and/or rabbits and that a taxa specific model of Australian mammal decline may be more accurate than one based on body weight. © 2009 Ecological Society of Australia.",Article,NA,Scopus,0.727372184,1,1,"Human intervention was used to remove invasive species, control area also avaialable",10,15,9,NA
64,2-s2.0-60749084174,9,"Recher H.F., Lunney D., Matthews A.",7004565549;56259613600;7202611923;,Small mammal populations in a eucalypt forest affected by fire and drought. I. Long-term patterns in an era of climate change,2009,Wildlife Research,10.1071/WR08086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60749084174&doi=10.1071%2fWR08086&partnerID=40&md5=0a30b258e8c571c6be2356877e0d36d4,"This paper reports a study of ground-dwelling, small mammals in coastal eucalypt forest in south-eastern Australia from 1970 through 2005. During this time, the study area burnt in an intense fire in December 1972 and was partially burnt in November 1980. Both fires were associated with prolonged drought. The mammals studied comprised two dasyurid marsupials, Antechinus agilis and A. swainsonii, two native murid rodents, Rattus fuscipes and R. lutreolus, and the introduced house mouse Mus musculus. After intensive sampling throughout the year from 1970 through 1972 to establish basic ecological and population parameters of the small mammal community, populations were sampled annually during late autumn and early winter before the onset of breeding. There were marked differences in the annual (autumn/winter) abundances of all species; numbers of A. agilis ranged from 4 to 142 individuals; A. swainsonii 0 to 43; R. fuscipes 4 to 54; R. lutreolus 0 to 11; M. musculus 0 to 23. Following the 1972 fire, numbers fell to the lowest level recorded during the study and each population subsequently disappeared from the plot between the 1973 and 1974 winter censuses. The less intense 1980 fire did not lead to extirpation, but numbers of A. agilis, A. swainsonii and R. fuscipes declined as drought conditions persisted through 1983. R. lutreolus occurred consistently only following the fires, when a grassy ground vegetation favoured by this species developed. Similarly, M. musculus colonised within two years of the fires and persisted on the plot for 3-4 years before disappearing. Following the fires, populations of the omnivorous R. fuscipes recovered first followed by the scansorial, insectivorous A. agilis and last by the fossorial, insectivorous A. swainsonii. Two primary conclusions emerged from this study. First, the intense fire of 1972 did not kill all the animals immediately, but led to the disappearance of each species from the plot over 18 months. Thus, intense fire had a delayed but catastrophic impact on small ground-dwelling mammals. The fluctuations in population levels, covering more than an order of magnitude, demonstrate that factors other than fire, such as rainfall and drought, drive the population dynamics of these small mammals. As stability and recovery are not features of local populations, long-term studies of benchmark populations are necessary to manage forest biodiversity. © CSIRO 2009.",Article,NA,Scopus,0.778838719,1,1,"Disagreement, correct unranked to 1. Fire appears natural.",10,10,10,NA
