"","EID","X__1","Authors","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract","Document Type","Access Type","Source","p","Relevance_std","Relevance_ranked","X__2","Timespan_std","Timespan_ranked","Scopus_index","Present_in_training_docs"
"1","2-s2.0-0022824574",62,"Robinson J.G., Redford K.H.","7405866845;7004462792;","Body size, diet, and population density of Neotropical forest mammals.",1986,"American Naturalist","10.1086/284596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022824574&doi=10.1086%2f284596&partnerID=40&md5=56792ee27cd2c17e578f695ad05cd27f","The population densities of Neotropical mammalian species are predictably related to their body masses and diets. In interspecific comparisons, population densities generally declined with increasing body mass, and declined with body mass within each of 7 specified dietary categories. In regression analyses, body mass alone accounted for c50% of the variation in density in the general case, and a greater proportion of the variation in 5 of the regressions within dietary categories. Adding diet as well as body mass significantly increased the proportion of variance explained. Magnitude of the effect of body mass on population density varied with dietary class. In general, larger-bodied species occur at lower densities than smaller-bodied species, and species with restricted diets and those at higher trophic levels occur at lower densities than species whose diet allows them access to a greater abundance of food resources. Results broadly support the hypothesis that population densities of species are determined by the potential resources, and ultimately energy, available to them in specified habitats.-from Authors","Article",NA,"Scopus",0.621268196317121,NA,NA,NA,NA,NA,63,NA
"2","2-s2.0-0027075279",61,"Jaksié F.M., Jiménez J.E., Castro S.A., Feinsinger P.","16420598000;7402489520;8405697900;6701768003;","Numerical and functional response of predators to a long-term decline in mammalian prey at a semi-arid Neotropical site",1992,"Oecologia","10.1007/BF00319020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027075279&doi=10.1007%2fBF00319020&partnerID=40&md5=a35d4f67d28a6232a63ef138c022e54d","Occurrence and diet of ten carnivorous predators (four falconiforms, four owls, and two foxes), and population levels of their mammalian prey, were monitored over 45 months at a semi-arid site in north-central Chile. Early in this period, small mammals irrupted and then declined markedly to a density 7% of that at peak. All four falconiforms (Buteo polyosoma, Falco sparverius, Geranoaetus melanoleucus, Parabuteo unicinctus) and one owl (Tyto alba) responded numerically to the decline in mammalian prey by virtually abandoning the study site. The three other owls (Athene cunicularia, Bubo virginianus, Glaucidium nanum) and the two foxes (Pseudalopex culpaeus and P. griseus) remained. With few exceptions, throughout the study predators maintained species-specific preferences among small mammal species regardless of the absolute and proportional abundance of these prev. At no time did the two prey species most responsible for the irruption (the rodents Phyllotis darwini and Akodon olivaceus) occur in predators' diets out of proportion to their estimated relative abundance in the field. Predators were clearly unable to prevent the irruption from occurring. Given the absence of a clear functional response to the most irruptive species, predators seemed unlikely to have been responsible for the observed crash. At present, however, predators may be prolonging the crash and delaying the return of small-mammal populations to typical densities. © 1992 Springer-Verlag.","Article",NA,"Scopus",0.770228328845948,NA,"1",NA,NA,5,62,NA
"3","2-s2.0-0027386301",60,"Jaksic F.M., Feinsinger P., Jimenez J.E.","7003683740;6701768003;7402489520;","A long-term study on the dynamics of guild structure among predatory vertebrates at a semi-arid Neotropical site",1993,"Oikos","10.2307/3545099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027386301&doi=10.2307%2f3545099&partnerID=40&md5=e344bf19971f1d0c7b70d8f41c785d0b","Diets and populations of 10 species of predatory vertebrates (two foxes, four falconiforms, four owls) were monitored in semi-desert scrub at Auco, Chile. Pellets (birds) and feces (foxes) collected monthly contained identifiable remains of small mammals, birds, reptiles, amphibians, large insects, other arthropods, and (in some fox feces) fruits. For non-mammalian prey, seasonal variation in availability appeared to be more pronounced than longer-term variation. Availability of the eight species of small mammals varied relatively little between predators' breeding and non-breeding seasons but declined by an order of magnitude through the first 3 yr of the study. Rather than responding to these shifts in food availability by diverging in diet during ""lean' times and converging opportunistically during ""fat' times, predators responded in idiosyncratic ways. Predators of all species tended to maintain species-specific means in size of prey taken regardless of shifts in the relative availability of prey size classes. Two owl species maintained strict mammal diets throughout the decline in mammal abundance, whereas two other owls plus the two fox species maintained a tight feeding guild based on arthropods as well as mammals and other food groups. The four falconiforms failed to maintain consistent diets from season to season, and consequently ended up temporarily in unique positions in ""diet hyperspace' or else joined temporarily one of the two consistent guilds. The degree to which falconiform diets were unique in a given season showed no clear relation to food abundance. Changes in use of habitat did, however, relate to changes in food abundance. None of the falconiforms resided continuously in the study area throughout the period. -from Authors","Article",NA,"Scopus",0.779302535819012,NA,"1","Discusses changes in prey populations",NA,5,61,NA
"4","2-s2.0-0027845835",59,"Terborgh J., Losos E., Riley M.P., Riley M.B.","7003885172;6602256020;57197270503;16449407600;","Predation by vertebrates and invertebrates on the seeds of five canopy tree species of an Amazonian forest",1993,"Vegetatio","10.1007/BF00052236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027845835&doi=10.1007%2fBF00052236&partnerID=40&md5=fef2849636cde87eb26079cf44e74f9b","We studied the pre-germination loss of seeds to invertebrate and vertebrate seed predators of 5 species of Amazonian trees (Astrocaryum macrocalyx-Palmae; Bertholletia excelsa-Lecithydaceae; Calatola venezuelana-Icacinaceae; Dipteryx micrantha-Leguminosae (Papilionoidae); Hymenaea courbaril-Leguminosae (Caesalpinoidae)). These five species were selected from a large tree flora on several criteria. All possess large (3-10 cm) well-protected seeds that might plausibly be attractive to mammalian seed predators. The reproductive biology of three of the species, or close congeners, had been studied elsewhere in the Neotropics (Astrocaryum, Dipteryx, Hymenaea); one is important to the economy of southeastern Peru (Bertholletia); and one, despite large and apparently edible seeds, appeared to suffer no pre-germination loss to predators (Calatola). We conducted the research in mature forests in the Manu National Park of southeastern Peru where mammal densities are unperturbed by human activities. Densities of adult trees of the five species in our area range from very high (>30 per ha: Astrocaryum) to very low (≪1 per ha: Hymenaea). Loss of seeds to all causes, and to mammalian seed predators in particular, was determined for seeds placed in 2-square meter mammal exclosures and in open controls located at 10 m (near) and 50 m (far) from a large mature individual of the target species (with minor variations in the design for Astrocaryum and Calatola). The exclosures were of two types: impermeable-designed to exclude all mammals, but not invertebrate seed predators, and semipermeable-designed to admit small (<500 g), but not large mammals. Experimental and control plots were stocked with apparently viable seeds during the dry-wet transition period (October-November) and scored one year later. A significant distance effect (higher predation near vs far from a large conspecific adult) was found in only one of the species (Astrocaryum), the only one to be attacked with high frequency by invertebrate seed predators. The absence of any detectable distance effect attributable to mammals suggests that mammals, over the course of a year, thoroughly search the forest floor for seeds. Invertebrates may thus be responsible for most pre-germination distance (density) effects. With respect to the treatments, we found three qualitatively distinct results: seeds of three species (Astrocaryum, Bertholletia, Dipteryx) were significantly protected by the impermeable, but not semipermeable exclosures, implicating small mammals in seed loss; the seeds of one species (Hymenaea) were significantly protected by exclosures of both types, implicating large mammals; and the seeds of one species (Calatola) exhibited 100% survival, whether or not protected by exclosures. The importance of large mammals as seed predators is generally underestimated in these experiments because semipermeable exclosures may serve as foraging reserves for small mammals. Finally, we noted no relationship between the intensity of mammalian seed predation (as suggested by the survival of unprotected seeds) and the abundance of adults of the five species in the environment. The diversity of results obtained for the five species reveals that large-seeded tropical trees may display a wide range of demographic patterns, and points to the likely importance of post-germination bottlenecks in the population biology of many species, even those that may experience severe pre-germination seed loss. © 1993 Kluwer Academic Publishers.","Article",NA,"Scopus",0.538631578249416,NA,NA,NA,NA,NA,60,NA
"5","2-s2.0-0031597550",57,"González S., Maldonado J.E., Leonard J.A., Vilà C., Duarte J.M.B., Merino M., Brum-Zorrilla N., Wayne R.K.","18634327300;7102839677;7402283113;7005843645;7102883051;16507228000;6507111217;7103101948;","Conservation genetics of the endangered Pampas deer (Ozotoceros bezoarticus)",1998,"Molecular Ecology","10.1046/j.1365-294x.1998.00303.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031597550&doi=10.1046%2fj.1365-294x.1998.00303.x&partnerID=40&md5=7722d0404da16a8ea66d94151b65a6d8","The Pampas deer (Ozotoceros bezoarticus L. 1758) is the most endangered neotropical cervid, and in the past occupied a wide range of open habitats including grassland, pampas, savanna, and cerrado (Brazil) from 5°to 41°S. To better understand the effect of habitat fragmentation on gene flow and genetic variation, and to uncover genetic units for conservation, we examined DNA sequences from the mitochondrial control region of 54 individuals from six localities distributed throughout the present geographical range of the Pampas deer. Our results suggest that the control region of the Pampas deer is one of the most polymorphic of any mammal. This remarkably high variability probably reflects large historic population sizes of millions of individuals in contrast to numbers of fewer than 80 000 today. Gene flow between populations is generally close to one migrant per generation and, with the exception of two populations from Argentina, all populations are significantly differentiated. The degree of gene flow was correlated with geographical distance between populations, a result consistent with limited dispersal being the primary determinant of genetic differentiation between populations. The molecular genetic results provide a mandate for habitat restoration and reintroduction of Pampas deer so that levels of genetic variation can be preserved and historic patterns of abundance can be reconstructed. However, the source of individuals for reintroduction generally should be from populations geographically closest to those now in danger of extinction.","Article",NA,"Scopus",0.517075682387341,NA,NA,NA,NA,NA,58,NA
"6","2-s2.0-0032669399",55,"deCalesta D.S.","6603362187;","Effect of white-tailed deer on songbirds within managed forests in Pennsylvania",1999,"NCASI Technical Bulletin",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032669399&partnerID=40&md5=7a6085db2d18d45f8f10dc671dc5b92f","The effects of white-tailed deer (Odocoileus virginianus) density on song bird species richness, abundance, and habitat were evaluated. Four deer densities within individually fenced enclosures on 4 65-ha forests areas in northwestern Pennsylvania were simulated. Bird counts were conducted in 1991. Varying deer density had no effect on ground- or upper canopy-nesting song-birds or their habitat, but species richness of intermediate canopy-nesting songbirds declined and abundance declined 37% between lowest and highest deer densities.","Article",NA,"Scopus",0.712617818778502,NA,"0",NA,NA,10,56,NA
"7","2-s2.0-0032680331",56,"Litvaitis J.A.","7004243906;","Response of early successional vertebrates to historic changes in land use",1999,"NCASI Technical Bulletin",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032680331&partnerID=40&md5=382eb40d9745b4ac29487d65df3b5a6d","The sequence of farm abandonment, forest colonization, and forest maturation that occurred in New Hampshire were examined in relation to changes in the abundance and distribution of a group of forest mammals and birds that have undergone substantial declines. A modeled pattern of secondary succession resulted in the availability of about 195,000 ha of early seral habitats from 1905 to 1940. By 1960, these habitats then matured into closed-canopy forests. A decline in the populations of 18 of 26 species of migratory passerines that nest in the forests was also observed. Ownership patterns of forest lands revealed 88% private ownership, indicating that large tracts of early successional habitats will be restricted to industrial and state/national forests.","Article",NA,"Scopus",0.675026834474822,NA,"1","Changes in species abundances following farm abandonment",NA,10,57,NA
"8","2-s2.0-0032805590",53,"Gentile R., Fernandez F.A.S.","7006566308;35565949100;","Influence of habitat structure on a streamside small mammal community in a Brazilian rural area",1999,"Mammalia","10.1515/mamm.1999.63.1.29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032805590&doi=10.1515%2fmamm.1999.63.1.29&partnerID=40&md5=1fe70ee79896d3af037d6b8bae14c188","A capture-mark-recapture population study of small mammals was carried out in the Pamparrao valley, rural area of Sumidouro County, Rio de Janeiro, Brazil. Trapping was carried out every other month from June 1991 to July 1996, for five trapping nights on seven transects along the valley, totaling 12250 trap nights. The roles of habitat complexity (vegetation density in vertical strata) and heterogeneity (horizontal physiognomy) on structuring the small mammal community were investigated correlating heterogeneity and complexity with mammal abundance and richness. Heterogeneity variables were related to small mammal species and habitats, simultaneously, by a Canonical Correspondence Analysis. Marsupials were more related to the forest transects and to the presence of trees. Rodents were most related to the herbaceous stratum near the ground. Abundance of mammals was influenced mostly by complexity. The study area presented low habitat complexity, and it suffered frequent anthropogenic disturbances. These factors provided low species richness by neotropical standards. A few generalist species presented the most stable populations and were numerically dominant, compared to the specialists.","Article",NA,"Scopus",0.676875912273246,NA,"1",NA,NA,10,54,NA
"9","2-s2.0-0033023762",54,"Estrada A., Anzures A.D., Coates-Estrada R.","7004287493;6505634672;6602186567;","Tropical rain forest fragmentation, howler monkeys (Alouatta palliata), and dung beetles at Los Tuxtlas, Mexico",1999,"American Journal of Primatology","10.1002/(SICI)1098-2345(1999)48:4<253::AID-AJP1>3.0.CO;2-D","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033023762&doi=10.1002%2f%28SICI%291098-2345%281999%2948%3a4%3c253%3a%3aAID-AJP1%3e3.0.CO%3b2-D&partnerID=40&md5=6aa611ba393aade62281d92e13e0fdb3","In Neotropical rain forests, fresh mammal dung, especially that of howler monkeys, constitutes an important resource used by dung beetles as food and for oviposition and further feeding by their larvae. Tropical rain forest destruction, fragmentation, and subsequent isolation causing reductions in numbers of and the disappearance of howler moneys may result in decreasing numbers of dung beetles, but this has not been documented. In this study, we present information on the presence of howlers and dung beetles in 38 isolated forest fragments and 15 agricultural habitats. Howler monkeys were censused by visual means, while dung beetles were sampled with traps baited with a mixture of howler, cow, horse, and dog dung. Results indicated that loss of area and isolation of forest fragments result in significant decrements in howlers and dung beetles. However, dung beetle abundance was found to be closely related to the presence of howler monkeys at the sites and habitats investigated. Scenarios of land management designed to reduce isolation among forest fragments may help sustain populations of howler monkeys and dung beetles, which may have positive consequences for rain forest regeneration.","Article",NA,"Scopus",0.479150290842291,NA,NA,NA,NA,NA,55,NA
"10","2-s2.0-0033820819",52,"Robinson W.D., Brawn J.D., Robinson S.K.","7402826343;7003902874;7402674040;","Forest bird community structure in central Panama: Influence of spatial scale and biogeography",2000,"Ecological Monographs","10.1890/0012-9615(2000)070[0209:FBCSIC]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033820819&doi=10.1890%2f0012-9615%282000%29070%5b0209%3aFBCSIC%5d2.0.CO%3b2&partnerID=40&md5=2bc253323b7154ebc851876fe780ac59","Historical and biogeographic contexts can play important, yet sometimes overlooked, roles in determining structure of local communities. In particular, few examinations of historical influences on patterns of species richness and relative abundances in tropical communities have been conducted. In part, that gap in our knowledge has been caused by a paucity of data on tropical communities, even for relatively well-studied taxa such as birds. In the Neotropics, only two sites, a 97-ha plot in lowland Peru and a 100-ha plot in French Guiana, have been inventoried on a spatial scale sufficient to estimate population densities for a majority of resident bird species. Results from those studies revealed extremely similar species richness, community biomass, and patterns of relative abundance. A third site in lowland Panama was originally censused in 1968-1969 and has often been compared with many other tropical and temperate sites. Results from Panama suggested an exceptionally different community structure from that observed at the Amazonian sites. Informative comparisons among sites have been hampered, however, by differences in sampling protocols. The Panama site was sampled on a much smaller spatial scale (2 ha) than the two Amazonian sites. To improve comparisons, we censused a 104-ha area (the Limbo plot) encompassing the original 2-ha Panama study area and used several census methods, including those used at the Amazonian sites. As expected, spatial scale had a strong effect on estimates of species richness. We detected 252 species on the Limbo plot, compared with 161 detected on the original 2-ha area. Estimates of total individual birds per 100 ha were similar, but estimates from the original study were based on densities measured for one-third fewer species than we measured on our larger study area. Of the 53 species for which both Panama studies estimated population densities, a significant number of estimates were higher in the original study. Thus, the small spatial scale of the original study apparently led to inflated density estimates. The primary cause of disparities appeared to result from undersampling in the smaller plot of many species with patchy distributions and large territory sizes. Compared with Amazonian communities, the Panama community had far fewer rare species. Although 33% of species in Amazonian sites had densities of ≤1 pair/100 ha, only 17% were equally rare in Panama. Furthermore, eight species in Panama were, by tropical standards, 'superabundant,' attaining densities as high as 212 breeding individuals/100 ha; the most abundant species in Amazonia barely reached one-third of that number. In total, those eight species accounted for 36% of all individuals at Limbo. The median abundance at Limbo was 7 pairs/100 ha, vs. 2.5 pairs/100 ha in Amazonia. Consequently, the total number of birds on the Limbo study area was nearly twice that found in Amazonia, despite species richness being only three-fourths as great. We conclude, first, that spatial scale has indeed had an important effect on the characterization of the Panama bird community. The intrinsically patchy distributions of most forest-dwelling bird species raise the need for large-scale censuses. Second, the Panama community, compared with the two Amazonian sites, has a fundamentally different organization; it hosts nearly twice as many individual birds and is distinctly less dominated by rarity. Similar patterns of community structure appear to be present within tree and mammal communities as well. Therefore, results from the Amazonian studies cannot be generalized to all lowland Neotropical communities. We attribute differences in community structure primarily to differing biogeographic histories. The lower species richness and the greater number of total birds present in Panama appear to derive, at least in part, from two important factors: an area effect linked to the location of Panama on a narrow isthmus, and the repeated history of disturbance on multiple temporal scales in Panama.","Article",NA,"Scopus",0.658913540994902,NA,"0",NA,NA,15,53,NA
