,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
29,2-s2.0-7244253069,9,9,"Calambokidis J., Steiger G.H., Ellifrit D.K., Troutman B.L., Bowlby C.E.",6701329071;7003663871;6505939270;7003681195;7801357786;,Distribution and abundance of humpback whales (Megaptera novaeangliae) and other marine mammals off the northern Washington coast,2004,Fishery Bulletin,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-7244253069&partnerID=40&md5=9dbcbb0e9922c5d3f6bd5cf1843cf971,"We examined the summer distribution of marine mammals off the northern Washington coast based on six ship transect surveys conducted between 1995 and 2002, primarily from the NOAA ship McArthur. Additionally, small boat surveys were conducted in the same region between 1989 and 2002 to gather photographic identification data on humpback whales (Megaptera novaeangliae) and killer whales (Orcinus orca) to examine movements and population structure. In the six years of ship survey effort, 706 sightings of 15 marine mammal species were made. Humpback whales were the most common large cetacean species and were seen every year and a total of 232 sightings of 402 animals were recorded during ship surveys. Highest numbers were observed in 2002, when there were 79 sightings of 139 whales. Line-transect estimates for humpback whales indicated that about 100 humpback whales inhabited these waters each year between 1995 and 2000; in 2002, however, the estimate was 562 (CV=0.21) whales. A total of 191 unique individuals were identified photographically and mark-recapture estimates also indicated that the number of animals increased from under 100 to over 200 from 1995 to 2002. There was only limited interchange of humpback whales between this area and feeding areas off Oregon and California. Killer whales were also seen on every ship survey and represented all known ecotypes of the Pacific Northwest, including southern and northern residents, transients, and offshore-type killer whales. Dall's porpoise (Phocoenoides dalli) were the most frequently sighted small cetacean; abundance was estimated at 181-291 individuals, except for 2002 when we observed dramatically higher numbers (876, CV=0.30). Northern fur seals (Callorhinus ursinus) and elephant seals (Mirounga angustirostris) were the most common pinnipeds observed. There were clear habitat differences related to distance offshore and water depth for different species.",Article,Scopus,0.874043405,1,1,NA,10,5,1,5,10,NA
11,2-s2.0-13844299725,26,26,"Witting L., Born E.W.",56600324800;7006212133;,An assessment of Greenland walrus populations,2005,ICES Journal of Marine Science,10.1016/j.icesjms.2004.11.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-13844299725&doi=10.1016%2fj.icesjms.2004.11.001&partnerID=40&md5=44e579976443896b5e83bf501ccadcb2,"Recent abundance estimates were combined with historical catches and an age- and sex-structured population dynamic model to perform Bayesian assessments of the walrus (Odobenus rosmarus) populations in West Greenland, the North Water in northern Baffin Bay, and East Greenland. The model assumed density-regulated dynamics and pre-harvest populations in population-dynamical equilibrium. It projected the populations under the influence of the catches to estimate the historical trajectories and the current population status. It was found that the West Greenland and North Water populations have been heavily exploited during the last century with the current abundance being at best only a few per cent of the historical abundance. Apparently these populations are still being exploited above sustainable level. The East Greenland population was heavily exploited after 1889 and during the first half of the 20th century and was depleted to approximately 50% of pristine population size in 1933. After protective measures were introduced in the 1950s this population has increased to a current level close to the abundance in 1889, and the present exploitation appears to be sustainable. © 2004 International Council for the Exploration of the Sea. Published by Elsevier Ltd. All rights reserved.",Article,Scopus,0.866827767,NA,1,NA,NA,5,1,5,27,NA
48,2-s2.0-84921495236,6,6,"Campbell G.S., Thomas L., Whitaker K., Douglas A.B., Calambokidis J., Hildebrand J.A.",35794433300;9043280000;56490238500;24775809900;6701329071;56489889900;,"Inter-annual and seasonal trends in cetacean distribution, density and abundance off southern California",2015,Deep-Sea Research Part II: Topical Studies in Oceanography,10.1016/j.dsr2.2014.10.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921495236&doi=10.1016%2fj.dsr2.2014.10.008&partnerID=40&md5=d70b35e7568220b078755f588f0a3ac4,"Trends in cetacean density and distribution off southern California were assessed through visual line-transect surveys during thirty-seven California Cooperative Oceanic Fisheries Investigations (CalCOFI) cruises from July 2004-November 2013. From sightings of the six most commonly encountered cetacean species, seasonal, annual and overall density estimates were calculated. Blue whales (Balaenoptera musculus), fin whales (Balaenoptera physalus) and humpback whales (Megaptera novaeangliae) were the most frequently sighted baleen whales with overall densities of 0.91/1000km2 (CV=0.27), 2.73/1000km2 (CV=0.19), and 1.17/1000km2 (CV=0.21) respectively. Species specific density estimates, stratified by cruise, were analyzed using a generalized additive model to estimate long-term trends and correct for seasonal imbalances. Variances were estimated using a non-parametric bootstrap with one day of effort as the sampling unit. Blue whales were primarily observed during summer and fall while fin and humpback whales were observed year-round with peaks in density during summer and spring respectively. Short-beaked common dolphins (Delphinus delphis), Pacific white-sided dolphins (Lagenorhynchus obliquidens) and Dall's porpoise (Phocoenoidesdalli) were the most frequently encountered small cetaceans with overall densities of 705.83/1000km2 (CV=0.22), 51.98/1000km2 (CV=0.27), and 21.37/1000km2 (CV=0.19) respectively. Seasonally, short-beaked common dolphins were most abundant in winter whereas Pacific white-sided dolphins and Dall's porpoise were most abundant during spring. There were no significant long-term changes in blue whale, fin whale, humpback whale, short-beaked common dolphin or Dall's porpoise densities while Pacific white-sided dolphins exhibited a significant decrease in density across the ten-year study. The results from this study were fundamentally consistent with earlier studies, but provide greater temporal and seasonal resolution. © 2014 The Authors.",Article,Scopus,0.866645744,1,1,NA,10,5,1,5,7,NA
36,2-s2.0-80051750876,34,34,"Obura D., Stone G., Mangubhai S., Bailey S., Yoshinaga A., Holloway C., Barrel R.",55932162400;7202761494;23091619400;49961021400;7004403458;49961540200;49961098400;,"Baseline marine biological surveys of the Phoenix Islands, July 2000",2011,Atoll Research Bulletin,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051750876&partnerID=40&md5=5f5c52f95fe078975ac18d23d4e37379,"Rapid assessment surveys were conducted during a 21-day marine biological expedition to the Phoenix Islands, Republic of Kiribati, from 29 June to 11 July 2000. This study includes new data on the biological diversity and abundance of the region and research and management recommendations. We conducted surveys and over 300 research SCUBA dives among the remote Phoenix Islands: Nikumaroro (Gardner), McKean, Manra (Sydney), Kanton (Aba-Riringa), Enderbury, Orona (Hull) and Rawaki (Phoenix), only excluding Birnie Island due to time limitations. Corals, benthic and mobile invertebrates, fishes, algae, sea turtles, sea birds, and marine mammals were surveyed at each site. Deep-sea life was sampled during seven deployments of an autonomous digital video camera system to 1,000 m depth at Kanton, Manra, and Orona. Coral reef and fish communities were surveyed using rapid assessment methods, small benthic fishes were collected using rotenone as a stunning agent, marine algae were collected by hand primarily during SCUBA dives, and a deepdrop collecting net was deployed to sample deep-sea animals. The reefs show evidence of the extreme isolation of these islands, pounded on three sides by the large ocean swells of the Pacific with only a narrow protected side to the west providing protection for anchorage. Coral species diversity of the islands was moderately high. While lacking in some corals dominant in other major reef areas, the reefs have interesting species assemblages, with prolific growth of some species normally subdominant in other reef areas. The reefs were in an excellent state of health, at the time of these surveys free from the bleaching that has plagued reefs in other parts of the Pacific recently and with no evidence of any coral diseases. Our data include new distribution records for species of algae, coral and fishes. Fish communities were abundant and diverse and included pelagic fishes such as tuna and oceanic mackerels. Significant populations of grey reef, whitetip reef, and blacktip reef sharks were also observed indicating a healthy coral reef ecosystem. Reef macropredators (trevally, Napoleon wrasse) were also abundant. The deep-sea camera recorded images of deep-water sharks including six-gilled and Pacific sleeper sharks. Marine mammal sightings include bottlenose dolphins, Pacific spinner dolphins, beaked whales (Mesoplodon spp.), and unidentified whales. Sea birds observed on Rawaki, McKean, Enderbury, and Orona Islands included tens of thousands of nesting spectacled terns (grey-backed), sooty terns, white fairy-terns, brown noddies, blue-grey noddies, masked boobies, brown boobies, red-footed boobies, red-tailed tropic birds, great frigate birds and lesser frigate birds. Green sea turtle nesting sites were identified on Nikumaroro, McKean and Phoenix Islands. The observations on Rawaki Island are the first confirmed green turtle nestings for that island.",Article,Scopus,0.84393964,NA,0,NA,NA,5,0,5,35,0
47,2-s2.0-84903387548,19,19,"Douglas A.B., Calambokidis J., Munger L.M., Soldevilla M.S., Ferguson M.C., Havron A.M., Camacho D.L., Campbell G.S., Hildebrand J.A.",24775809900;6701329071;6603556498;8503557000;7402593292;35794336700;35794358700;35794433300;57203046824;,Seasonal distribution and abundance of cetaceans off southern California estimated from CalCOFI cruise data from 2004 to 2008,2014,Fishery Bulletin,10.7755/FB.112.2-3.7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903387548&doi=10.7755%2fFB.112.2-3.7&partnerID=40&md5=3b627a896c9d742bd8cc54e5394c414e,"Documenting year-round diversity and distribution of marine mammals off Southern California is important for assessment of effects of potentially harmful anthropogenic activities. Although the waters off Southern California have been surveyed extensively for marine mammals over the past 18 years, such surveys have been periodic and were conducted primarily from summer to fall, thereby missing potential seasonal shifts. We examined seasonal abundance and population density of cetaceans off Southern California from 16 shipboard line-transect surveys conducted quarterly during 2004-08. The study area consisted of 238,494 km2 of coastal, shelf, and pelagic oceanic habitat from nearshore waters to 700 km offshore. Based on 693 encounters of 20 cetacean species, abundance estimates by seasonal period (summer-fall or winter-spring) and depth (shallow: &lt;2000.5 m; deep: ≥2000.5 m) were determined for the 11 most commonly encountered species. The following are values of uncorrected density (individuals/1000 km2, coefficients of variation in parentheses) for the seasonal period and depth with greatest density for a selection of the species in this study: blue whale (Balaenoptera musculus), summer-fall, shallow, 3.2 (0.26); fin whale (B. physalus), summer-fall, shallow, 3.7 (0.30); humpback whale (Megaptera novaeangliae), summer- fall, shallow, 3.1 (0.36); short-beaked common dolphin (Delphinus delphis), summer-fall, shallow, 1319.7 (0.24); long-beaked common dolphin (D. capensis), summer-fall, shallow, 687.9 (0.52); and Dall's porpoise (Phocoenoides dalli), winter-spring, deep, 48.65 (0.28). Seasonally, density varied significantly by depth for humpback whales, fin whales, and Pacific white-sided dolphins.",Article,Scopus,0.831916685,1,1,Added to Relevance_std as 20th paper,NA,5,1,5,20,NA
9,2-s2.0-0141763557,8,8,Lanyon J.M.,6603321545;,"Distribution and abundance of dugongs in Moreton Bay, Queensland, Australia",2003,Wildlife Research,10.1071/WR98082,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141763557&doi=10.1071%2fWR98082&partnerID=40&md5=0e9b90a13c8dce0b2dc76ac5041b2713,"Dugong abundances in Moreton Bay (south-east Queensland) were estimated during six bi-monthly aerial surveys throughout 1995. Sampling intensity ranged between 20 and 80% for different sampling zones within the Bay, with a mean intensity of 40.5%. Population estimates for dugongs were corrected for perception bias (the proportion of animals visible in the transect that were missed by observers), and standardised for availability bias (the proportion of animals that were invisible due to water turbidity) with survey and species-specific correction factors. Population estimates for dugongs in Moreton Bay ranged from 503 ± 64 (s.e.) in July to 1019 ± 166 in January. The highest uncorrected count was 857 dugongs in December. This is greater than previous population estimates, suggesting that either previous surveys have underestimated abundance and/or that this population may have increased through recruitment, immigration, or a combination of both. The high degree of variation in population estimates between surveys may be due to temporal differences in distribution and herding behaviour. In winter, dugongs were found in smaller herds and were dispersed over a wider area than in summer. The Eastern Banks region of the bay supported 80-98% of the dugong population at any one time. Within this region, there were several dugong 'hot spots' that were visited repeatedly by large herds. These 'hot spots' contained seagrass communities that were dominated by species that dugongs prefer to eat. The waters of Rous Channel, South Passage and nearby oceanic waters are also frequently inhabited by dugongs in the winter months. Dugongs in other parts of Moreton Bay were at much lower densities than on the Eastern Banks.",Article,Scopus,0.830886639,0,0,NA,10,5,0,5,9,NA
26,2-s2.0-6344294722,3,3,"Mullin K.D., Fulling G.L.",7004278422;6505912386;,"Abundance of cetaceans in the oceanic northern Gulf of Mexico, 1996-2001",2004,Marine Mammal Science,10.1111/j.1748-7692.2004.tb01193.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-6344294722&doi=10.1111%2fj.1748-7692.2004.tb01193.x&partnerID=40&md5=cd20a986c1179545ca19a7e61da84bc1,"The Gulf of Mexico is a subtropical marginal sea of the western North Atlantic Ocean with a diverse cetacean community. Ship-based, line-transect abundance surveys were conducted in oceanic waters (&gt;200 m deep) of the northern Gulf within U.S. waters (380,432 km2) during spring from 1996 to 1997 and from 1999 to 2001. Data from these five surveys were pooled and minimum abundance estimates were based on 12,162 km of effort and 512 sightings of at least 19 species. The most commonly sighted species (number of groups) were pantropical spotted dolphin, Stenella attenuata (164); sperm whale, Physeter macrocephalus (67); dwarf/pygmy sperm whale, Kogia sima/breviceps (58); Risso's dolphin, Grampus griseus (38); and bottlenose dolphin, Tursiops truncatus (24). The most abundant species (number of individuals; coefficient of variation) were S. attenuata (91,321; 0.16); Clymene dolphin, S. clymene (17,355; 0.65); spinner dolphin, S. longirostris (11,971; 0.71); and striped dolphin, S. coeruleoalba (6,505; 0.43). The only large whales sighted were P. macrocephalus (1,349; 0.23) and Bryde's whale, Balaenoptera edeni (40; 0.61). Abundances for other species or genera ranged from 95 to 2,388 animals. Cetaceans were sighted throughout the oceanic northern Gulf and, whereas many species were widely distributed, some had more regional distributions.",Article,Scopus,0.812767513,1,1,NA,5,5,1,5,4,NA
51,2-s2.0-84975045802,39,39,"Seyboth E., Groch K.R., Dalla Rosa L., Reid K., Flores P.A.C., Secchi E.R.",38562080400;54419994600;16024117200;7202780677;7005207988;6603441668;,Southern Right Whale (Eubalaena australis) Reproductive Success is Influenced by Krill (Euphausia superba) Density and Climate,2016,Scientific Reports,10.1038/srep28205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975045802&doi=10.1038%2fsrep28205&partnerID=40&md5=9b2b4d58816e42346ad18b1b3bfd50c2,"The reproductive success of southern right whale (Eubalaena australis) depends on body condition and, therefore, on foraging success. This, in turn, might be affected by climatically driven change in the abundance of the species main prey, krill (Euphausia superba), on the feeding grounds. Annual data on southern right whale number of calves were obtained from aerial surveys carried out between 1997 and 2013 in southern Brazil, where the species concentrate during their breeding season. The number of calves recorded each year varied from 7 to 43 (= 21.11 ± 11.88). Using cross-correlation analysis we examined the response of the species to climate anomalies and krill densities. Significant correlations were found with krill densities (r = 0.69, p = 0.002, lag 0 years), Oceanic Niño Index (r = '0.65, p = 0.03, lag 6 years), Antarctic Oscillation (r = 0.76, p = 0.01, lag 7 years) and Antarctic sea ice area (r = '0.68, p = 0.002, lag 0 years). Our results suggest that global climate indices influence southern right whale breeding success in southern Brazil by determining variation in food (krill) availability for the species. Therefore, increased frequency of years with reduced krill abundance, due to global warming, is likely to reduce the current rate of recovery of southern right whales from historical overexploitation.",Article,Scopus,0.775146741,NA,?,Question over using calf numbers as a metric of abundance,NA,5,?,5,40,NA
14,2-s2.0-17844393873,15,15,"Le Corre M., Jaquemet S.",7003495178;6508312444;,Assessment of the seabird community of the Mozambique Channel and its potential use as an indicator of tuna abundance,2005,"Estuarine, Coastal and Shelf Science",10.1016/j.ecss.2004.11.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-17844393873&doi=10.1016%2fj.ecss.2004.11.013&partnerID=40&md5=e58173d0aa822d9dbb937202d29e9db2,"Tropical seabirds are known to associate with aggregations of surface dwelling predators, like tunas when feeding. Some species are even regarded as near obligate commensals of tunas. As food is one of the main factors that shape breeding strategies and determine breeding success of seabirds, it is of interest to test the hypothesis that variations in tuna abundance may have effects on foraging success and thus on breeding parameters of tropical seabirds. The Mozambique Channel is appropriate for such a study because relative tuna abundance is assessed annually (through fishery catches) and seabird populations are abundant. A regional synopsis shows that at least 3.034 million pairs of seabirds breed on islands of the Mozambique Channel, 99.3% being sooty terns. This super-abundant seabird is strongly associated with tuna and marine mammals when feeding. More than 99% of the sooty tern population of the Mozambique Channel breeds at three remote coralline islands, namely Juan de Nova (66%), Europa (25%) and Glorieuses (9%). Various breeding parameters (breeding population size, breeding time, growth rate of the chicks, daily food intake, diet) are studied at these three sites in order to investigate their relation to the marine environment (including tuna abundance). A preliminary estimate is made of the quantity of food eaten by the sooty tern population. © 2004 Elsevier Ltd. All rights reserved.",Conference Paper,Scopus,0.768605441,0,0,NA,15,5,0,5,16,NA
32,2-s2.0-78049476338,7,7,"Whitehead A.L., Elliott G.P., Mcintosh A.R.",24833695100;7202434332;7202722683;,Large-scale predator control increases population viability of a rare New Zealand riverine duck,2010,Austral Ecology,10.1111/j.1442-9993.2009.02079.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049476338&doi=10.1111%2fj.1442-9993.2009.02079.x&partnerID=40&md5=6d1c2e6d8b5ac4c062f19ad8fd7bf7ba,"The introduction of mammalian predators to oceanic islands has led to dramatic declines in the abundance of many native species. Conservation management of these species often relies on low-cost predator control techniques that can be implemented over large scales. Assessing the effectiveness of such management techniques is difficult, but using population viability analyses (PVA), which identify the population growth rate (λ) and extinction risk of threatened species, may offer a solution. PVA provide the opportunity to compare the relative effectiveness of various management options and can identify knowledge gaps to prioritize research efforts. We used PVA to assess the population viability of whio (Hymenolaimus malacorhynchos), a rare riverine duck endemic to New Zealand. Current populations are threatened by introduced mammalian predators and are rapidly declining in both distribution and abundance. Whio conservation management is dominated by large-scale, low-intensity predator control, targeting introduced stoats (Mustela erminea). There is evidence that such control increases whio productivity but it is unknown if this increase is sufficient for long-term population persistence. We undertook a stochastic PVA to assess the viability of whio populations under different management scenarios using data obtained from a 6-year study of whio demographic responses to predator control. Populations with no predator control and low productivity will rapidly decline to extinction. Increasing productivity through predator control increased population viability but populations still showed a declining trajectory. A perturbation analysis showed that the growth rate of whio populations was largely driven by adult survival. Therefore, future research should target obtaining more robust estimates of adult survival, particularly how it is affected by predator control. Overall, our analysis indicated that large-scale predator control increases the short-term viability of whio populations but is insufficient for long-term population persistence. © 2009 The Authors. Journal compilation © 2009 Ecological Society of Australia.",Article,Scopus,0.764994602,1,1,"Predator control is mentioned, but population is of non-controlled species, plus no predator control is also considered.",10,5,1,5,8,NA
