Unnamed: 0,Search,Title,Abstract,DOI,EID,SE_index,p,Relevance,TitleAbstract,Set,p_4_0.0,p_4_0.1,p_4_0.2,p_4_0.3,p_4_0.4,p_4_0.5,p_4_0.6,p_4_0.7,p_4_0.8,p_4_0.9,p_4_1.0
1,amphib_neotropic,The demography of Atelopus decline: Harlequin frog survival and abundance in central Panama prior to and during a disease outbreak,"Harlequin frogs (Bufonidae: Atelopus) are a species-rich genus of Neotropical toads that have experienced disproportionately severe population declines and extinctions caused by the amphibian chytrid fungus Batrachochytrium dendrobatidis (. Bd). The genus Atelopus is of high conservation concern, but relatively little is known about the population dynamics and life history of the majority of species. We examined the demography of one population of Atelopus zeteki and two populations of A. varius in central Panama using three to six years of mark-recapture data collected prior to and during an outbreak of Bd. We estimated male survival probabilities prior to the arrival of Bd and sex-specific population sizes for these three populations using state-space Bayesian population models. Prior to the arrival of Bd, monthly apparent survival probabilities were higher for A. varius males than for A. zeteki males, and recaptures among years were low in both species. Abundance of both species varied over time and declined rapidly after the arrival of Bd. Male densities were generally greater than female densities, though female densities were higher or equivalent to males after the arrival of Bd. Estimates of survival and abundance over time may be explained by differences in the use of stream habitat by the two sexes and three populations, both during and between breeding seasons. These estimates provide key baseline population information that can be used to inform reintroductions from captive assurance colonies and studies of extant Atelopus populations as part of conservation and management programs. © 2015 The Authors.",10.1016/j.gecco.2015.07.003,2-s2.0-84937555508,4,0.8468576440000001,1,the demograph of atelop declin harlequin frog surv and abund in cent panam pri to and dur a diseas outbreak harlequin frog bufonida atelop ar a specy rich gen of neotrop toad that hav expery disproport sev pop declin and extinct caus by the amphib chytrid fung batrachochytr dendrobatid bd the gen atelop is of high conserv concern but rel littl is known about the pop dynam and lif hist of the maj of specy we examin the demograph of on pop of atelop zetek and two pop of a vari in cent panam us three to six year of mark recapt dat collect pri to and dur an outbreak of bd we estim mal surv prob pri to the ar of bd and sex spec pop siz for thes three pop us stat spac bayes pop model pri to the ar of bd month app surv prob wer high for a vari mal than for a zetek mal and recapt among year wer low in both specy abund of both specy vary ov tim and declin rapid aft the ar of bd mal dens wer gen gre than fem dens though fem dens wer high or equ to mal aft the ar of bd estim of surv and abund ov tim may be explain by diff in the us of stream habit by the two sex and three pop both dur and between bree season thes estim provid key baselin pop inform that can be us to inform reintroduc from capt ass colony and study of ext atelop pop as part of conserv and man program,new,0.8834402009478441,0.8595343586804167,0.8405497076689761,0.8250845935417929,0.8121117412847116,0.8009491884527735,0.7911337475443612,0.7823403947364063,0.7743334104708081,0.7669328553755318,0.7600741295243678
2,amphib_neotropic,Spatial and temporal variation in population dynamics of Andean frogs: Effects of forest disturbance and evidence for declines,"Biodiversity loss is a global phenomenon that can result in the collapse of food webs and critical ecosystem services. Amphibian population decline over the last century is a notable case of species loss because amphibians survived the last four major extinction events in global history, their current rate of extinction is unprecedented, and their rate of extinction is greater than that for most other taxonomic groups. Despite the severity of this conservation problem and its relevance to the study of global biodiversity loss, major knowledge gaps remain for many of the most threatened species and regions in the world. Rigorous estimates of population parameters are lacking for many amphibian species in the Neotropics. The goal of our study was to determine how the demography of seven species of the genus Pristimantis varied over time and space in two cloud forests in the Ecuadorian Andes. We completed a long term capture-mark-recapture study to estimate abundance, survival, and population growth rates in two cloud forests in the Ecuadorian Andes; from 2002 to 2009 at Yanayacu in the Eastern Cordillera and from 2002 to 2003 at Cashca Totoras in the Western Cordillera. Our results showed seasonal and annual variation in population parameters by species and sex. P. bicantus experienced significant reductions in abundance over the course of our study. Abundance, apparent survival, and population growth rates were lower in disturbed than in primary or mature secondary forest. The results of our study raise concerns for the population status of understudied amphibian groups and provide insights into the population dynamics of Neotropical amphibians. © 2014 The Authors.",10.1016/j.gecco.2014.06.002,2-s2.0-84919332430,26,0.833651963,1,spat and temp vary in pop dynam of and frog effect of forest disturb and evid for declin biodivers loss is a glob phenomenon that can result in the collaps of food web and crit ecosystem serv amphib pop declin ov the last century is a not cas of specy loss becaus amphib surv the last four maj extinct ev in glob hist their cur rat of extinct is unprec and their rat of extinct is gre than that for most oth taxonom group despit the sev of thi conserv problem and it relev to the study of glob biodivers loss maj knowledg gap remain for many of the most threatened specy and reg in the world rig estim of pop paramet ar lack for many amphib specy in the neotrop the goal of our study was to determin how the demograph of sev specy of the gen pristim vary ov tim and spac in two cloud forest in the ecuad and we complet a long term capt mark recapt study to estim abund surv and pop grow rat in two cloud forest in the ecuad and from to at yanayacu in the eastern cordiller and from to at cashc totora in the western cordiller our result show season and an vary in pop paramet by specy and sex p bicant expery sign reduc in abund ov the cours of our study abund app surv and pop grow rat wer low in disturb than in prim or mat second forest the result of our study rais concern for the pop stat of understudy amphib group and provid insight into the pop dynam of neotrop amphib,new,0.8759301957893977,0.8594066422033974,0.8473677032720527,0.8381905957076045,0.830925910665291,0.8250209456396239,0.8201363526551312,0.8160534690475417,0.8126308577741925,0.8097713691155739,0.8074829264421628
3,amphib_neotropic,"Site fidelity, home range behaviour and habitat utilization of male harlequin toads (Amphibia: Atelopus hoogmoedi) from Suriname: Relevant aspects for conservation breeding","Recently, neotropical harlequin toads (Atelopus spp.) have undergone drastic population declines. Captive breeding has been suggested as a way to conserve harlequin frogs threatened by the amphibian chytrid fungus and global warming. A major problem is that little is known with regard to the natural history of Atelopus species. We studied male A. hoogmoedi site fidelity, home range and habitat utilization during the long rainy season (April to August) at Brownsberg Nature Park, Suriname. During this period, males and females occupy different habitats (i.e. streams versus forest). We studied male toads along a stream site. In total, 19 males were observed; relative abundance was 0.475 individuals per meter. Fourteen males were recaptured at the same site or its vicinity at least once and 12 maintained home ranges (38.1 ± 17.7 m 2 in size) for up to four months. However, male-male interaction was not observed. In the vicinity of streams, male A. hoogmoedi were perched 51.95 ± 36.7 cm above ground in dense understory. In conservation breeding efforts, we recommend to keep sexes separately prior to mating and to simulate the rainy season. Because males occupy home ranges at the breeding site, reproductive success in captivity may be higher when females are moved to male containers (which should have some running water imitating a stream habitat). Low male density and home range size should be considered when populating tanks with males. Tanks for males and breeding should address that wild specimens were mostly found on low vegetation. © 2009 Deutsche Gesellschaft für Herpetologie und Terrarienkundee. V. (DGHT).",,2-s2.0-73349083963,39,0.7795405190000001,0,sit fidel hom rang behavio and habit util of mal harlequin toad amphib atelop hoogmoed from surinam relev aspect for conserv bree rec neotrop harlequin toad atelop spp hav undergon drast pop declin capt bree has been suggest as a way to conserv harlequin frog threatened by the amphib chytrid fung and glob warm a maj problem is that littl is known with regard to the nat hist of atelop specy we study mal a hoogmoed sit fidel hom rang and habit util dur the long rainy season april to august at brownsberg nat park surinam dur thi period mal and fem occupy diff habit i e streams vers forest we study mal toad along a stream sit in tot mal wer observ rel abund was individ per met fourteen mal wer recapt at the sam sit or it vicin at least ont and maintain hom rang ± m in siz for up to four month howev mal mal interact was not observ in the vicin of streams mal a hoogmoed wer perch ± cm abov ground in dens underst in conserv bree effort we recommend to keep sex sep pri to mat and to sim the rainy season becaus mal occupy hom rang at the bree sit reproduc success in capt may be high when fem ar mov to mal contain which should hav som run wat imit a stream habit low mal dens and hom rang siz should be consid when pop tank with mal tank for mal and bree should address that wild specim wer most found on low veget,new,0.8019326591688096,0.7680324684138736,0.743090093828424,0.7245665689988966,0.7106685867396917,0.7003214605235639,0.6929509064926358,0.6883761914603778,0.6868497508207388,0.6893361599489913,0.6984830630405683
4,amphib_neotropic,A long-term study on the dynamics of guild structure among predatory vertebrates at a semi-arid Neotropical site,"Diets and populations of 10 species of predatory vertebrates (two foxes, four falconiforms, four owls) were monitored in semi-desert scrub at Auco, Chile. Pellets (birds) and feces (foxes) collected monthly contained identifiable remains of small mammals, birds, reptiles, amphibians, large insects, other arthropods, and (in some fox feces) fruits. For non-mammalian prey, seasonal variation in availability appeared to be more pronounced than longer-term variation. Availability of the eight species of small mammals varied relatively little between predators' breeding and non-breeding seasons but declined by an order of magnitude through the first 3 yr of the study. Rather than responding to these shifts in food availability by diverging in diet during ""lean' times and converging opportunistically during ""fat' times, predators responded in idiosyncratic ways. Predators of all species tended to maintain species-specific means in size of prey taken regardless of shifts in the relative availability of prey size classes. Two owl species maintained strict mammal diets throughout the decline in mammal abundance, whereas two other owls plus the two fox species maintained a tight feeding guild based on arthropods as well as mammals and other food groups. The four falconiforms failed to maintain consistent diets from season to season, and consequently ended up temporarily in unique positions in ""diet hyperspace' or else joined temporarily one of the two consistent guilds. The degree to which falconiform diets were unique in a given season showed no clear relation to food abundance. Changes in use of habitat did, however, relate to changes in food abundance. None of the falconiforms resided continuously in the study area throughout the period. -from Authors",10.2307/3545099,2-s2.0-0027386301,36,0.779302536,1,a long term study on the dynam of guild structure among pred vertebr at a sem arid neotrop sit diet and pop of specy of pred vertebr two fox four falconiform four owl wer monit in sem desert scrub at auco chil pellet bird and fec fox collect month contain ident remain of smal mam bird reptil amphib larg insect oth arthropod and in som fox fec fruit for non mam prey season vary in avail appear to be mor pronount than long term vary avail of the eight specy of smal mam vary rel littl between pred bree and non bree season but declin by an ord of magnitud through the first yr of the study rath than respond to thes shift in food avail by diverg in diet dur lean tim and converg opportun dur fat tim pred respond in idiosyncr way pred of al specy tend to maintain specy spec mean in siz of prey tak regardless of shift in the rel avail of prey siz class two owl specy maintain strict mam diet throughout the declin in mam abund wherea two oth owl plu the two fox specy maintain a tight fee guild bas on arthropod as wel as mam and oth food group the four falconiform fail to maintain consist diet from season to season and consequ end up temp in un posit in diet hyperspac or els join temp on of the two consist guild the degr to which falconiform diet wer un in a giv season show no clear rel to food abund chang in us of habit did howev rel to chang in food abund non of the falconiform resid continu in the study are throughout the period from auth,new,0.8532801078035174,0.8043170886145027,0.7640373109153424,0.7307910611149226,0.7026256123642617,0.6780747391696597,0.6560589557061243,0.6356959407188827,0.6161068909965481,0.5960929876755733,0.5734272381119638
5,amphib_neotropic,"Reproductive dynamics of the neotropical treefrog Hypsiboas albopunctatus (Anura, Hylidae)","To understand the seasonal reproductive dynamics of Hypsiboas albopunctatus, a Neotropical treefrog, we studied the following components: 1) the influence of abiotic factors on seasonality, 2) how this seasonality relates to population dynamics, and 3) male breeding recruitment. We conducted fieldwork every month from August 2007 to July 2008 within an ecotone connecting semideciduous Atlantic Forest and Cerrado (Brazilian Savanna) in São Paulo State, southeastern Brazil. Over the course of the prolonged breeding season, we recorded the maximum number of calling males and measured their snout-vent lengths; we then compared our data from the beginning and the end of the breeding season. We found that the breeding pattern of H. albopunctatus is correlated with climatic, physical, and biological factors. Male competition and aggression varied according to the population density, most likely as a function of resource availability. There appears to be a social hierarchy among males of H. albopunctatus according to body size. Large calling males dominated the chorus in the beginning of the breeding season, but smaller males contributed more to the assemblage as the breeding season progressed. The average size of calling males at the end of the breeding season was significantly smaller. Smaller males occurred most in January and February, marking the H. albopunctatus breeding recruitment, when an abundance of adequate breeding microhabitats exist. Our full-season study serves as a cautionary tale: hypotheses based on body size, particularly for prolonged anuran breeder species, may be affected by seasonality. Copyright © 2014 Society for the Study of Amphibians and Reptiles.",10.1670/12-193,2-s2.0-84903704711,38,0.763981357,0,reproduc dynam of the neotrop treefrog hypsiboa albopunctat anur hylida to understand the season reproduc dynam of hypsiboa albopunctat a neotrop treefrog we study the follow compon the influ of abiot fact on season how thi season rel to pop dynam and mal bree recruit we conduc fieldwork every mon from august to july within an ecoton connect semidecidu atl forest and cerrado brazil savann in são paulo stat southeastern brazil ov the cours of the prolong bree season we record the maxim numb of cal mal and meas their snout vent length we then comp our dat from the begin and the end of the bree season we found that the bree pattern of h albopunctat is correl with clim phys and biolog fact mal competit and aggress vary accord to the pop dens most lik as a funct of resourc avail ther appear to be a soc hierarchy among mal of h albopunctat accord to body siz larg cal mal domin the chor in the begin of the bree season but smal mal contribut mor to the assembl as the bree season progress the av siz of cal mal at the end of the bree season was sign smal smal mal occur most in janu and febru mark the h albopunctat bree recruit when an abund of adequ bree microhabit ex our ful season study serv as a caut tal hypothes bas on body siz particul for prolong an bree specy may be affect by season copyright,new,0.8120732045831286,0.758847379570834,0.7173346929741949,0.6851610062163925,0.6598786665291662,0.6397850735120909,0.6238133096642934,0.6113845665442577,0.6023623206370614,0.5972169154304877,0.597669016951535
7,amphib_neotropic,"Ineffectiveness of Call Surveys for Estimating Population Size in a Widespread Neotropical Frog, Oophaga pumilio","Call surveys offer a valuable method to monitor anuran populations attributable to their temporal breeding habits and close association with water. Many temperate locations have adopted citizen science programs to monitor local anuran populations using call surveys and road transects. These surveys, however, are not commonly conducted in the tropics. I tested use of call surveys for estimating population density of a small terrestrial poison frog, Oophaga pumilio, in six different populations in Bocas del Toro, Panama. By conducting three-minute call surveys, and searching for all individual frogs in a 10 m radius of the survey point, I directly compared the number of calling males to the observed number of frogs in a given area. I found call density to be a poor predictor of population density. Despite there being differences in population densities, the lack of a relationship between the number of calls and population density highlights the limited use for call surveys for terrestrial, territorial species. Although call surveys may be useful in some taxa for general abundance estimates, this study clearly demonstrates a startling deficiency of call surveys for anuran monitoring and highlights the need for species-specific analysis to further explore the utility of this method. © Copyright 2017 Society for the Study of Amphibians and Reptiles.",10.1670/14-148,2-s2.0-85009349865,28,0.739937118,0,ineffect of cal survey for estim pop siz in a widespread neotrop frog oophag pumilio cal survey off a valu method to monit an pop attribut to their temp bree habit and clos assocy with wat many temp loc hav adopt cit sci program to monit loc an pop us cal survey and road transect thes survey howev ar not common conduc in the trop i test us of cal survey for estim pop dens of a smal terrest poison frog oophag pumilio in six diff pop in boca del toro panam by conduc three minut cal survey and search for al individ frog in a m radi of the survey point i direct comp the numb of cal mal to the observ numb of frog in a giv are i found cal dens to be a poor predict of pop dens despit ther being diff in pop dens the lack of a rel between the numb of cal and pop dens highlight the limit us for cal survey for terrest territ specy although cal survey may be us in som tax for gen abund estim thi study clear demonst a startl deficy of cal survey for an monit and highlight the nee for specy spec analys to furth expl the util of thi method,new,0.7521297231292721,0.6989658981644855,0.6605755895607625,0.6324196854682922,0.6113502519477286,0.5955357233856445,0.5839996289723879,0.5763894121316594,0.5729913501442881,0.5751265080483622,0.5865245267912149
8,amphib_neotropic,"Reproductive period and geographic distribution of the toad Incilius aucoinae in Golfito, Costa Rica [Época reproductiva y distribución geográfica del sapo Incilius aucoinae (Bufonidae) en Golfito, Costa Rica]","The biology of neotropical amphibians is not well known. Some toad species of the Bufonidae family are common, thus allowing the study of their populations. We studied a population in río Cañaza, Golfito, Costa Rica, in a sector 360 m upstream of Barrio Ureña, divided in 36 sectors of 10 m. The study was carried out for five years, but taking samples of adults in January 1995, 1997, 1998 (except March), and 1999. We also studied tadpoles during four days in 1997. In total, 443 males and 7 females were marked, with 315 males recaptured and no females. Females are bigger (91.1 mm) than males (61.3 mm). Most recaptured individuals occurred in the same or adjacent sectors, with a maximum movement of 28 sectors. One individual was recaptured repeatedly in all the samples. This indicates that they survived at least five reproductive cycles. The reproductive cycle takes place during the dry season, between December and April. We found more individuals during the reproductive cycle of 1997 and less during 1995. Sector 6 had the most number of males and sector number 4 had the least. Sectors with semi-open vegetation had more males compared to sectors with more forest cover. February is the month with the highest abundance of males. There are intermediate values in December and January, and fewer individuals in March and April. In every month, except February, the abundance of individuals was greater where there were beaches. Tadpoles were found both during the day and night in the 31 river sectors, but it was less likely to find tadpoles in the river section during the night. During the day all tadpoles were found scattered around the river, at night they congregated near river margins. The reproductive cycle of this toad occurs during the dry season and females are present only in the reproductive season, resulting in an almost only male sex ratio (only seven females were found). Males can reproduce at least in 5 reproductive cycles, and -unexpectedly- day and night distribution of tadpoles varies.",,2-s2.0-77955286629,31,0.7316958029999999,1,reproduc period and geograph distribut of the toad incili aucoina in golfito cost ric Época reproductiv y distribución geográfica del sapo incili aucoina bufonida en golfito cost ric the biolog of neotrop amphib is not wel known som toad specy of the bufonida famy ar common thu allow the study of their pop we study a pop in río cañaz golfito cost ric in a sect m upstream of barrio ureña divid in sect of m the study was carry out for fiv year but tak sampl of adult in janu exceiv march and we also study tadpol dur four day in in tot mal and fem wer mark with mal recapt and no fem fem ar big mm than mal mm most recapt individ occur in the sam or adjac sect with a maxim mov of sect on individ was recapt rep in al the sampl thi ind that they surv at least fiv reproduc cyc the reproduc cyc tak plac dur the dry season between decemb and april we found mor individ dur the reproduc cyc of and less dur sect had the most numb of mal and sect numb had the least sect with sem op veget had mor mal comp to sect with mor forest cov febru is the mon with the highest abund of mal ther ar intermedy valu in decemb and janu and few individ in march and april in every mon exceiv febru the abund of individ was gre wher ther wer beach tadpol wer found both dur the day and night in the riv sect but it was less lik to find tadpol in the riv sect dur the night dur the day al tadpol wer found scat around the riv at night they congreg near riv margin the reproduc cyc of thi toad occ dur the dry season and fem ar pres on in the reproduc season result in an almost on mal sex ratio on sev fem wer found mal can reproduc at least in reproduc cyc and unexpect day and night distribut of tadpol vary,new,0.7717769929516639,0.7241673925099543,0.6890774597307376,0.6628681665790315,0.6430078182131186,0.6279982745880146,0.6170308923438445,0.6098239241184705,0.6066545632979533,0.608697811167579,0.6191580609636486
9,amphib_neotropic,"Batrachochytrium dendrobatidis and the Collapse of Anuran Species Richness and Abundance in the Upper Manu National Park, Southeastern Peru [Batrachochytrium dendrobatidis y el Colapso de la Riqueza de Especies y Abundancia de Anuros en el Parque Nacional del Manu, Sureste de Perú]","Amphibians are declining worldwide, but these declines have been particularly dramatic in tropical mountains, where high endemism and vulnerability to an introduced fungal pathogen, Batrachochytrium dendrobatidis (Bd), is associated with amphibian extinctions. We surveyed frogs in the Peruvian Andes in montane forests along a steep elevational gradient (1200-3700 m). We used visual encounter surveys to sample stream-dwelling and arboreal species and leaf-litter plots to sample terrestrial-breeding species. We compared species richness and abundance among the wet seasons of 1999, 2008, and 2009. Despite similar sampling effort among years, the number of species (46 in 1999) declined by 47% between 1999 and 2008 and by 38% between 1999 and 2009. When we combined the number of species we found in 2008 and 2009, the decline from 1999 was 36%. Declines of stream-dwelling and arboreal species (a reduction in species richness of 55%) were much greater than declines of terrestrial-breeding species (reduction of 20% in 2008 and 24% in 2009). Similarly, abundances of stream-dwelling and arboreal frogs were lower in the combined 2008-2009 period than in 1999, whereas densities of frogs in leaf-litter plots did not differ among survey years. These declines may be associated with the infection of frogs with Bd. B. dendrobatidis prevalence correlated significantly with the proportion of species that were absent from the 2008 and 2009 surveys along the elevational gradient. Our results suggest Bd may have arrived at the site between 1999 and 2007, which is consistent with the hypothesis that this pathogen is spreading in epidemic waves along the Andean cordilleras. Our results also indicate a rapid decline of frog species richness and abundance in our study area, a national park that contains many endemic amphibian species and is high in amphibian species richness. ©2010 Society for Conservation Biology.",10.1111/j.1523-1739.2010.01604.x,2-s2.0-79952716626,1,0.728088498,1,batrachochytr dendrobatid and the collaps of an specy rich and abund in the up manu nat park southeastern peru batrachochytr dendrobatid y el colapso de la riquez de especy y abundanc de anuro en el parqu nac del manu surest de perú amphib ar declin worldwid but thes declin hav been particul dram in trop mountain wher high endem and vuln to an introduc fung pathog batrachochytr dendrobatid bd is assocy with amphib extinct we survey frog in the peruv and in mont forest along a steep elev grady m we us vis encount survey to sampl stream dwel and arb specy and leaf lit plot to sampl terrest bree specy we comp specy rich and abund among the wet season of and despit simil sampl effort among year the numb of specy in declin by between and and by between and when we combin the numb of specy we found in and the declin from was declin of stream dwel and arb specy a reduc in specy rich of wer much gre than declin of terrest bree specy reduc of in and in simil abund of stream dwel and arb frog wer low in the combin period than in wherea dens of frog in leaf lit plot did not diff among survey year thes declin may be assocy with the infect of frog with bd b dendrobatid prev correl sign with the proport of specy that wer abs from the and survey along the elev grady our result suggest bd may hav ar at the sit between and which is consist with the hypothes that thi pathog is spreading in epidem wav along the and cordillera our result also ind a rapid declin of frog specy rich and abund in our study are a nat park that contain many endem amphib specy and is high in amphib specy rich,new,0.7783869757617913,0.7263628419508981,0.6879613775650061,0.6590473575459255,0.6366322200414938,0.6189081769109128,0.6048208764342685,0.5938086140425713,0.5857361946917153,0.5810327199392635,0.5813818830044356
10,amphib_neotropic,Endemic Ecuadorian glassfrog Cochranella mache is Critically Endangered because of habitat loss,"Amphibians are one of the most threatened animal groups. In the Family Centrolenidae c. 50% of the species are declining and threatened with extinction. One of these is the glassfrog Cochranella mache, endemic to seasonal evergreen forests of the West Ecuadorian region and restricted to highly fragmented forest of &lt; 100 km2 in the Cordillera Mache-Chindul, north-western coastal Ecuador, at 100-640 m. We surveyed this region to elucidate the distribution and conservation status of C. mache. We located it in three new localities and also found a museum specimen from a further new locality. We recommend that the species should be categorized as Critically Endangered because of the continuous and progressive destruction of its increasingly fragmented habitat. Recent surveys of glassfrog species sympatric with C. mache showed low relative abundances compared to surveys in the 1970s and 1980s. Because of the relationship between forest and local climate we suggest that gradual declines of lowland glassfrog populations may be caused by local climate changes produced by forest destruction. In situ conservation is required to halt and mitigate these impacts. Further research on the effects of habitat loss, fragmentation, and associated climate changes on Neotropical amphibians is required. © 2009 Fauna &amp; Flora International.",10.1017/S0030605309990640,2-s2.0-77952520908,7,0.716245778,1,endem ecuad glassfrog cochranell mach is crit endang becaus of habit loss amphib ar on of the most threatened anim group in the famy centrolenida c of the specy ar declin and threatened with extinct on of thes is the glassfrog cochranell mach endem to season evergreen forest of the west ecuad reg and restrict to high frag forest of lt km in the cordiller mach chind nor western coast ecuad at m we survey thi reg to elucid the distribut and conserv stat of c mach we loc it in three new loc and also found a muse specim from a furth new loc we recommend that the specy should be categ as crit endang becaus of the continu and progress destruct of it increas frag habit rec survey of glassfrog specy symp with c mach show low rel abund comp to survey in the s and s becaus of the rel between forest and loc clim we suggest that grad declin of lowland glassfrog pop may be caus by loc clim chang produc by forest destruct in situ conserv is requir to halt and mitig thes impact furth research on the effect of habit loss frag and assocy clim chang on neotrop amphib is requir,new,0.7697155703974374,0.7153304748411722,0.6749231869429367,0.6445102956540285,0.6210816045707369,0.6027821837669816,0.5885194839079521,0.5777104640436385,0.5702159992836288,0.5664750232388861,0.5681934499916532
11,amphib_neotropic,Taking the lead on climate change: Modelling and monitoring the fate of an Amazonian frog,"Climate change is expected to have important impacts on biodiversity. However, cases showing explicit links between species decline and climate are scarce, mostly because of a lack of baseline data. Tropical ectotherms with narrow altitudinal ranges are particularly sensitive to climate change; for example the frog Pristimantis espedeus may be at risk, with only nine populations known to date in French Guiana, all on isolated massifs. Ecological niche modelling indicated that these populations could disappear by 2070. To facilitate testing of this prediction we conducted a study to design an efficient, cost-effective monitoring protocol, combining occupancy rate estimations using passive acoustic recorders, and abundance estimations using acoustic repeated counts and capture-mark-recapture. We found the passive recorders to be effective, with a detection probability of 0.8. Two recording sessions were sufficient to estimate occupancy rates reliably. A minimum of 57 surveyed sites were required to detect a decline of 15% in occupancy between two consecutive monitoring events. Acoustic repeated counts and capture-mark-recapture yielded similar density estimates (1.6 and 1.8 calling males per 100 m2, respectively). Based on these results we present a protocol based on passive acoustic recording and abundance monitoring to monitor P. espedeus populations. Copyright © Fauna & Flora International 2015.",10.1017/S0030605315000083,2-s2.0-84930337435,14,0.686638063,1,tak the lead on clim chang model and monit the fat of an amazon frog clim chang is expect to hav import impact on biodivers howev cas show explicit link between specy declin and clim ar scarc most becaus of a lack of baselin dat trop ectotherm with narrow altitudin rang ar particul sensit to clim chang for exampl the frog pristim espede may be at risk with on nin pop known to dat in french guian al on isol mass ecolog nich model ind that thes pop could disappear by to facilit test of thi predict we conduc a study to design an efficy cost effect monit protocol combin occup rat estim us pass acoust record and abund estim us acoust rep count and capt mark recapt we found the pass record to be effect with a detect prob of two record sess wer sufficy to estim occup rat rely a minim of survey sit wer requir to detect a declin of in occup between two consecut monit ev acoust rep count and capt mark recapt yield simil dens estim and cal mal per m respect bas on thes result we pres a protocol bas on pass acoust record and abund monit to monit p espede pop copyright,new,0.7020866033400185,0.6488015348045038,0.6118379939438418,0.5859523147295262,0.5677343570933162,0.5552857641362006,0.5476670601853498,0.5446538950784612,0.5467916103970037,0.5559126924189293,0.5768624941294647
