"","Search","Title","Abstract","UT","SE_index","p","Relevance"
"2","desert","How to Bloom the Green Desert: Eucalyptus Plantations and Native Forests in Uruguay beyond Black and White Perspectives","The ongoing debate on the boon or bane of monocultural timber plantations demonstrates the need to develop alternative approaches that achieve forest productivity while conserving biodiversity. We assessed the diversity of tree species in native forests and in Eucalyptus plantations, and evaluated the potential use of native species to enhance plantation management. For this purpose, we established one-hectare permanent plots in nine native forests (riverine and park forests) and nine Eucalyptus plantations in the northwestern part of Uruguay. Forest inventories were carried out on 200 m(2) plots and regeneration was assessed along transects in 9 m(2) subplots. Riverine forests have the highest Shannon diversity index (2.5) followed by park forests (2.1) and Eucalyptus plantations (1.3). Tree density was high in riverine forests (1913/ha) and plantations (1315/ha), whereas park forests have lower tree density (796/ha). Regeneration density was high in riverine forests (39136/ha) and park forests (7500/ha); however, native species can regenerate in the understory of plantations (727/ha), and this underlines the possibility of developing a mixed species approach to reduce the negative impact of monocultures. Differences in the composition of plant communities were denoted between native forests and plantations, although native forests were similar in composition, even in the presence of exotic species. Native forests harbor specialist species that are absent from plantations, and therefore perform a decisive role in maintaining local biodiversity. Strategies to enhance species diversity and structural diversity within plantations or to establish mixed buffer strips containing native species at the edge of plantations are potential measures to enhance biodiversity and foster the integration of plantations into the local landscape.","WOS:000448550700033",285,0.924211805,1
"3","desert","Maintenance of richness despite reduced abundance of desert bees ( Hymenoptera: Apiformes) to persistent grazing","Anthropogenic changes to ecosystems typically result in decreased species richness and abundance relative to that of adjacent semi-pristine or pristine areas. Yet, there is debate about the generality of this result for bees given that most studies have included extremely disturbed areas and are from a limited set of biogeographical areas. Repeat sampling of an unusually specialised, species-rich bee community was done in the north-western Chihuahuan Desert, North America at sites in five habitats (riparian, mesquite forest, abandoned field, grassland, and desert scrub) that either had been intensely grazed by cattle in the previous year or not been grazed for 22+ years. Species density and species composition of bees did not change in response to grazing, abundance and proportion of singleton species (those represented by one specimen) did. In all habitats, other than the riparian, there was lower overall abundance and a greater proportion of singleton species at sites that had been recently grazed than at sites that had not been grazed since 1979. The proportion of singletons was greater in recently grazed than in long-term ungrazed areas, but pollen-specialist species did not respond more strongly than pollen generalists. The substantial variation in bee abundance and rarity was probably associated with differences in floral resources. Overall, lower bee abundance in grazed areas reflects the continuous removal by grazers of the flowers that bees use. Despite reduced bee abundance due to long-term grazing, species richness, and composition in this desert bee community remained high.","WOS:000335471900007",9,0.894215874,1
"4","desert","Grazing promotes dung beetle diversity in the xeric landscape of a Mexican Biosphere Reserve","We analyze the impact of grazing on dung beetle diversity at the Barranca de Metztitlan Biosphere Reserve, a xeric ecosystem in central Mexico with a long history of use by humans. We compared the community structure, as well as the alpha and beta diversity between two cover conditions (open and closed vegetation) that represent the impact of grazing within a habitat, and between habitat types (submountainous and crassicaule scrublands). From 576 samples we collected 75,605 dung beetles belonging to 20 taxa. While mean species richness and diversity were different between habitat types, cumulative species richness was not. The effects of grazing on vegetation structure influenced the cumulative species richness and diversity of dung beetles in the submountainous scrubland, where grazing has created land mosaics of a grassland matrix with scrubland patches. This was not the case in the crassicaule scrubland where the impact of grazing is not as evident. Beta diversity significantly responds to the effects of grazing on habitat conditions. We discuss the ecological factors that may promote these responses by landscape diversity components. We also identify the species that could act as useful indicators to monitor the effect of land management on biodiversity. Our results indicate cattle farming maintains a diversified land mosaic, and these areas support more diverse dung beetle ensembles than homogeneous areas of closed, shrubby vegetation cover. Thus, controlled grazing activity could certainly favour the conservation of dung beetle biodiversity and improve ecosystem functioning by maintaining dung decomposition rates.","WOS:000251210800011",18,0.878043711,1
"5","desert","Effect of landscape and stand variables on tree species diversity in the understory of Pinus taeda plantations in Misiones province","Forest plantations are within the most important productive activities in Misiones, Argentina. Afforestations are strongly criticized under the idea that are green deserts, non suitable as habitat for native fauna. The aim of the present study was to evaluate the regeneration of native tree species in the understory of Pinus taeda plantations and the influence of stand and landscape variables in the northwest of Misiones, Argentina. Plantations presenting different ages, previous land uses and landscape contexts were sampled. A total of 91 native tree species were found in the forest understory, and the most abundant were animal-dispersed tree species. The native tree composition of plantations understory was different from that of native forest. The similarity analysis revealed that old plantations were more similar to native forest than to young plantations. The canonical correspondence analysis (CCA) showed that previous land use was the variable with more influence on the understory composition, followed by the basal area and the distance to the native forest at the time of planting. Wind-dispersed and pioneer species were more associated with short distances to the native forest and lower basal area; whereas animal-dispersed and shade tolerant species were related to high basal area and previous land use. Results support the idea that forest plantations may represent a suitable environment for the development of native plants.","WOS:000328564800009",448,0.877384134,1
"6","desert","CACTI COMMUNITY STRUCTURE IN A TROPICAL MEXICAN DRY FOREST UNDER CHRONIC DISTURBANCE","When agricultural lands in formerly dry forest are abandoned, chronic disturbance by livestock grazing and wood extraction may set back successional processes precluding older dry forest structure from be reached. We compare cacti density, richness, diversity and evenness in twelve 50 x 50 m plots: six plots in secondary dry forest and six plots in older conserved dry forest at Sierra de Huautla, Central Mexico. Cacti were identified, the life-form of each species was recorded and size was measured to assign individuals into four life-stage classes. Nine cacti species were registered across both forest types. In this dry forest, richness, diversity and evenness of cacti community increased in sites under chronic disturbance, whereas density was not significantly affected. Size structure at community level in the conserved forest showed an increase of individuals with size, whereas in the secondary forest, size structure showed an uneven distribution of individuals, as in populations that regenerate by pulses. In the secondary forest, there was a lower proportion of adults and they were in average, smaller than those in the conserved forest. Chronic disturbance may eventually change cacti community structure, affecting animals that depend on large arboreal cacti for food, perches and/or refuge; therefore, maintenance of biodiversity will be at stake.","WOS:000341675600007",273,0.873223372,1
"7","desert","Assemblages and species diversity of wood destroying termites in different land use systems in Western Ghat, India","Spatial distribution, abundance and assemblage of termites depend mainly on the local conditions and habitats in which they thrive. Striking differences are observed in the species richness, number of clades and functional diversity of termite assemblage between different habitats. This study aim was to examine effect of human interference in the diversity of wood destroying termite in forest areas as well as managed and unmanaged plantations in South India. Termites attacking trees and wooden logs were collected from forest areas, managed plantations and unmanaged plantations. The termites collected were identified and compared for species abundance, richness and species diversity. Results show that the species composition and species diversity of the wood destroying termites vary according to the conditions. The species diversity measures revealed that there is a significance variation among the forest fauna and plantations. The forest areas have the highest species composition compared to plantations. Species richness is high forest areas. Even though the abundance of termites are more in unmanaged plantations, there is no significant difference related to species diversity among the managed and unmanaged plantations.","WOS:000322190900021",55,0.865020064,1
"8","desert","Ecological impacts of desert plantation forests on biodiversity","This investigation involves the comparison of the diversity of understorey vegetation of four desert planted forests with the adjacent desert areas. Spatial and temporal variations in species composition and structure were compared, and alpha and beta diversities were compared for the field data collected from sampled sites. The diversity of native desert species decreased from 66% in desert areas to 44% of the total recorded plants inside the forests. Meanwhile, the percentage of agricultural weed species increased in forests to >twofold more than that recorded in desert areas. Plant communities in forest stands shared <50% of their species with adjacent vegetation in desert stands. The percentage of variation in species composition was >340% in some forests compared with the desert areas. Alpha diversity and beta-diversity were significantly higher in forest stands than in the desert. Spatial and temporal variations in species diversity were correlated with type of tree canopy and irrigation system. Planted forests had significant negative effects on the diversity of native desert shrubs and trees. Using flood irrigation and more spacing between trees might help in conserving the floristic diversity of desert shrubs and trees at the forest floor.","WOS:000306794700006",185,0.847524002,1
"9","desert","Gardening in the desert changes bee communities and pollination network characteristics","Conversion of natural habitats to human settlements creates an alternative habitat with different bio-physical characteristics such as micro-climatic conditions and resource availability. Deserts are especially sensitive to such effects due to generally low nutrient levels and water availability. Gardens in human settlements in the desert are often a main source of alien plant species that provide ample foraging resources year round. These changes in floral composition and availability may alter pollinator community composition and foraging behaviour, as well as pollination network characteristics. We investigated the effects of desert gardening on pollinator communities and pollination networks in the Jordan Rift Valley (Israel), an arid agro-natural landscape south of the Dead Sea. We studied seasonal diversity patterns of plants and wild bees in natural habitats and in gardens in settlements. Wild bees and blooming plants were sampled from February to July in 2007 and in 2008. We constructed plant pollinator networks and compared bee communities between the two habitat types along the season. We found that bee abundance was greater in the gardens, and that rarefied bee species richness was greater in the natural habitat. Bee species richness and abundance exhibited contrasting seasonal patterns between habitats. Bee community composition also differed greatly between habitats, and species in the gardens had a generally wider geographical range in comparison to species in the natural habitat. We also found a higher level of generalisation of the pollination network in the gardens compared to the natural habitat, which may indicate a response to a disturbed and unstable environment. We conclude that gardening in deserts although promoting overall bee abundance, negatively affects species richness and changes community composition and network characteristics, with possible implications on the composition of native flora in the natural habitat surrounding the gardens.","WOS:000293312600005",32,0.8473785,1
"10","desert","Scorpion diversity in two different habitats in the Arid Chaco, Argentina","Scorpions are one of the most important taxa of predators in terms of density, biomass, and diversity in various areas of the world. In this study, we compared population-and community-level data between a mature and a secondary forest in the Chancani Reserve (Cordoba, Argentina). Scorpions were collected using pitfall traps (54 nights per site), and their nocturnal activity was observed by means of UV light (26 nights per site) over 7 months. Seven species of scorpions (1964 individuals) were observed in the study area (Bothriuridae and Buthidae). Brachistosternus ferrugineus composed >74 % of all individuals and was numerically dominant in most months. It was the most common species sampled with UV light method in all months (85.73 % in mature and 81.80 % in secondary forest). Timogenes elegans was the most common species sampled with the pitfall traps method in secondary forest (48.58 %). General sex ratio (males: females) for B. ferrugineus was 1: 1.24 and for T. elegans was 1:0.53. The Shannon index was not significantly different between sites. Species richness was similar, and the Jaccard index was Cs = 0.86, indicating that both sites share 86 % of the species. Tityus confluens was the only species not shared between sites. Our results indicate that species composition in regenerating forest resembles that of primary forest after c. 15 years, but the relative abundances of these species differ.","WOS:000338983200009",73,0.84573288,1
"11","desert","Effect of a desert planted forest on the understory plant diversity: implication to conservation","The present study aimed to assess the potential role of desert tree plantations for biodiversity conservation of native vegetation. For this purpose, we compared diversity and composition of understory vegetation in a managed desert plantation in Egypt with adjacent natural vegetation. In 126 stands, we estimated the diversity indices of the understory vegetation associated with five tree plantations inside and outside the forest. The results showed that therophytes had the highest contribution to the total flora of the study area (45.7 %), followed by chamaephytes (21.7 %). The weed species were the main components inside the forest (37 species). In the stands of Eucalyptus camaldulensis and Khaya senegalensis, the agricultural weeds were the most abundant followed by natural weeds. Spring season was the main flourishing season for weeds followed by autumn. Dalbergia sissoo had the highest values for species richness (8.8) and the lowest for species turnover (2.5). On the contrary, Casuarina spp. had the lowest values of species richness (3.0) and the highest of species turnover (7.3) and Simpson index (12.3). Establishment of the forest leads to remarkable loss and changes in the biodiversity of natural desert vegetation and vegetation composition, respectively. Many ruderal weeds colonized the adjacent desert habitats. From this study, we concluded that forest managers should pay attention for the conservation and retention of existing native vegetation during their design for the desert plantations.","WOS:000389833300012",259,0.844924196,1
