Unnamed: 0,Search,Title,Abstract,UT,SE_index,p,Relevance,TitleAbstract,Set,p_4_0.0,p_4_0.1,p_4_0.2,p_4_0.3,p_4_0.4,p_4_0.5,p_4_0.6,p_4_0.7,p_4_0.8,p_4_0.9,p_4_1.0
2,desert,How to Bloom the Green Desert: Eucalyptus Plantations and Native Forests in Uruguay beyond Black and White Perspectives,"The ongoing debate on the boon or bane of monocultural timber plantations demonstrates the need to develop alternative approaches that achieve forest productivity while conserving biodiversity. We assessed the diversity of tree species in native forests and in Eucalyptus plantations, and evaluated the potential use of native species to enhance plantation management. For this purpose, we established one-hectare permanent plots in nine native forests (riverine and park forests) and nine Eucalyptus plantations in the northwestern part of Uruguay. Forest inventories were carried out on 200 m(2) plots and regeneration was assessed along transects in 9 m(2) subplots. Riverine forests have the highest Shannon diversity index (2.5) followed by park forests (2.1) and Eucalyptus plantations (1.3). Tree density was high in riverine forests (1913/ha) and plantations (1315/ha), whereas park forests have lower tree density (796/ha). Regeneration density was high in riverine forests (39136/ha) and park forests (7500/ha); however, native species can regenerate in the understory of plantations (727/ha), and this underlines the possibility of developing a mixed species approach to reduce the negative impact of monocultures. Differences in the composition of plant communities were denoted between native forests and plantations, although native forests were similar in composition, even in the presence of exotic species. Native forests harbor specialist species that are absent from plantations, and therefore perform a decisive role in maintaining local biodiversity. Strategies to enhance species diversity and structural diversity within plantations or to establish mixed buffer strips containing native species at the edge of plantations are potential measures to enhance biodiversity and foster the integration of plantations into the local landscape.",WOS:000448550700033,285,0.924211805,1,how to bloom the green desert eucalypt plant and nat forest in uruguay beyond black and whit perspect the ongo deb on the boon or ban of monocult timb plant demonst the nee to develop altern approach that achiev forest produc whil conserv biodivers we assess the divers of tre specy in nat forest and in eucalypt plant and evalu the pot us of nat specy to enh plant man for thi purpos we est on hect perm plot in nin nat forest riverin and park forest and nin eucalypt plant in the northwestern part of uruguay forest inv wer carry out on m plot and reg was assess along transect in m subplot riverin forest hav the highest shannon divers index follow by park forest and eucalypt plant tre dens was high in riverin forest ha and plant ha wherea park forest hav low tre dens ha reg dens was high in riverin forest ha and park forest ha howev nat specy can reg in the underst of plant ha and thi underlin the poss of develop a mix specy approach to reduc the neg impact of monocult diff in the composit of plant commun wer denot between nat forest and plant although nat forest wer simil in composit ev in the pres of exot specy nat forest harb spec specy that ar abs from plant and theref perform a decid rol in maintain loc biodivers strategies to enh specy divers and structural divers within plant or to est mix buff strips contain nat specy at the edg of plant ar pot meas to enh biodivers and fost the integr of plant into the loc landscap,new,0.9342755522205606,0.8931386762746487,0.8582215126865599,0.8295533408581001,0.8052827466594862,0.7839316214761265,0.7643805825908984,0.745693944868589,0.7268102438470573,0.7060331815209336,0.6793486118164016
3,desert,Maintenance of richness despite reduced abundance of desert bees ( Hymenoptera: Apiformes) to persistent grazing,"Anthropogenic changes to ecosystems typically result in decreased species richness and abundance relative to that of adjacent semi-pristine or pristine areas. Yet, there is debate about the generality of this result for bees given that most studies have included extremely disturbed areas and are from a limited set of biogeographical areas. Repeat sampling of an unusually specialised, species-rich bee community was done in the north-western Chihuahuan Desert, North America at sites in five habitats (riparian, mesquite forest, abandoned field, grassland, and desert scrub) that either had been intensely grazed by cattle in the previous year or not been grazed for 22+ years. Species density and species composition of bees did not change in response to grazing, abundance and proportion of singleton species (those represented by one specimen) did. In all habitats, other than the riparian, there was lower overall abundance and a greater proportion of singleton species at sites that had been recently grazed than at sites that had not been grazed since 1979. The proportion of singletons was greater in recently grazed than in long-term ungrazed areas, but pollen-specialist species did not respond more strongly than pollen generalists. The substantial variation in bee abundance and rarity was probably associated with differences in floral resources. Overall, lower bee abundance in grazed areas reflects the continuous removal by grazers of the flowers that bees use. Despite reduced bee abundance due to long-term grazing, species richness, and composition in this desert bee community remained high.",WOS:000335471900007,9,0.894215874,1,maint of rich despit reduc abund of desert bee hymenopter apiform to persist graz anthropog chang to ecosystem typ result in decreas specy rich and abund rel to that of adjac sem pristin or pristin area yet ther is deb about the gen of thi result for bee giv that most study hav includ extrem disturb area and ar from a limit set of biogeograph area rep sampl of an unus spec specy rich bee commun was don in the nor western chihuahu desert nor americ at sit in fiv habit rip mesquit forest abandon field grassland and desert scrub that eith had been intens graz by cattl in the prevy year or not been graz for year specy dens and specy composit of bee did not chang in respons to graz abund and proport of singleton specy thos repres by on specim did in al habit oth than the rip ther was low overal abund and a gre proport of singleton specy at sit that had been rec graz than at sit that had not been graz sint the proport of singleton was gre in rec graz than in long term ungraz area but pol spec specy did not respond mor strongly than pol gen the subst vary in bee abund and rar was prob assocy with diff in flor resourc overal low bee abund in graz area reflect the continu remov by graz of the flow that bee us despit reduc bee abund due to long term graz specy rich and composit in thi desert bee commun remain high,new,0.917627863368296,0.8929500809427684,0.8751391296961755,0.8614534414680289,0.8501640362234351,0.8403363480418146,0.8313813927465596,0.8228493913952225,0.8142998869479076,0.8051161350293551,0.7941439960528911
4,desert,Grazing promotes dung beetle diversity in the xeric landscape of a Mexican Biosphere Reserve,"We analyze the impact of grazing on dung beetle diversity at the Barranca de Metztitlan Biosphere Reserve, a xeric ecosystem in central Mexico with a long history of use by humans. We compared the community structure, as well as the alpha and beta diversity between two cover conditions (open and closed vegetation) that represent the impact of grazing within a habitat, and between habitat types (submountainous and crassicaule scrublands). From 576 samples we collected 75,605 dung beetles belonging to 20 taxa. While mean species richness and diversity were different between habitat types, cumulative species richness was not. The effects of grazing on vegetation structure influenced the cumulative species richness and diversity of dung beetles in the submountainous scrubland, where grazing has created land mosaics of a grassland matrix with scrubland patches. This was not the case in the crassicaule scrubland where the impact of grazing is not as evident. Beta diversity significantly responds to the effects of grazing on habitat conditions. We discuss the ecological factors that may promote these responses by landscape diversity components. We also identify the species that could act as useful indicators to monitor the effect of land management on biodiversity. Our results indicate cattle farming maintains a diversified land mosaic, and these areas support more diverse dung beetle ensembles than homogeneous areas of closed, shrubby vegetation cover. Thus, controlled grazing activity could certainly favour the conservation of dung beetle biodiversity and improve ecosystem functioning by maintaining dung decomposition rates.",WOS:000251210800011,18,0.8780437109999999,1,graz promot dung beetl divers in the xer landscap of a mex biosph reserv we analys the impact of graz on dung beetl divers at the barranc de metztitl biosph reserv a xer ecosystem in cent mexico with a long hist of us by hum we comp the commun structure as wel as the alph and bet divers between two cov condit op and clos veget that repres the impact of graz within a habit and between habit typ submountain and crassica scrublands from sampl we collect dung beetl belong to tax whil mean specy rich and divers wer diff between habit typ cum specy rich was not the effect of graz on veget structure influ the cum specy rich and divers of dung beetl in the submountain scrubland wher graz has cre land mosa of a grassland matrix with scrubland patch thi was not the cas in the crassica scrubland wher the impact of graz is not as evid bet divers sign respond to the effect of graz on habit condit we discuss the ecolog fact that may promot thes respons by landscap divers compon we also ident the specy that could act as us ind to monit the effect of land man on biodivers our result ind cattl farm maintain a divers land mosa and thes area support mor divers dung beetl ensembl than homog area of clos shrubby veget cov thu control graz act could certain favo the conserv of dung beetl biodivers and improv ecosystem funct by maintain dung decomposit rat,new,0.9047536029855948,0.8655818819927354,0.8348568830672971,0.8106353149301037,0.7908479614643714,0.7741518391892772,0.7596576735096279,0.7467547797444838,0.7349797112093926,0.7239312470688295,0.7132413857313638
5,desert,Effect of landscape and stand variables on tree species diversity in the understory of Pinus taeda plantations in Misiones province,"Forest plantations are within the most important productive activities in Misiones, Argentina. Afforestations are strongly criticized under the idea that are green deserts, non suitable as habitat for native fauna. The aim of the present study was to evaluate the regeneration of native tree species in the understory of Pinus taeda plantations and the influence of stand and landscape variables in the northwest of Misiones, Argentina. Plantations presenting different ages, previous land uses and landscape contexts were sampled. A total of 91 native tree species were found in the forest understory, and the most abundant were animal-dispersed tree species. The native tree composition of plantations understory was different from that of native forest. The similarity analysis revealed that old plantations were more similar to native forest than to young plantations. The canonical correspondence analysis (CCA) showed that previous land use was the variable with more influence on the understory composition, followed by the basal area and the distance to the native forest at the time of planting. Wind-dispersed and pioneer species were more associated with short distances to the native forest and lower basal area; whereas animal-dispersed and shade tolerant species were related to high basal area and previous land use. Results support the idea that forest plantations may represent a suitable environment for the development of native plants.",WOS:000328564800009,448,0.877384134,1,effect of landscap and stand vary on tre specy divers in the underst of pin taed plant in mis provint forest plant ar within the most import produc act in mis argentin afforest ar strongly crit und the ide that ar green desert non suit as habit for nat faun the aim of the pres study was to evalu the reg of nat tre specy in the underst of pin taed plant and the influ of stand and landscap vary in the northwest of mis argentin plant pres diff ag prevy land us and landscap context wer sampl a tot of nat tre specy wer found in the forest underst and the most abund wer anim dispers tre specy the nat tre composit of plant underst was diff from that of nat forest the simil analys rev that old plant wer mor simil to nat forest than to young plant the canon correspond analys cca show that prevy land us was the vary with mor influ on the underst composit follow by the bas are and the dist to the nat forest at the tim of plant wind dispers and pion specy wer mor assocy with short dist to the nat forest and low bas are wherea anim dispers and shad tol specy wer rel to high bas are and prevy land us result support the ide that forest plant may repres a suit environ for the develop of nat plant,new,0.8861705058977324,0.844682900714886,0.8155140189073233,0.7949469651230242,0.7798688293143721,0.7685184284671255,0.7599206824281612,0.7536044793559031,0.7494796648682924,0.7479996815826055,0.7509700420476831
6,desert,CACTI COMMUNITY STRUCTURE IN A TROPICAL MEXICAN DRY FOREST UNDER CHRONIC DISTURBANCE,"When agricultural lands in formerly dry forest are abandoned, chronic disturbance by livestock grazing and wood extraction may set back successional processes precluding older dry forest structure from be reached. We compare cacti density, richness, diversity and evenness in twelve 50 x 50 m plots: six plots in secondary dry forest and six plots in older conserved dry forest at Sierra de Huautla, Central Mexico. Cacti were identified, the life-form of each species was recorded and size was measured to assign individuals into four life-stage classes. Nine cacti species were registered across both forest types. In this dry forest, richness, diversity and evenness of cacti community increased in sites under chronic disturbance, whereas density was not significantly affected. Size structure at community level in the conserved forest showed an increase of individuals with size, whereas in the secondary forest, size structure showed an uneven distribution of individuals, as in populations that regenerate by pulses. In the secondary forest, there was a lower proportion of adults and they were in average, smaller than those in the conserved forest. Chronic disturbance may eventually change cacti community structure, affecting animals that depend on large arboreal cacti for food, perches and/or refuge; therefore, maintenance of biodiversity will be at stake.",WOS:000341675600007,273,0.873223372,1,cact commun structure in a trop mex dry forest und chronic disturb when agricult land in form dry forest ar abandon chronic disturb by livestock graz and wood extract may set back success process preclud old dry forest structure from be reach we comp cact dens rich divers and ev in twelv x m plot six plot in second dry forest and six plot in old conserv dry forest at sierr de huautl cent mexico cact wer ident the lif form of each specy was record and siz was meas to assign individ into four lif stag class nin cact specy wer reg across both forest typ in thi dry forest rich divers and ev of cact commun increas in sit und chronic disturb wherea dens was not sign affect siz structure at commun level in the conserv forest show an increas of individ with siz wherea in the second forest siz structure show an unev distribut of individ as in pop that reg by puls in the second forest ther was a low proport of adult and they wer in av smal than thos in the conserv forest chronic disturb may ev chang cact commun structure affect anim that depend on larg arb cact for food perch and or refug theref maint of biodivers wil be at stak,new,0.8749035956509957,0.8217789575063732,0.7825033153486117,0.7534714199189829,0.731216840737814,0.7136777990630485,0.699675929878059,0.6886230636518708,0.6804095639124813,0.6756741963972193,0.6770228499872742
7,desert,"Assemblages and species diversity of wood destroying termites in different land use systems in Western Ghat, India","Spatial distribution, abundance and assemblage of termites depend mainly on the local conditions and habitats in which they thrive. Striking differences are observed in the species richness, number of clades and functional diversity of termite assemblage between different habitats. This study aim was to examine effect of human interference in the diversity of wood destroying termite in forest areas as well as managed and unmanaged plantations in South India. Termites attacking trees and wooden logs were collected from forest areas, managed plantations and unmanaged plantations. The termites collected were identified and compared for species abundance, richness and species diversity. Results show that the species composition and species diversity of the wood destroying termites vary according to the conditions. The species diversity measures revealed that there is a significance variation among the forest fauna and plantations. The forest areas have the highest species composition compared to plantations. Species richness is high forest areas. Even though the abundance of termites are more in unmanaged plantations, there is no significant difference related to species diversity among the managed and unmanaged plantations.",WOS:000322190900021,55,0.8650200640000001,1,assembl and specy divers of wood destroy termit in diff land us system in western ghat ind spat distribut abund and assembl of termit depend main on the loc condit and habit in which they thrive striking diff ar observ in the specy rich numb of clad and funct divers of termit assembl between diff habit thi study aim was to examin effect of hum interf in the divers of wood destroy termit in forest area as wel as man and unm plant in sou ind termit attack tre and wood log wer collect from forest area man plant and unm plant the termit collect wer ident and comp for specy abund rich and specy divers result show that the specy composit and specy divers of the wood destroy termit vary accord to the condit the specy divers meas rev that ther is a sign vary among the forest faun and plant the forest area hav the highest specy composit comp to plant specy rich is high forest area ev though the abund of termit ar mor in unm plant ther is no sign diff rel to specy divers among the man and unm plant,new,0.886931215907468,0.8496577181320101,0.8231673467785702,0.8036574018952414,0.7885090024958504,0.7762764086296658,0.7661155624568329,0.7575256322967961,0.7502139487507237,0.7440900258639636,0.7395272049156241
8,desert,Ecological impacts of desert plantation forests on biodiversity,"This investigation involves the comparison of the diversity of understorey vegetation of four desert planted forests with the adjacent desert areas. Spatial and temporal variations in species composition and structure were compared, and alpha and beta diversities were compared for the field data collected from sampled sites. The diversity of native desert species decreased from 66% in desert areas to 44% of the total recorded plants inside the forests. Meanwhile, the percentage of agricultural weed species increased in forests to >twofold more than that recorded in desert areas. Plant communities in forest stands shared <50% of their species with adjacent vegetation in desert stands. The percentage of variation in species composition was >340% in some forests compared with the desert areas. Alpha diversity and beta-diversity were significantly higher in forest stands than in the desert. Spatial and temporal variations in species diversity were correlated with type of tree canopy and irrigation system. Planted forests had significant negative effects on the diversity of native desert shrubs and trees. Using flood irrigation and more spacing between trees might help in conserving the floristic diversity of desert shrubs and trees at the forest floor.",WOS:000306794700006,185,0.847524002,1,ecolog impact of desert plant forest on biodivers thi investig involv the comparison of the divers of understorey veget of four desert plant forest with the adjac desert area spat and temp vary in specy composit and structure wer comp and alph and bet divers wer comp for the field dat collect from sampl sit the divers of nat desert specy decreas from in desert area to of the tot record plant insid the forest meanwhil the perc of agricult wee specy increas in forest to twofold mor than that record in desert area plant commun in forest stand shar of their specy with adjac veget in desert stand the perc of vary in specy composit was in som forest comp with the desert area alph divers and bet divers wer sign high in forest stand than in the desert spat and temp vary in specy divers wer correl with typ of tre canop and irrig system plant forest had sign neg effect on the divers of nat desert shrubs and tre us flood irrig and mor spac between tre might help in conserv the flor divers of desert shrubs and tre at the forest flo,new,0.8686010981890918,0.8082210129618463,0.7635827260805594,0.7304400339726014,0.7047230915242199,0.6840348987816364,0.6669537104226193,0.6526359904499679,0.6405831583548064,0.6306078263545227,0.6230415237848859
9,desert,Gardening in the desert changes bee communities and pollination network characteristics,"Conversion of natural habitats to human settlements creates an alternative habitat with different bio-physical characteristics such as micro-climatic conditions and resource availability. Deserts are especially sensitive to such effects due to generally low nutrient levels and water availability. Gardens in human settlements in the desert are often a main source of alien plant species that provide ample foraging resources year round. These changes in floral composition and availability may alter pollinator community composition and foraging behaviour, as well as pollination network characteristics. We investigated the effects of desert gardening on pollinator communities and pollination networks in the Jordan Rift Valley (Israel), an arid agro-natural landscape south of the Dead Sea. We studied seasonal diversity patterns of plants and wild bees in natural habitats and in gardens in settlements. Wild bees and blooming plants were sampled from February to July in 2007 and in 2008. We constructed plant pollinator networks and compared bee communities between the two habitat types along the season. We found that bee abundance was greater in the gardens, and that rarefied bee species richness was greater in the natural habitat. Bee species richness and abundance exhibited contrasting seasonal patterns between habitats. Bee community composition also differed greatly between habitats, and species in the gardens had a generally wider geographical range in comparison to species in the natural habitat. We also found a higher level of generalisation of the pollination network in the gardens compared to the natural habitat, which may indicate a response to a disturbed and unstable environment. We conclude that gardening in deserts although promoting overall bee abundance, negatively affects species richness and changes community composition and network characteristics, with possible implications on the composition of native flora in the natural habitat surrounding the gardens.",WOS:000293312600005,32,0.8473785,1,gard in the desert chang bee commun and pollin network charact convert of nat habit to hum settl cre an altern habit with diff bio phys charact such as micro clim condit and resourc avail desert ar espec sensit to such effect due to gen low nutry level and wat avail gard in hum settl in the desert ar oft a main sourc of aly plant specy that provid ampl for resourc year round thes chang in flor composit and avail may alt pollin commun composit and for behavio as wel as pollin network charact we investig the effect of desert gard on pollin commun and pollin network in the jord rift valley israel an arid agro nat landscap sou of the dead sea we study season divers pattern of plant and wild bee in nat habit and in gard in settl wild bee and bloom plant wer sampl from febru to july in and in we construct plant pollin network and comp bee commun between the two habit typ along the season we found that bee abund was gre in the gard and that rarefy bee specy rich was gre in the nat habit bee specy rich and abund exhibit contrast season pattern between habit bee commun composit also diff gre between habit and specy in the gard had a gen wid geograph rang in comparison to specy in the nat habit we also found a high level of gen of the pollin network in the gard comp to the nat habit which may ind a respons to a disturb and unst environ we conclud that gard in desert although promot overal bee abund neg affect specy rich and chang commun composit and network charact with poss imply on the composit of nat flor in the nat habit surround the gard,new,0.8487952428906266,0.8243788116938016,0.8095610748507777,0.7999467696891942,0.7934539682378184,0.7891672493196962,0.7867040921390704,0.786023084307208,0.7874825497008411,0.7922361199875324,0.8039017223749629
10,desert,"Scorpion diversity in two different habitats in the Arid Chaco, Argentina","Scorpions are one of the most important taxa of predators in terms of density, biomass, and diversity in various areas of the world. In this study, we compared population-and community-level data between a mature and a secondary forest in the Chancani Reserve (Cordoba, Argentina). Scorpions were collected using pitfall traps (54 nights per site), and their nocturnal activity was observed by means of UV light (26 nights per site) over 7 months. Seven species of scorpions (1964 individuals) were observed in the study area (Bothriuridae and Buthidae). Brachistosternus ferrugineus composed >74 % of all individuals and was numerically dominant in most months. It was the most common species sampled with UV light method in all months (85.73 % in mature and 81.80 % in secondary forest). Timogenes elegans was the most common species sampled with the pitfall traps method in secondary forest (48.58 %). General sex ratio (males: females) for B. ferrugineus was 1: 1.24 and for T. elegans was 1:0.53. The Shannon index was not significantly different between sites. Species richness was similar, and the Jaccard index was Cs = 0.86, indicating that both sites share 86 % of the species. Tityus confluens was the only species not shared between sites. Our results indicate that species composition in regenerating forest resembles that of primary forest after c. 15 years, but the relative abundances of these species differ.",WOS:000338983200009,73,0.84573288,1,scorp divers in two diff habit in the arid chaco argentin scorp ar on of the most import tax of pred in term of dens biomass and divers in vary area of the world in thi study we comp pop and commun level dat between a mat and a second forest in the chancan reserv cordob argentin scorp wer collect us pitfal trap night per sit and their nocturn act was observ by mean of uv light night per sit ov month sev specy of scorp individ wer observ in the study are bothriurida and buthida brachistostern ferrugine compos of al individ and was num domin in most month it was the most common specy sampl with uv light method in al month in mat and in second forest timog eleg was the most common specy sampl with the pitfal trap method in second forest gen sex ratio mal fem for b ferrugine was and for t eleg was the shannon index was not sign diff between sit specy rich was simil and the jaccard index was cs ind that both sit shar of the specy tity conflu was the on specy not shar between sit our result ind that specy composit in reg forest resembl that of prim forest aft c year but the rel abund of thes specy diff,new,0.8607024020477095,0.8273325167148886,0.8054637740433268,0.7906936530328069,0.7803843987006399,0.7732022659467295,0.7684978812176555,0.766076960595973,0.766196218973689,0.7699253405403268,0.7806311425630591
11,desert,Effect of a desert planted forest on the understory plant diversity: implication to conservation,"The present study aimed to assess the potential role of desert tree plantations for biodiversity conservation of native vegetation. For this purpose, we compared diversity and composition of understory vegetation in a managed desert plantation in Egypt with adjacent natural vegetation. In 126 stands, we estimated the diversity indices of the understory vegetation associated with five tree plantations inside and outside the forest. The results showed that therophytes had the highest contribution to the total flora of the study area (45.7 %), followed by chamaephytes (21.7 %). The weed species were the main components inside the forest (37 species). In the stands of Eucalyptus camaldulensis and Khaya senegalensis, the agricultural weeds were the most abundant followed by natural weeds. Spring season was the main flourishing season for weeds followed by autumn. Dalbergia sissoo had the highest values for species richness (8.8) and the lowest for species turnover (2.5). On the contrary, Casuarina spp. had the lowest values of species richness (3.0) and the highest of species turnover (7.3) and Simpson index (12.3). Establishment of the forest leads to remarkable loss and changes in the biodiversity of natural desert vegetation and vegetation composition, respectively. Many ruderal weeds colonized the adjacent desert habitats. From this study, we concluded that forest managers should pay attention for the conservation and retention of existing native vegetation during their design for the desert plantations.",WOS:000389833300012,259,0.8449241959999999,1,effect of a desert plant forest on the underst plant divers imply to conserv the pres study aim to assess the pot rol of desert tre plant for biodivers conserv of nat veget for thi purpos we comp divers and composit of underst veget in a man desert plant in egypt with adjac nat veget in stand we estim the divers ind of the underst veget assocy with fiv tre plant insid and outsid the forest the result show that therophyt had the highest contribut to the tot flor of the study are follow by chamaephyt the wee specy wer the main compon insid the forest specy in the stand of eucalypt camaldulens and khay senegalens the agricult wee wer the most abund follow by nat wee spring season was the main flo season for wee follow by autumn dalberg sissoo had the highest valu for specy rich and the lowest for specy turnov on the cont casuarin spp had the lowest valu of specy rich and the highest of specy turnov and simpson index est of the forest lead to remark loss and chang in the biodivers of nat desert veget and veget composit respect many rud wee colon the adjac desert habit from thi study we conclud that forest man should pay at for the conserv and ret of ex nat veget dur their design for the desert plant,new,0.8756935113412465,0.8267433792139849,0.7920622127898129,0.7668796046202382,0.7476052296973003,0.7322714249608712,0.7197515319160176,0.7093923057643909,0.7008172915686769,0.6938904211254993,0.6888763178929314
