x,y,Fold_id,p_1_0,p_50_0,p_50_1,p_50_2,p_50_3,p_50_4,p_50_5,p_50_6,p_50_7,p_50_8,p_50_9,p_100_0,p_100_1,p_100_2,p_100_3,p_100_4,p_100_5,p_100_6,p_100_7,p_100_8,p_100_9,p_150_0,p_150_1,p_150_2,p_150_3,p_150_4,p_150_5,p_150_6,p_150_7,p_150_8,p_150_9,p_200_0,p_200_1,p_200_2,p_200_3,p_200_4,p_200_5,p_200_6,p_200_7,p_200_8,p_200_9,p_250_0,p_250_1,p_250_2,p_250_3,p_250_4,p_250_5,p_250_6,p_250_7,p_250_8,p_250_9,p_300_0,p_300_1,p_300_2,p_300_3,p_300_4,p_300_5,p_300_6,p_300_7,p_300_8,p_300_9,p_350_0,p_350_1,p_350_2,p_350_3,p_350_4,p_350_5,p_350_6,p_350_7,p_350_8,p_350_9,p_400_0,p_400_1,p_400_2,p_400_3,p_400_4,p_400_5,p_400_6,p_400_7,p_400_8,p_400_9,p_450_0,p_450_1,p_450_2,p_450_3,p_450_4,p_450_5,p_450_6,p_450_7,p_450_8,p_450_9,p_500_0,p_500_1,p_500_2,p_500_3,p_500_4,p_500_5,p_500_6,p_500_7,p_500_8,p_500_9,p_550_0,p_550_1,p_550_2,p_550_3,p_550_4,p_550_5,p_550_6,p_550_7,p_550_8,p_550_9
bee divers along a disturb grady in trop lowland forest of sou east as bee ar believ to be domin pol vect in trop forest yet study spec to bee in sou east as ar rar reg and rest of the rapid disappear lowland forest of thi reg ar rely on bee thu ther is an urg nee for forest bee dat at the commun level bee commun of eight forest sit in joh malays and singap wer survey three tim each from febru to august at the below canop level thes sit rang from rel undisturb prim lowland dipterocarp forest to lat second forest and exot forest includ an oil palm plant we attempt to elucid the environ fact that correl with the distribut of bee bee abund in particul that of apida was sign high in larg prim forest than oth typ of forest howev bee specy rich was high in disturb forest the distribut of bee was app influ by vary clos rel to forest disturb and resourc abund such as the dens of big tre diamet at breast height – cm temp and flow intens of tre and shrubs mor stingless bee trigon spp wer found wher tre wer larg and amby condit mor const but flow intens low the diff between the bee commun in forest of urb singap and prim forest in joh may ind that ecolog process in the forest of singap in particul pollin may be chang howev pollin may not be tot intact in the prim forest survey as their bee commun seem to be depaup the rol of import pollin espec bee for the long term surv of trop lowland forest is poor understood our study ind that we urg nee mor thorough understand of pollin and pollin as som bee specy appear to be disappear from disturb trop lowland forest,1.0,3.0,0.9556066104689057,0.7016848060398371,0.718833928603938,0.703702790157594,0.7021204040847446,0.7149442064071665,0.6826271369059671,0.6881790948551717,0.6595540709494078,0.6950877758581436,0.7072592016857884,0.7791835487458939,0.7935408246652503,0.7941649463206197,0.7915139261978831,0.78578590935589,0.7632932232406991,0.7682340497485401,0.7672496025978031,0.7940654662852383,0.7765074704340812,0.8436046694487385,0.8443392458218312,0.8353225418979144,0.8457719315029831,0.8283187749771352,0.8314132325836341,0.8376610725938738,0.8360346500693715,0.8457760962938526,0.8346216329495516,0.8835560754707691,0.8729217459640702,0.8706591922689727,0.878776309373136,0.8691888966880934,0.8754149271358009,0.8666562285307104,0.8712002928242305,0.8776692023871695,0.884864129683415,0.9034106003641958,0.8993773078315017,0.8868964971548143,0.8979820096564939,0.8998210096643877,0.8940570585733966,0.8907091508478366,0.9015259454077221,0.8997009747794535,0.9041401342323484,0.9176124487147704,0.915932906875146,0.9102502807354447,0.9148753670101145,0.9140651581845408,0.9117201958898401,0.9085536607250934,0.9239163762944849,0.91835638355156,0.9214858518650174,0.932216771682525,0.9319894381095598,0.9265955857011051,0.9311208188408797,0.93615790537403,0.9274062469376098,0.9285724738501432,0.933192101940453,0.9353356729314071,0.932875135853843,0.940447946967362,0.9446071293723429,0.9384369818235743,0.9423562636354137,0.9460963994597955,0.9388430966422633,0.9398862261286762,0.9448407123901331,0.9425072532215786,0.9419871842134372,0.949163568722997,0.9513983846687244,0.9492558010977451,0.9530082202082967,0.9516005570168969,0.95044155194597,0.9511652940476549,0.9529877361837803,0.9540077253182193,0.9499826073023209,,,,,,,,,,,,,,,,,,,,
graz intens and the divers of grasshop butterf and trap nest bee and wasp the maint of grassland as distinct habit depend on regul man us through graz or mow but their specy divers is known to declin with increas man intens the reduc of man intens can be a us tool for the long term conserv of the biolog divers of grassland we analys flor and faun divers on intend and extend unintend graz past and on to year old ungraz grassland in northern germany each of the three grassland habit diff in graz intens was reply six tim we rel divers tax such as grasshop butterf adult and lepidopt larva and trap nest solit bee and wasp to veget structure ther was an increas of specy rich and abund from past to ungraz grassland the perc of parasit of the most abund trap nest specy the dig wasp trypoxylon figul was also high on ungraz grassland decreas graz on past enh specy rich for adult butterf on wherea the abund of adult butterf solit bee and wasp and their nat enemy increas although the diff in insect divers between past and ungraz grassland could be attribut to a gre veget height and heterog bottom up effect on ungraz area the diff between intend and extend graz past could not be explain by chang in veget charact hent intend graz appear to affect the insect commun through the disrupt of plant insect interact a mosa of extend graz grassland and grassland left ungraz for a few year may be a good mean by which to maintain biodivers and the strength of troph interact,1.0,10.0,0.879439259390407,0.651126702902279,0.6502364611107015,0.6425837775958401,0.6241902263995743,0.6041803304209987,0.6652503173470041,0.6469900045916587,0.6168023574160819,0.6408340044951993,0.6406815598388715,0.6976243729952628,0.7281206728638395,0.6965107120608602,0.6909413894180008,0.7019138202030167,0.7225161738012947,0.7100363627201118,0.6982052738249667,0.7030307014342418,0.7070447439985986,0.7512756541934994,0.7826573259090661,0.7551365325072488,0.7215930593748472,0.7436762986458019,0.7669000484630499,0.7562562776123514,0.7334123469937659,0.7433342049523535,0.7409392723753087,0.7659443625301137,0.8005198881362735,0.7937920933688098,0.76510287299831,0.7885765600214611,0.7887807303078772,0.7779799653326618,0.7634492528648592,0.7675491017015189,0.7905085039358245,0.8170719680534084,0.8218837565371131,0.817350300224767,0.7862962334585606,0.8149295444099895,0.8205843650036543,0.7915116921572056,0.789702819519289,0.804424545567635,0.8080046245329907,0.831333242123641,0.8411382858446077,0.8372367028835743,0.81812206484935,0.8391551508974383,0.8432942726276532,0.8219626621773152,0.8164984973672366,0.8243381726735332,0.8277412096269375,0.8497046824877937,0.8539862175610679,0.8537829052743302,0.8433758300486741,0.8493354443188373,0.8542138400394085,0.8390805025275139,0.8418958056311819,0.8361717523188078,0.8526390758654573,0.8625691648828492,0.866074891484151,0.8663859493251777,0.8608740381820316,0.8536006639710039,0.8654530525410807,0.8545464033655559,0.8568101778479538,0.8486065511761858,0.8581075879447784,0.8742364729031371,0.8756957576062532,0.8744277873272545,0.8704270243108408,0.8712016998165348,0.8749815806085481,0.8737207826599468,0.8644301276324502,0.8704417559311217,0.8745471532686866,,,,,,,,,,,,,,,,,,,,
abund and divers of euglossin bee in the frag landscap of the brazil atl forest mal euglossin bee wer sampl with chem bait every two month from septemb to july at nin sit in the desengano mountain rang rio de janeiro stat brazil four sit wer loc in atl forest mat second grow two sit in disturb forest and three sit in forest frag of and ha respect we collect mal euglossin bee from at least specy analys of vary ind no diff among the three habit typ for tot numb of bee and of the domin specy bootstrap ind sign vary in specy rich and divers for som sit but ther was no clear ind of diff among habit simil as meas with the morisit horn index was invers rel to dist between sit but rel high for most sit combin thes result suggest that the euglossin bee commun in the three habit was ess the sam although som specy wer assocy with each habit typ most appear to respond to temp loc condit our result do not support the hypothes that forest frag or habit alt reduc abund and divers of euglossin bee,1.0,8.0,0.9054385836620983,0.6836264351983621,0.6930872497677456,0.6854733049794395,0.689042128737664,0.6843790883555492,0.6921131601677002,0.664386380040664,0.6400445401933508,0.6867831449494131,0.6670278183067371,0.7204248269346265,0.7557336047738572,0.7525455454818162,0.7695713277526977,0.7691228502470591,0.7565432066183511,0.7458570454198225,0.7198144897557559,0.73520503745994,0.7658674275059025,0.7692079948553029,0.7959672005581107,0.7966470721137685,0.7884407213992218,0.8030258907365891,0.7906751609002475,0.802991647213226,0.7562115721644225,0.7976857881390411,0.823449274463845,0.8016590000723698,0.8327437292096427,0.8215346259314652,0.8131736610706641,0.8171855911289847,0.8084136528260851,0.8313970096976887,0.7882998772654244,0.8319366153449336,0.8424353531695666,0.8280651267057868,0.8605852005119229,0.8466442574606193,0.8366429542993915,0.8407426937123365,0.839298602354045,0.8601119738331049,0.8187991051698,0.8463794552172773,0.8510992487329233,0.8606273618201562,0.8749159251256555,0.8600101898744772,0.8585195850568255,0.859035310132161,0.8585901920318241,0.8791664682969229,0.8528197263852998,0.8676322228086475,0.8681365671786508,0.8821824108124398,0.8804303166425466,0.8694172929337477,0.8779835567802078,0.8899684569184858,0.869710319372303,0.883341641202003,0.8673988714208275,0.8804173980208222,0.8851232313267783,0.8914303191258159,0.8899788501544629,0.8910199851603865,0.8916465103160207,0.8935861771349156,0.8802279799386962,0.8907937089713321,0.8842342279950741,0.885911696862413,0.8951784189091763,0.8991301754533926,0.8996813343924088,0.8981689391837079,0.902784831014912,0.898288727363512,0.9013362781220406,0.9050303307318142,0.897047967808579,0.8996338693846259,0.8996032468785008,,,,,,,,,,,,,,,,,,,,
ecolog spec and suscept to disturb conject and refut nich bread of specy has been hypothes to be assocy with species respons to disturb disturb is us believ to affect spec neg whil gen ar believ to benefit from disturb we cal thi the specializationdisturbance hypothes we also propos an assocy hypothes the specialization asymmetry disturbance hypothes und which both spec and asymmetry of interact would explain species respons to disturb we test thes hypothes us dat from a plant pollin system that has been graz by cattl i e a biolog disturb in southern argentin we quant spec in specy interact spec of interact partn and species respons to disturb we found no rel between degr of spec and a species respons to disturb we also found that plant pollin interact tend to be asymmet in thi system ther was no rel between the degr of spec of a giv specy and the degr of spec of it interact partn howev asymmetry of interact did not explain the vary in species respons to disturb thu both hypothes ar reject by our dat poss reason includ fail to assess cruc resourc subst direct effect of disturb inacc meas of spec difficul detect high nonlinear rel and limit of a nonexpery approach or in fact ther may be no rel between spec and respons to disturb,1.0,10.0,0.45863405246840466,0.49486291508528635,0.5302930630059036,0.49808413900754245,0.4712656805784296,0.4926854997154932,0.4757197371671995,0.49064059477406075,0.4667714498240965,0.48264290480899075,0.4967522669940026,0.475849811728266,0.5232648812680281,0.46614040610124347,0.4580847132509622,0.4828757317359918,0.47273735283156876,0.46628770974159683,0.46612478077885017,0.4869553573222688,0.4750280571407337,0.4830779383725007,0.5110230313638434,0.464194758704946,0.44223669160608203,0.4689046504473838,0.45828587992877684,0.4622089535641991,0.4554940595077679,0.4792556240202578,0.4834742310368304,0.4737940123975325,0.4851893954168107,0.4399968937531343,0.45758509778350726,0.46659029765479343,0.48093088637717685,0.4541057922599232,0.4523096793648127,0.45261214571020003,0.48864446176273757,0.47648478163130364,0.4876250800764911,0.43644940127410903,0.46152365540211115,0.47848087364628117,0.4772628915271403,0.446153061537203,0.44763054042362044,0.4467774103926372,0.4797547424427958,0.47134973862658935,0.47019396913206735,0.43511969408772755,0.45804448113217544,0.47060899351974983,0.4716131780478525,0.4503310789273473,0.45230170378788825,0.43707068818193145,0.4728582497877763,0.4620956829236744,0.4622079954158109,0.4470796052124888,0.44619979079776173,0.4790852412849043,0.45979414986251466,0.4653662075117896,0.45410302454619766,0.43666501806827285,0.4676979882433016,0.4547574633559786,0.4688320057413209,0.43963784877224554,0.45954857154407125,0.47332585423930446,0.46164092680839125,0.45609613554335454,0.446220048778519,0.4556210311675778,0.4638863589330014,0.46416198748949244,0.4681669452372784,0.44675643261647624,0.4599331197292566,0.4647690633642907,0.4603583705453521,0.4647853508484149,0.4450999610623838,0.46441741443008405,0.45361194174900915,,,,,,,,,,,,,,,,,,,,
us of genet mark to quant bumbleb for rang and nest dens bumbleb hymenopter apida ar import pollin of crop and wildflow but many specy hav suff dram declin in rec decad strategies for their conserv requir knowledg of their for rang and nest dens both of which ar poor understood prevy study hav main focuss on the cosmopolit bumbleb specy bomb terrest and implicit assum thi to be repres of oth specy her we us a landscap scal microsatellit study to estim the for rang and nest dens of two ecolog dissimil specy b terrest and b pascuor work wer sampl along a km linear transect and polymorph microsatellit mark us to ident put sist we provid the first publ estim of the numb of colony us a circ of radi m in an agricult landscap for b terrest and for b pascuor estim of nest dens diff sign between the two specy km for b terrest and km for b pascuor for rang also diff subst with b pascuor for ov dist less than m and b terrest less than m clear bumbleb specy diff gre in funda aspect of their ecolog thi has sign imply for the develop of conserv strategies for rar bumbleb and isol plant pop for the man of bumbleb as pollin and for predict pattern of gen flow from genet mod plant,1.0,2.0,0.582475257780667,0.5109603225788751,0.521190553872926,0.5276855520944019,0.4999173683244407,0.5124011344629896,0.5689276030026398,0.5443341683686181,0.5244921659989297,0.5274253138653968,0.4871522225306123,0.51214626336065,0.526894643667201,0.5517220691229283,0.4957013823336285,0.5046326685237208,0.5635608229781739,0.5272339251919058,0.507373462852783,0.5045732428833173,0.4922371459130122,0.5296494286285084,0.5362055753673731,0.571849668770511,0.5106966208755411,0.5432502273292108,0.5650358026151129,0.5283556472409788,0.5287549811120819,0.5197223649290246,0.5288456834900314,0.5340622377068885,0.5373878523671436,0.5600369668269779,0.5334925984313746,0.5486684861050755,0.5712582103941084,0.5229842653484127,0.5448257890081804,0.5342279864336251,0.5509496821590412,0.5290126636049927,0.5346433243593657,0.5616948292985702,0.5490985970149659,0.5549992311193411,0.5707521890710986,0.5298960700728601,0.5259443967681446,0.5212523493627204,0.5502010535559181,0.552001314331524,0.5499255039007039,0.5627191650883748,0.5576311905408313,0.5578721494070935,0.5767833494116703,0.5334214228107527,0.5326901190115888,0.5262652838746248,0.5744529626261906,0.5429701979127068,0.5450955411035298,0.5595451881079794,0.5564726273884254,0.5774130331960662,0.5758973647201887,0.5687592657078536,0.5435969739344731,0.5309461684414035,0.5934688561871082,0.5628209991802837,0.5569978559246537,0.5576630611164207,0.5572192521138145,0.5884493636437393,0.5733162219895845,0.5712406045416992,0.5706252855603688,0.5539261342787313,0.5874207956844362,0.5761042094128874,0.5834651270370238,0.5744642423573673,0.5791484809227035,0.5827869983129755,0.5779929107692738,0.5860838421918628,0.5694722521844438,0.592256841134943,0.5862815257903131,,,,,,,,,,,,,,,,,,,,
wild bee in agroecosystem and sem nat landscap collect period in ita the divers of the it bee faun was investig ov a four year period at sit in it reg of ita piedmont friul venez giul emil romagn tuscany umbr mol sicy and sardin a prevy agree sampl methodolog was us and the bee collect protocol was bas upon the transept method the sampl sit wer chos within an agricult landscap an account on dat process concern capt specim is pres ov on third of the known it faun i e specy wer record three specy hylae kahr förster förster lasiogloss subaenesc pérez and osm niveibarb pérez ar new record and specy show an enlarg distribut are seventyon perc of the bee specy collect in the it agroecosystem and sem nat landscap ar distribut in the palearct ecozon the remain of the bee specy ar pres in europ som specy most occ in cent europ wherea oth occ also in the mediter country the tot no of the census specy was pres in agroecosystem and tot no in sem nat landscap the bee faun composit vary along the nor sou direct of the peninsul with halictida being mor abund in northern ita and anthophorida mor abund in the sou,1.0,2.0,0.7570025079065854,0.56235814419406,0.6217844355776853,0.578000675509629,0.5747119547358459,0.5840034330588891,0.5840704479549036,0.5570399789278531,0.5714648645547905,0.6040410644011994,0.5746985891515385,0.5827948940471495,0.6573801817212944,0.6209775359457735,0.6204396268098645,0.6285335223894408,0.6150560720969787,0.6084980414044948,0.6198164000893621,0.6459130602831676,0.6259834634420098,0.6351181058552985,0.6842195014990081,0.656376153273393,0.648583119687987,0.6569526782422043,0.6395659950202843,0.6438949157243813,0.637667493026804,0.6712015714628934,0.6426576848418473,0.65160280442103,0.7096077202018145,0.6726457235927157,0.6760046938755979,0.683396417311381,0.6558172778842392,0.6593956091406974,0.65111578056158,0.6812495887757161,0.6860806015873692,0.6758933200496743,0.739281592731241,0.7070069836564659,0.6974684957976658,0.6938733355971951,0.6786777480632977,0.7119026425655061,0.6809301170757138,0.7005367367579988,0.7054765136996392,0.7067184440223444,0.750231018181699,0.7186240158501487,0.7245589973881612,0.7193807224641192,0.6968325377035927,0.720879981201717,0.7032250449174219,0.7171838882036106,0.7217969377553839,0.7175959421981905,0.7567661838196592,0.7172954938188574,0.7411454644384114,0.72873614364134,0.7087095700277944,0.7358738255393288,0.7333300406379784,0.7338246169149327,0.7509573048661661,0.7373604074987519,0.7573914009525119,0.7407460296600725,0.7404010243194371,0.738942892590674,0.7314198172077719,0.7397166690193357,0.7442245661054617,0.743363161261681,0.750579218297424,0.7453306274549129,0.7564097305753921,0.740509866877807,0.7552952368215049,0.7519785284988286,0.7462554066807592,0.7524746284500365,0.7507653083211127,0.7518783532601506,0.7525527134038085,,,,,,,,,,,,,,,,,,,,
rain forest provid pollin beetl for atemoy crop smal beetl us specy of nitidulida ar the nat pollin of atemoy annon squamos l x a cherimol mil hybrid custard appl ßow but commerc atemoy grow oft nee to carry out lab intend hand pollin to produc enough high qual fruit becaus aust rain forest has plant specy in the sam famy as atemoy annonacea and becaus many rain forest plant ar beetl pollin we set out to discov wheth trop rain forest in far nor queensland harb beetl that could provid thi ecosystem serv for atemoy crop orchard wer chos along a grady of increas dist from trop rain forest ð km we sampl ßow from each of nin atemoy orchard and determin the id and abund of insect within each ßow to assess the amount of pollin due to insect we bag six ßow per tre and left anoth six ßow per tre access to insect on tre at an orchard near rain forest result ind that atemoy orchards km from rain forest wer predomin visit by þve prevy unrecogn nat beetl pollin that ar lik to origin in trop rain forest thes nat beetl occur rely enough in crop near rain forest to hav a posit effect on the quant of fruit produc but their contribut was not gre enough to satisfy commerc produc nee man chang aim at increas nat beetl abund in crop ar requir bef thes beetl could elimin the nee for grow to hand pollin atemoy ßow apprecy of the valu of thi resourc is necess if we ar to develop landscap that both conserv nat biodivers and support agricult produc,1.0,3.0,0.8149678979159588,0.6242309825503215,0.6179603696848376,0.6167767892046542,0.5993592446208558,0.6252764723652128,0.6283795035281288,0.6191928254546477,0.57695036751583,0.6174455047927805,0.5966604336467696,0.6637253982248823,0.6580009594779914,0.662784290687495,0.6564541206893747,0.6757581086965302,0.6801035186863982,0.6884056833129389,0.6579689124877459,0.6563366320528747,0.6558093333279522,0.7015956879004295,0.6903001089715745,0.6920283802372867,0.6765821677513941,0.702690029578595,0.7262921480325969,0.7074834092109611,0.6982498350353837,0.6853232530007797,0.704135484091479,0.7328262127901777,0.6987156963372911,0.722358784438715,0.721301378679269,0.7224466133208254,0.7241587763663769,0.7413730410185325,0.7300724104532631,0.7087876144684975,0.7465651314317008,0.7574408240892135,0.715659946523262,0.7395274521142705,0.7371257191504474,0.7480144112217106,0.7327624816696924,0.737094123360647,0.7324166149168978,0.7229952797529561,0.7610677889741817,0.7637539291036088,0.7399784962711925,0.7587405721435115,0.7515175311294695,0.7661521733645577,0.7619618013977174,0.752733958163578,0.7531459840205146,0.7572605534596377,0.7678467103643466,0.7771262022464023,0.7629564575619573,0.7747259166285746,0.7821117140979588,0.7850208192342024,0.7868947006458993,0.7735585459363085,0.7703141213252384,0.7834147845636219,0.7841781385750632,0.7895473539083178,0.7794697103047226,0.7852576061276093,0.7958692177802131,0.7953676599325992,0.8040425495425282,0.788600621775336,0.7868753699721396,0.7809921213817898,0.7996734682023378,0.8059527072586812,0.8016271203570657,0.7959181171505404,0.8127459167536617,0.7999698024495365,0.8077228179615498,0.8040568903648329,0.8010911373278694,0.8131580997009663,0.8074219187474593,,,,,,,,,,,,,,,,,,,,
ecolog and season pattern in the divers of a specy rich bee assembl hymenopter apoide apiform mean ecolog study on insect commun requir sampl protocol that tak into consid temp fluctu in abund and specy composit bee with their spec requir for nutrit and nest ar good ind of landscap structure and overal biodivers provid the ecolog and season pattern they show ar tak into consid the pres two year study trac the ecolog and season pattern on km of a southern slop in the swiss alp rang from to m abov sea level the study are consist main of grassland und diff regim most hay meadow and past by direct net at fiv month interv in each year a tot of bee specy wer record thi comprehend sampl scheme ident on of the most divers bee fauna in cent and northern europ consist of a stat estim specy most specy wer rar with repres by a singl individ ecolog analys of the bee commun show that the primit eusoc specy wer ov repres among the abund specy and the parasit specy among the rarest both abund and specy rich wer subject to mark season vary a subst turnov in specy composit as wel as chang in ecolog pattern wer observ mor than of al specy wer record in on on of the two year in particul many of the parasit specy singleton account for a high proport when individ year rath than the pool dat wer analys al thes find underlin the import of season long sampl and sampl ov mor than on year if bee ar to be us as ind in ecolog and study on bee commun,1.0,10.0,0.7945515626717546,0.5721186896248988,0.601833346300293,0.5896766741099728,0.5974806969255397,0.602946488383905,0.6309861967001547,0.6000068129213854,0.5521125742324724,0.5969525448310747,0.5578832530244453,0.60199846730892,0.6372156146420438,0.6466854135735283,0.6571850453854042,0.6432455172739291,0.6690805972434866,0.6555510727209929,0.5945666954141342,0.6595748864245297,0.6365651224893902,0.6555637457361396,0.6876647940666232,0.6849351703808559,0.6742096539939548,0.6767730575866024,0.7074035443989046,0.6856627751844548,0.6408568393529982,0.706374804106219,0.658235347672417,0.6737844206047471,0.69841205016336,0.7297737442833758,0.6996561620480748,0.6992702949137976,0.7178046847071058,0.7046702160366654,0.6883226113639295,0.7195887392520675,0.7182516195670157,0.7185699485366575,0.7266289193590126,0.7508131052331825,0.7167321255825333,0.7199639889094607,0.7485305236132898,0.7361038872831803,0.7146706305625107,0.740897565951019,0.725303479996751,0.7391983551560052,0.7472044138055453,0.7559994306156929,0.7398893843527038,0.7521510182211636,0.7701462731348822,0.7369768082700454,0.7357706213248173,0.7615930941219383,0.7516133241018568,0.7640385349845533,0.750500202429968,0.7629917716594876,0.755624203905343,0.7706090859207484,0.7800392969293193,0.7544391641800366,0.7550938142325054,0.7634033722869779,0.7734856087163419,0.7781578258292581,0.7696945953978618,0.7744114669330688,0.770459114968878,0.7700194346682253,0.7837274449836102,0.770248728804325,0.7721484677916354,0.7714717834698784,0.7866211182755024,0.7856151481290484,0.7858482876277909,0.7857496925926328,0.7847321643943175,0.7861679554391283,0.7861198531355704,0.789654134069338,0.7846942492338355,0.7863508749769277,0.7907497498873117,,,,,,,,,,,,,,,,,,,,
farm pract influ wild pollin pop on squash and pumpkin rec declin in man honey bee ap mellifer l colony hav increas interest in the cur and pot contribut of wild bee pop to the pollin of agricult crop becaus wild bee oft liv in agricult þeld their pop dens and contribut to crop pollin may be inßu by farm pract espec thos us to reduc the pop of oth insect we took a cens of pollin of squash and pumpkin at farm in virgin west virgin and maryland to see wheth pollin abund was rel to farm pract the main pollin wer peponap pruinos say honey bee and bumbl bee bomb spp the squash bee was the most abund pollin on squash and pumpkin occur at of farm in pop dens that wer common sev tim high than that of oth pollin squash bee dens was rel to til pract no til farm host three tim as gre a dens of squash bee as til farm pollin dens was not rel to pesticid us honey bee dens on squash and pumpkin was not rel to the pres of man honey bee colony on farm farm with colony did not hav mor honey bee per ßow than farm that did not keep honey bee prob reßect the lack of afþn of honey bee for thes crop fut research should examin the econom impact of man farm in way that promot pollin particul pollin of crop that ar not wel serv by man honey bee colony,1.0,6.0,0.6874238824349941,0.5518796316408144,0.5792099594218773,0.5573927932027853,0.5731620204332669,0.5955496488451774,0.5582887780985407,0.586237089991097,0.4867317965554735,0.5778700195536755,0.5461373116210919,0.5572198599557306,0.6244106625749669,0.6201520393291138,0.5862338219604953,0.6164523673326836,0.6094300627033268,0.6137455025293788,0.5417545410068422,0.6391661567848611,0.6002828706618818,0.5904752523301832,0.6369041010795787,0.6545538121783475,0.5858524908959759,0.6442778616146074,0.6417539478931854,0.6373996189032994,0.5968849973135977,0.6763873503402834,0.6127205323204108,0.6154869691685678,0.643980180788405,0.6617264963664937,0.6250057769968984,0.6819392262770521,0.672678518747166,0.6164384465426611,0.6125917479966834,0.6895586693756498,0.6344056457659087,0.656022357916752,0.6668214507233561,0.6576093205610122,0.6274614758398925,0.682086952742482,0.6879378808437285,0.6106171183101441,0.6381021164527761,0.6953880052461285,0.6436573248432916,0.6652338163577327,0.6788587666388514,0.6661345373319622,0.6430167084172486,0.6717043853689264,0.6512832657180039,0.6272393286458633,0.6615726036867573,0.6613611929800226,0.6492534265934645,0.681907559704862,0.667639367422222,0.6692095979246327,0.6673950222408573,0.697152634937736,0.6482381921684669,0.643877732808326,0.6798309509723942,0.682862303992095,0.6711899430346803,0.6426961684073719,0.6643683500472329,0.6736597436322019,0.6769452166246194,0.7011200811028959,0.6650159572672494,0.6599732955160027,0.664251925558332,0.6876522002897392,0.6798868680932691,0.6766038923805636,0.6827978944847938,0.6724602880157683,0.6851466050423338,0.7119079050756351,0.6785519972286816,0.6848589391449429,0.692111149706135,0.6877276237548089,0.6849760416166438,,,,,,,,,,,,,,,,,,,,
proxim to rainforest enh pollin and fruit set in orchard trop rainforest ar pot reservoir of insect that could enh crop pollin but on a few inst of the provid of such serv by trop rainforest insect hav been report our field study aim to determin the rel import of such insect to the pollin of macadam macadam integrifol and long dimocarp long crop on the atherton tableland nor queensland austral we quant init fruit set a meas of pollin success in tre design to assess the rel import of the poss mod of pollin the tre wer apply in orchard that vary in dist from rainforest in ord to comp the effect of the contrast pool of avail pol vect we also record the insect specy pres and estim the numb of visit each mad to flow in crop near and far from rainforest for both crop ther was an interact between pollin tre and dist from rainforest maxim fruit set was on achiev when pol vect had access to flow er and orchard wer clos to rainforest exclud of pollin near rainforest reduc init fruit set to a gre ext than exclud of pollin far from rainforest we confirm that pol transf in macadam is by autogam self pollin and by pol vect but our design did not distinct among pol vect the on abund insect in macadam orchard wer honeyb ap mellifer ther wer mor honeyb visit to macadam flow in orchard near rainforest than far from rainforest but we detect no rel between honeyb visit and init mac dam fruit set in our sampl of observ on a per racem bas mor detail study ar nee to ident the pol vect respons for enh pollin of macadam near rainforest we est for the first tim that pol transf in long is by a combin of autogam self pollin wind and bee long flow wer visit by stingless bee and honeyb but on stingless bee had a posit rel with init long fruit set and high visit rat near rainforest than far from rainforest thi suggest that enh pollin in long near rainforest result prim from a mor abund supply of stingless bee from the rainforest synthes and apply by demonst that trop rainforest can act as a re servoir of pol vect that benefit crop our study highlight the ex of a larg unrecogn resourc avail to agricult at the sam tim our result mak a sign contribut to the grow databas of study that undersc the import of trop rainforest conserv policy and man aim at sustain us of thi resourc would satisfy the goal both of agricult to improv crop yield and conserv to conserv trop rainforest,1.0,1.0,0.6006804510079651,0.5083759248223417,0.49261445649481334,0.543048147550226,0.5183992356568542,0.5567917406496689,0.5307148810560823,0.5307403608710292,0.5320568943299818,0.5172649081871518,0.48482334628026164,0.5055297449012852,0.520464333068496,0.5926481151441626,0.5257613063206171,0.5495723120578196,0.5465017810649506,0.5531958085174804,0.5357673980690304,0.5445476418365901,0.5027751148863461,0.5247750146884388,0.5485379860630776,0.5840853011847313,0.5237554149764944,0.556430295621887,0.5546918209731144,0.5611460064810164,0.5536390710614991,0.5663105748604228,0.5428990766900308,0.5384311052558017,0.5483085450296813,0.5908895210329255,0.5476485637908156,0.5658352781305799,0.5704945120300844,0.5735856036094834,0.5536613466143536,0.5924615312126216,0.549140327979522,0.5446377046395704,0.5442024847812401,0.5869171076379233,0.5595027557054364,0.5633738713553058,0.573575891422919,0.5729813844415176,0.529276355224644,0.5739222107857269,0.5556828275843095,0.5626715509248187,0.5541246389859008,0.5979650215072784,0.5751806671053784,0.5580664627349426,0.5671374460545401,0.5818539478810328,0.5578816012472568,0.5738438795397074,0.5723651913384092,0.5756566724813159,0.5614878300009257,0.6006348434408582,0.5897727208969511,0.5812178027099553,0.5555533976873344,0.5809462143050479,0.5643339500582444,0.5908660186801116,0.5855619342063545,0.57128710871704,0.5667104026157488,0.5939095421564082,0.6011683054981998,0.5980897448872297,0.5812960962034747,0.5794365753202421,0.5699631529870269,0.5992995350887269,0.5906401214624815,0.5850375069556111,0.5857929031909537,0.5931634602276662,0.6029496253500407,0.6057190197296186,0.5820215527414692,0.5909628954991871,0.5829004295877557,0.6006488457241748,0.5957120650211352,,,,,,,,,,,,,,,,,,,,
